Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
9.81,283.314,-3536.219,347.813,488.161,-2978.879,172.041,-2912.32,1107.13,327.539,-3207.79,886.431,709.47
9.82,283.67,-3507.343,352.067,487.453,-2968.344,168.399,-2891.1,1098.99,327.064,-3173.95,878.319,715.591
9.83,284.113,-3475.354,355.899,486.835,-2958.436,165.198,-2868.64,1089.63,326.363,-3136.95,869.711,721.964
9.84,284.637,-3440.788,358.992,486.331,-2949.597,162.579,-2845.56,1079.26,325.452,-3097.47,861.038,728.312
9.85,285.24,-3404.131,361.064,485.945,-2942.103,160.584,-2822.33,1068.18,324.37,-3056.04,852.777,734.362
9.86,285.919,-3365.789,361.877,485.665,-2936.062,159.175,-2799.31,1056.75,323.175,-3013.1,845.424,739.856
9.87,286.681,-3326.086,361.238,485.47,-2931.443,158.26,-2776.75,1045.35,321.913,-2969.03,839.464,744.564
9.88,287.54,-3285.265,359.006,485.334,-2928.113,157.732,-2754.78,1034.33,320.615,-2924.08,835.336,748.295
9.89,288.518,-3243.491,355.093,485.232,-2925.87,157.495,-2733.44,1024.08,319.296,-2878.5,833.412,750.888
9.9,289.642,-3200.867,349.467,485.142,-2924.481,157.487,-2712.71,1014.91,317.931,-2832.55,833.966,752.236
9.91,290.946,-3157.435,342.153,485.048,-2923.702,157.698,-2692.52,1007.04,316.475,-2786.48,837.158,752.27
9.92,292.467,-3113.195,333.24,484.94,-2923.296,158.162,-2672.78,1000.65,314.871,-2740.58,843.032,750.974
9.93,294.241,-3068.112,322.876,484.813,-2923.032,158.963,-2653.36,995.82,313.06,-2695.12,851.51,748.37
9.94,296.303,-3022.128,311.27,484.669,-2922.692,160.214,-2634.18,992.56,310.997,-2650.41,862.407,744.528
9.95,298.68,-2975.178,298.681,484.516,-2922.063,162.044,-2615.12,990.835,308.668,-2606.71,875.448,739.553
9.96,301.391,-2927.201,285.412,484.372,-2920.931,164.58,-2596.07,990.523,306.089,-2564.26,890.289,733.575
9.97,304.444,-2878.162,271.798,484.265,-2919.088,167.931,-2576.99,991.488,303.303,-2523.24,906.539,726.752
9.98,307.838,-2828.067,258.189,484.232,-2916.333,172.168,-2557.79,993.537,300.377,-2483.8,923.783,719.249
9.99,311.56,-2776.979,244.936,484.322,-2912.479,177.315,-2538.42,996.506,297.401,-2446.04,941.601,711.236
10.0,315.588,-2725.042,232.375,484.593,-2907.366,183.35,-2518.84,1000.17,294.459,-2409.98,959.577,702.889
10.01,319.897,-2672.49,220.808,485.104,-2900.871,190.203,-2499.0,1004.35,291.64,-2375.64,977.31,694.377
10.02,324.454,-2619.658,210.48,485.915,-2892.917,197.765,-2478.88,1008.86,289.018,-2342.97,994.425,685.867
10.03,329.221,-2566.978,201.564,487.079,-2883.479,205.907,-2458.44,1013.53,286.651,-2311.9,1010.58,677.521
10.04,334.158,-2514.97,194.144,488.633,-2872.583,214.487,-2437.62,1018.18,284.578,-2282.33,1025.45,669.496
10.05,339.218,-2464.215,188.202,490.595,-2860.299,223.366,-2416.4,1022.67,282.823,-2254.17,1038.76,661.944
10.06,344.35,-2415.321,183.617,492.964,-2846.731,232.416,-2394.72,1026.85,281.394,-2227.27,1050.25,655.002
10.07,349.503,-2368.886,180.176,495.716,-2831.995,241.524,-2372.55,1030.57,280.287,-2201.55,1059.67,648.799
10.08,354.622,-2325.45,177.592,498.814,-2816.199,250.597,-2349.81,1033.71,279.494,-2176.86,1066.87,643.442
10.09,359.655,-2285.46,175.54,502.206,-2799.426,259.552,-2326.47,1036.15,279.006,-2153.11,1071.67,639.023
10.1,364.552,-2249.236,173.692,505.838,-2781.712,268.321,-2302.46,1037.77,278.814,-2130.22,1073.96,635.614
10.11,369.266,-2216.958,171.761,509.653,-2763.043,276.84,-2277.74,1038.46,278.919,-2108.12,1073.66,633.271
10.12,373.751,-2188.657,169.532,513.597,-2743.352,285.042,-2252.28,1038.18,279.325,-2086.75,1070.74,632.037
10.13,377.965,-2164.233,166.894,517.62,-2722.527,292.856,-2226.04,1036.84,280.046,-2066.11,1065.24,631.933
10.14,381.872,-2143.47,163.843,521.678,-2700.423,300.193,-2198.98,1034.47,281.101,-2046.19,1057.24,632.97
10.15,385.44,-2126.076,160.477,525.733,-2676.879,306.952,-2171.09,1031.07,282.519,-2027.03,1046.88,635.145
10.16,388.647,-2111.708,156.966,529.758,-2651.733,313.012,-2142.36,1026.74,284.33,-2008.64,1034.4,638.426
10.17,391.481,-2100.007,153.519,533.735,-2624.837,318.236,-2112.78,1021.62,286.565,-1991.09,1020.08,642.767
10.18,393.939,-2090.617,150.338,537.662,-2596.068,322.48,-2082.36,1015.89,289.256,-1974.44,1004.3,648.088
10.19,396.026,-2083.204,147.587,541.553,-2565.338,325.592,-2051.12,1009.85,292.428,-1958.75,987.522,654.278
10.2,397.756,-2077.46,145.364,545.437,-2532.598,327.43,-2019.12,1003.78,296.098,-1944.05,970.258,661.188
