Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.91,81.453,-1796.982,415.287,307.255,-1065.894,100.891,-1034.99,1205.06,98.186,-1223.67,1200.65,441.578
3.92,81.426,-1749.857,428.966,305.473,-1052.14,97.982,-1002.63,1189.43,93.376,-1183.48,1191.81,444.652
3.93,81.55,-1699.874,439.534,304.12,-1041.971,95.86,-970.979,1171.86,87.245,-1141.95,1181.71,447.452
3.94,81.786,-1647.422,446.83,303.097,-1034.675,94.528,-940.245,1152.89,79.906,-1099.01,1170.73,449.897
3.95,82.125,-1592.903,450.794,302.248,-1029.609,93.869,-910.623,1133.13,71.533,-1054.63,1159.35,451.872
3.96,82.582,-1536.716,451.457,301.426,-1026.231,93.695,-882.287,1113.4,62.371,-1008.83,1148.19,453.221
3.97,83.191,-1479.233,448.918,300.532,-1024.105,93.813,-855.352,1094.53,52.727,-961.702,1137.94,453.763
3.98,83.984,-1420.776,443.328,299.54,-1022.89,94.085,-829.848,1077.37,42.945,-913.464,1129.34,453.295
3.99,84.985,-1361.583,434.872,298.485,-1022.309,94.455,-805.707,1062.74,33.383,-864.409,1123.07,451.627
4.0,86.192,-1301.781,423.756,297.439,-1022.122,94.959,-782.764,1051.24,24.366,-814.915,1119.64,448.595
4.01,87.579,-1241.373,410.205,296.498,-1022.101,95.712,-760.777,1043.25,16.155,-765.394,1119.4,444.099
4.02,89.091,-1180.24,394.463,295.772,-1022.006,96.886,-739.456,1038.92,8.924,-716.252,1122.44,438.109
4.03,90.655,-1118.163,376.805,295.384,-1021.578,98.688,-718.505,1038.04,2.747,-667.847,1128.6,430.686
4.04,92.192,-1054.865,357.542,295.468,-1020.528,101.329,-697.646,1040.26,-2.391,-620.466,1137.47,421.96
4.05,93.623,-990.062,337.026,296.152,-1018.545,105.003,-676.644,1045.03,-6.575,-574.305,1148.52,412.129
4.06,94.88,-923.511,315.655,297.546,-1015.315,109.861,-655.321,1051.7,-9.932,-529.468,1161.11,401.428
4.07,95.912,-855.063,293.859,299.72,-1010.549,116.006,-633.543,1059.67,-12.605,-485.977,1174.62,390.109
4.08,96.691,-784.7,272.094,302.694,-1004.019,123.49,-611.221,1068.35,-14.732,-443.797,1188.45,378.427
4.09,97.208,-712.572,250.825,306.425,-995.59,132.34,-588.287,1077.23,-16.434,-402.846,1202.13,366.615
4.1,97.481,-639.014,230.507,310.814,-985.237,142.58,-564.678,1085.94,-17.815,-363.023,1215.27,354.886
4.11,97.556,-564.561,211.563,315.705,-973.047,154.26,-540.327,1094.16,-18.959,-324.231,1227.59,343.419
4.12,97.508,-489.939,194.348,320.904,-959.183,167.461,-515.148,1101.69,-19.936,-286.376,1238.89,332.367
4.13,97.443,-416.041,179.123,326.191,-943.836,182.287,-489.047,1108.33,-20.804,-249.38,1249.0,321.857
4.14,97.49,-343.884,166.018,331.346,-927.147,198.836,-461.916,1113.95,-21.609,-213.173,1257.78,312.0
4.15,97.789,-274.543,155.014,336.166,-909.138,217.161,-433.647,1118.47,-22.387,-177.683,1265.11,302.894
4.16,98.466,-209.073,145.936,340.488,-889.654,237.238,-404.144,1121.78,-23.164,-142.833,1270.86,294.628
4.17,99.62,-148.427,138.477,344.196,-868.354,258.934,-373.325,1123.82,-23.951,-108.534,1274.9,287.284
4.18,101.302,-93.378,132.237,347.229,-844.747,281.987,-341.137,1124.52,-24.751,-74.691,1277.1,280.935
4.19,103.506,-44.467,126.79,349.575,-818.27,305.989,-307.55,1123.85,-25.557,-41.206,1277.37,275.649
4.2,106.168,-1.967,121.765,351.261,-788.396,330.393,-272.561,1121.83,-26.355,-7.987,1275.62,271.486
4.21,109.166,34.116,116.919,352.341,-754.73,354.529,-236.19,1118.47,-27.126,25.05,1271.77,268.506
4.22,112.329,64.018,112.177,352.885,-717.075,377.658,-198.469,1113.83,-27.848,57.97,1265.84,266.765
4.23,115.46,88.177,107.636,352.978,-675.454,399.031,-159.434,1108.04,-28.496,90.82,1257.86,266.315
4.24,118.37,107.185,103.507,352.711,-630.087,417.957,-119.127,1101.2,-29.036,123.613,1247.98,267.193
4.25,120.922,121.732,100.032,352.185,-581.335,433.859,-77.58,1093.51,-29.429,156.33,1236.38,269.422
4.26,123.064,132.557,97.392,351.5,-529.65,446.307,-34.822,1085.24,-29.616,188.907,1223.39,272.984
4.27,124.839,140.394,95.644,350.75,-475.533,455.034,9.119,1076.68,-29.528,221.236,1209.37,277.824
4.28,126.357,145.919,94.71,350.008,-419.493,459.93,54.21,1068.26,-29.076,253.169,1194.82,283.829
4.29,127.745,149.708,94.419,349.315,-362.032,461.017,100.397,1060.43,-28.16,284.53,1180.35,290.827
4.3,129.098,152.225,94.568,348.679,-303.608,458.419,147.584,1053.72,-26.673,315.136,1166.58,298.596
