Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.14,126.329,-3939.509,674.684,289.747,-3266.452,183.184,-3136.84,1248.64,98.931,-3520.2,1091.92,498.38
6.15,124.391,-3881.021,687.71,287.863,-3252.471,178.053,-3106.54,1220.25,91.861,-3471.95,1074.62,505.826
6.16,122.139,-3820.18,696.537,286.105,-3241.266,174.075,-3078.46,1191.13,83.37,-3422.36,1056.64,513.083
6.17,119.54,-3757.707,701.111,284.534,-3232.353,171.382,-3052.8,1162.02,73.576,-3371.03,1038.69,519.827
6.18,116.643,-3694.342,701.511,283.163,-3225.394,169.897,-3029.6,1133.86,62.696,-3317.48,1021.79,525.703
6.19,113.577,-3630.795,697.914,281.971,-3220.136,169.357,-3008.75,1107.79,51.06,-3261.29,1007.04,530.332
6.2,110.523,-3567.674,690.547,280.945,-3216.333,169.443,-2989.9,1085.1,39.092,-3202.22,995.683,533.36
6.21,107.68,-3505.419,679.662,280.12,-3213.701,169.924,-2972.57,1067.01,27.278,-3140.37,988.911,534.502
6.22,105.227,-3444.254,665.503,279.584,-3211.905,170.727,-2956.07,1054.47,16.092,-3076.2,987.683,533.584
6.23,103.295,-3384.16,648.295,279.464,-3210.559,171.955,-2939.72,1047.99,5.92,-3010.46,992.623,530.569
6.24,101.96,-3324.88,628.253,279.895,-3209.24,173.868,-2922.89,1047.47,-3.002,-2944.12,1003.94,525.549
6.25,101.242,-3265.953,605.605,280.99,-3207.488,176.843,-2905.09,1052.39,-10.596,-2878.25,1021.42,518.736
6.26,101.122,-3206.788,580.611,282.827,-3204.822,181.324,-2885.99,1061.82,-16.912,-2813.84,1044.5,510.421
6.27,101.555,-3146.75,553.589,285.444,-3200.781,187.743,-2865.37,1074.63,-22.073,-2751.79,1072.27,500.947
6.28,102.488,-3085.257,524.922,288.834,-3194.988,196.451,-2843.07,1089.68,-26.239,-2692.76,1103.62,490.689
6.29,103.874,-3021.853,495.059,292.92,-3187.235,207.663,-2819.03,1105.87,-29.589,-2637.2,1137.3,480.036
6.3,105.686,-2956.268,464.512,297.538,-3177.549,221.448,-2793.22,1122.26,-32.292,-2585.31,1172.0,469.382
6.31,107.927,-2888.446,433.835,302.439,-3166.203,237.774,-2765.65,1138.0,-34.478,-2537.04,1206.39,459.118
6.32,110.625,-2818.552,403.605,307.315,-3153.629,256.562,-2736.36,1152.47,-36.229,-2492.12,1239.17,449.603
6.33,113.812,-2746.965,374.39,311.857,-3140.242,277.728,-2705.39,1165.18,-37.581,-2450.09,1269.08,441.159
6.34,117.495,-2674.241,346.712,315.846,-3126.224,301.164,-2672.84,1175.77,-38.551,-2410.34,1294.95,434.058
6.35,121.637,-2601.083,321.022,319.198,-3111.407,326.725,-2638.79,1183.98,-39.158,-2372.18,1315.77,428.497
6.36,126.152,-2528.292,297.668,321.94,-3095.302,354.218,-2603.33,1189.69,-39.427,-2334.94,1330.8,424.592
6.37,130.919,-2456.741,276.879,324.154,-3077.227,383.393,-2566.53,1192.85,-39.39,-2298.08,1339.63,422.368
6.38,135.801,-2387.337,258.748,325.93,-3056.438,413.93,-2528.49,1193.47,-39.093,-2261.29,1342.19,421.782
6.39,140.666,-2320.994,243.213,327.34,-3032.223,445.437,-2489.24,1191.67,-38.596,-2224.51,1338.72,422.753
6.4,145.393,-2258.596,230.05,328.451,-3003.947,477.442,-2448.83,1187.57,-37.972,-2187.88,1329.74,425.19
6.41,149.897,-2200.934,218.877,329.331,-2971.107,509.398,-2407.29,1181.33,-37.304,-2151.76,1315.88,429.014
6.42,154.14,-2148.641,209.192,330.042,-2933.384,540.696,-2364.65,1173.1,-36.677,-2116.53,1297.85,434.155
6.43,158.128,-2102.134,200.439,330.629,-2890.664,570.683,-2320.95,1163.01,-36.178,-2082.61,1276.35,440.542
6.44,161.908,-2061.58,192.108,331.129,-2843.042,598.702,-2276.15,1151.2,-35.878,-2050.42,1252.02,448.093
6.45,165.53,-2026.9,183.835,331.585,-2790.795,624.125,-2230.27,1137.78,-35.82,-2020.28,1225.44,456.706
6.46,169.027,-1997.793,175.484,332.053,-2734.362,646.386,-2183.22,1122.93,-35.998,-1992.5,1197.18,466.272
6.47,172.397,-1973.784,167.174,332.61,-2674.324,664.999,-2134.9,1106.89,-36.35,-1967.34,1167.73,476.66
6.48,175.603,-1954.281,159.255,333.345,-2611.382,679.574,-2085.11,1090.06,-36.74,-1944.97,1137.59,487.711
6.49,178.574,-1938.655,152.208,334.344,-2546.343,689.839,-2033.62,1073.0,-36.957,-1925.55,1107.31,499.213
6.5,181.209,-1926.311,146.496,335.671,-2480.084,695.654,-1980.21,1056.51,-36.72,-1909.16,1077.53,510.887
6.51,183.402,-1916.731,142.386,337.344,-2413.496,697.025,-1924.62,1041.56,-35.703,-1895.76,1048.94,522.372
6.52,185.103,-1909.469,139.839,339.32,-2347.415,694.083,-1866.81,1029.27,-33.573,-1885.14,1022.37,533.222
6.53,186.357,-1904.125,138.549,341.497,-2282.537,687.041,-1806.9,1020.83,-30.043,-1876.84,998.715,542.925
