Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.91,48.96,-1816.007,228.937,245.868,-1222.232,90.476,-1162.42,1198.92,107.07,-1378.37,1083.79,355.505
4.92,45.72,-1794.653,237.379,243.921,-1215.904,88.78,-1142.06,1190.03,104.208,-1353.3,1077.84,355.413
4.93,42.722,-1771.012,245.234,242.301,-1211.38,87.64,-1121.67,1179.5,100.404,-1327.01,1070.97,355.009
4.94,40.016,-1745.02,252.319,240.941,-1208.184,87.08,-1101.31,1167.52,95.669,-1299.48,1063.41,354.282
4.95,37.637,-1716.704,258.458,239.776,-1205.915,87.033,-1081.03,1154.29,90.037,-1270.69,1055.44,353.197
4.96,35.609,-1686.161,263.497,238.747,-1204.265,87.371,-1061.01,1140.08,83.558,-1240.65,1047.44,351.7
4.97,33.939,-1653.544,267.301,237.817,-1203.014,87.947,-1041.42,1125.25,76.32,-1209.41,1039.85,349.716
4.98,32.619,-1619.042,269.761,236.97,-1202.019,88.629,-1022.43,1110.19,68.442,-1177.07,1033.18,347.159
4.99,31.63,-1582.866,270.794,236.209,-1201.192,89.318,-1004.25,1095.33,60.07,-1143.75,1027.92,343.942
5.0,30.946,-1545.232,270.346,235.542,-1200.483,89.956,-987.049,1081.16,51.373,-1109.66,1024.56,340.0
5.01,30.536,-1506.348,268.389,234.975,-1199.86,90.521,-970.946,1068.17,42.532,-1075.02,1023.51,335.292
5.02,30.371,-1466.399,264.919,234.509,-1199.297,91.027,-955.986,1056.77,33.737,-1040.1,1025.05,329.808
5.03,30.435,-1425.533,259.957,234.144,-1198.77,91.51,-942.131,1047.36,25.172,-1005.19,1029.33,323.573
5.04,30.724,-1383.844,253.545,233.881,-1198.253,92.032,-929.261,1040.16,16.997,-970.554,1036.31,316.638
5.05,31.248,-1341.37,245.749,233.73,-1197.712,92.67,-917.19,1035.27,9.34,-936.461,1045.83,309.091
5.06,32.033,-1298.093,236.664,233.704,-1197.104,93.52,-905.677,1032.65,2.275,-903.139,1057.6,301.036
5.07,33.108,-1253.944,226.419,233.822,-1196.365,94.689,-894.482,1032.14,-4.174,-870.762,1071.21,292.592
5.08,34.501,-1208.821,215.183,234.094,-1195.411,96.286,-883.365,1033.49,-10.02,-839.447,1086.25,283.88
5.09,36.231,-1162.606,203.176,234.521,-1194.131,98.417,-872.122,1036.39,-15.31,-809.253,1102.26,275.016
5.1,38.298,-1115.187,190.669,235.084,-1192.396,101.166,-860.586,1040.56,-20.102,-780.187,1118.84,266.114
5.11,40.686,-1066.484,177.983,235.753,-1190.065,104.592,-848.629,1045.7,-24.464,-752.207,1135.6,257.28
5.12,43.356,-1016.48,165.478,236.49,-1186.988,108.72,-836.159,1051.55,-28.468,-725.256,1152.21,248.607
5.13,46.256,-965.246,153.54,237.26,-1183.023,113.536,-823.113,1057.86,-32.179,-699.264,1168.41,240.173
5.14,49.327,-912.978,142.55,238.045,-1178.039,118.989,-809.448,1064.44,-35.653,-674.17,1183.96,232.037
5.15,52.511,-860.022,132.851,238.854,-1171.934,124.994,-795.145,1071.07,-38.933,-649.921,1198.64,224.244
5.16,55.759,-806.892,124.711,239.725,-1164.637,131.439,-780.194,1077.6,-42.053,-626.469,1212.27,216.825
5.17,59.03,-754.256,118.278,240.72,-1156.118,138.197,-764.6,1083.84,-45.039,-603.773,1224.69,209.81
5.18,62.292,-702.913,113.557,241.92,-1146.391,145.135,-748.378,1089.67,-47.915,-581.788,1235.72,203.238
5.19,65.51,-653.723,110.395,243.401,-1135.509,152.132,-731.551,1094.93,-50.697,-560.459,1245.24,197.151
5.2,68.636,-607.536,108.497,245.226,-1123.559,159.09,-714.141,1099.5,-53.397,-539.729,1253.11,191.602
5.21,71.613,-565.104,107.465,247.428,-1110.648,165.948,-696.162,1103.27,-56.018,-519.525,1259.24,186.639
5.22,74.373,-527.004,106.856,250.006,-1096.88,172.687,-677.62,1106.17,-58.549,-499.764,1263.53,182.307
5.23,76.857,-493.591,106.25,252.916,-1082.338,179.328,-658.508,1108.08,-60.972,-480.35,1265.89,178.637
5.24,79.023,-464.975,105.316,256.077,-1067.057,185.928,-638.801,1108.96,-63.255,-461.175,1266.27,175.655
5.25,80.861,-441.03,103.861,259.378,-1051.012,192.561,-618.46,1108.77,-65.364,-442.119,1264.64,173.377
5.26,82.393,-421.432,101.855,262.691,-1034.108,199.302,-597.436,1107.46,-67.256,-423.064,1260.97,171.821
5.27,83.663,-405.713,99.423,265.892,-1016.183,206.202,-575.677,1105.0,-68.883,-403.898,1255.29,170.994
5.28,84.734,-393.331,96.809,268.877,-997.026,213.272,-553.124,1101.41,-70.197,-384.533,1247.63,170.904
5.29,85.67,-383.731,94.299,271.572,-976.403,220.469,-529.721,1096.69,-71.143,-364.919,1238.03,171.556
5.3,86.53,-376.394,92.154,273.942,-954.089,227.694,-505.416,1090.87,-71.665,-345.054,1226.57,172.952
