Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.79,124.95,-1414.719,597.642,258.269,-550.518,113.053,-487.997,1165.17,124.135,-761.503,1082.94,549.105
4.8,125.313,-1336.26,623.213,253.682,-532.387,109.262,-444.004,1158.01,117.61,-702.788,1072.94,552.691
4.81,124.495,-1253.553,643.77,249.668,-519.415,106.812,-400.53,1149.83,110.108,-641.905,1062.22,555.429
4.82,122.445,-1167.9,658.887,246.309,-510.506,105.643,-357.673,1140.89,101.792,-578.944,1051.33,557.103
4.83,119.191,-1080.673,668.427,243.645,-504.645,105.528,-315.538,1131.47,92.852,-514.067,1040.85,557.502
4.84,114.85,-993.207,672.527,241.647,-500.931,106.151,-274.237,1121.91,83.512,-447.508,1031.35,556.414
4.85,109.629,-906.687,671.537,240.219,-498.622,107.235,-233.872,1112.63,74.018,-379.592,1023.33,553.642
4.86,103.805,-822.044,665.933,239.248,-497.131,108.617,-194.519,1104.03,64.624,-310.726,1017.2,549.045
4.87,97.687,-739.868,656.22,238.65,-496.003,110.283,-156.173,1096.57,55.565,-241.394,1013.25,542.566
4.88,91.584,-660.349,642.841,238.405,-494.87,112.35,-118.738,1090.59,47.022,-172.122,1011.66,534.261
4.89,85.781,-583.255,626.132,238.559,-493.397,115.036,-82.02,1086.35,39.113,-103.44,1012.48,524.284
4.9,80.531,-507.975,606.326,239.223,-491.241,118.619,-45.794,1083.92,31.899,-35.833,1015.62,512.89
4.91,76.045,-433.603,583.601,240.54,-488.018,123.396,-9.818,1083.24,25.394,30.303,1020.94,500.402
4.92,72.498,-359.067,558.147,242.658,-483.31,129.637,26.143,1084.13,19.576,94.66,1028.18,487.185
4.93,70.026,-283.269,530.234,245.701,-476.681,137.571,62.304,1086.34,14.39,157.042,1037.05,473.603
4.94,68.734,-205.225,500.248,249.739,-467.721,147.365,98.856,1089.61,9.763,217.36,1047.16,460.01
4.95,68.7,-124.178,468.692,254.756,-456.104,159.142,135.944,1093.65,5.609,275.648,1058.09,446.739
4.96,69.975,-39.682,436.147,260.623,-441.641,172.995,173.654,1098.2,1.844,332.044,1069.4,434.093
4.97,72.575,48.358,403.213,267.084,-424.31,189.017,212.014,1103.05,-1.604,386.762,1080.59,422.336
4.98,76.474,139.692,370.462,273.764,-404.238,207.314,251.003,1107.97,-4.799,440.061,1091.19,411.698
4.99,81.597,233.751,338.416,280.203,-381.623,227.992,290.584,1112.76,-7.795,492.214,1100.74,402.366
5.0,87.814,329.671,307.554,285.938,-356.625,251.106,330.713,1117.21,-10.638,543.48,1108.8,394.497
5.01,94.951,426.304,278.318,290.59,-329.236,276.597,371.384,1121.14,-13.366,594.081,1114.99,388.233
5.02,102.791,522.226,251.106,293.933,-299.199,304.241,412.623,1124.36,-16.002,644.196,1119.04,383.684
5.03,111.091,615.779,226.246,295.916,-266.013,333.635,454.502,1126.7,-18.555,693.923,1120.72,380.938
5.04,119.605,705.149,203.951,296.649,-229.02,364.224,497.136,1128.01,-21.019,743.273,1119.92,380.034
5.05,128.106,788.496,184.253,296.357,-187.521,395.336,540.67,1128.17,-23.37,792.168,1116.62,380.96
5.06,136.413,864.151,166.97,295.329,-140.906,426.212,585.262,1127.07,-25.573,840.454,1110.9,383.655
5.07,144.397,930.822,151.737,293.873,-88.761,456.033,631.069,1124.66,-27.584,887.937,1102.9,388.013
5.08,151.977,987.779,138.116,292.295,-30.949,483.959,678.22,1120.89,-29.352,934.41,1092.9,393.899
5.09,159.098,1034.951,125.772,290.897,32.367,509.18,726.812,1115.78,-30.818,979.678,1081.17,401.163
5.1,165.705,1072.908,114.6,289.982,100.749,530.962,776.916,1109.39,-31.924,1023.57,1068.05,409.636
5.11,171.728,1102.702,104.772,289.857,173.54,548.708,828.573,1101.81,-32.612,1065.95,1053.89,419.124
5.12,177.081,1125.63,96.642,290.822,249.944,561.98,881.809,1093.18,-32.832,1106.67,1039.04,429.431
5.13,181.668,1142.972,90.557,293.142,329.095,570.521,936.646,1083.71,-32.53,1145.7,1023.88,440.348
5.14,185.419,1155.806,86.634,296.997,410.107,574.251,993.076,1073.65,-31.634,1182.96,1008.78,451.652
5.15,188.339,1164.993,84.638,302.437,492.132,573.255,1051.08,1063.34,-30.051,1218.44,994.138,463.096
5.16,190.52,1171.271,84.057,309.347,574.406,567.773,1110.57,1053.25,-27.655,1252.19,980.313,474.416
5.17,192.09,1175.337,84.333,317.453,656.306,558.163,1171.44,1043.93,-24.297,1284.27,967.681,485.334
5.18,193.163,1177.859,85.064,326.352,737.413,544.858,1233.42,1036.03,-19.817,1314.86,956.61,495.578
