Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.11,117.424,-3685.25,714.733,279.098,-2885.703,179.571,-2772.06,1203.22,224.035,-3257.18,1113.19,482.764
5.12,115.479,-3615.371,730.854,275.85,-2865.29,172.384,-2737.43,1172.09,212.828,-3194.26,1092.74,482.697
5.13,113.035,-3542.755,742.666,273.143,-2848.878,166.901,-2703.99,1141.0,198.523,-3128.46,1072.09,483.282
5.14,110.028,-3468.359,749.911,270.996,-2836.125,163.236,-2672.19,1110.91,181.168,-3059.75,1052.19,484.428
5.15,106.424,-3393.083,752.595,269.314,-2826.555,161.222,-2642.25,1082.9,161.024,-2988.0,1034.14,485.957
5.16,102.24,-3317.783,750.93,267.947,-2819.646,160.476,-2614.28,1058.06,138.545,-2913.16,1019.16,487.609
5.17,97.556,-3243.251,745.262,266.765,-2814.884,160.546,-2588.19,1037.4,114.358,-2835.33,1008.47,489.062
5.18,92.516,-3170.159,736.002,265.699,-2811.784,161.045,-2563.77,1021.75,89.204,-2755.01,1003.1,489.958
5.19,87.311,-3098.982,723.56,264.744,-2809.889,161.736,-2540.72,1011.58,63.845,-2672.99,1003.86,489.942
5.2,82.161,-3029.926,708.292,263.933,-2808.758,162.563,-2518.62,1007.0,39.001,-2590.42,1011.14,488.714
5.21,77.295,-2962.894,690.487,263.305,-2807.959,163.636,-2497.07,1007.75,15.285,-2508.63,1024.81,486.066
5.22,72.926,-2897.49,670.363,262.884,-2807.063,165.199,-2475.69,1013.28,-6.836,-2428.92,1044.27,481.902
5.23,69.24,-2833.086,648.104,262.686,-2805.631,167.602,-2454.16,1022.84,-27.032,-2352.39,1068.44,476.238
5.24,66.373,-2768.912,623.891,262.735,-2803.207,171.268,-2432.24,1035.61,-45.104,-2279.81,1096.01,469.187
5.25,64.403,-2704.163,597.933,263.059,-2799.328,176.649,-2409.73,1050.73,-60.972,-2211.52,1125.49,460.939
5.26,63.351,-2638.089,570.49,263.687,-2793.567,184.167,-2386.48,1067.4,-74.629,-2147.51,1155.42,451.728
5.27,63.177,-2570.082,541.868,264.64,-2785.599,194.162,-2362.4,1084.91,-86.115,-2087.42,1184.44,441.815
5.28,63.794,-2499.717,512.415,265.939,-2775.268,206.848,-2337.44,1102.68,-95.506,-2030.68,1211.4,431.455
5.29,65.07,-2426.781,482.496,267.61,-2762.612,222.311,-2311.55,1120.2,-102.905,-1976.64,1235.35,420.88
5.3,66.865,-2351.263,452.472,269.661,-2747.845,240.539,-2284.71,1137.08,-108.457,-1924.58,1255.6,410.286
5.31,69.056,-2273.346,422.687,272.027,-2731.296,261.46,-2256.94,1153.02,-112.337,-1873.91,1271.63,399.841
5.32,71.559,-2193.387,393.467,274.541,-2713.305,284.974,-2228.23,1167.74,-114.746,-1824.12,1283.19,389.675
5.33,74.325,-2111.909,365.137,276.977,-2694.087,310.95,-2198.6,1181.03,-115.899,-1774.89,1290.17,379.901
5.34,77.333,-2029.599,338.026,279.13,-2673.61,339.203,-2168.07,1192.68,-116.008,-1726.04,1292.59,370.613
5.35,80.581,-1947.303,312.47,280.873,-2651.559,369.474,-2136.61,1202.47,-115.284,-1677.55,1290.59,361.912
5.36,84.059,-1866.02,288.782,282.165,-2627.387,401.425,-2104.21,1210.19,-113.908,-1629.56,1284.4,353.922
5.37,87.743,-1786.878,267.211,283.036,-2600.426,434.654,-2070.75,1215.61,-112.05,-1582.26,1274.27,346.791
5.38,91.597,-1711.082,247.888,283.559,-2569.979,468.712,-2036.09,1218.47,-109.855,-1535.96,1260.48,340.665
5.39,95.581,-1639.839,230.776,283.816,-2535.392,503.105,-2000.0,1218.56,-107.444,-1490.98,1243.33,335.679
5.4,99.667,-1574.257,215.659,283.882,-2496.095,537.295,-1962.14,1215.69,-104.93,-1447.67,1223.11,331.958
5.41,103.846,-1515.225,202.167,283.809,-2451.648,570.695,-1922.13,1209.75,-102.406,-1406.37,1200.19,329.615
5.42,108.128,-1463.32,189.858,283.624,-2401.781,602.684,-1879.49,1200.74,-99.955,-1367.39,1174.87,328.769
5.43,112.516,-1418.753,178.326,283.337,-2346.42,632.621,-1833.74,1188.82,-97.648,-1331.06,1147.58,329.532
5.44,116.977,-1381.361,167.314,282.95,-2285.701,659.883,-1784.36,1174.34,-95.541,-1297.62,1118.69,332.018
5.45,121.423,-1350.654,156.788,282.47,-2219.953,683.896,-1730.93,1157.79,-93.671,-1267.31,1088.63,336.33
5.46,125.71,-1325.885,146.949,281.917,-2149.671,704.169,-1673.09,1139.85,-92.055,-1240.31,1057.86,342.554
5.47,129.664,-1306.174,138.18,281.348,-2075.494,720.331,-1610.63,1121.38,-90.684,-1216.76,1026.92,350.745
5.48,133.117,-1290.632,130.93,280.87,-1998.188,732.161,-1543.51,1103.39,-89.5,-1196.76,996.415,360.913
5.49,135.965,-1278.491,125.544,280.632,-1918.644,739.617,-1471.86,1086.96,-88.397,-1180.27,967.054,372.981
5.5,138.201,-1269.138,122.106,280.788,-1837.865,742.836,-1396.06,1073.26,-87.209,-1167.16,939.666,386.762
