Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.08,75.034,-1557.147,323.507,244.181,-939.558,94.079,-827.763,1256.76,70.368,-1015.45,1094.79,372.435
4.09,72.623,-1514.67,333.814,240.851,-927.583,92.457,-800.972,1241.96,68.166,-974.694,1087.79,372.975
4.1,70.408,-1469.397,341.839,237.805,-919.159,91.113,-774.687,1225.38,65.022,-932.868,1080.58,373.041
4.11,68.39,-1421.536,347.257,235.124,-913.654,90.108,-749.041,1207.54,60.935,-890.078,1073.54,372.512
4.12,66.568,-1371.33,349.815,232.877,-910.437,89.46,-724.162,1189.08,55.944,-846.436,1067.12,371.263
4.13,64.945,-1319.042,349.355,231.107,-908.902,89.166,-700.159,1170.7,50.127,-802.086,1061.82,369.165
4.14,63.541,-1264.922,345.822,229.817,-908.499,89.214,-677.1,1153.13,43.606,-757.199,1058.1,366.109
4.15,62.393,-1209.195,339.27,228.975,-908.746,89.61,-654.996,1137.08,36.537,-711.972,1056.45,362.006
4.16,61.554,-1152.039,329.862,228.52,-909.235,90.396,-633.787,1123.18,29.105,-666.638,1057.22,356.81
4.17,61.093,-1093.58,317.862,228.377,-909.623,91.655,-613.345,1111.93,21.508,-621.442,1060.67,350.519
4.18,61.082,-1033.888,303.624,228.475,-909.619,93.511,-593.473,1103.62,13.942,-576.644,1066.91,343.184
4.19,61.582,-972.984,287.573,228.754,-908.97,96.115,-573.928,1098.4,6.586,-532.497,1075.88,334.906
4.2,62.637,-910.861,270.19,229.178,-907.447,99.627,-554.437,1096.17,-0.414,-489.227,1087.39,325.83
4.21,64.257,-847.503,251.985,229.738,-904.839,104.192,-534.728,1096.7,-6.95,-447.027,1101.12,316.137
4.22,66.413,-782.91,233.483,230.444,-900.953,109.916,-514.548,1099.6,-12.958,-406.041,1116.62,306.028
4.23,69.035,-717.127,215.2,231.327,-895.617,116.856,-493.684,1104.4,-18.407,-366.356,1133.41,295.715
4.24,72.019,-650.273,197.629,232.426,-888.695,125.006,-471.966,1110.6,-23.303,-328.004,1150.96,285.4
4.25,75.234,-582.557,181.216,233.787,-880.093,134.303,-449.272,1117.67,-27.67,-290.968,1168.77,275.273
4.26,78.541,-514.299,166.347,235.446,-869.768,144.631,-425.522,1125.16,-31.546,-255.188,1186.35,265.502
4.27,81.808,-445.929,153.325,237.434,-857.726,155.834,-400.669,1132.66,-34.971,-220.571,1203.26,256.232
4.28,84.928,-377.99,142.349,239.764,-844.018,167.727,-374.69,1139.82,-37.986,-187.0,1219.15,247.58
4.29,87.829,-311.112,133.497,242.434,-828.724,180.112,-347.577,1146.36,-40.625,-154.34,1233.71,239.645
4.3,90.482,-245.989,126.717,245.424,-811.936,192.784,-319.327,1152.09,-42.912,-122.449,1246.68,232.499
4.31,92.903,-183.335,121.821,248.706,-793.741,205.538,-289.942,1156.81,-44.868,-91.183,1257.84,226.197
4.32,95.142,-123.846,118.505,252.243,-774.201,218.178,-259.424,1160.45,-46.505,-60.394,1267.05,220.777
4.33,97.27,-68.152,116.374,255.994,-753.343,230.518,-227.781,1162.88,-47.832,-29.945,1274.15,216.255
4.34,99.367,-16.776,114.988,259.922,-731.155,242.387,-195.021,1164.07,-48.858,0.293,1279.05,212.635
4.35,101.5,29.889,113.913,263.993,-707.586,253.634,-161.162,1163.97,-49.593,30.433,1281.63,209.903
4.36,103.716,71.605,112.771,268.178,-682.549,264.132,-126.231,1162.56,-50.049,60.571,1281.86,208.039
4.37,106.029,108.284,111.289,272.451,-655.941,273.775,-90.266,1159.84,-50.242,90.778,1279.68,207.01
4.38,108.42,139.985,109.324,276.785,-627.642,282.484,-53.311,1155.83,-50.187,121.099,1275.06,206.783
4.39,110.843,166.89,106.865,281.154,-597.535,290.198,-15.418,1150.59,-49.898,151.548,1268.04,207.323
4.4,113.235,189.284,104.023,285.526,-565.507,296.869,23.36,1144.2,-49.383,182.106,1258.68,208.597
4.41,115.524,207.529,100.99,289.868,-531.462,302.455,62.972,1136.81,-48.64,212.721,1247.11,210.577
4.42,117.649,222.04,97.995,294.14,-495.328,306.909,103.371,1128.63,-47.658,243.304,1233.54,213.235
4.43,119.565,233.263,95.257,298.296,-457.055,310.172,144.513,1119.93,-46.408,273.736,1218.27,216.549
4.44,121.249,241.662,92.945,302.291,-416.631,312.172,186.356,1111.06,-44.852,303.874,1201.74,220.49
4.45,122.706,247.693,91.158,306.076,-374.076,312.821,228.853,1102.46,-42.939,333.56,1184.44,225.019
4.46,123.956,251.797,89.921,309.602,-329.445,312.024,271.943,1094.59,-40.615,362.635,1166.99,230.093
4.47,125.032,254.387,89.199,312.825,-282.823,309.686,315.544,1087.96,-37.824,390.954,1150.04,235.642
