Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
9.55,135.037,-1848.842,465.861,278.14,-1125.852,112.399,-1087.55,1109.68,69.352,-1414.01,930.95,530.575
9.56,134.673,-1796.825,474.564,276.833,-1112.924,108.569,-1063.16,1085.03,60.889,-1354.53,912.442,527.369
9.57,133.556,-1742.067,480.386,275.783,-1103.198,105.605,-1040.39,1059.33,51.164,-1291.91,894.179,523.094
9.58,131.678,-1684.972,483.259,274.969,-1096.088,103.499,-1019.18,1033.26,40.254,-1226.46,877.036,517.567
9.59,129.06,-1625.962,483.195,274.363,-1091.045,102.174,-999.462,1007.59,28.3,-1158.56,861.902,510.623
9.6,125.754,-1565.455,480.272,273.934,-1087.584,101.504,-981.076,983.113,15.533,-1088.74,849.625,502.131
9.61,121.838,-1503.836,474.607,273.65,-1085.298,101.349,-963.793,960.622,2.262,-1017.61,840.959,492.015
9.62,117.409,-1441.427,466.349,273.487,-1083.85,101.583,-947.334,940.836,-11.153,-945.881,836.51,480.27
9.63,112.574,-1378.463,455.662,273.427,-1082.96,102.125,-931.373,924.352,-24.322,-874.296,836.688,466.975
9.64,107.442,-1315.068,442.719,273.463,-1082.384,102.954,-915.562,911.603,-36.859,-803.629,841.68,452.291
9.65,102.114,-1251.247,427.702,273.593,-1081.891,104.119,-899.552,902.821,-48.416,-734.617,851.444,436.456
9.66,96.684,-1186.896,410.805,273.829,-1081.247,105.734,-883.024,898.032,-58.709,-667.924,865.704,419.767
9.67,91.235,-1121.812,392.242,274.185,-1080.201,107.965,-865.702,897.056,-67.535,-604.1,883.989,402.56
9.68,85.849,-1055.727,372.255,274.686,-1078.484,111.012,-847.383,899.542,-74.781,-543.559,905.66,385.179
9.69,80.607,-988.353,351.132,275.356,-1075.808,115.08,-827.93,905.001,-80.421,-486.557,929.96,367.953
9.7,75.6,-919.422,329.209,276.216,-1071.888,120.362,-807.277,912.854,-84.504,-433.19,956.07,351.177
9.71,70.931,-848.742,306.876,277.281,-1066.458,127.017,-785.423,922.484,-87.136,-383.406,983.147,335.097
9.72,66.715,-776.238,284.569,278.551,-1059.302,135.155,-762.408,933.277,-88.465,-337.019,1010.37,319.9
9.73,63.074,-701.99,262.759,280.01,-1050.275,144.837,-738.298,944.656,-88.656,-293.739,1036.98,305.716
9.74,60.122,-626.258,241.925,281.625,-1039.319,156.076,-713.165,956.103,-87.881,-253.195,1062.31,292.627
9.75,57.956,-549.492,222.517,283.342,-1026.464,168.845,-687.067,967.173,-86.305,-214.971,1085.76,280.665
9.76,56.639,-472.322,204.922,285.097,-1011.813,183.088,-660.041,977.495,-84.083,-178.631,1106.86,269.827
9.77,56.189,-395.532,189.423,286.818,-995.512,198.727,-632.085,986.767,-81.358,-143.749,1125.22,260.092
9.78,56.575,-320.017,176.163,288.435,-977.708,215.669,-603.158,994.743,-78.261,-109.924,1140.54,251.413
9.79,57.717,-246.726,165.129,289.886,-958.507,233.8,-573.181,1001.24,-74.915,-76.801,1152.64,243.744
9.8,59.497,-176.603,156.147,291.128,-937.936,252.984,-542.038,1006.09,-71.442,-44.079,1161.37,237.038
9.81,61.777,-110.52,148.908,292.142,-915.922,273.052,-509.582,1009.18,-67.959,-11.518,1166.67,231.254
9.82,64.407,-49.225,142.999,292.931,-892.288,293.792,-475.651,1010.43,-64.583,21.059,1168.48,226.37
9.83,67.25,6.709,137.967,293.522,-866.766,314.944,-440.074,1009.76,-61.43,53.772,1166.87,222.372
9.84,70.188,56.905,133.379,293.957,-839.032,336.201,-402.683,1007.17,-58.605,86.674,1161.86,219.278
9.85,73.133,101.192,128.884,294.294,-808.745,357.208,-363.326,1002.69,-56.203,119.771,1153.56,217.122
9.86,76.027,139.598,124.256,294.595,-775.59,377.577,-321.872,996.378,-54.294,153.005,1142.1,215.968
9.87,78.839,172.323,119.418,294.925,-739.32,396.9,-278.224,988.394,-52.923,186.281,1127.67,215.899
9.88,81.559,199.704,114.435,295.345,-699.777,414.772,-232.322,978.925,-52.098,219.455,1110.48,217.016
9.89,84.183,222.182,109.482,295.914,-656.912,430.812,-184.146,968.239,-51.785,252.351,1090.85,219.429
9.9,86.71,240.261,104.795,296.684,-610.789,444.682,-133.719,956.672,-51.903,284.76,1069.1,223.252
9.91,89.132,254.478,100.614,297.697,-561.58,456.107,-81.112,944.626,-52.324,316.46,1045.73,228.572
9.92,91.428,265.375,97.131,298.989,-509.546,464.88,-26.439,932.57,-52.875,347.221,1021.23,235.457
9.93,93.563,273.485,94.46,300.584,-455.022,470.873,30.139,921.029,-53.34,376.822,996.223,243.924
9.94,95.499,279.311,92.624,302.495,-398.389,474.03,88.414,910.566,-53.482,405.069,971.401,253.93
