Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
10.05,209.728,-3435.36,438.167,368.236,-2777.536,174.961,-2685.52,1023.83,198.539,-3205.18,935.825,654.302
10.06,209.501,-3379.79,450.37,366.151,-2763.961,169.455,-2662.24,987.612,177.645,-3140.29,915.495,656.371
10.07,209.168,-3320.825,458.791,363.992,-2754.017,165.246,-2643.89,952.172,154.022,-3071.76,895.512,657.597
10.08,208.615,-3259.078,463.203,361.83,-2746.826,162.399,-2630.72,919.109,128.449,-2999.8,877.052,657.507
10.09,207.777,-3195.148,463.504,359.773,-2741.711,160.791,-2622.55,889.848,101.878,-2924.77,861.316,655.601
10.1,206.661,-3129.548,459.693,357.914,-2738.135,160.164,-2618.84,865.544,75.352,-2847.23,849.476,651.391
10.11,205.346,-3062.664,451.869,356.311,-2735.655,160.232,-2618.72,847.021,49.907,-2767.93,842.567,644.45
10.12,203.954,-2994.721,440.25,354.983,-2733.91,160.766,-2621.04,834.731,26.462,-2687.85,841.408,634.484
10.13,202.638,-2925.768,425.161,353.941,-2732.597,161.638,-2624.53,828.728,5.724,-2608.1,846.523,621.391
10.14,201.582,-2855.681,407.019,353.198,-2731.457,162.829,-2627.98,828.697,-11.873,-2529.9,858.108,605.285
10.15,200.98,-2784.209,386.319,352.772,-2730.248,164.43,-2630.36,834.018,-26.179,-2454.45,876.016,586.496
10.16,200.986,-2711.057,363.653,352.684,-2728.712,166.632,-2630.9,843.868,-37.295,-2382.87,899.762,565.55
10.17,201.657,-2635.991,339.716,352.943,-2726.55,169.696,-2629.15,857.327,-45.511,-2316.06,928.552,543.135
10.18,202.948,-2558.936,315.28,353.527,-2723.396,173.909,-2624.88,873.456,-51.233,-2254.66,961.321,520.038
10.19,204.728,-2480.051,291.15,354.384,-2718.842,179.557,-2618.01,891.344,-54.924,-2198.96,996.784,497.086
10.2,206.822,-2399.777,268.102,355.452,-2712.469,186.889,-2608.51,910.123,-57.044,-2148.92,1033.51,475.085
10.21,209.061,-2318.87,246.819,356.669,-2703.902,196.093,-2596.27,928.959,-58.014,-2104.09,1069.94,454.78
10.22,211.31,-2238.404,227.841,357.997,-2692.844,207.279,-2581.21,947.046,-58.193,-2063.73,1104.53,436.821
10.23,213.485,-2159.723,211.523,359.429,-2679.079,220.475,-2563.15,963.587,-57.883,-2026.8,1135.72,421.75
10.24,215.561,-2084.341,197.997,360.99,-2662.441,235.638,-2541.89,977.821,-57.351,-1992.11,1162.12,409.983
10.25,217.567,-2013.796,187.154,362.708,-2642.744,252.676,-2517.22,989.057,-56.844,-1958.4,1182.52,401.801
10.26,219.582,-1949.475,178.646,364.575,-2619.702,271.435,-2488.93,996.699,-56.578,-1924.56,1196.0,397.335
10.27,221.707,-1892.458,171.949,366.535,-2592.918,291.655,-2456.85,1000.32,-56.723,-1889.76,1201.93,396.578
10.28,224.035,-1843.388,166.46,368.506,-2561.935,312.911,-2420.76,999.675,-57.388,-1853.6,1200.02,399.408
10.29,226.612,-1802.407,161.645,370.414,-2526.357,334.593,-2380.54,994.705,-58.606,-1816.16,1190.28,405.632
10.3,229.419,-1769.18,157.152,372.207,-2485.957,355.948,-2336.04,985.552,-60.317,-1777.96,1173.06,415.02
10.31,232.382,-1742.986,152.874,373.862,-2440.726,376.176,-2287.17,972.568,-62.367,-1739.92,1148.97,427.304
10.32,235.381,-1722.846,148.911,375.41,-2390.865,394.51,-2233.9,956.312,-64.517,-1703.21,1118.93,442.195
10.33,238.275,-1707.679,145.472,376.949,-2336.759,410.277,-2176.24,937.534,-66.449,-1669.1,1084.14,459.344
10.34,240.936,-1696.439,142.759,378.631,-2278.957,422.944,-2114.29,917.144,-67.784,-1638.78,1046.04,478.334
10.35,243.284,-1688.218,140.879,380.615,-2218.147,432.152,-2048.2,896.192,-68.087,-1613.2,1006.3,498.642
10.36,245.298,-1682.275,139.802,383.012,-2155.075,437.718,-1978.22,875.822,-66.888,-1592.95,966.689,519.633
10.37,246.99,-1678.018,139.379,385.859,-2090.458,439.611,-1904.72,857.231,-63.718,-1578.14,929.037,540.557
10.38,248.386,-1674.989,139.409,389.102,-2024.895,437.921,-1828.2,841.597,-58.151,-1568.35,895.025,560.646
10.39,249.505,-1672.841,139.706,392.609,-1958.802,432.823,-1749.32,830.015,-49.852,-1562.72,866.067,579.23
10.4,250.353,-1671.309,140.144,396.177,-1892.385,424.541,-1668.97,823.413,-38.611,-1560.03,843.163,595.798
10.41,250.922,-1670.189,140.686,399.559,-1825.647,413.317,-1588.15,822.495,-24.361,-1558.91,826.81,610.025
10.42,251.199,-1669.301,141.388,402.51,-1758.431,399.408,-1508.01,827.67,-7.205,-1558.06,817.013,621.791
10.43,251.172,-1668.452,142.407,404.835,-1690.476,383.105,-1429.75,839.026,12.595,-1556.37,813.345,631.21
10.44,250.833,-1667.406,143.989,406.417,-1621.479,364.759,-1354.52,856.301,34.611,-1553.01,815.068,638.574
