Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
10.05,-198.247,-3215.281,393.986,-40.222,-2543.376,118.827,-2376.52,1086.86,-226.945,-2664.81,1016.92,109.104
10.06,-199.955,-3181.524,406.802,-43.669,-2530.762,116.66,-2351.57,1075.26,-231.127,-2631.6,1007.05,112.29
10.07,-201.599,-3144.928,418.568,-46.683,-2520.708,115.208,-2327.28,1061.77,-236.201,-2597.1,996.607,115.589
10.08,-203.177,-3105.878,428.833,-49.222,-2513.061,114.44,-2304.13,1046.68,-242.134,-2561.59,986.01,118.859
10.09,-204.709,-3064.74,437.227,-51.322,-2507.477,114.213,-2282.43,1030.46,-248.854,-2525.19,975.753,121.945
10.1,-206.234,-3021.879,443.447,-53.039,-2503.55,114.354,-2262.41,1013.61,-256.257,-2487.98,966.354,124.682
10.11,-207.799,-2977.672,447.26,-54.408,-2500.884,114.728,-2244.23,996.752,-264.2,-2449.99,958.314,126.907
10.12,-209.456,-2932.498,448.491,-55.436,-2499.117,115.259,-2227.9,980.527,-272.518,-2411.28,952.078,128.463
10.13,-211.251,-2886.718,447.025,-56.121,-2497.939,115.937,-2213.43,965.512,-281.034,-2371.97,947.989,129.218
10.14,-213.211,-2840.64,442.805,-56.472,-2497.087,116.804,-2200.63,952.196,-289.579,-2332.19,946.259,129.08
10.15,-215.347,-2794.477,435.819,-56.521,-2496.326,117.953,-2189.33,940.922,-298.0,-2292.12,946.964,128.01
10.16,-217.646,-2748.306,426.099,-56.317,-2495.442,119.512,-2179.25,931.875,-306.177,-2251.96,950.049,126.029
10.17,-220.083,-2702.052,413.727,-55.918,-2494.22,121.631,-2170.11,925.096,-314.016,-2211.9,955.335,123.204
10.18,-222.631,-2655.49,398.84,-55.381,-2492.437,124.469,-2161.63,920.499,-321.458,-2172.07,962.545,119.646
10.19,-225.274,-2608.282,381.648,-54.754,-2489.866,128.16,-2153.57,917.9,-328.471,-2132.64,971.337,115.488
10.2,-228.009,-2560.031,362.439,-54.069,-2486.298,132.797,-2145.69,917.041,-335.046,-2093.72,981.334,110.883
10.21,-230.854,-2510.332,341.574,-53.34,-2481.563,138.406,-2137.79,917.619,-341.194,-2055.39,992.159,105.986
10.22,-233.841,-2458.826,319.473,-52.559,-2475.549,144.95,-2129.69,919.309,-346.934,-2017.72,1003.45,100.949
10.23,-237.004,-2405.242,296.599,-51.705,-2468.218,152.339,-2121.26,921.789,-352.293,-1980.75,1014.89,95.915
10.24,-240.378,-2349.428,273.446,-50.739,-2459.608,160.459,-2112.37,924.756,-357.299,-1944.53,1026.18,91.011
10.25,-243.989,-2291.381,250.529,-49.623,-2449.826,169.191,-2102.91,927.94,-361.984,-1909.06,1037.1,86.343
10.26,-247.852,-2231.264,228.378,-48.338,-2439.036,178.423,-2092.8,931.102,-366.381,-1874.34,1047.42,81.997
10.27,-251.956,-2169.435,207.517,-46.906,-2427.435,188.058,-2081.94,934.04,-370.524,-1840.39,1056.96,78.036
10.28,-256.247,-2106.464,188.435,-45.391,-2415.228,198.031,-2070.27,936.579,-374.443,-1807.21,1065.6,74.504
10.29,-260.613,-2043.146,171.538,-43.876,-2402.593,208.305,-2057.69,938.565,-378.17,-1774.82,1073.19,71.435
10.3,-264.89,-1980.496,157.11,-42.433,-2389.637,218.876,-2044.15,939.869,-381.735,-1743.22,1079.63,68.854
10.31,-268.873,-1919.701,145.26,-41.1,-2376.34,229.753,-2029.58,940.376,-385.161,-1712.44,1084.84,66.786
10.32,-272.345,-1862.017,135.898,-39.882,-2362.522,240.93,-2013.88,939.991,-388.478,-1682.46,1088.74,65.258
10.33,-275.11,-1808.641,128.727,-38.757,-2347.865,252.369,-1996.98,938.634,-391.711,-1653.33,1091.27,64.297
10.34,-277.028,-1760.566,123.292,-37.699,-2331.964,264.005,-1978.78,936.247,-394.891,-1625.05,1092.41,63.923
10.35,-278.04,-1718.467,119.07,-36.688,-2314.395,275.763,-1959.2,932.789,-398.048,-1597.63,1092.13,64.148
10.36,-278.188,-1682.65,115.596,-35.721,-2294.761,287.571,-1938.14,928.241,-401.208,-1571.08,1090.43,64.977
10.37,-277.61,-1653.062,112.568,-34.814,-2272.728,299.363,-1915.52,922.604,-404.394,-1545.4,1087.33,66.403
10.38,-276.517,-1629.342,109.882,-33.997,-2248.036,311.051,-1891.24,915.907,-407.597,-1520.61,1082.89,68.414
10.39,-275.142,-1610.901,107.586,-33.314,-2220.513,322.506,-1865.23,908.21,-410.786,-1496.68,1077.15,70.986
10.4,-273.688,-1597.004,105.801,-32.803,-2190.077,333.549,-1837.39,899.611,-413.9,-1473.62,1070.18,74.084
10.41,-272.291,-1586.847,104.628,-32.485,-2156.738,343.949,-1807.65,890.253,-416.853,-1451.46,1062.13,77.666
10.42,-271.018,-1579.621,104.085,-32.358,-2120.6,353.438,-1775.95,880.332,-419.537,-1430.18,1053.09,81.673
10.43,-269.881,-1574.586,104.088,-32.401,-2081.865,361.728,-1742.22,870.113,-421.81,-1409.82,1043.27,86.024
10.44,-268.875,-1571.124,104.493,-32.575,-2040.83,368.533,-1706.4,859.914,-423.513,-1390.41,1032.92,90.615
