Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.99,116.514,-1874.087,386.335,313.683,-1207.588,120.242,-1133.47,1236.81,175.914,-1362.05,1078.42,481.686
7.0,113.504,-1838.346,392.226,311.786,-1192.765,116.291,-1106.82,1216.98,172.094,-1324.21,1068.28,482.663
7.01,110.521,-1800.655,396.048,309.874,-1181.082,113.134,-1080.8,1195.66,167.073,-1285.1,1057.59,483.141
7.02,107.619,-1761.122,397.79,307.905,-1172.225,111.014,-1055.62,1173.44,160.762,-1244.71,1046.78,482.943
7.03,104.857,-1719.862,397.471,305.891,-1165.776,109.948,-1031.53,1150.99,153.124,-1203.1,1036.37,481.86
7.04,102.298,-1677.001,395.133,303.919,-1161.261,109.743,-1008.73,1129.05,144.192,-1160.31,1026.95,479.671
7.05,100.007,-1632.68,390.844,302.119,-1158.208,110.11,-987.409,1108.4,134.08,-1116.47,1019.14,476.176
7.06,98.047,-1587.049,384.69,300.606,-1156.188,110.774,-967.684,1089.79,122.989,-1071.78,1013.57,471.207
7.07,96.482,-1540.258,376.77,299.432,-1154.841,111.543,-949.573,1073.8,111.205,-1026.49,1010.77,464.64
7.08,95.368,-1492.441,367.19,298.585,-1153.89,112.338,-932.973,1060.9,99.071,-980.95,1011.13,456.422
7.09,94.747,-1443.699,356.063,298.021,-1153.125,113.18,-917.656,1051.3,86.945,-935.562,1014.82,446.594
7.1,94.64,-1394.086,343.513,297.684,-1152.375,114.166,-903.283,1045.03,75.152,-890.736,1021.8,435.278
7.11,95.041,-1343.604,329.685,297.528,-1151.487,115.447,-889.456,1041.95,63.936,-846.859,1031.81,422.672
7.12,95.924,-1292.206,314.738,297.536,-1150.307,117.201,-875.77,1041.74,53.446,-804.259,1044.45,409.023
7.13,97.232,-1239.8,298.86,297.727,-1148.67,119.62,-861.883,1043.99,43.752,-763.191,1059.19,394.604
7.14,98.886,-1186.271,282.262,298.144,-1146.385,122.886,-847.51,1048.27,34.88,-723.821,1075.43,379.701
7.15,100.807,-1131.505,265.181,298.831,-1143.245,127.142,-832.451,1054.12,26.811,-686.228,1092.61,364.589
7.16,102.927,-1075.413,247.88,299.818,-1139.033,132.47,-816.564,1061.12,19.502,-650.41,1110.22,349.533
7.17,105.188,-1017.952,230.659,301.116,-1133.557,138.881,-799.767,1068.92,12.894,-616.296,1127.77,334.769
7.18,107.544,-959.155,213.853,302.727,-1126.669,146.318,-782.03,1077.16,6.931,-583.764,1144.85,320.497
7.19,109.974,-899.146,197.816,304.647,-1118.286,154.681,-763.368,1085.51,1.569,-552.665,1161.13,306.879
7.2,112.474,-838.157,182.91,306.864,-1108.402,163.851,-743.824,1093.67,-3.21,-522.827,1176.32,294.043
7.21,115.036,-776.54,169.48,309.348,-1097.081,173.717,-723.45,1101.37,-7.41,-494.063,1190.17,282.089
7.22,117.635,-714.773,157.815,312.039,-1084.448,184.203,-702.294,1108.32,-11.032,-466.188,1202.42,271.083
7.23,120.231,-653.463,148.108,314.854,-1070.67,195.268,-680.362,1114.33,-14.087,-439.007,1212.84,261.074
7.24,122.769,-593.316,140.421,317.701,-1055.926,206.899,-657.627,1119.16,-16.613,-412.334,1221.21,252.091
7.25,125.184,-535.1,134.668,320.512,-1040.361,219.088,-634.012,1122.67,-18.678,-385.989,1227.3,244.153
7.26,127.414,-479.585,130.617,323.253,-1024.045,231.807,-609.392,1124.73,-20.379,-359.798,1230.93,237.281
7.27,129.434,-427.494,127.897,325.923,-1006.923,244.995,-583.629,1125.27,-21.828,-333.6,1231.93,231.504
7.28,131.263,-379.443,126.037,328.553,-988.804,258.548,-556.568,1124.25,-23.138,-307.262,1230.18,226.867
7.29,132.956,-335.897,124.525,331.193,-969.374,272.319,-528.065,1121.67,-24.402,-280.69,1225.62,223.426
7.3,134.577,-297.159,122.894,333.903,-948.265,286.11,-498.001,1117.57,-25.674,-253.839,1218.25,221.241
7.31,136.164,-263.376,120.813,336.737,-925.123,299.679,-466.283,1112.01,-26.961,-226.714,1208.12,220.374
7.32,137.716,-234.569,118.158,339.719,-899.668,312.748,-432.846,1105.09,-28.224,-199.367,1195.39,220.895
7.33,139.188,-210.652,115.041,342.847,-871.708,325.025,-397.65,1096.96,-29.38,-171.899,1180.26,222.871
7.34,140.521,-191.425,111.777,346.092,-841.141,336.227,-360.689,1087.83,-30.317,-144.445,1163.0,226.353
7.35,141.672,-176.519,108.811,349.4,-807.951,346.103,-321.982,1077.95,-30.896,-117.175,1144.03,231.372
7.36,142.643,-165.353,106.595,352.698,-772.191,354.454,-281.575,1067.66,-30.96,-90.284,1123.78,237.938
7.37,143.476,-157.152,105.447,355.892,-733.973,361.132,-239.553,1057.34,-30.334,-63.991,1102.82,246.028
7.38,144.236,-151.097,105.419,358.877,-693.457,366.038,-196.029,1047.48,-28.834,-38.524,1081.79,255.576
