Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.09,111.227,-1564.767,506.26,331.549,-795.468,118.904,-744.721,1113.53,145.725,-1054.61,1014.85,584.931
5.1,109.016,-1516.022,511.679,329.498,-780.634,114.034,-718.049,1089.48,134.94,-1007.13,1002.06,592.131
5.11,106.808,-1465.389,514.087,327.395,-768.959,110.257,-692.942,1065.67,122.714,-957.819,989.349,598.385
5.12,104.678,-1413.107,513.539,325.272,-759.977,107.759,-669.49,1042.89,109.285,-906.57,977.295,603.405
5.13,102.712,-1359.405,510.133,323.176,-753.238,106.5,-647.708,1021.93,94.985,-853.376,966.509,606.913
5.14,100.999,-1304.503,503.997,321.181,-748.317,106.261,-627.525,1003.46,80.228,-798.338,957.572,608.643
5.15,99.622,-1248.601,495.28,319.376,-744.812,106.741,-608.774,988.049,65.48,-741.671,950.997,608.386
5.16,98.645,-1191.865,484.14,317.846,-742.356,107.656,-591.192,976.053,51.222,-683.729,947.188,605.997
5.17,98.097,-1134.407,470.744,316.649,-740.618,108.815,-574.433,967.655,37.9,-624.965,946.405,601.42
5.18,97.977,-1076.264,455.263,315.81,-739.301,110.156,-558.106,962.847,25.889,-565.909,948.749,594.68
5.19,98.245,-1017.391,437.877,315.329,-738.133,111.737,-541.802,961.446,15.455,-507.116,954.162,585.888
5.2,98.844,-957.66,418.776,315.197,-736.848,113.71,-525.148,963.128,6.736,-449.119,962.448,575.215
5.21,99.708,-896.878,398.176,315.414,-735.174,116.281,-507.836,967.461,-0.259,-392.391,973.305,562.887
5.22,100.784,-834.816,376.325,315.991,-732.816,119.664,-489.64,973.949,-5.636,-337.314,986.358,549.166
5.23,102.041,-771.241,353.515,316.944,-729.463,124.052,-470.418,982.075,-9.585,-284.179,1001.19,534.332
5.24,103.487,-705.957,330.092,318.282,-724.794,129.591,-450.108,991.34,-12.349,-233.165,1017.37,518.675
5.25,105.16,-638.844,306.456,319.997,-718.511,136.363,-428.695,1001.3,-14.187,-184.367,1034.49,502.482
5.26,107.128,-569.885,283.062,322.061,-710.372,144.392,-406.199,1011.58,-15.344,-137.804,1052.09,486.035
5.27,109.461,-499.186,260.4,324.422,-700.227,153.653,-382.643,1021.87,-16.037,-93.424,1069.76,469.601
5.28,112.217,-426.987,238.977,327.006,-688.051,164.093,-358.045,1031.91,-16.443,-51.112,1087.09,453.434
5.29,115.418,-353.661,219.278,329.726,-673.945,175.658,-332.401,1041.54,-16.7,-10.711,1103.71,437.768
5.3,119.045,-279.702,201.726,332.481,-658.122,188.308,-305.703,1050.57,-16.911,27.982,1119.2,422.821
5.31,123.038,-205.713,186.64,335.17,-640.853,202.02,-277.93,1058.84,-17.154,65.194,1133.2,408.787
5.32,127.303,-132.383,174.206,337.706,-622.405,216.781,-249.071,1066.2,-17.49,101.171,1145.34,395.84
5.33,131.721,-60.464,164.458,340.022,-602.968,232.572,-219.124,1072.48,-17.975,136.16,1155.33,384.125
5.34,136.162,9.261,157.268,342.089,-582.605,249.354,-188.096,1077.51,-18.657,170.394,1162.86,373.769
5.35,140.497,76.018,152.346,343.915,-561.219,267.058,-155.989,1081.15,-19.587,204.079,1167.75,364.862
5.36,144.627,139.084,149.245,345.546,-538.564,285.575,-122.797,1083.27,-20.809,237.376,1169.85,357.475
5.37,148.49,197.835,147.385,347.061,-514.282,304.752,-88.485,1083.77,-22.358,270.392,1169.08,351.65
5.38,152.081,251.79,146.098,348.558,-487.957,324.38,-52.997,1082.57,-24.25,303.177,1165.45,347.411
5.39,155.435,300.645,144.699,350.137,-459.18,344.191,-16.234,1079.64,-26.484,335.725,1159.03,344.765
5.4,158.614,344.281,142.581,351.885,-427.603,363.858,21.921,1074.99,-29.033,367.978,1149.93,343.708
5.41,161.672,382.763,139.315,353.87,-392.979,383.007,61.599,1068.61,-31.841,399.848,1138.33,344.228
5.42,164.626,416.306,134.732,356.132,-355.186,401.237,102.947,1060.63,-34.821,431.225,1124.44,346.301
5.43,167.453,445.236,128.964,358.683,-314.226,418.143,146.095,1051.17,-37.849,461.996,1108.53,349.895
5.44,170.097,469.929,122.423,361.514,-270.215,433.344,191.168,1040.46,-40.756,492.044,1090.88,354.961
5.45,172.495,490.769,115.713,364.596,-223.367,446.503,238.263,1028.84,-43.328,521.268,1071.89,361.43
5.46,174.602,508.114,109.504,367.883,-173.971,457.343,287.446,1016.74,-45.307,549.569,1051.95,369.212
5.47,176.408,522.289,104.377,371.315,-122.371,465.656,338.738,1004.72,-46.402,576.868,1031.58,378.181
5.48,177.936,533.605,100.708,374.816,-68.954,471.306,392.08,993.394,-46.314,603.095,1011.37,388.182
