Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
27.43,119.784,-2580.721,521.59,256.805,-1779.487,124.911,-1646.25,1010.72,177.901,-2063.94,877.514,531.675
27.44,116.283,-2523.493,537.725,255.086,-1763.571,119.965,-1615.83,981.35,169.349,-2004.93,865.06,526.269
27.45,112.653,-2461.861,551.478,253.374,-1750.154,116.395,-1586.19,951.517,158.882,-1941.72,853.008,520.012
27.46,108.911,-2396.979,562.14,251.784,-1739.576,114.257,-1558.1,922.377,146.59,-1875.24,842.227,512.837
27.47,105.084,-2329.881,569.331,250.421,-1731.789,113.315,-1531.95,895.004,132.688,-1806.28,833.608,504.672
27.48,101.238,-2261.496,572.953,249.348,-1726.46,113.182,-1507.88,870.355,117.513,-1735.5,828.003,495.456
27.49,97.484,-2192.649,573.12,248.58,-1723.1,113.474,-1485.74,849.223,101.493,-1663.56,826.152,485.165
27.5,93.961,-2124.05,570.073,248.093,-1721.184,113.915,-1465.16,832.204,85.094,-1591.1,828.613,473.828
27.51,90.812,-2056.258,564.1,247.837,-1720.221,114.375,-1445.67,819.651,68.767,-1518.85,835.704,461.535
27.52,88.158,-1989.638,555.479,247.763,-1719.792,114.867,-1426.76,811.648,52.889,-1447.52,847.467,448.429
27.53,86.082,-1924.337,544.446,247.831,-1719.542,115.516,-1407.94,808.014,37.731,-1377.83,863.665,434.7
27.54,84.626,-1860.277,531.187,248.015,-1719.159,116.537,-1388.8,808.35,23.446,-1310.39,883.818,420.563
27.55,83.806,-1797.171,515.851,248.3,-1718.338,118.214,-1369.06,812.103,10.075,-1245.72,907.253,406.256
27.56,83.623,-1734.574,498.583,248.672,-1716.761,120.877,-1348.57,818.652,-2.422,-1184.15,933.18,392.012
27.57,84.075,-1671.948,479.543,249.109,-1714.084,124.874,-1327.26,827.363,-14.131,-1125.84,960.76,378.045
27.58,85.157,-1608.735,458.926,249.583,-1709.955,130.526,-1305.09,837.644,-25.146,-1070.82,989.157,364.537
27.59,86.857,-1544.424,436.966,250.061,-1704.053,138.082,-1282.06,848.964,-35.551,-1018.97,1017.58,351.625
27.6,89.144,-1478.606,413.94,250.521,-1696.137,147.683,-1258.17,860.87,-45.398,-970.057,1045.29,339.399
27.61,91.966,-1411.014,390.157,250.965,-1686.088,159.373,-1233.38,872.971,-54.712,-923.747,1071.62,327.917
27.62,95.26,-1341.533,365.952,251.417,-1673.921,173.129,-1207.64,884.93,-63.494,-879.655,1095.93,317.21
27.63,98.968,-1270.201,341.659,251.91,-1659.769,188.899,-1180.84,896.446,-71.724,-837.352,1117.66,307.306
27.64,103.043,-1197.199,317.612,252.456,-1643.845,206.637,-1152.89,907.241,-79.377,-796.4,1136.24,298.234
27.65,107.451,-1122.866,294.135,253.03,-1626.392,226.312,-1123.64,917.054,-86.424,-756.372,1151.21,290.047
27.66,112.149,-1047.705,271.546,253.574,-1607.61,247.888,-1092.95,925.636,-92.841,-716.883,1162.13,282.831
27.67,117.086,-972.388,250.139,254.035,-1587.552,271.287,-1060.62,932.757,-98.613,-677.618,1168.66,276.705
27.68,122.186,-897.749,230.176,254.402,-1566.046,296.35,-1026.47,938.218,-103.734,-638.341,1170.57,271.801
27.69,127.357,-824.762,211.856,254.722,-1542.69,322.829,-990.325,941.865,-108.207,-598.927,1167.78,268.265
27.7,132.493,-754.499,195.29,255.084,-1516.926,350.397,-951.989,943.611,-112.041,-559.386,1160.35,266.262
27.71,137.492,-688.052,180.477,255.591,-1488.142,378.666,-911.303,943.439,-115.244,-519.842,1148.51,265.968
27.72,142.265,-626.444,167.288,256.349,-1455.774,407.197,-868.133,941.421,-117.829,-480.536,1132.61,267.573
27.73,146.752,-570.534,155.485,257.454,-1419.387,435.499,-822.368,937.717,-119.801,-441.771,1113.12,271.248
27.74,150.922,-520.93,144.773,258.971,-1378.713,463.023,-773.927,932.574,-121.161,-403.895,1090.61,277.13
27.75,154.767,-477.941,134.89,260.924,-1333.669,489.16,-722.762,926.308,-121.889,-367.266,1065.7,285.305
27.76,158.292,-441.568,125.705,263.302,-1284.348,513.268,-668.861,919.3,-121.941,-332.22,1039.09,295.781
27.77,161.492,-411.553,117.285,266.08,-1231.008,534.708,-612.269,911.986,-121.246,-299.057,1011.52,308.475
27.78,164.348,-387.447,109.884,269.238,-1174.041,552.89,-553.103,904.851,-119.722,-268.028,983.686,323.204
27.79,166.824,-368.687,103.838,272.765,-1113.95,567.325,-491.565,898.431,-117.265,-239.304,956.325,339.674
27.8,168.868,-354.62,99.397,276.662,-1051.317,577.657,-427.951,893.29,-113.765,-212.974,930.105,357.499
27.81,170.437,-344.522,96.587,280.916,-986.766,583.685,-362.659,890.011,-109.113,-189.022,905.647,376.216
27.82,171.52,-337.617,95.171,285.476,-920.922,585.362,-296.182,889.159,-103.21,-167.328,883.513,395.311
