Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.72,146.531,-3299.918,463.073,301.329,-2519.648,100.692,-2479.57,1095.59,67.58,-2760.77,923.952,491.322
5.73,145.875,-3242.445,484.988,298.705,-2507.606,98.032,-2466.28,1066.58,49.495,-2693.58,906.371,486.849
5.74,144.675,-3180.881,502.392,296.439,-2499.486,96.251,-2456.11,1039.86,28.899,-2623.25,890.859,482.093
5.75,142.958,-3115.928,514.982,294.479,-2494.155,95.277,-2448.56,1016.62,6.46,-2549.91,878.592,476.836
5.76,140.828,-3048.317,522.645,292.775,-2490.715,94.966,-2442.86,997.89,-16.967,-2473.83,870.782,470.846
5.77,138.447,-2978.739,525.416,291.282,-2488.513,95.114,-2438.07,984.413,-40.422,-2395.59,868.564,463.914
5.78,136.025,-2907.782,523.447,289.981,-2487.113,95.506,-2433.08,976.632,-62.918,-2315.99,872.896,455.872
5.79,133.787,-2835.89,516.97,288.875,-2486.235,95.965,-2426.82,974.592,-83.543,-2236.11,884.42,446.641
5.8,131.938,-2763.323,506.287,287.994,-2485.701,96.39,-2418.31,977.963,-101.546,-2157.17,903.381,436.255
5.81,130.627,-2690.151,491.752,287.382,-2485.376,96.777,-2406.78,986.108,-116.393,-2080.44,929.572,424.872
5.82,129.93,-2616.262,473.775,287.097,-2485.133,97.22,-2391.78,998.194,-127.802,-2007.13,962.33,412.756
5.83,129.832,-2541.395,452.818,287.207,-2484.817,97.903,-2373.11,1013.29,-135.746,-1938.25,1000.59,400.241
5.84,130.249,-2465.187,429.395,287.79,-2484.23,99.086,-2350.79,1030.46,-140.404,-1874.48,1042.98,387.678
5.85,131.039,-2387.237,404.063,288.93,-2483.113,101.098,-2325.04,1048.83,-142.123,-1816.22,1087.92,375.374
5.86,132.042,-2307.181,377.419,290.696,-2481.152,104.322,-2296.14,1067.55,-141.338,-1763.5,1133.76,363.566
5.87,133.098,-2224.766,350.084,293.124,-2477.995,109.17,-2264.45,1085.91,-138.53,-1716.01,1178.84,352.389
5.88,134.078,-2139.926,322.694,296.186,-2473.281,116.061,-2230.37,1103.29,-134.17,-1673.23,1221.68,341.892
5.89,134.899,-2052.848,295.882,299.776,-2466.675,125.385,-2194.22,1119.15,-128.695,-1634.44,1260.91,332.061
5.9,135.531,-1964.02,270.252,303.708,-2457.909,137.476,-2156.32,1133.04,-122.496,-1598.79,1295.44,322.849
5.91,135.999,-1874.244,246.344,307.723,-2446.803,152.58,-2116.94,1144.57,-115.902,-1565.37,1324.38,314.218
5.92,136.371,-1784.629,224.593,311.522,-2433.251,170.829,-2076.32,1153.36,-109.195,-1533.33,1347.07,306.173
5.93,136.743,-1696.536,205.293,314.809,-2417.182,192.225,-2034.65,1159.12,-102.612,-1501.85,1363.05,298.789
5.94,137.222,-1611.5,188.564,317.327,-2398.489,216.619,-1992.01,1161.5,-96.321,-1470.22,1372.03,292.229
5.95,137.91,-1531.118,174.337,318.91,-2376.951,243.711,-1948.5,1160.22,-90.46,-1437.96,1373.86,286.756
5.96,138.892,-1456.912,162.368,319.503,-2352.194,273.058,-1904.15,1155.06,-85.107,-1404.72,1368.58,282.715
5.97,140.23,-1390.194,152.273,319.166,-2323.699,304.096,-1858.95,1145.88,-80.292,-1370.49,1356.36,280.523
5.98,141.958,-1331.933,143.589,318.055,-2290.873,336.16,-1812.83,1132.63,-75.995,-1335.43,1337.6,280.624
5.99,144.081,-1282.655,135.857,316.391,-2253.157,368.516,-1765.62,1115.44,-72.148,-1300.0,1312.85,283.453
6.0,146.575,-1242.393,128.705,314.424,-2210.135,400.39,-1717.06,1094.58,-68.644,-1264.82,1282.89,289.381
6.01,149.391,-1210.681,121.91,312.411,-2161.61,431.006,-1666.79,1070.5,-65.353,-1230.63,1248.67,298.688
6.02,152.461,-1186.612,115.428,310.594,-2107.635,459.621,-1614.33,1043.82,-62.129,-1198.24,1211.28,311.523
6.03,155.695,-1168.953,109.377,309.197,-2048.506,485.558,-1559.06,1015.41,-58.816,-1168.44,1171.9,327.876
6.04,158.992,-1156.304,103.968,308.416,-1984.717,508.241,-1500.34,986.328,-55.252,-1141.89,1131.83,347.544
6.05,162.246,-1147.277,99.428,308.405,-1916.915,527.211,-1437.55,957.815,-51.261,-1119.09,1092.42,370.123
6.06,165.356,-1140.676,95.912,309.27,-1845.838,542.13,-1370.19,931.299,-46.663,-1100.27,1054.96,395.004
6.07,168.243,-1135.607,93.459,311.052,-1772.266,552.784,-1298.02,908.292,-41.285,-1085.38,1020.71,421.41
6.08,170.859,-1131.513,91.976,313.715,-1696.967,559.072,-1221.15,890.29,-34.976,-1074.02,990.77,448.44
6.09,173.185,-1128.12,91.278,317.152,-1620.647,560.994,-1140.15,878.637,-27.639,-1065.49,965.979,475.133
6.1,175.216,-1125.334,91.13,321.183,-1543.898,558.647,-1056.02,874.38,-19.253,-1058.85,946.904,500.53
6.11,176.952,-1123.134,91.31,325.584,-1467.149,552.206,-970.203,878.141,-9.904,-1052.92,933.772,523.751
