Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.92,187.065,-3047.59,573.098,389.313,-2265.005,138.294,-2133.78,1152.23,173.053,-2485.51,1007.77,588.193
3.93,189.119,-2974.511,584.449,390.822,-2255.142,128.477,-2097.02,1119.38,168.294,-2423.34,989.013,590.605
3.94,190.642,-2898.273,594.057,391.794,-2245.958,120.433,-2062.39,1086.26,161.355,-2358.3,970.729,592.417
3.95,191.559,-2819.469,601.699,391.88,-2237.443,115.261,-2029.99,1054.06,152.257,-2290.2,953.872,593.291
3.96,191.799,-2738.883,607.128,391.189,-2230.168,113.289,-1999.75,1024.41,141.258,-2218.89,939.628,592.757
3.97,191.243,-2657.423,610.191,390.108,-2224.643,113.7,-1971.41,999.185,128.877,-2144.45,929.346,590.29
3.98,189.839,-2576.038,610.896,389.029,-2220.884,115.088,-1944.61,980.007,115.809,-2067.35,924.355,585.43
3.99,187.725,-2495.632,609.372,388.235,-2218.501,116.366,-1918.91,967.768,102.792,-1988.5,925.747,577.936
4.0,185.186,-2416.962,605.773,387.83,-2217.014,117.147,-1893.92,962.386,90.428,-1909.19,934.146,567.859
4.01,182.514,-2340.511,600.161,387.726,-2216.058,117.519,-1869.29,963.01,79.079,-1830.9,949.557,555.487
4.02,179.927,-2266.386,592.433,387.764,-2215.387,117.741,-1844.59,968.464,68.859,-1755.1,971.336,541.252
4.03,177.55,-2194.267,582.355,387.853,-2214.781,118.171,-1819.32,977.619,59.737,-1682.91,998.34,525.72
4.04,175.423,-2123.453,569.693,388.016,-2213.942,119.37,-1793.01,989.544,51.688,-1615.01,1029.19,509.531
4.05,173.514,-2052.984,554.372,388.319,-2212.424,122.18,-1765.32,1003.5,44.761,-1551.65,1062.45,493.269
4.06,171.759,-1981.834,536.571,388.763,-2209.624,127.662,-1736.07,1018.92,38.979,-1492.65,1096.81,477.36
4.07,170.093,-1909.106,516.708,389.233,-2204.877,136.89,-1705.11,1035.36,34.243,-1437.59,1131.12,462.114
4.08,168.48,-1834.18,495.335,389.557,-2197.615,150.657,-1672.38,1052.42,30.354,-1385.97,1164.38,447.762
4.09,166.93,-1756.756,472.984,389.648,-2187.46,169.139,-1637.93,1069.64,27.117,-1337.2,1195.68,434.456
4.1,165.502,-1676.802,450.059,389.597,-2174.213,191.743,-1602.0,1086.55,24.382,-1290.65,1224.14,422.259
4.11,164.262,-1594.441,426.792,389.604,-2157.851,217.398,-1564.84,1102.71,22.05,-1245.61,1248.91,411.156
4.12,163.274,-1509.884,403.294,389.742,-2138.646,245.151,-1526.69,1117.78,20.055,-1201.25,1269.16,401.08
4.13,162.635,-1423.404,379.631,389.769,-2117.199,274.548,-1487.7,1131.46,18.337,-1156.74,1284.22,391.905
4.14,162.499,-1335.388,355.917,389.24,-2094.089,305.496,-1447.92,1143.47,16.824,-1111.19,1293.58,383.486
4.15,163.037,-1246.439,332.386,387.825,-2069.341,337.899,-1407.36,1153.56,15.464,-1063.95,1296.95,375.741
4.16,164.35,-1157.47,309.411,385.493,-2042.349,371.48,-1365.92,1161.49,14.247,-1014.65,1294.27,368.715
4.17,166.384,-1069.727,287.466,382.418,-2012.3,405.905,-1323.49,1167.07,13.182,-963.304,1285.65,362.624
4.18,168.964,-984.748,267.022,378.806,-1978.485,440.939,-1279.91,1170.18,12.263,-910.366,1271.36,357.849
4.19,171.884,-904.284,248.396,374.804,-1940.264,476.401,-1235.04,1170.78,11.432,-856.594,1251.87,354.854
4.2,174.973,-830.145,231.596,370.54,-1897.022,511.988,-1188.72,1168.94,10.541,-802.89,1227.81,354.108
4.21,178.065,-763.98,216.255,366.169,-1848.259,547.148,-1140.89,1164.77,9.412,-750.131,1199.9,356.072
4.22,180.944,-707.008,201.683,361.844,-1793.703,581.117,-1091.51,1158.42,7.922,-699.075,1168.99,361.177
4.23,183.329,-659.771,187.019,357.669,-1733.36,613.092,-1040.58,1150.01,6.01,-650.31,1135.94,369.782
4.24,184.89,-621.989,171.474,353.7,-1667.466,642.403,-988.14,1139.62,3.667,-604.276,1101.61,382.072
4.25,185.338,-592.609,154.673,349.977,-1596.389,668.553,-934.229,1127.3,0.954,-561.299,1066.79,398.028
4.26,184.664,-570.038,136.981,346.515,-1520.556,691.163,-878.894,1113.07,-2.008,-521.621,1032.27,417.447
4.27,183.399,-552.524,119.686,343.348,-1440.46,709.932,-822.141,1097.01,-5.078,-485.407,998.867,439.94
4.28,182.546,-538.562,104.844,340.609,-1356.734,724.63,-763.852,1079.42,-8.139,-452.721,967.493,464.883
4.29,183.002,-527.208,94.501,338.542,-1270.212,735.117,-703.733,1061.02,-11.063,-423.486,939.152,491.393
4.3,184.883,-518.164,89.481,337.416,-1181.928,741.345,-641.355,1043.05,-13.605,-397.416,914.9,518.373
4.31,187.516,-511.45,88.799,337.418,-1093.067,743.417,-576.344,1027.32,-15.35,-374.016,895.627,544.626
