Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.17,8.409,-3060.717,258.559,241.541,-2553.704,136.211,-2433.56,1267.0,35.403,-2485.2,1204.67,294.496
5.18,5.666,-3039.907,264.518,238.466,-2543.014,133.695,-2412.08,1260.75,36.152,-2461.91,1201.76,296.265
5.19,3.388,-3018.012,270.126,235.347,-2535.149,131.393,-2390.75,1253.14,36.132,-2438.25,1198.01,297.6
5.2,1.592,-2994.873,275.245,232.336,-2529.632,129.436,-2369.69,1244.29,35.333,-2414.23,1193.53,298.465
5.21,0.26,-2970.311,279.74,229.601,-2525.869,127.907,-2348.98,1234.4,33.768,-2389.88,1188.45,298.832
5.22,-0.647,-2944.169,283.484,227.282,-2523.279,126.836,-2328.67,1223.66,31.466,-2365.13,1182.99,298.687
5.23,-1.183,-2916.339,286.361,225.467,-2521.381,126.204,-2308.85,1212.3,28.466,-2339.98,1177.39,298.009
5.24,-1.395,-2886.766,288.263,224.17,-2519.832,125.959,-2289.57,1200.59,24.818,-2314.42,1171.95,296.783
5.25,-1.326,-2855.448,289.096,223.342,-2518.426,126.029,-2270.93,1188.8,20.578,-2288.47,1166.93,294.988
5.26,-1.007,-2822.416,288.781,222.896,-2517.061,126.335,-2252.98,1177.21,15.807,-2262.21,1162.65,292.611
5.27,-0.458,-2787.728,287.25,222.732,-2515.713,126.811,-2235.77,1166.08,10.575,-2235.74,1159.39,289.642
5.28,0.306,-2751.454,284.455,222.763,-2514.388,127.414,-2219.34,1155.68,4.957,-2209.17,1157.36,286.086
5.29,1.28,-2713.673,280.367,222.923,-2513.105,128.133,-2203.66,1146.22,-0.966,-2182.63,1156.68,281.964
5.3,2.459,-2674.47,274.986,223.167,-2511.869,128.993,-2188.68,1137.88,-7.104,-2156.22,1157.45,277.315
5.31,3.838,-2633.927,268.346,223.468,-2510.662,130.05,-2174.33,1130.78,-13.365,-2130.03,1159.64,272.203
5.32,5.407,-2592.121,260.527,223.809,-2509.44,131.389,-2160.48,1125.0,-19.653,-2104.14,1163.16,266.709
5.33,7.151,-2549.114,251.65,224.185,-2508.131,133.112,-2146.98,1120.59,-25.868,-2078.59,1167.9,260.93
5.34,9.055,-2504.95,241.878,224.604,-2506.636,135.327,-2133.67,1117.54,-31.918,-2053.43,1173.69,254.971
5.35,11.108,-2459.656,231.408,225.086,-2504.83,138.135,-2120.37,1115.8,-37.724,-2028.65,1180.31,248.941
5.36,13.31,-2413.249,220.465,225.666,-2502.563,141.617,-2106.92,1115.32,-43.22,-2004.23,1187.61,242.943
5.37,15.677,-2365.747,209.298,226.39,-2499.663,145.828,-2093.16,1116.04,-48.367,-1980.17,1195.38,237.067
5.38,18.234,-2317.188,198.168,227.316,-2495.946,150.78,-2078.95,1117.84,-53.152,-1956.45,1203.41,231.39
5.39,21.006,-2267.654,187.35,228.508,-2491.217,156.443,-2064.18,1120.62,-57.585,-1933.04,1211.53,225.973
5.4,24.011,-2217.292,177.119,230.037,-2485.295,162.743,-2048.79,1124.23,-61.7,-1909.91,1219.57,220.863
5.41,27.251,-2166.337,167.732,231.977,-2478.022,169.561,-2032.7,1128.53,-65.548,-1887.06,1227.3,216.101
5.42,30.708,-2115.126,159.414,234.395,-2469.279,176.753,-2015.88,1133.31,-69.185,-1864.44,1234.57,211.726
5.43,34.345,-2064.102,152.321,237.335,-2459.0,184.157,-1998.34,1138.41,-72.668,-1842.02,1241.21,207.78
5.44,38.109,-2013.809,146.525,240.812,-2447.181,191.624,-1980.08,1143.62,-76.047,-1819.79,1247.08,204.309
5.45,41.939,-1964.865,141.997,244.791,-2433.875,199.033,-1961.11,1148.76,-79.361,-1797.69,1252.04,201.362
5.46,45.77,-1917.929,138.603,249.186,-2419.192,206.309,-1941.45,1153.64,-82.638,-1775.71,1255.97,198.985
5.47,49.548,-1873.661,136.126,253.863,-2403.283,213.43,-1921.12,1158.08,-85.9,-1753.78,1258.81,197.223
5.48,53.229,-1832.676,134.291,258.652,-2386.321,220.413,-1900.15,1161.95,-89.159,-1731.88,1260.45,196.12
5.49,56.789,-1795.505,132.81,263.365,-2368.471,227.307,-1878.54,1165.1,-92.416,-1709.91,1260.86,195.715
5.5,60.221,-1762.574,131.417,267.821,-2349.87,234.166,-1856.28,1167.44,-95.663,-1687.87,1260.01,196.04
5.51,63.524,-1734.179,129.913,271.865,-2330.595,241.032,-1833.38,1168.89,-98.879,-1665.67,1257.87,197.109
5.52,66.695,-1710.467,128.185,275.386,-2310.646,247.917,-1809.78,1169.39,-102.032,-1643.33,1254.46,198.932
5.53,69.719,-1691.422,126.217,278.325,-2289.929,254.793,-1785.48,1168.95,-105.089,-1620.82,1249.82,201.506
5.54,72.559,-1676.841,124.081,280.683,-2268.272,261.584,-1760.45,1167.57,-108.003,-1598.19,1244.04,204.825
5.55,75.165,-1666.318,121.917,282.51,-2245.437,268.17,-1734.62,1165.31,-110.715,-1575.48,1237.21,208.879
5.56,77.474,-1659.255,119.905,283.898,-2221.165,274.397,-1707.97,1162.29,-113.155,-1552.78,1229.52,213.658
