Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.34,139.665,-2915.94,350.033,284.281,-2310.599,102.455,-2181.06,1332.86,142.684,-2365.67,1078.34,490.065
3.35,132.587,-2884.026,361.58,282.736,-2300.358,99.783,-2157.5,1320.68,141.758,-2327.27,1071.81,491.235
3.36,125.265,-2849.461,371.816,281.374,-2292.217,97.759,-2133.48,1306.06,140.632,-2287.67,1064.93,491.895
3.37,117.985,-2812.502,380.43,280.185,-2286.04,96.429,-2109.22,1289.1,139.238,-2247.2,1058.06,491.919
3.38,111.006,-2773.402,387.199,279.14,-2281.541,95.736,-2084.92,1270.05,137.469,-2206.07,1051.56,491.179
3.39,104.543,-2732.433,391.961,278.209,-2278.383,95.552,-2060.78,1249.25,135.192,-2164.45,1045.86,489.544
3.4,98.76,-2689.879,394.599,277.378,-2276.236,95.724,-2037.06,1227.19,132.26,-2122.48,1041.43,486.89
3.41,93.778,-2646.03,395.025,276.656,-2274.815,96.119,-2014.02,1204.48,128.539,-2080.34,1038.71,483.115
3.42,89.675,-2601.157,393.181,276.059,-2273.88,96.658,-1991.95,1181.86,123.922,-2038.29,1038.11,478.146
3.43,86.5,-2555.493,389.04,275.611,-2273.235,97.33,-1971.06,1160.15,118.361,-1996.57,1039.93,471.964
3.44,84.279,-2509.217,382.612,275.33,-2272.706,98.197,-1951.51,1140.15,111.869,-1955.5,1044.33,464.606
3.45,83.021,-2462.433,373.949,275.232,-2272.126,99.382,-1933.32,1122.62,104.529,-1915.33,1051.34,456.173
3.46,82.729,-2415.165,363.152,275.333,-2271.321,101.054,-1916.39,1108.2,96.48,-1876.3,1060.82,446.816
3.47,83.396,-2367.356,350.375,275.654,-2270.094,103.4,-1900.52,1097.31,87.902,-1838.59,1072.48,436.731
3.48,85.013,-2318.877,335.826,276.221,-2268.24,106.596,-1885.39,1090.2,78.995,-1802.29,1085.96,426.133
3.49,87.558,-2269.543,319.765,277.071,-2265.546,110.773,-1870.67,1086.87,69.968,-1767.44,1100.81,415.246
3.5,90.998,-2219.142,302.502,278.243,-2261.817,115.997,-1855.99,1087.11,61.014,-1734.02,1116.55,404.288
3.51,95.276,-2167.462,284.393,279.774,-2256.898,122.261,-1841.03,1090.49,52.297,-1701.94,1132.73,393.462
3.52,100.305,-2114.331,265.827,281.69,-2250.689,129.492,-1825.53,1096.46,43.939,-1671.11,1148.9,382.946
3.53,105.963,-2059.639,247.223,283.993,-2243.161,137.576,-1809.29,1104.38,36.02,-1641.43,1164.69,372.892
3.54,112.091,-2003.375,229.012,286.652,-2234.358,146.388,-1792.21,1113.54,28.578,-1612.75,1179.73,363.422
3.55,118.498,-1945.648,211.628,289.602,-2224.392,155.823,-1774.25,1123.33,21.618,-1584.94,1193.72,354.632
3.56,124.972,-1886.709,195.486,292.749,-2213.426,165.812,-1755.43,1133.19,15.126,-1557.89,1206.42,346.595
3.57,131.302,-1826.972,180.958,295.977,-2201.65,176.324,-1735.78,1142.65,9.081,-1531.44,1217.58,339.362
3.58,137.302,-1767.016,168.346,299.174,-2189.255,187.355,-1715.35,1151.39,3.464,-1505.47,1227.01,332.967
3.59,142.841,-1707.579,157.84,302.251,-2176.398,198.913,-1694.15,1159.13,-1.741,-1479.87,1234.54,327.422
3.6,147.86,-1649.518,149.479,305.161,-2163.166,210.991,-1672.19,1165.7,-6.54,-1454.51,1240.01,322.72
3.61,152.385,-1593.761,143.128,307.918,-2149.538,223.559,-1649.42,1170.99,-10.932,-1429.32,1243.3,318.842
3.62,156.517,-1541.224,138.464,310.594,-2135.364,236.555,-1625.78,1174.93,-14.915,-1404.21,1244.29,315.761
3.63,160.401,-1492.724,135.012,313.312,-2120.37,249.88,-1601.19,1177.47,-18.488,-1379.13,1242.94,313.452
3.64,164.189,-1448.91,132.206,316.221,-2104.184,263.402,-1575.6,1178.55,-21.649,-1354.03,1239.22,311.894
3.65,167.997,-1410.196,129.485,319.462,-2086.394,276.96,-1548.92,1178.13,-24.404,-1328.91,1233.15,311.082
3.66,171.872,-1376.738,126.4,323.141,-2066.604,290.371,-1521.12,1176.19,-26.766,-1303.77,1224.8,311.023
3.67,175.78,-1348.436,122.697,327.304,-2044.49,303.433,-1492.17,1172.72,-28.75,-1278.66,1214.27,311.732
3.68,179.616,-1324.968,118.361,331.934,-2019.818,315.937,-1462.06,1167.73,-30.371,-1253.64,1201.71,313.236
3.69,183.229,-1305.844,113.605,336.956,-1992.465,327.672,-1430.78,1161.25,-31.636,-1228.83,1187.31,315.558
3.7,186.464,-1290.485,108.8,342.255,-1962.398,338.435,-1398.35,1153.39,-32.537,-1204.35,1171.33,318.721
3.71,189.204,-1278.289,104.37,347.698,-1929.671,348.033,-1364.8,1144.28,-33.043,-1180.33,1154.03,322.743
3.72,191.398,-1268.7,100.682,353.148,-1894.404,356.288,-1330.12,1134.17,-33.095,-1156.89,1135.75,327.634
3.73,193.074,-1261.238,97.958,358.483,-1856.778,363.037,-1294.35,1123.37,-32.603,-1134.17,1116.85,333.394
