Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
14.71,39.107,-2001.947,123.0,214.453,-2663.364,631.152,-2172.5,992.528,-151.991,-1850.2,1092.95,141.812
14.72,40.939,-1987.502,119.278,214.11,-2597.311,643.273,-2116.02,978.9,-155.183,-1813.77,1063.58,158.895
14.73,42.565,-1977.083,116.765,214.13,-2529.693,651.137,-2056.73,966.524,-156.967,-1779.19,1034.5,178.642
14.74,43.898,-1969.84,115.388,214.624,-2461.388,654.768,-1994.56,956.448,-156.829,-1746.84,1006.62,200.668
14.75,44.878,-1964.981,114.919,215.674,-2393.291,654.287,-1929.64,949.75,-154.276,-1717.01,980.86,224.437
14.76,45.48,-1961.839,115.065,217.331,-2326.236,649.871,-1862.33,947.42,-148.904,-1689.84,958.137,249.282
14.77,45.715,-1959.879,115.581,219.63,-2260.911,641.725,-1793.29,950.26,-140.443,-1665.34,939.253,274.469
14.78,45.625,-1958.674,116.336,222.6,-2197.776,630.047,-1723.43,958.766,-128.815,-1643.34,924.81,299.258
14.79,45.255,-1957.867,117.326,226.261,-2136.988,615.013,-1653.85,973.064,-114.141,-1623.5,915.122,322.99
14.8,44.63,-1957.145,118.66,230.606,-2078.361,596.775,-1585.73,992.883,-96.755,-1605.39,910.164,345.133
14.81,43.737,-1956.204,120.541,235.584,-2021.39,575.484,-1520.2,1017.56,-77.174,-1588.5,909.587,365.323
14.82,42.523,-1954.72,123.244,241.097,-1965.312,551.331,-1458.18,1046.08,-56.045,-1572.3,912.801,383.359
14.83,40.919,-1952.338,127.079,246.989,-1909.22,524.58,-1400.23,1077.24,-34.061,-1556.27,919.085,399.19
14.84,38.864,-1948.679,132.355,253.068,-1852.181,495.599,-1346.65,1109.66,-11.881,-1540.01,927.697,412.88
14.85,36.335,-1943.368,139.351,259.123,-1793.35,464.867,-1297.28,1142.01,9.939,-1523.11,937.958,424.559
14.86,33.368,-1936.082,148.291,264.957,-1732.07,432.966,-1251.75,1173.07,30.989,-1505.26,949.281,434.395
14.87,30.058,-1926.609,159.344,270.414,-1667.923,400.537,-1209.45,1201.79,51.021,-1486.21,961.179,442.59
14.88,26.556,-1914.884,172.637,275.369,-1600.741,368.23,-1169.7,1227.37,69.923,-1465.75,973.238,449.382
14.89,23.06,-1901.006,188.274,279.707,-1530.583,336.647,-1131.79,1249.16,87.688,-1443.74,985.083,455.043
14.9,19.816,-1885.2,206.346,283.291,-1457.728,306.307,-1095.02,1266.76,104.371,-1420.06,996.352,459.863
14.91,17.087,-1867.74,226.921,285.961,-1382.666,277.66,-1058.8,1279.88,120.037,-1394.62,1006.69,464.128
14.92,15.123,-1848.839,250.011,287.56,-1306.113,251.104,-1022.62,1288.37,134.737,-1367.35,1015.75,468.093
14.93,14.121,-1828.529,275.552,287.969,-1229.015,226.994,-986.049,1292.19,148.491,-1338.2,1023.2,471.961
14.94,14.189,-1806.586,303.397,287.143,-1152.533,205.616,-948.74,1291.36,161.267,-1307.11,1028.74,475.866
14.95,15.347,-1782.537,333.311,285.135,-1077.995,187.128,-910.466,1285.99,172.991,-1274.0,1032.12,479.87
14.96,17.536,-1755.734,364.961,282.096,-1006.804,171.509,-871.121,1276.23,183.544,-1238.78,1033.15,483.973
14.97,20.652,-1725.461,397.9,278.252,-940.314,158.539,-830.749,1262.27,192.751,-1201.3,1031.68,488.108
14.98,24.558,-1691.039,431.565,273.864,-879.698,147.824,-789.523,1244.36,200.383,-1161.38,1027.66,492.168
14.99,29.098,-1651.903,465.287,269.181,-825.832,138.854,-747.736,1222.85,206.155,-1118.83,1021.09,496.008
15.0,34.097,-1607.662,498.316,264.403,-779.21,131.094,-705.768,1198.14,209.741,-1073.47,1012.08,499.457
15.01,39.364,-1558.144,529.857,259.682,-739.923,124.09,-664.062,1170.76,210.814,-1025.09,1000.86,502.338
15.02,44.685,-1503.418,559.124,255.133,-707.694,117.584,-623.104,1141.31,209.071,-973.606,987.784,504.465
15.03,49.829,-1443.802,585.389,250.851,-681.973,111.571,-583.4,1110.53,204.291,-918.938,973.308,505.653
15.04,54.565,-1379.853,608.031,246.919,-662.031,106.274,-545.444,1079.24,196.364,-861.112,958.014,505.707
15.05,58.682,-1312.346,626.577,243.421,-647.022,102.02,-509.686,1048.36,185.325,-800.231,942.609,504.425
15.06,62.014,-1242.251,640.728,240.448,-636.059,99.071,-476.479,1018.84,171.38,-736.489,927.888,501.6
15.07,64.461,-1170.679,650.361,238.078,-628.294,97.478,-446.048,991.578,154.895,-670.175,914.724,497.046
15.08,65.993,-1098.81,655.51,236.359,-622.974,97.055,-418.457,967.358,136.381,-601.688,904.005,490.61
15.09,66.639,-1027.788,656.316,235.284,-619.46,97.47,-393.585,946.842,116.453,-531.534,896.588,482.173
15.1,66.464,-958.598,652.974,234.784,-617.219,98.385,-371.14,930.52,95.778,-460.319,893.201,471.663
