Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
10.11,84.846,-1423.479,636.216,204.324,-609.937,129.663,-567.089,1029.75,66.382,-855.715,921.182,378.489
10.12,82.352,-1343.554,657.423,202.448,-593.331,117.925,-539.628,994.788,53.812,-783.979,908.892,369.333
10.13,79.416,-1260.545,673.929,200.327,-580.802,108.599,-515.343,960.19,39.367,-709.554,898.288,359.956
10.14,75.995,-1175.717,685.59,198.032,-571.235,102.039,-494.304,927.311,23.503,-632.822,890.551,350.239
10.15,72.086,-1090.44,692.392,195.721,-563.897,98.199,-476.335,897.588,6.858,-554.354,886.866,340.056
10.16,67.768,-1006.124,694.436,193.563,-558.332,96.623,-460.974,872.388,-9.808,-474.911,888.302,329.327
10.17,63.217,-924.091,691.898,191.663,-554.217,96.644,-447.437,852.82,-25.718,-395.438,895.658,318.066
10.18,58.683,-845.42,684.969,190.061,-551.265,97.638,-434.672,839.531,-40.234,-317.011,909.344,306.39
10.19,54.443,-770.772,673.789,188.786,-549.187,99.19,-421.527,832.542,-52.971,-240.752,929.28,294.509
10.2,50.728,-700.251,658.396,187.906,-547.651,101.131,-407.02,831.284,-63.799,-167.701,954.898,282.69
10.21,47.688,-633.336,638.729,187.522,-546.253,103.524,-390.535,834.865,-72.747,-98.696,985.188,271.198
10.22,45.385,-568.921,614.711,187.756,-544.497,106.613,-371.779,842.36,-79.898,-34.276,1018.83,260.252
10.23,43.826,-505.462,586.383,188.736,-541.799,110.757,-350.615,852.928,-85.376,25.375,1054.35,249.987
10.24,43.013,-441.206,554.027,190.572,-537.525,116.355,-326.948,865.789,-89.371,80.409,1090.29,240.447
10.25,42.986,-374.472,518.247,193.32,-531.06,123.765,-300.691,880.202,-92.148,131.25,1125.32,231.594
10.26,43.832,-303.904,479.952,196.947,-521.9,133.265,-271.797,895.475,-94.012,178.495,1158.31,223.34
10.27,45.649,-228.658,440.262,201.317,-509.746,145.047,-240.291,910.993,-95.256,222.828,1188.4,215.593
10.28,48.489,-148.479,400.361,206.212,-494.566,159.257,-206.293,926.225,-96.122,264.946,1214.9,208.307
10.29,52.3,-63.655,361.366,211.349,-476.606,176.058,-169.996,940.723,-96.761,305.51,1237.36,201.485
10.3,56.906,25.07,324.241,216.421,-456.317,195.655,-131.63,954.103,-97.227,345.108,1255.47,195.149
10.31,62.011,116.615,289.766,221.125,-434.176,218.249,-91.404,966.041,-97.511,384.248,1268.98,189.332
10.32,67.247,209.633,258.537,225.222,-410.445,243.92,-49.48,976.272,-97.595,423.365,1277.77,184.059
10.33,72.235,302.576,230.97,228.58,-384.979,272.525,-5.972,984.581,-97.474,462.835,1281.72,179.356
10.34,76.645,393.742,207.286,231.19,-357.216,303.676,39.051,990.79,-97.179,502.951,1280.87,175.238
10.35,80.247,481.356,187.469,233.132,-326.321,336.794,85.554,994.748,-96.769,543.918,1275.28,171.739
10.36,82.941,563.688,171.212,234.525,-291.396,371.193,133.547,996.321,-96.325,585.828,1265.07,168.929
10.37,84.757,639.205,157.906,235.495,-251.642,406.147,183.086,995.393,-95.946,628.658,1250.45,166.919
10.38,85.849,706.731,146.697,236.161,-206.462,440.916,234.283,991.883,-95.741,672.268,1231.69,165.875
10.39,86.448,765.573,136.636,236.638,-155.513,474.759,287.298,985.75,-95.817,716.412,1209.08,166.041
10.4,86.8,815.566,126.885,237.048,-98.718,506.941,342.311,977.001,-96.271,760.757,1182.91,167.717
10.41,87.091,857.051,116.922,237.514,-36.263,536.744,399.499,965.696,-97.166,804.907,1153.55,171.242
10.42,87.423,890.773,106.664,238.15,31.435,563.502,459.016,951.96,-98.508,848.417,1121.37,176.97
10.43,87.839,917.727,96.461,239.065,103.76,586.642,520.971,936.006,-100.237,890.803,1086.84,185.217
10.44,88.368,938.989,86.961,240.363,179.93,605.732,585.43,918.145,-102.219,931.561,1050.51,196.217
10.45,89.043,955.559,78.896,242.137,259.018,620.51,652.414,898.838,-104.245,970.184,1013.13,210.074
10.46,89.884,968.241,72.826,244.455,339.992,630.906,721.911,878.709,-106.036,1006.19,975.611,226.699
10.47,90.868,977.657,68.931,247.339,421.748,637.026,793.859,858.593,-107.261,1039.18,939.064,245.774
10.48,91.951,984.338,66.969,250.749,503.179,639.124,868.122,839.521,-107.572,1068.9,904.786,266.722
10.49,93.08,988.806,66.43,254.557,583.253,637.552,944.471,822.676,-106.633,1095.29,874.161,288.709
10.5,94.199,991.583,66.779,258.552,661.119,632.693,1022.54,809.283,-104.156,1118.6,848.501,310.706
