Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
8.57,246.212,-2894.086,514.01,300.183,-2068.53,160.169,-2015.03,1169.49,243.732,-2359.51,1056.75,581.884
8.58,240.121,-2823.344,524.879,296.377,-2046.094,152.175,-1979.01,1130.6,228.499,-2297.18,1027.24,575.871
8.59,233.595,-2750.01,532.649,292.963,-2027.919,145.927,-1945.91,1092.6,209.983,-2232.03,998.501,569.161
8.6,226.539,-2674.575,537.279,289.999,-2013.913,141.682,-1915.68,1056.94,188.547,-2163.6,972.089,561.311
8.61,218.897,-2597.479,538.885,287.577,-2003.745,139.384,-1887.97,1024.96,164.799,-2091.61,949.621,551.878
8.62,210.69,-2519.131,537.706,285.763,-1996.884,138.72,-1862.22,997.88,139.563,-2016.04,932.693,540.481
8.63,202.036,-2439.909,534.069,284.537,-1992.677,139.239,-1837.72,976.647,113.776,-1937.32,922.69,526.87
8.64,193.157,-2360.162,528.357,283.791,-1990.421,140.496,-1813.72,961.888,88.416,-1856.31,920.631,510.954
8.65,184.362,-2280.185,520.968,283.359,-1989.448,142.167,-1789.49,953.844,64.414,-1774.22,927.049,492.842
8.66,176.016,-2200.209,512.29,283.071,-1989.162,144.105,-1764.37,952.336,42.562,-1692.46,941.915,472.831
8.67,168.495,-2120.388,502.666,282.798,-1989.054,146.351,-1737.81,956.806,23.444,-1612.53,964.649,451.386
8.68,162.14,-2040.802,492.377,282.475,-1988.681,149.087,-1709.47,966.386,7.392,-1535.73,994.197,429.092
8.69,157.211,-1961.464,481.637,282.112,-1987.627,152.583,-1679.17,980.009,-5.536,-1463.19,1029.15,406.596
8.7,153.856,-1882.345,470.597,281.783,-1985.476,157.127,-1646.83,996.543,-15.496,-1395.64,1067.91,384.543
8.71,152.104,-1803.393,459.349,281.619,-1981.783,162.971,-1612.56,1014.93,-22.819,-1333.46,1108.78,363.526
8.72,151.864,-1724.55,447.949,281.775,-1976.085,170.291,-1576.48,1034.23,-27.923,-1276.64,1150.22,344.036
8.73,152.963,-1645.773,436.427,282.392,-1967.926,179.169,-1538.78,1053.7,-31.264,-1224.85,1190.84,326.434
8.74,155.186,-1567.045,424.799,283.554,-1956.902,189.592,-1499.64,1072.8,-33.271,-1177.56,1229.52,310.933
8.75,158.312,-1488.383,413.078,285.25,-1942.724,201.472,-1459.22,1091.16,-34.327,-1134.07,1265.42,297.606
8.76,162.151,-1409.85,401.28,287.365,-1925.257,214.68,-1417.71,1108.53,-34.744,-1093.61,1298.0,286.405
8.77,166.543,-1331.553,389.435,289.692,-1904.55,229.06,-1375.23,1124.76,-34.76,-1055.41,1326.9,277.191
8.78,171.353,-1253.649,377.587,291.97,-1880.819,244.437,-1331.89,1139.76,-34.543,-1018.76,1351.96,269.769
8.79,176.447,-1176.336,365.795,293.945,-1854.403,260.597,-1287.8,1153.46,-34.203,-983.017,1373.15,263.928
8.8,181.673,-1099.853,354.126,295.419,-1825.693,277.258,-1243.02,1165.83,-33.801,-947.582,1390.48,259.463
8.81,186.85,-1024.476,342.64,296.296,-1795.048,294.064,-1197.65,1176.8,-33.367,-911.937,1404.05,256.203
8.82,191.778,-950.519,331.382,296.599,-1762.74,310.592,-1151.71,1186.31,-32.89,-875.633,1413.92,254.033
8.83,196.258,-878.34,320.363,296.455,-1728.911,326.393,-1105.27,1194.34,-32.347,-838.283,1420.19,252.89
8.84,200.124,-808.337,309.557,296.054,-1693.581,341.031,-1058.33,1200.79,-31.697,-799.58,1422.91,252.779
8.85,203.267,-740.953,298.893,295.6,-1656.679,354.126,-1010.94,1205.64,-30.887,-759.291,1422.15,253.766
8.86,205.654,-676.656,288.261,295.27,-1618.088,365.372,-963.088,1208.82,-29.86,-717.278,1417.96,255.991
8.87,207.329,-615.92,277.514,295.196,-1577.687,374.544,-914.781,1210.27,-28.559,-673.493,1410.33,259.654
8.88,208.404,-559.192,266.478,295.464,-1535.377,381.492,-866.0,1209.94,-26.922,-628.001,1399.25,265.024
8.89,209.034,-506.853,254.965,296.131,-1491.091,386.132,-816.707,1207.77,-24.887,-580.986,1384.7,272.423
8.9,209.389,-459.191,242.798,297.243,-1444.79,388.432,-766.833,1203.71,-22.391,-532.771,1366.62,282.206
8.91,209.628,-416.364,229.836,298.855,-1396.443,388.413,-716.281,1197.7,-19.361,-483.838,1344.93,294.737
8.92,209.878,-378.388,216.018,301.03,-1346.017,386.139,-664.913,1189.75,-15.716,-434.836,1319.6,310.344
8.93,210.237,-345.134,201.399,303.844,-1293.467,381.722,-612.554,1179.87,-11.367,-386.585,1290.67,329.267
8.94,210.778,-316.335,186.185,307.372,-1238.723,375.311,-558.991,1168.18,-6.207,-340.033,1258.3,351.603
8.95,211.563,-291.624,170.758,311.676,-1181.693,367.094,-503.996,1154.87,-0.121,-296.215,1222.78,377.25
8.96,212.654,-270.581,155.658,316.804,-1122.263,357.295,-447.336,1140.28,7.019,-256.153,1184.67,405.873
