Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
26.45,374.382,1078.547,230.537,161.285,483.941,85.881,436.999,1207.0,286.869,570.521,1184.51,-12.47
26.46,379.444,1053.514,237.513,162.728,474.836,84.183,414.853,1200.75,285.879,540.226,1180.92,-14.198
26.47,383.9,1026.822,244.281,164.154,467.966,83.221,392.677,1193.36,285.469,509.073,1176.85,-15.581
26.48,387.7,998.282,250.691,165.559,462.858,83.023,370.476,1185.03,285.634,477.133,1172.61,-16.489
26.49,390.815,967.781,256.561,166.934,459.086,83.468,348.29,1176.0,286.361,444.524,1168.54,-16.782
26.5,393.227,935.293,261.689,168.25,456.292,84.335,326.198,1166.58,287.634,411.41,1165.05,-16.319
26.51,394.928,900.884,265.873,169.465,454.207,85.387,304.31,1157.15,289.427,377.988,1162.47,-14.976
26.52,395.916,864.686,268.922,170.525,452.637,86.427,282.754,1148.07,291.706,344.486,1161.12,-12.655
26.53,396.199,826.868,270.663,171.385,451.459,87.341,261.646,1139.75,294.436,311.129,1161.21,-9.3
26.54,395.795,787.605,270.947,172.018,450.588,88.095,241.074,1132.54,297.587,278.118,1162.84,-4.9
26.55,394.731,747.056,269.651,172.429,449.96,88.718,221.073,1126.73,301.135,245.619,1166.0,0.505
26.56,393.044,705.343,266.689,172.653,449.512,89.28,201.62,1122.52,305.068,213.752,1170.59,6.831
26.57,390.783,662.551,262.022,172.741,449.174,89.872,182.638,1120.0,309.38,182.588,1176.41,13.957
26.58,388.002,618.727,255.673,172.743,448.868,90.607,164.017,1119.18,314.06,152.169,1183.28,21.732
26.59,384.754,573.885,247.734,172.687,448.508,91.617,145.629,1119.96,319.084,122.508,1190.95,29.994
26.6,381.083,528.011,238.372,172.571,447.998,93.054,127.354,1122.17,324.406,93.597,1199.23,38.579
26.61,377.02,481.074,227.823,172.364,447.228,95.081,109.088,1125.59,329.963,65.415,1207.89,47.33
26.62,372.582,433.038,216.384,172.023,446.07,97.855,90.751,1130.02,335.675,37.923,1216.77,56.105
26.63,367.788,383.876,204.399,171.501,444.376,101.505,72.279,1135.2,341.46,11.065,1225.67,64.782
26.64,362.663,333.589,192.242,170.762,441.983,106.108,53.625,1140.91,347.237,-15.226,1234.45,73.25
26.65,357.255,282.231,180.299,169.783,438.72,111.677,34.747,1146.96,352.935,-41.025,1242.98,81.418
26.66,351.638,229.92,168.947,168.545,434.422,118.152,15.605,1153.13,358.49,-66.409,1251.11,89.205
26.67,345.905,176.863,158.53,167.027,428.94,125.417,-3.835,1159.28,363.849,-91.449,1258.73,96.544
26.68,340.164,123.363,149.334,165.196,422.159,133.313,-23.609,1165.24,368.965,-116.209,1265.72,103.375
26.69,334.523,69.829,141.563,163.006,414.004,141.666,-43.743,1170.91,373.804,-140.747,1271.95,109.648
26.7,329.083,16.771,135.319,160.408,404.444,150.309,-64.269,1176.16,378.336,-165.109,1277.33,115.312
26.71,323.928,-35.218,130.585,157.362,393.495,159.101,-85.209,1180.9,382.545,-189.342,1281.75,120.317
26.72,319.124,-85.489,127.219,153.855,381.208,167.934,-106.587,1185.06,386.419,-213.486,1285.13,124.61
26.73,314.72,-133.377,124.971,149.913,367.657,176.734,-128.422,1188.56,389.953,-237.579,1287.37,128.14
26.74,310.744,-178.252,123.506,145.603,352.925,185.452,-150.736,1191.35,393.143,-261.658,1288.41,130.856
26.75,307.205,-219.561,122.449,141.023,337.096,194.064,-173.544,1193.39,395.989,-285.749,1288.18,132.711
26.76,304.085,-256.87,121.437,136.296,320.238,202.56,-196.87,1194.61,398.488,-309.873,1286.62,133.669
26.77,301.354,-289.888,120.177,131.546,302.397,210.942,-220.723,1195.0,400.634,-334.039,1283.7,133.704
26.78,298.974,-318.482,118.499,126.887,283.581,219.221,-245.12,1194.53,402.42,-358.235,1279.4,132.797
26.79,296.91,-342.669,116.39,122.403,263.746,227.411,-270.068,1193.19,403.828,-382.432,1273.75,130.943
26.8,295.14,-362.614,113.985,118.143,242.783,235.513,-295.58,1191.01,404.837,-406.578,1266.79,128.15
26.81,293.645,-378.61,111.535,114.117,220.518,243.5,-321.667,1188.0,405.415,-430.597,1258.6,124.436
26.82,292.403,-391.07,109.331,110.307,196.721,251.294,-348.344,1184.24,405.527,-454.392,1249.32,119.838
26.83,291.381,-400.493,107.623,106.686,171.145,258.763,-375.623,1179.83,405.137,-477.848,1239.13,114.41
26.84,290.53,-407.433,106.553,103.231,143.565,265.725,-403.507,1174.95,404.205,-500.833,1228.23,108.228
