Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
19.35,375.737,1952.784,435.478,207.758,1209.329,78.966,1166.81,1155.54,244.832,1320.35,1088.55,-3.421
19.36,381.481,1898.147,453.456,211.149,1192.356,74.663,1127.36,1137.86,250.585,1265.44,1083.03,-2.444
19.37,386.883,1840.212,468.546,214.437,1178.721,71.528,1088.06,1119.58,257.906,1208.88,1079.5,-0.513
19.38,391.877,1779.817,480.159,217.551,1168.356,69.802,1049.56,1101.49,266.819,1151.55,1078.62,2.594
19.39,396.436,1717.683,487.957,220.405,1160.886,69.39,1012.33,1084.45,277.269,1094.12,1080.88,7.054
19.4,400.546,1654.437,491.794,222.907,1155.785,69.948,976.642,1069.23,289.11,1037.22,1086.53,12.978
19.41,404.185,1590.619,491.666,224.986,1152.506,71.078,942.59,1056.57,302.125,981.355,1095.59,20.393
19.42,407.329,1526.671,487.661,226.603,1150.542,72.479,910.142,1047.03,316.031,926.979,1107.78,29.231
19.43,409.947,1462.906,479.941,227.759,1149.447,74.011,879.15,1040.92,330.503,874.419,1122.58,39.336
19.44,412.008,1399.473,468.726,228.493,1148.822,75.701,849.385,1038.35,345.208,823.874,1139.33,50.476
19.45,413.473,1336.334,454.292,228.85,1148.297,77.716,820.57,1039.14,359.832,775.407,1157.24,62.388
19.46,414.298,1273.281,436.979,228.865,1147.503,80.335,792.413,1042.94,374.109,728.956,1175.62,74.806
19.47,414.44,1209.977,417.191,228.546,1146.051,83.896,764.645,1049.26,387.828,684.357,1193.8,87.491
19.48,413.858,1146.021,395.399,227.881,1143.517,88.723,737.028,1057.58,400.83,641.388,1211.24,100.237
19.49,412.528,1081.002,372.128,226.847,1139.453,95.073,709.379,1067.35,413.0,599.803,1227.55,112.884
19.5,410.45,1014.558,347.931,225.418,1133.408,103.094,681.547,1078.1,424.261,559.352,1242.43,125.308
19.51,407.656,946.409,323.359,223.576,1125.001,112.816,653.419,1089.37,434.564,519.8,1255.66,137.414
19.52,404.2,876.398,298.934,221.304,1113.998,124.178,624.904,1100.74,443.881,480.932,1267.07,149.127
19.53,400.148,804.506,275.131,218.592,1100.378,137.089,595.916,1111.89,452.209,442.556,1276.55,160.382
19.54,395.559,730.874,252.379,215.451,1084.36,151.497,566.382,1122.48,459.568,404.505,1284.02,171.128
19.55,390.473,655.811,231.058,211.935,1066.329,167.418,536.215,1132.27,466.004,366.637,1289.41,181.307
19.56,384.932,579.808,211.492,208.136,1046.716,184.91,505.324,1141.03,471.59,328.837,1292.7,190.858
19.57,379.0,503.533,193.947,204.168,1025.857,204.012,473.598,1148.58,476.406,291.012,1293.85,199.702
19.58,372.781,427.819,178.614,200.141,1003.894,224.701,440.916,1154.74,480.533,253.097,1292.86,207.749
19.59,366.42,353.63,165.582,196.134,980.718,246.882,407.145,1159.38,484.038,215.045,1289.73,214.906
19.6,360.082,282.018,154.808,192.183,955.981,270.392,372.141,1162.39,486.979,176.815,1284.4,221.11
19.61,353.947,214.067,146.099,188.272,929.156,294.995,335.756,1163.67,489.406,138.383,1276.88,226.314
19.62,348.181,150.806,139.116,184.361,899.642,320.373,297.853,1163.2,491.354,99.75,1267.22,230.474
19.63,342.909,93.125,133.4,180.409,866.868,346.114,258.311,1161.01,492.834,60.941,1255.44,233.536
19.64,338.193,41.675,128.44,176.389,830.392,371.71,217.035,1157.2,493.836,22.0,1241.67,235.43
19.65,334.036,-3.192,123.779,172.295,789.956,396.578,173.955,1151.95,494.321,-17.006,1226.08,236.069
19.66,330.409,-41.434,119.121,168.139,745.516,420.102,129.034,1145.51,494.233,-55.979,1209.0,235.354
19.67,327.28,-73.268,114.414,163.946,697.226,441.682,82.262,1138.2,493.492,-94.779,1190.79,233.187
19.68,324.615,-99.09,109.857,159.749,645.39,460.777,33.676,1130.4,492.014,-133.217,1171.98,229.481
19.69,322.361,-119.402,105.827,155.592,590.416,476.934,-16.637,1122.57,489.714,-171.063,1153.17,224.175
19.7,320.432,-134.798,102.734,151.53,532.763,489.8,-68.518,1115.22,486.509,-208.082,1135.03,217.26
19.71,318.733,-145.994,100.847,147.632,472.933,499.13,-121.727,1108.9,482.324,-244.049,1118.26,208.789
19.72,317.19,-153.806,100.162,143.982,411.451,504.792,-175.935,1104.19,477.093,-278.786,1103.51,198.894
19.73,315.779,-159.04,100.416,140.672,348.856,506.757,-230.731,1101.64,470.784,-312.157,1091.34,187.772
19.74,314.52,-162.398,101.231,137.808,285.669,505.075,-285.638,1101.67,463.417,-344.097,1082.16,175.658
