Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.145,84.70750000000001,-2452.4795000000004,122.07300000000001,245.762,-1838.9434999999999,98.851,-1852.97,929.7655,-154.8405,-2375.755,858.6285,360.5915
6.165,81.1925,-2443.7375,131.62349999999998,245.2295,-1831.166,96.12700000000001,-1830.4,928.405,-153.6685,-2350.83,857.9200000000001,360.71500000000003
6.1850000000000005,76.9805,-2430.808,143.1775,246.1955,-1824.8735,94.8115,-1810.545,925.05,-152.04500000000002,-2321.83,857.0495,361.569
6.205,72.352,-2412.4660000000003,156.748,247.63400000000001,-1819.8725,94.5115,-1793.38,919.832,-149.945,-2288.895,855.9645,363.2605
6.225,67.6695,-2388.102,172.149,248.589,-1815.859,94.6105,-1778.8400000000001,912.912,-147.329,-2252.27,854.5285,365.967
6.245,63.432,-2357.746,188.692,248.673,-1812.8285,94.7175,-1766.7649999999999,904.5085,-144.172,-2212.215,852.6665,369.79600000000005
6.265,60.1605,-2321.7259999999997,204.98649999999998,248.1055,-1810.9545,94.79650000000001,-1757.065,894.9545,-140.46699999999998,-2168.92,850.5055,374.653
6.285,58.1325,-2280.3419999999996,219.269,247.334,-1810.126,94.90899999999999,-1749.725,884.784,-136.24849999999998,-2122.57,848.331,380.27700000000004
6.305,57.2205,-2233.8630000000003,229.905,246.65800000000002,-1809.9435,95.064,-1744.775,874.6675,-131.55,-2073.295,846.5505,386.327
6.325,56.9725,-2182.8,235.6855,246.104,-1809.924,95.1945,-1742.1799999999998,865.2545,-126.344,-2021.3600000000001,845.604,392.562
6.345,56.8925,-2127.8605,236.0655,245.5725,-1809.7485,95.226,-1741.625,857.001,-120.62,-1967.0300000000002,845.847,398.863
6.365,56.629999999999995,-2069.6035,231.172,245.04250000000002,-1809.4125,95.189,-1742.545,850.07,-114.452,-1910.725,847.4805,405.077
6.385,56.0205,-2008.266,221.59750000000003,244.601,-1809.1154999999999,95.23150000000001,-1744.28,844.3335,-108.01750000000001,-1852.895,850.5645,411.076
6.405,55.0645,-1943.8475,208.1895,244.29500000000002,-1808.9470000000001,95.45500000000001,-1746.255,839.46,-101.5145,-1794.045,855.0415,416.7725
6.425,53.8585,-1876.259,191.94,244.1325,-1808.8175,95.826,-1747.98,835.0915,-95.1845,-1734.645,860.8315,422.0875
6.445,52.5095,-1805.4425,173.9525,244.019,-1808.566,96.193,-1749.08,831.039,-89.324,-1675.2,867.8985,426.922
6.465,51.1245,-1731.526,155.52949999999998,243.7935,-1808.096,96.4245,-1749.2649999999999,827.2674999999999,-84.15950000000001,-1616.285,876.185,431.11
6.485,49.7935,-1655.087,138.228,243.39999999999998,-1807.444,96.55,-1748.33,823.8085,-79.768,-1558.395,885.5585000000001,434.57399999999996
6.505,48.628,-1577.315,123.6505,242.918,-1806.7130000000002,96.71950000000001,-1746.06,820.7055,-76.11250000000001,-1501.925,895.8209999999999,437.37
6.525,47.815,-1500.0059999999999,113.05099999999999,242.4175,-1805.939,97.0735,-1742.2649999999999,817.9559999999999,-73.16,-1447.305,906.7475,439.547
6.545,47.648,-1425.416,106.89,241.849,-1805.059,97.6915,-1736.8000000000002,815.4935,-70.9325,-1394.905,918.0715,441.08000000000004
6.5649999999999995,48.3805,-1356.0825,104.682,241.099,-1803.953,98.67750000000001,-1729.455,813.191,-69.39349999999999,-1345.0900000000001,929.4285,441.9125
6.585,50.0085,-1294.5875,105.078,240.1505,-1802.522,100.291,-1720.0,810.9069999999999,-68.45750000000001,-1298.155,940.366,442.00350000000003
6.605,52.366,-1243.125,106.14500000000001,239.1625,-1800.6765,102.9365,-1708.185,808.6185,-68.12950000000001,-1254.3200000000002,950.4675,441.3725
6.625,55.1545,-1202.9859999999999,106.09299999999999,238.499,-1798.207,106.98,-1693.8049999999998,806.4575,-68.4435,-1213.77,959.392,440.034
