Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.615,109.7315,-1709.88,126.2235,341.077,-1036.7939999999999,108.47149999999999,-1078.665,949.4395,-63.286,-1342.1100000000001,835.649,480.67999999999995
5.635,108.23599999999999,-1698.891,137.4905,340.97950000000003,-1026.3670000000002,105.199,-1061.4650000000001,939.8505,-62.992999999999995,-1313.745,832.644,482.6655
5.655,106.469,-1682.1174999999998,151.909,341.2105,-1018.873,103.4815,-1047.22,929.7515000000001,-62.566500000000005,-1284.065,831.553,484.50250000000005
5.675,104.6125,-1658.1979999999999,169.404,341.7315,-1014.0264999999999,103.13,-1035.94,919.7439999999999,-61.924499999999995,-1253.045,832.4780000000001,486.0535
5.695,102.745,-1626.6185,189.3795,342.435,-1011.437,103.53,-1027.305,910.3655,-60.952,-1220.66,835.2345,487.20399999999995
5.715,100.9165,-1588.0005,210.663,343.0815,-1010.3679999999999,104.049,-1020.685,902.0125,-59.5385,-1186.85,839.3375000000001,488.03700000000003
5.735,99.291,-1543.779,231.5695,343.3985,-1010.0735,104.343,-1015.24,894.954,-57.6595,-1151.57,844.204,488.74649999999997
5.755,98.09649999999999,-1495.442,250.127,343.31449999999995,-1010.0274999999999,104.416,-1010.1949999999999,889.4365,-55.435,-1114.955,849.4085,489.4315
5.775,97.428,-1443.9395,264.418,342.98,-1009.9300000000001,104.4485,-1004.92,885.7049999999999,-53.134,-1077.255,854.8095000000001,490.033
5.795,97.22399999999999,-1389.682,272.966,342.552,-1009.6610000000001,104.588,-998.8979999999999,883.8835,-51.107,-1038.83,860.4955,490.4105
5.8149999999999995,97.4435,-1332.826,275.044,342.07,-1009.2325000000001,104.8835,-991.738,883.8095,-49.644999999999996,-1000.0255,866.584,490.4865
5.835,98.0895,-1273.4455,270.7375,341.50300000000004,-1008.7185,105.3235,-983.1895,885.0065,-48.854,-961.1320000000001,873.067,490.278
5.855,99.0955,-1211.5720000000001,260.754,340.834,-1008.174,105.874,-973.146,886.8045,-48.692499999999995,-922.3444999999999,879.7539999999999,489.804
5.875,100.27449999999999,-1147.1775,246.122,340.115,-1007.6120000000001,106.5165,-961.6044999999999,888.5025,-49.089,-883.7475,886.3485000000001,489.0125
5.895,101.346,-1080.1305,227.96800000000002,339.475,-1007.0335,107.259,-948.6165,889.515,-49.9825,-845.3495,892.5645,487.802
5.915,101.9465,-1010.1990000000001,207.45299999999997,339.0385,-1006.46,108.0955,-934.239,889.4590000000001,-51.304,-807.1324999999999,898.192,486.112
5.9350000000000005,101.7005,-937.148,185.82,338.832,-1005.9205,108.9645,-918.4945,888.157,-52.968500000000006,-769.114,903.0995,483.9595
5.955,100.3595,-860.927,164.4905,338.74649999999997,-1005.402,109.783,-901.375,885.594,-54.8745,-731.3695,907.185,481.4155
5.975,97.8985,-781.9010000000001,145.1495,338.581,-1004.8525,110.52250000000001,-882.8409999999999,881.858,-56.9055,-694.033,910.3525,478.56
5.995,94.49600000000001,-701.111,129.59199999999998,338.17499999999995,-1004.225,111.23400000000001,-862.8285,877.0825,-58.920500000000004,-657.289,912.502,475.4325
6.015,90.4225,-620.4780000000001,119.2375,337.51750000000004,-1003.4935,112.029,-841.2819999999999,871.3935,-60.785,-621.347,913.54,472.031
6.035,85.983,-542.7895000000001,114.5155,336.7175,-1002.622,113.07300000000001,-818.1959999999999,864.8834999999999,-62.4165,-586.3879999999999,913.413,468.373
6.055,81.6265,-471.35,114.47300000000001,335.943,-1001.5285,114.55799999999999,-793.636,857.6475,-63.81400000000001,-552.5595000000001,912.1285,464.521
6.075,78.11449999999999,-409.38300000000004,116.8195,335.39649999999995,-1000.0505,116.68350000000001,-767.7155,849.841,-65.043,-519.989,909.7565,460.57349999999997
6.095,76.35900000000001,-359.3665,118.58949999999999,335.2685,-997.9285,119.6665,-740.5435,841.7139999999999,-66.186,-488.81600000000003,906.428,456.659
6.115,76.81049999999999,-322.251,117.411,335.696,-994.8230000000001,123.7795,-712.1565,833.6134999999999,-67.28450000000001,-459.2045,902.3415,452.9125
6.135,78.9375,-296.70799999999997,112.77600000000001,336.72850000000005,-990.2825,129.3415,-682.4745,825.95,-68.311,-431.32399999999996,897.7684999999999,449.4675
6.155,81.434,-279.2685,106.21799999999999,338.275,-983.624,136.656,-651.328,819.1769999999999,-69.1875,-405.3085,893.0329999999999,446.451
6.175,83.0335,-266.0505,100.054,340.0845,-973.8285000000001,145.9715,-618.5340000000001,813.7645,-69.81450000000001,-381.225,888.504,443.96349999999995
6.195,83.2615,-254.959,95.786,341.7715,-959.587,157.5155,-583.9680000000001,810.1405,-70.1235,-359.074,884.5550000000001,442.0625
6.215,82.53200000000001,-246.027,93.575,342.9085,-939.5350000000001,171.4835,-547.582,808.63,-70.161,-338.7735,881.5084999999999,440.74350000000004
6.235,81.6285,-239.8375,92.816,343.1495,-912.6455,187.87650000000002,-509.379,809.393,-70.1095,-320.11749999999995,879.577,439.957
6.255,81.138,-236.2715,92.8215,342.32349999999997,-878.667,206.25099999999998,-469.4335,812.397,-70.145,-302.7285,878.828,439.6425
6.275,81.251,-234.5795,93.1265,340.3865,-838.2795,225.656,-427.903,817.453,-70.322,-286.11,879.2175,439.692
6.295,81.837,-233.95,93.50450000000001,337.278,-792.749,244.803,-384.97299999999996,824.31,-70.6275,-269.758,880.6455000000001,439.9485
6.3149999999999995,82.60300000000001,-233.79500000000002,93.892,332.9315,-743.3145,262.2445,-340.827,832.7445,-71.0595,-253.28449999999998,882.998,440.324
6.335,83.27250000000001,-233.7405,94.28,327.55100000000004,-690.7729999999999,276.455,-295.69050000000004,842.585,-71.625,-236.503,886.145,440.8565
6.355,83.741,-233.591,94.6655,321.7355,-635.531,286.03,-249.88850000000002,853.6795,-72.3095,-219.43200000000002,889.9255,441.59950000000003
6.375,84.08600000000001,-233.311,95.05199999999999,316.15700000000004,-577.8615,290.04150000000004,-203.8555,865.8495,-73.036,-202.18900000000002,894.094,442.546
6.395,84.44800000000001,-232.95600000000002,95.47200000000001,311.153,-517.9795,288.1915,-158.0805,878.834,-73.6805,-184.8705,898.303,443.645
