Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.125,26.073,-2749.2815,139.1445,246.6005,-2051.1605,96.065,-2026.415,971.2555,-149.7745,-2447.7200000000003,834.379,411.33050000000003
5.145,25.8335,-2730.07,155.123,246.553,-2037.4825,92.81,-2001.25,966.7995,-146.543,-2408.915,830.5795,412.71
5.165,26.09,-2704.27,173.72449999999998,246.905,-2028.744,90.5235,-1980.075,960.9694999999999,-143.8175,-2367.255,827.9485,413.86
5.1850000000000005,26.812,-2671.4565000000002,193.973,247.324,-2023.5795,89.326,-1962.5349999999999,953.9815,-141.5985,-2322.6899999999996,826.6655,414.782
5.205,27.9155,-2631.7264999999998,214.27499999999998,247.522,-2020.7285,89.0655,-1948.1350000000002,946.1324999999999,-139.8415,-2275.1899999999996,826.9,415.4945
5.225,29.2885,-2585.6220000000003,232.6375,247.397,-2019.2469999999998,89.4465,-1936.44,937.7864999999999,-138.50150000000002,-2224.855,828.857,416.0025
5.245,30.7935,-2533.96,247.074,247.0405,-2018.5140000000001,90.16999999999999,-1927.135,929.3555,-137.558,-2171.9799999999996,832.755,416.273
5.265,32.2745,-2477.643,256.0375,246.6255,-2018.146,91.01599999999999,-1919.955,921.2555,-137.00650000000002,-2116.97,838.7570000000001,416.23900000000003
5.285,33.573,-2417.4880000000003,258.71950000000004,246.27800000000002,-2017.9105,91.86500000000001,-1914.565,913.8389999999999,-136.8345,-2060.335,846.8875,415.8055
5.305,34.551500000000004,-2354.099,255.10250000000002,246.00349999999997,-2017.67,92.6645,-1910.51,907.31,-137.00400000000002,-2002.6,856.9895,414.8825
5.325,35.1065,-2287.813,245.811,245.71249999999998,-2017.3525,93.3935,-1907.2649999999999,901.684,-137.45,-1944.27,868.737,413.405
5.345,35.179,-2218.712,231.8715,245.298,-2016.9415,94.0445,-1904.2649999999999,896.79,-138.101,-1885.845,881.717,411.35
5.365,34.753,-2146.6980000000003,214.501,244.70600000000002,-2016.463,94.61500000000001,-1900.985,892.3405,-138.90800000000002,-1827.77,895.5039999999999,408.7325
5.385,33.8515,-2071.6000000000004,194.992,243.95499999999998,-2015.9720000000002,95.1065,-1897.0,888.017,-139.85000000000002,-1770.505,909.7355,405.59450000000004
5.405,32.528,-1993.2935,174.6865,243.1035,-2015.5225,95.525,-1891.975,883.5550000000001,-140.9255,-1714.435,924.114,401.99350000000004
5.425,30.866500000000002,-1911.839,154.9805,242.2,-2015.1390000000001,95.88,-1885.6550000000002,878.7864999999999,-142.1325,-1659.955,938.3955,397.99649999999997
5.445,28.985500000000002,-1827.6565,137.2765,241.25150000000002,-2014.8029999999999,96.202,-1877.83,873.65,-143.45299999999997,-1607.38,952.3305,393.67949999999996
5.465,27.064500000000002,-1741.7185,122.8265,240.23700000000002,-2014.453,96.56649999999999,-1868.25,868.145,-144.85750000000002,-1556.96,965.634,389.12350000000004
5.485,25.355,-1655.7275,112.482,239.1465,-2014.0,97.112,-1856.675,862.3275000000001,-146.30450000000002,-1508.85,977.965,384.41150000000005
5.505,24.1715,-1572.159,106.42099999999999,238.02949999999998,-2013.3415,98.05,-1842.8649999999998,856.2705000000001,-147.76350000000002,-1463.155,988.9545,379.627
5.525,23.820999999999998,-1494.062,104.003,237.02550000000002,-2012.3665,99.642,-1826.585,850.0664999999999,-149.209,-1419.915,998.2360000000001,374.85299999999995
5.545,24.4985,-1424.563,103.8785,236.34449999999998,-2010.926,102.1755,-1807.645,843.837,-150.615,-1379.155,1005.48,370.1855
5.5649999999999995,26.1775,-1366.1635,104.384,236.207,-2008.7795,105.94,-1785.9250000000002,837.7475,-151.948,-1340.915,1010.4549999999999,365.7185
5.585,28.551499999999997,-1320.0755,104.08449999999999,236.74099999999999,-2005.525,111.233,-1761.355,832.011,-153.16649999999998,-1305.2350000000001,1012.995,361.54650000000004
5.605,31.0875,-1285.9025,102.2375,237.89749999999998,-2000.5194999999999,118.384,-1733.8899999999999,826.876,-154.233,-1272.245,1013.0350000000001,357.764
5.625,33.197,-1261.8609999999999,98.9325,239.42149999999998,-1992.8474999999999,127.76149999999998,-1703.51,822.5995,-155.13150000000002,-1242.0349999999999,1010.605,354.4715
5.645,34.4675,-1245.459,94.8755,240.921,-1981.359,139.728,-1670.205,819.3995,-155.88,-1214.7,1005.79,351.784
5.665,34.835,-1234.2935,90.9695,242.006,-1964.825,154.5085,-1633.9450000000002,817.4235000000001,-156.5265,-1190.315,998.7555,349.834
5.6850000000000005,34.586,-1226.5720000000001,87.9235,242.436,-1942.162,171.98250000000002,-1594.7150000000001,816.7394999999999,-157.139,-1168.91,989.7305,348.746
5.705,34.187,-1221.2060000000001,86.05449999999999,242.192,-1912.6655,191.493,-1552.545,817.3720000000001,-157.786,-1150.45,979.025,348.6145
5.725,34.05,-1217.5925,85.305,241.4475,-1876.138,211.75549999999998,-1507.52,819.3489999999999,-158.5245,-1134.9050000000002,967.062,349.4945
5.745,34.364000000000004,-1215.3319999999999,85.384,240.469,-1832.8825,230.9695,-1459.82,822.7585,-159.38400000000001,-1122.1799999999998,954.371,351.394
5.765,35.082499999999996,-1214.0585,85.941,239.507,-1783.565,247.1275,-1409.7150000000001,827.7470000000001,-160.35950000000003,-1112.175,941.587,354.26800000000003
5.785,36.0215,-1213.4025000000001,86.6885,238.73000000000002,-1729.0275000000001,258.4355,-1357.5749999999998,834.4794999999999,-161.40699999999998,-1104.705,929.381,358.01750000000004
5.805,36.9865,-1213.037,87.453,238.21949999999998,-1670.115,263.6755,-1303.8400000000001,843.054,-162.4485,-1099.4450000000002,918.361,362.4705
5.825,37.8545,-1212.7285,88.164,238.00650000000002,-1607.534,262.394,-1248.9650000000001,853.4295,-163.382,-1095.975,908.9515,367.4035
5.845,38.593500000000006,-1212.3525,88.811,238.1295,-1541.7640000000001,254.87099999999998,-1193.415,865.3955000000001,-164.089,-1093.74,901.312,372.5655
5.865,39.234,-1211.88,89.408,238.671,-1473.0175,241.939,-1137.6399999999999,878.596,-164.45499999999998,-1092.125,895.319,377.74
5.885,39.825,-1211.3365,89.9645,239.762,-1401.2730000000001,224.7845,-1082.02,892.587,-164.3795,-1090.5349999999999,890.6395,382.7785
5.905,40.405,-1210.7725,90.4795,241.539,-1326.3715000000002,204.799,-1026.875,906.9075,-163.7895,-1088.4499999999998,886.8485000000001,387.6195
