Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.145,-17.540999999999997,-1908.8435,172.2545,169.55849999999998,-1212.35,121.4165,-1185.0549999999998,1001.6800000000001,-165.54149999999998,-1749.1100000000001,830.7325000000001,367.90650000000005
6.165,-20.3965,-1888.6765,185.02,166.2645,-1199.6085,115.624,-1157.9,1002.575,-165.5645,-1719.8600000000001,830.087,364.494
6.1850000000000005,-24.0595,-1862.165,198.6955,164.452,-1187.382,111.699,-1133.73,1000.825,-165.70299999999997,-1686.865,829.104,360.671
6.205,-28.5355,-1828.8890000000001,212.83749999999998,163.811,-1177.061,109.41,-1112.3,996.4780000000001,-165.99900000000002,-1650.215,827.5360000000001,356.7865
6.225,-33.3455,-1789.077,227.012,163.61,-1169.4724999999999,108.34700000000001,-1093.505,989.6505,-166.5145,-1609.935,825.2215,353.19
6.245,-37.6655,-1743.6149999999998,240.7425,163.0885,-1164.4389999999999,108.12,-1077.405,980.5550000000001,-167.296,-1565.96,822.218,350.1135
6.265,-40.7335,-1693.733,253.404,161.89,-1161.291,108.4235,-1064.19,969.519,-168.3945,-1518.15,818.8405,347.64250000000004
6.285,-42.33,-1640.415,263.985,160.16750000000002,-1159.346,109.01849999999999,-1054.0700000000002,956.9845,-169.878,-1466.385,815.619,345.7665
6.305,-42.927,-1584.069,271.04,158.33249999999998,-1158.104,109.697,-1047.175,943.5050000000001,-171.7855,-1410.7199999999998,813.2125000000001,344.4015
6.325,-43.284000000000006,-1524.7695,273.217,156.7745,-1157.2604999999999,110.2945,-1043.5,929.6985,-174.0925,-1351.4450000000002,812.303,343.375
6.345,-43.8825,-1462.658,269.9735,155.74450000000002,-1156.6399999999999,110.7525,-1042.825,916.184,-176.73250000000002,-1289.06,813.4695,342.447
6.365,-44.7465,-1398.0025,261.72400000000005,155.277,-1156.1255,111.124,-1044.7350000000001,903.5025,-179.63400000000001,-1224.295,817.0915,341.3965
6.385,-45.6125,-1331.01,249.37,155.1755,-1155.6390000000001,111.49549999999999,-1048.605,892.051,-182.7535,-1157.975,823.2865,340.079
6.405,-46.1295,-1261.719,233.832,155.174,-1155.152,111.93299999999999,-1053.74,882.0435,-186.076,-1090.93,831.932,338.392
6.425,-45.982,-1190.0465,215.9455,155.091,-1154.6644999999999,112.4625,-1059.46,873.5345,-189.59699999999998,-1023.97,842.7529999999999,336.179
6.445,-45.006,-1115.9,196.614,154.8475,-1154.1565,113.0675,-1065.125,866.4645,-193.27949999999998,-957.846,855.4155000000001,333.251
6.465,-43.3025,-1039.2965,177.023,154.445,-1153.5695,113.71000000000001,-1070.1399999999999,860.6804999999999,-197.027,-893.1945000000001,869.579,329.5165
