Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.915,176.623,-2119.545,174.407,368.6445,-1297.7905,95.7575,-1302.18,1032.98,100.37299999999999,-1803.3600000000001,844.7365,643.1855
5.9350000000000005,173.2995,-2082.633,196.553,367.88750000000005,-1287.7465,92.9795,-1268.0149999999999,1026.6999999999998,96.399,-1750.495,839.7139999999999,640.7815
5.955,170.4975,-2035.4985,219.31900000000002,367.3905,-1281.9920000000002,91.447,-1237.7849999999999,1014.675,90.4525,-1691.01,834.4169999999999,636.0675
5.975,168.414,-1978.471,240.3585,366.82500000000005,-1278.7205,91.1545,-1211.705,998.296,82.69,-1625.59,829.4245,629.168
5.995,167.08350000000002,-1912.568,257.205,366.04650000000004,-1276.8835,91.73849999999999,-1190.075,979.1435,73.245,-1555.125,825.5565,620.272
6.015,166.37400000000002,-1839.1644999999999,267.8005,365.1335,-1275.9125,92.74000000000001,-1173.075,958.7985,62.2545,-1480.565,823.722,609.587
6.035,166.0455,-1759.6350000000002,270.8925,364.279,-1275.475,93.7985,-1160.655,938.7505000000001,49.884,-1402.92,824.735,597.2975
6.055,165.839,-1675.071,266.192,363.64,-1275.327,94.731,-1152.4299999999998,920.29,36.3565,-1323.17,829.131,583.5519999999999
6.075,165.5385,-1586.125,254.2895,363.224,-1275.258,95.5025,-1147.67,904.3875,21.961,-1242.24,837.0625,568.4839999999999
6.095,164.9925,-1492.987,236.4475,362.892,-1275.096,96.1645,-1145.395,891.597,7.037999999999999,-1160.99,848.3064999999999,552.24
6.115,164.0695,-1395.502,214.38,362.437,-1274.7195000000002,96.791,-1144.435,882.0195,-8.0525,-1080.175,862.3734999999999,535.0125
6.135,162.602,-1293.4035,190.108,361.697,-1274.0755,97.4545,-1143.6550000000002,875.349,-22.9765,-1000.4124999999999,878.6759999999999,517.0605
6.155,160.3705,-1186.6480000000001,165.85500000000002,360.6225,-1273.167,98.2305,-1142.065,870.9995,-37.452,-922.2239999999999,896.6785,498.7105
6.175,157.15449999999998,-1075.8245000000002,143.875,359.28700000000003,-1272.04,99.2295,-1138.87,868.278,-51.263999999999996,-846.0830000000001,915.9694999999999,480.3325
6.195,152.8785,-962.546,126.1385,357.8615,-1270.743,100.619,-1133.5149999999999,866.555,-64.258,-772.471,936.2455,462.3215
6.215,147.757,-849.6705,113.881,356.5725,-1269.286,102.63749999999999,-1125.6100000000001,865.3805,-76.322,-701.8955000000001,957.232,445.079
6.235,142.36700000000002,-741.1759999999999,107.1905,355.67150000000004,-1267.5720000000001,105.58500000000001,-1114.83,864.518,-87.3625,-634.8689999999999,978.5815,429.0075
6.255,137.5355,-641.586,104.89500000000001,355.4,-1265.3000000000002,109.81049999999999,-1100.83,863.8885,-97.281,-571.8330000000001,999.7909999999999,414.50649999999996
6.275,134.053,-555.0495,104.9285,355.95550000000003,-1261.8654999999999,115.70599999999999,-1083.2399999999998,863.4565,-105.9615,-513.0955,1020.18,401.95000000000005
6.295,132.3475,-484.361,105.0955,357.4305,-1256.2595000000001,123.71350000000001,-1061.645,863.1445,-113.26650000000001,-458.773,1038.885,391.6585
6.3149999999999995,132.29899999999998,-430.312,103.8895,359.7685,-1247.0475000000001,134.309,-1035.6100000000001,862.758,-119.0325,-408.799,1054.945,383.8645
6.335,133.3265,-391.6635,100.9505,362.71950000000004,-1232.4645,147.93599999999998,-1004.6955,862.014,-123.09,-362.946,1067.3600000000001,378.6895
6.355,134.699,-365.726,96.94149999999999,365.8525,-1210.657,164.82799999999997,-968.5455,860.6095,-125.29050000000001,-320.895,1075.27,376.159
6.375,135.882,-349.267,92.987,368.61249999999995,-1180.022,184.762,-926.8615,858.2975,-125.543,-282.3165,1078.095,376.212
6.395,136.719,-339.3105,90.0425,370.4365,-1139.536,206.8195,-879.4870000000001,854.9765,-123.8545,-246.9815,1075.55,378.73699999999997
6.415,137.3595,-333.54650000000004,88.526,370.903,-1088.9335,229.30599999999998,-826.4165,850.7360000000001,-120.3365,-214.833,1067.8049999999998,383.58500000000004
6.4350000000000005,138.0395,-330.368,88.311,369.874,-1028.699,249.9305,-767.8015,845.88,-115.184,-186.019,1055.335,390.589
6.455,138.8835,-328.703,88.9575,367.55949999999996,-959.8715,266.24350000000004,-703.9235,840.895,-108.6195,-160.847,1038.915,399.5825
6.475,139.848,-327.842,89.98849999999999,364.45,-883.7625,276.17449999999997,-635.1714999999999,836.3845,-100.8455,-139.686,1019.5450000000001,410.4085
6.495,140.7955,-327.328,91.0745,361.129,-801.6565,278.4705,-562.0315,832.9715000000001,-92.0115,-122.8285,998.3644999999999,422.9125
6.515,141.6065,-326.8905,92.076,358.044,-714.5754999999999,272.88599999999997,-485.09299999999996,831.2025,-82.207,-110.3535,976.596,436.92449999999997
6.535,142.257,-326.39549999999997,93.00200000000001,355.369,-623.1310000000001,260.099,-405.04200000000003,831.4765,-71.47749999999999,-102.033,955.425,452.22299999999996
6.555,142.812,-325.7875,93.93,353.009,-527.504,241.476,-322.649,834.027,-59.8545,-97.31,935.8399999999999,468.5155
6.575,143.3715,-325.054,94.94149999999999,350.75149999999996,-427.54600000000005,218.82299999999998,-238.729,838.9594999999999,-47.3875,-95.34649999999999,918.5285,485.4375
6.595,144.0045,-324.19550000000004,96.09800000000001,348.4515,-323.0095,194.221,-154.103,846.3285000000001,-34.188500000000005,-95.1515,903.826,502.567
6.615,144.70850000000002,-323.217,97.451,346.1445,-213.89800000000002,169.909,-69.5805,856.198,-20.471,-95.7025,891.7415,519.463
6.635,145.41,-322.115,99.07,344.0095,-100.8895,148.119,14.0225,868.6605,-6.572000000000001,-96.029,882.052,535.6995
6.655,145.9905,-320.863,101.0745,342.227,14.261999999999999,130.75650000000002,95.85249999999999,883.7965,7.064,-95.2175,874.4169999999999,550.895
6.675,146.3295,-319.38649999999996,103.652,340.8105,128.527,118.9505,174.98700000000002,901.579,19.930500000000002,-92.37700000000001,868.4655,564.73
6.695,146.32049999999998,-317.51599999999996,107.05199999999999,339.5415,237.779,112.6545,250.4575,921.7435,31.533,-86.582,863.8344999999999,576.952
