Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.81,283.314,-3536.219,347.813,488.161,-2978.879,172.041,434.716,-2985.927,872.806,271.456,-2891.234,1179.332,817.155,-3180.553,964.227,450.59,-2975.177,364.206,281.774,-3355.209,296.847,253.682,-2923.806,849.42,736.842,-3453.946,843.977,406.63,-3121.58,1014.36,34.964,6.054,5.579,2.952,-0.489,-8.565,-8.364,1.831,3.712,-8.364,-1.831,-3.712,-44.775,-3.491,1.429,-43.654,0.88,-0.243,0.52,0.063,1.594,0.153,-0.044,0.665,110.412,1.445,4.997,-130.62,0.51,0.266
9.82,283.67,-3507.343,352.067,487.453,-2968.344,168.399,437.882,-2962.358,867.773,270.725,-2870.479,1171.126,821.991,-3147.103,957.995,449.521,-2957.02,359.373,283.414,-3326.015,302.05,254.216,-2906.19,840.954,744.941,-3418.757,831.062,407.914,-3097.86,1007.6,34.642,6.752,5.521,3.512,-1.52,-8.565,-7.293,1.832,3.078,-7.293,-1.832,-3.078,-44.897,-4.048,1.849,-44.282,1.021,-0.731,0.551,0.074,1.724,0.041,-0.053,0.696,166.295,3.293,0.775,-133.817,-0.937,1.839
9.83,284.113,-3475.354,355.899,486.835,-2958.436,165.198,441.476,-2937.686,862.41,270.01,-2848.426,1161.871,826.916,-3110.603,951.448,448.704,-2938.764,354.677,285.253,-3293.503,307.073,254.506,-2888.25,831.496,753.635,-3380.069,816.878,409.22,-3072.71,1000.42,34.337,7.62,5.398,4.214,-2.779,-8.623,-6.144,2.002,2.34,-6.144,-2.002,-2.34,-44.801,-4.45,2.111,-44.735,1.192,-1.326,0.5,0.074,1.742,-0.118,-0.057,0.719,203.63,3.427,-3.807,-132.88,-3.301,2.82
9.84,284.637,-3440.788,358.992,486.331,-2949.597,162.579,445.332,-2912.553,856.932,269.378,-2825.626,1151.795,831.661,-3071.722,944.979,448.249,-2921.198,350.308,287.342,-3258.186,311.776,254.508,-2870.59,821.389,762.646,-3338.496,801.868,410.514,-3046.74,993.108,34.064,8.607,5.18,5.091,-4.225,-8.68,-4.97,2.341,1.538,-4.97,-2.341,-1.538,-44.507,-4.684,2.175,-44.918,1.391,-2.02,0.393,0.06,1.655,-0.308,-0.058,0.723,225.51,1.875,-8.0,-128.547,-6.085,3.126
9.85,285.24,-3404.131,361.064,485.945,-2942.103,160.584,449.263,-2887.408,851.548,268.911,-2802.469,1141.206,835.982,-3031.009,939.014,448.217,-2904.983,346.4,289.72,-3220.557,316.063,254.226,-2853.565,810.996,771.692,-3294.569,786.56,411.783,-3020.43,985.937,33.803,9.629,4.846,6.178,-5.785,-8.678,-3.831,2.81,0.716,-3.831,-2.81,-0.716,-44.007,-4.751,2.059,-44.798,1.619,-2.759,0.257,0.034,1.485,-0.51,-0.054,0.704,235.793,-1.357,-11.269,-120.827,-8.922,2.832
9.86,285.919,-3365.789,361.877,485.665,-2936.062,159.175,453.056,-2862.544,846.438,268.622,-2779.266,1130.406,839.649,-2988.939,934.011,448.613,-2890.605,343.031,292.437,-3181.078,319.984,253.674,-2837.398,800.7,780.481,-3248.699,771.495,413.028,-2994.15,979.172,33.512,10.583,4.388,7.52,-7.36,-8.545,-2.78,3.344,-0.079,-2.78,-3.344,0.079,-43.379,-4.667,1.781,-44.377,1.885,-3.495,0.112,-0.002,1.261,-0.703,-0.046,0.663,237.526,-6.394,-13.286,-110.244,-11.473,2.107
9.87,286.681,-3326.086,361.238,485.47,-2931.443,158.26,456.501,-2838.081,841.745,268.52,-2756.198,1119.713,842.49,-2945.926,930.386,449.38,-2878.376,340.236,295.526,-3140.134,323.622,252.894,-2822.157,790.892,788.739,-3201.175,757.217,414.265,-2968.09,973.016,33.133,11.359,3.803,9.145,-8.836,-8.227,-1.879,3.867,-0.807,-1.879,-3.867,0.807,-42.696,-4.442,1.389,-43.727,2.186,-4.17,-0.028,-0.045,1.015,-0.867,-0.035,0.607,233.052,-13.097,-14.03,-98.907,-13.073,1.259
9.88,287.54,-3285.265,359.006,485.334,-2928.113,157.732,459.431,-2814.011,837.578,268.53,-2733.356,1109.371,844.39,-2902.291,928.508,450.405,-2868.382,338.019,298.994,-3098.066,327.054,251.918,-2807.734,781.925,796.197,-3152.227,744.211,415.518,-2942.36,967.641,32.605,11.861,3.107,11.07,-10.104,-7.697,-1.168,4.297,-1.442,-1.168,-4.297,1.442,-42.004,-4.11,0.952,-42.917,2.526,-4.746,-0.158,-0.091,0.778,-0.988,-0.023,0.552,223.698,-21.122,-13.583,-87.382,-12.875,0.45
9.89,288.518,-3243.491,355.093,485.232,-2925.87,157.495,461.737,-2790.222,834.02,268.524,-2710.8,1099.662,845.296,-2858.368,928.659,451.538,-2860.575,336.36,302.886,-3055.214,330.482,250.739,-2793.986,774.108,802.633,-3102.047,732.94,416.81,-2916.98,963.169,31.869,12.025,2.325,13.284,-11.069,-6.974,-0.674,4.569,-1.973,-0.674,-4.569,1.973,-41.417,-3.716,0.527,-42.076,2.874,-5.181,-0.274,-0.133,0.575,-1.06,-0.01,0.511,209.058,-29.914,-12.071,-76.858,-10.807,-0.309
9.9,289.642,-3200.867,349.467,485.142,-2924.481,157.487,463.375,-2766.62,831.125,268.332,-2688.581,1090.81,845.209,-2814.442,931.013,452.598,-2854.732,335.223,307.174,-3011.879,333.946,249.342,-2780.669,767.669,807.868,-3050.837,723.767,418.161,-2891.92,959.686,30.9,11.829,1.489,15.749,-11.672,-6.127,-0.417,4.639,-2.409,-0.417,-4.639,2.409,-40.946,-3.312,0.177,-41.297,3.212,-5.46,-0.379,-0.169,0.421,-1.084,0.005,0.498,188.978,-38.646,-9.804,-68.527,-7.138,-0.928
9.91,290.946,-3157.435,342.153,485.048,-2923.702,157.698,464.38,-2743.08,828.939,267.786,-2666.668,1082.962,844.171,-2770.767,935.634,453.45,-2850.474,334.564,311.848,-2968.349,337.526,247.689,-2767.556,762.742,811.784,-2998.79,716.983,419.582,-2867.1,957.25,29.695,11.294,0.634,18.397,-11.886,-5.251,-0.397,4.487,-2.781,-0.397,-4.487,2.781,-40.646,-2.958,-0.059,-40.649,3.498,-5.596,-0.471,-0.195,0.325,-1.063,0.023,0.521,163.687,-46.48,-7.096,-61.701,-2.7,-1.357
9.92,292.467,-3113.195,333.24,484.94,-2923.296,158.162,464.835,-2719.507,827.486,266.719,-2645.101,1076.269,842.235,-2727.564,942.491,453.994,-2847.337,334.33,316.854,-2924.905,341.181,245.733,-2754.421,759.41,814.314,-2946.137,712.76,421.07,-2842.43,955.886,28.281,10.483,-0.184,21.154,-11.729,-4.46,-0.615,4.119,-3.128,-0.615,-4.119,3.128,-40.502,-2.703,-0.154,-40.193,3.707,-5.597,-0.552,-0.208,0.284,-1.005,0.043,0.583,133.802,-52.813,-4.27,-56.403,1.236,-1.617
9.93,294.241,-3068.112,322.876,484.813,-2923.032,158.963,464.876,-2695.823,826.791,265.024,-2623.852,1070.819,839.466,-2685.012,951.457,454.219,-2844.74,334.452,322.119,-2881.779,344.83,243.429,-2741.096,757.663,815.474,-2893.167,711.189,422.616,-2817.85,955.604,26.693,9.48,-0.907,23.926,-11.252,-3.861,-1.05,3.552,-3.5,-1.05,-3.552,3.5,-40.489,-2.576,-0.11,-39.924,3.821,-5.501,-0.621,-0.21,0.293,-0.919,0.067,0.679,100.556,-57.134,-1.71,-52.333,3.559,-1.646
9.94,296.303,-3022.128,311.27,484.669,-2922.692,160.214,464.646,-2671.971,826.867,262.66,-2602.923,1066.652,835.911,-2643.258,962.348,454.174,-2841.996,334.861,327.557,-2839.176,348.357,240.759,-2727.46,757.449,815.339,-2840.179,712.267,424.202,-2793.27,956.379,24.975,8.373,-1.467,26.625,-10.523,-3.535,-1.667,2.812,-3.938,-1.667,-2.812,3.938,-40.602,-2.587,0.057,-39.837,3.841,-5.33,-0.677,-0.2,0.34,-0.811,0.092,0.801,65.959,-59.526,0.343,-47.93,3.593,-1.511
9.95,298.68,-2975.178,298.681,484.516,-2922.063,162.044,464.282,-2647.912,827.72,259.659,-2582.313,1063.807,831.622,-2602.413,974.921,453.962,-2838.413,335.47,333.055,-2797.169,351.583,237.748,-2713.469,758.664,814.016,-2787.512,715.891,425.807,-2768.66,958.159,23.164,7.239,-1.801,29.167,-9.622,-3.53,-2.434,1.93,-4.476,-2.434,-1.93,4.476,-40.783,-2.72,0.311,-39.894,3.78,-5.101,-0.72,-0.183,0.409,-0.688,0.117,0.936,31.982,-60.103,1.807,-42.631,1.29,-1.327
9.96,301.391,-2927.201,285.412,484.372,-2920.931,164.58,463.9,-2623.596,829.339,256.114,-2561.972,1062.236,826.646,-2562.561,988.904,453.699,-2833.323,336.17,338.517,-2755.793,354.383,234.472,-2699.085,761.153,811.659,-2735.502,721.859,427.413,-2743.96,960.88,21.285,6.131,-1.853,31.482,-8.618,-3.85,-3.297,0.935,-5.131,-3.297,-0.935,5.131,-41.007,-2.939,0.62,-40.023,3.658,-4.828,-0.753,-0.16,0.488,-0.555,0.136,1.072,-0.235,-58.946,2.627,-35.483,-2.703,-1.135
9.97,304.444,-2878.162,271.798,484.265,-2919.088,167.931,463.566,-2598.966,831.704,252.168,-2541.908,1061.897,821.039,-2523.75,1004.006,453.538,-2826.134,336.818,343.855,-2715.005,356.656,231.035,-2684.316,764.763,808.457,-2684.481,729.914,429.007,-2719.15,964.45,19.365,5.073,-1.611,33.506,-7.567,-4.457,-4.206,-0.147,-5.895,-4.206,0.147,5.895,-41.237,-3.19,0.945,-40.205,3.494,-4.508,-0.778,-0.136,0.564,-0.415,0.147,1.195,-29.962,-56.31,2.926,-25.68,-7.204,-0.948
9.98,307.838,-2828.067,258.189,484.232,-2916.333,172.168,463.315,-2573.995,834.776,247.991,-2522.043,1062.681,814.867,-2486.02,1019.92,453.603,-2816.43,337.219,349.018,-2674.739,358.378,227.587,-2669.204,769.298,804.594,-2634.741,739.718,430.58,-2694.23,968.762,17.417,4.069,-1.085,35.2,-6.502,-5.291,-5.106,-1.289,-6.744,-5.106,1.289,6.744,-41.481,-3.428,1.266,-40.412,3.293,-4.136,-0.799,-0.112,0.627,-0.272,0.146,1.293,-58.262,-52.228,2.857,-13.595,-10.807,-0.744
9.99,311.56,-2776.979,244.936,484.322,-2912.479,177.315,463.148,-2548.643,838.485,243.748,-2502.362,1064.507,808.218,-2449.387,1036.329,454.048,-2804.024,337.127,353.971,-2634.862,359.549,224.29,-2653.785,774.572,800.269,-2586.541,750.908,432.133,-2669.18,973.693,15.458,3.112,-0.336,36.54,-5.443,-6.267,-5.974,-2.464,-7.637,-5.974,2.464,7.637,-41.686,-3.624,1.572,-40.632,3.071,-3.713,-0.819,-0.088,0.67,-0.13,0.134,1.358,-86.933,-47.032,2.55,0.417,-12.263,-0.526
10.0,315.588,-2725.042,232.375,484.593,-2907.366,183.35,463.04,-2522.877,842.737,239.601,-2482.781,1067.202,801.18,-2413.83,1052.926,455.05,-2788.912,336.271,358.705,-2595.283,360.239,221.301,-2638.079,780.384,795.666,-2540.113,763.072,433.667,-2644.0,979.107,13.508,2.196,0.536,37.514,-4.39,-7.287,-6.776,-3.637,-8.524,-6.776,3.637,8.524,-41.831,-3.755,1.863,-40.911,2.852,-3.241,-0.844,-0.065,0.691,0.007,0.111,1.384,-118.264,-41.034,2.19,15.559,-10.785,-0.326
10.01,319.897,-2672.49,220.808,485.104,-2900.871,190.203,462.965,-2496.717,847.405,235.66,-2463.247,1070.615,793.86,-2379.346,1069.395,456.819,-2771.358,334.397,363.242,-2555.932,360.579,218.761,-2622.057,786.544,790.969,-2495.62,775.805,435.186,-2618.7,984.861,11.592,1.326,1.41,38.144,-3.341,-8.242,-7.507,-4.777,-9.352,-7.507,4.777,9.352,-41.933,-3.834,2.152,-41.24,2.663,-2.765,-0.874,-0.043,0.69,0.135,0.081,1.369,-155.195,-34.347,1.881,30.236,-6.193,-0.217
10.02,324.454,-2619.658,210.48,485.915,-2892.917,197.765,462.904,-2470.192,852.334,232.042,-2443.683,1074.571,786.372,-2345.892,1085.421,459.534,-2751.878,331.36,367.577,-2516.694,360.678,216.754,-2605.726,792.872,786.334,-2453.156,788.701,436.691,-2593.26,990.798,9.738,0.522,2.162,38.461,-2.296,-9.045,-8.181,-5.848,-10.076,-8.181,5.848,10.076,-41.916,-3.895,2.436,-41.673,2.545,-2.326,-0.911,-0.022,0.671,0.25,0.047,1.316,-199.485,-27.089,1.603,42.908,0.756,-0.282
10.03,329.221,-2566.978,201.564,487.079,-2883.479,205.907,462.846,-2443.352,857.346,228.808,-2424.027,1078.898,778.84,-2313.463,1100.703,463.33,-2731.063,327.156,371.711,-2477.553,360.696,215.335,-2589.004,799.166,781.896,-2412.847,801.355,438.183,-2567.72,996.763,7.98,-0.181,2.673,38.511,-1.262,-9.607,-8.807,-6.813,-10.657,-8.807,6.813,10.657,-41.751,-3.962,2.717,-42.207,2.535,-1.988,-0.956,-0.003,0.636,0.35,0.015,1.23,-251.184,-19.65,1.341,52.093,8.594,-0.497
10.04,334.158,-2514.97,194.144,488.633,-2872.583,214.487,462.805,-2416.3,862.242,225.99,-2404.164,1083.381,771.395,-2282.046,1114.929,468.197,-2709.616,322.01,375.64,-2438.583,360.794,214.507,-2571.807,805.28,777.791,-2374.742,813.404,439.656,-2542.07,1002.58,6.356,-0.741,2.864,38.35,-0.252,-9.858,-9.419,-7.643,-11.073,-9.419,7.643,11.073,-41.418,-4.063,2.988,-42.861,2.642,-1.797,-1.005,0.014,0.591,0.432,-0.013,1.118,-308.561,-12.335,1.03,57.37,15.794,-0.741
10.05,339.218,-2464.215,188.202,490.595,-2860.299,223.366,462.805,-2389.128,866.825,223.604,-2384.041,1087.854,764.189,-2251.661,1127.809,473.944,-2688.179,316.335,379.365,-2399.972,361.093,214.223,-2554.019,811.042,774.113,-2338.891,824.498,441.106,-2516.36,1008.08,4.903,-1.122,2.696,38.04,0.705,-9.768,-10.026,-8.314,-11.313,-10.026,8.314,11.313,-40.895,-4.211,3.228,-43.602,2.869,-1.775,-1.056,0.027,0.542,0.497,-0.036,0.992,-368.066,-5.614,0.591,59.765,21.127,-0.816
10.06,344.35,-2415.321,183.617,492.964,-2846.731,232.416,462.875,-2361.924,870.911,221.636,-2363.542,1092.118,757.374,-2222.282,1139.048,480.223,-2667.181,310.674,382.905,-2362.041,361.639,214.414,-2535.516,816.274,770.933,-2305.295,834.297,442.529,-2490.6,1013.09,3.664,-1.301,2.188,37.637,1.581,-9.314,-10.651,-8.807,-11.381,-10.651,8.807,11.381,-40.214,-4.408,3.424,-44.362,3.163,-1.894,-1.104,0.034,0.491,0.545,-0.052,0.862,-425.077,-0.653,-0.004,59.957,23.923,-0.504
10.07,349.503,-2368.886,180.176,495.716,-2831.995,241.524,463.073,-2334.753,874.35,220.075,-2342.589,1095.991,751.118,-2193.9,1148.34,486.592,-2646.825,305.602,386.303,-2325.214,362.37,214.98,-2516.14,820.838,768.305,-2273.991,842.554,443.923,-2464.83,1017.45,2.667,-1.278,1.392,37.183,2.347,-8.517,-11.273,-9.113,-11.298,-11.273,9.113,11.298,-39.429,-4.637,3.566,-45.083,3.471,-2.094,-1.145,0.035,0.444,0.578,-0.063,0.738,-475.908,1.882,-0.822,59.251,24.162,0.321
10.08,354.622,-2325.45,177.592,498.814,-2816.199,250.597,463.435,-2307.679,877.027,218.878,-2321.085,1099.312,745.596,-2166.495,1155.454,492.613,-2627.106,301.7,389.649,-2289.915,363.108,215.814,-2495.776,824.555,766.279,-2244.965,849.018,445.293,-2439.05,1020.99,1.936,-1.078,0.401,36.714,2.976,-7.433,-11.88,-9.236,-11.092,-11.88,9.236,11.092,-38.633,-4.875,3.661,-45.736,3.717,-2.292,-1.172,0.03,0.403,0.6,-0.071,0.629,-517.123,1.565,-1.83,59.924,22.241,1.632
10.09,359.655,-2285.46,175.54,502.206,-2799.426,259.552,463.999,-2280.702,878.874,218.022,-2298.95,1101.927,740.933,-2140.013,1160.173,497.981,-2607.79,299.31,393.052,-2256.593,363.6,216.822,-2474.258,827.302,764.862,-2218.276,853.519,446.645,-2413.29,1023.58,1.476,-0.738,-0.672,36.242,3.448,-6.135,-12.428,-9.178,-10.795,-12.428,9.178,10.795,-37.913,-5.103,3.716,-46.278,3.844,-2.416,-1.181,0.021,0.374,0.612,-0.077,0.542,-545.352,-1.199,-2.899,63.241,18.663,3.419
10.1,364.552,-2249.236,173.692,505.838,-2781.712,268.321,464.774,-2253.832,879.875,217.476,-2276.09,1103.689,737.261,-2114.43,1162.326,502.554,-2588.58,298.651,396.63,-2225.583,363.558,217.92,-2451.495,828.953,764.078,-2193.907,855.887,447.986,-2387.55,1025.13,1.273,-0.32,-1.719,35.769,3.762,-4.716,-12.868,-8.956,-10.443,-12.868,8.956,10.443,-37.367,-5.309,3.752,-46.707,3.815,-2.431,-1.169,0.011,0.357,0.616,-0.081,0.482,-559.509,-5.354,-3.931,69.786,13.922,5.752
10.11,369.266,-2216.958,171.761,509.653,-2763.043,276.84,465.75,-2227.023,880.03,217.24,-2252.43,1104.476,734.658,-2089.694,1161.814,506.381,-2569.135,299.727,400.474,-2197.1,362.724,219.054,-2427.399,829.379,763.92,-2171.857,856.087,449.325,-2361.85,1025.56,1.304,0.12,-2.64,35.293,3.921,-3.266,-13.154,-8.592,-10.069,-13.154,8.592,10.069,-37.067,-5.469,3.794,-47.031,3.631,-2.337,-1.138,0.002,0.357,0.615,-0.085,0.451,-559.994,-9.675,-4.802,80.315,8.315,8.514
10.12,373.751,-2188.657,169.532,513.597,-2743.352,285.042,466.876,-2200.278,879.377,217.314,-2227.929,1104.246,733.161,-2065.765,1158.624,509.67,-2549.11,302.358,404.627,-2171.201,360.922,220.195,-2401.876,828.518,764.401,-2152.149,854.091,450.667,-2336.2,1024.84,1.525,0.523,-3.37,34.796,3.947,-1.884,-13.243,-8.114,-9.69,-13.243,8.114,9.69,-37.054,-5.578,3.847,-47.229,3.32,-2.158,-1.089,-0.004,0.374,0.608,-0.087,0.449,-547.909,-12.658,-5.303,95.007,2.137,11.513
