Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.92,139.697,-2425.794,298.788,362.587,-1913.281,117.779,267.841,-1858.447,902.694,61.29,-1780.973,1271.231,569.688,-1947.462,1198.015,318.732,-1857.21,321.353,149.321,-2223.651,265.335,127.181,-1821.718,958.394,499.305,-2038.659,917.328,257.487,-2008.35,1059.39,34.1,5.234,15.632,5.753,-2.693,13.253,1.055,7.899,10.396,1.055,-7.899,-10.396,-49.465,-3.952,0.08,-48.665,-15.534,-3.634,0.325,0.143,0.945,-0.971,0.284,0.563,194.221,-23.242,9.185,-454.952,-136.365,10.047
3.93,139.373,-2397.992,307.629,361.615,-1904.448,116.755,269.556,-1835.948,897.629,58.52,-1762.344,1261.46,572.712,-1920.68,1191.987,315.683,-1844.013,317.637,150.145,-2196.849,267.806,120.989,-1808.392,948.396,502.996,-2003.698,909.659,258.03,-1985.82,1053.31,33.935,5.61,15.708,7.019,-3.12,14.043,1.776,7.88,9.749,1.776,-7.88,-9.749,-49.514,-4.156,0.412,-48.909,-15.13,-4.303,0.27,0.177,0.971,-0.94,0.262,0.562,213.995,-12.696,6.479,-385.997,-111.152,11.156
3.94,139.393,-2368.128,315.396,360.67,-1897.999,116.095,271.524,-1813.55,892.279,54.606,-1744.57,1250.017,575.58,-1893.012,1184.646,312.76,-1832.716,314.195,151.539,-2167.731,270.976,113.756,-1797.036,936.91,506.603,-1967.899,901.081,258.507,-1963.36,1046.72,33.599,6.139,15.596,8.274,-3.662,14.724,2.667,7.874,9.003,2.667,-7.874,-9.003,-49.52,-4.345,0.806,-48.893,-14.809,-4.926,0.21,0.205,0.978,-0.914,0.24,0.55,229.415,-2.053,3.361,-312.516,-83.888,11.231
3.95,139.66,-2336.248,321.892,359.754,-1893.426,115.754,273.644,-1791.329,886.768,49.679,-1727.666,1237.233,578.238,-1864.378,1176.265,310.037,-1823.215,311.167,153.269,-2136.29,274.567,105.635,-1787.586,924.331,510.088,-1931.347,891.847,258.911,-1941.02,1039.85,33.075,6.815,15.318,9.567,-4.302,15.206,3.68,7.896,8.196,3.68,-7.896,-8.196,-49.46,-4.518,1.215,-48.584,-14.559,-5.457,0.146,0.223,0.965,-0.89,0.218,0.529,241.541,6.958,0.384,-240.494,-57.433,10.303
3.96,140.088,-2302.458,326.94,358.864,-1890.269,115.662,275.785,-1769.377,881.226,43.902,-1711.701,1223.563,580.615,-1834.691,1167.27,307.543,-1815.365,308.626,155.119,-2102.573,278.359,96.872,-1780.024,911.143,513.418,-1894.158,882.28,259.234,-1918.79,1032.91,32.362,7.612,14.892,10.963,-5.023,15.444,4.753,7.965,7.368,4.753,-7.965,-7.368,-49.343,-4.667,1.592,-48.0,-14.375,-5.87,0.08,0.228,0.929,-0.869,0.198,0.502,251.252,13.617,-2.078,-175.753,-34.671,8.698
3.97,140.608,-2266.925,330.381,357.998,-1888.141,115.735,277.799,-1747.715,875.788,37.49,-1696.64,1209.542,582.621,-1803.967,1158.239,305.25,-1809.053,306.578,156.916,-2066.751,282.165,87.726,-1774.189,897.894,516.547,-1856.4,872.789,259.469,-1896.68,1026.15,31.485,8.483,14.35,12.522,-5.794,15.438,5.81,8.09,6.555,5.81,-8.09,-6.555,-49.158,-4.79,1.908,-47.215,-14.256,-6.148,0.015,0.221,0.874,-0.85,0.179,0.476,258.661,17.719,-3.718,-122.086,-17.145,6.827
3.98,141.176,-2229.847,332.085,357.156,-1886.741,115.898,279.509,-1726.366,870.601,30.66,-1682.493,1195.738,584.165,-1772.183,1149.798,303.088,-1804.157,304.981,158.553,-2029.037,285.887,78.559,-1769.809,885.185,519.422,-1818.148,863.824,259.607,-1874.69,1019.82,30.472,9.361,13.727,14.296,-6.569,15.234,6.786,8.269,5.79,6.786,-8.269,-5.79,-48.951,-4.873,2.135,-46.33,-14.19,-6.285,-0.048,0.203,0.801,-0.832,0.16,0.457,262.85,19.366,-4.395,-81.353,-5.352,5.07
3.99,141.768,-2191.434,331.952,356.339,-1885.843,116.093,280.76,-1705.255,865.818,23.63,-1669.19,1182.734,585.137,-1739.448,1142.657,300.976,-1800.544,303.761,159.96,-1989.686,289.428,69.728,-1766.506,873.567,521.955,-1779.48,855.869,259.638,-1852.79,1014.1,29.346,10.179,13.087,16.299,-7.292,14.901,7.625,8.481,5.086,7.625,-8.481,-5.086,-48.727,-4.912,2.277,-45.46,-14.19,-6.295,-0.111,0.179,0.719,-0.816,0.141,0.45,262.422,19.148,-4.171,-54.333,0.585,3.694
4.0,142.378,-2151.882,329.923,355.543,-1885.285,116.29,281.432,-1684.328,861.593,16.575,-1656.674,1171.02,585.426,-1705.914,1137.472,298.847,-1798.017,302.842,161.139,-1948.999,292.798,61.566,-1763.876,863.554,524.039,-1740.519,849.386,259.551,-1830.94,1009.2,28.129,10.868,12.499,18.524,-7.897,14.513,8.288,8.699,4.435,8.288,-8.699,-4.435,-48.531,-4.912,2.344,-44.688,-14.258,-6.194,-0.173,0.152,0.632,-0.8,0.12,0.461,255.879,17.593,-3.1,-39.35,2.386,2.743
4.01,143.005,-2111.355,325.986,354.763,-1884.945,116.49,281.429,-1663.481,858.065,9.642,-1644.84,1161.07,584.92,-1671.783,1134.795,296.706,-1796.366,302.16,162.103,-1907.265,295.983,54.387,-1761.437,855.495,525.547,-1701.391,844.825,259.338,-1809.12,1005.24,26.826,11.373,12.043,20.926,-8.328,14.124,8.75,8.889,3.823,8.75,-8.889,-3.823,-48.395,-4.874,2.351,-44.079,-14.369,-6.01,-0.235,0.125,0.549,-0.786,0.098,0.493,242.096,15.088,-1.296,-33.657,2.02,2.149
