Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.69,172.614,-2818.366,363.909,365.409,-2299.47,152.631,283.924,-2212.029,890.061,41.835,-2100.899,1309.738,633.42,-2423.445,1072.84,340.226,-2253.703,368.306,198.784,-2598.472,376.162,56.923,-2136.868,1016.167,571.642,-2678.169,933.487,276.253,-2356.12,1058.79,29.654,-0.906,4.467,1.307,-2.07,-4.8,-11.345,2.675,7.985,-11.345,-2.675,-7.985,-46.239,-8.818,-10.156,-41.21,4.094,7.608,0.275,-0.007,0.959,-1.006,0.075,0.662,154.992,-31.411,-2.563,-451.22,-31.469,-4.496
9.7,171.101,-2792.163,369.758,364.041,-2289.439,150.315,284.783,-2189.75,884.258,39.891,-2078.086,1288.282,634.69,-2391.9,1058.961,338.148,-2234.605,362.867,197.918,-2572.295,378.491,55.829,-2126.054,994.976,575.11,-2646.937,916.943,276.451,-2333.17,1051.08,29.633,-0.352,3.844,2.453,-2.807,-5.209,-10.424,2.875,7.601,-10.424,-2.875,-7.601,-46.34,-8.795,-10.3,-41.544,4.882,6.554,0.173,-0.036,1.0,-1.047,0.038,0.682,162.833,-35.919,-5.014,-387.099,-13.937,0.3
9.71,169.602,-2763.678,374.651,362.841,-2281.687,148.905,285.778,-2167.923,878.217,37.402,-2056.02,1264.953,635.732,-2359.355,1044.392,335.89,-2217.663,357.972,197.332,-2543.96,380.833,54.383,-2117.179,972.644,578.792,-2614.724,899.497,276.558,-2310.28,1043.2,29.722,0.387,3.291,3.819,-3.698,-5.676,-9.538,3.207,7.202,-9.538,-3.207,-7.202,-46.415,-8.7,-10.544,-41.67,5.597,5.462,0.065,-0.067,1.01,-1.088,0.001,0.686,170.226,-38.312,-7.699,-311.481,1.329,4.664
9.72,168.15,-2732.988,378.465,361.757,-2275.761,148.353,286.73,-2146.53,872.155,34.42,-2034.808,1240.176,636.394,-2325.615,1029.66,333.526,-2203.122,353.871,197.028,-2513.515,383.178,52.32,-2110.369,949.737,582.613,-2581.26,881.571,276.558,-2287.46,1035.46,29.911,1.265,2.842,5.445,-4.681,-6.077,-8.716,3.634,6.824,-8.716,-3.634,-6.824,-46.387,-8.517,-10.864,-41.575,6.164,4.426,-0.041,-0.097,0.988,-1.12,-0.033,0.675,178.229,-39.884,-10.138,-233.34,12.674,8.124
9.73,166.778,-2700.255,381.071,360.72,-2271.268,148.451,287.431,-2125.451,866.311,30.99,-2014.576,1214.563,636.512,-2290.541,1015.495,331.1,-2191.069,350.639,196.994,-2481.075,385.597,49.348,-2105.697,927.017,586.449,-2546.256,863.662,276.458,-2264.73,1028.15,30.103,2.185,2.501,7.345,-5.662,-6.268,-7.987,4.097,6.505,-7.987,-4.097,-6.505,-46.272,-8.251,-11.241,-41.291,6.558,3.56,-0.14,-0.121,0.939,-1.135,-0.062,0.658,186.134,-41.82,-11.693,-162.8,20.139,9.776
9.74,165.513,-2665.714,382.346,359.689,-2267.903,148.955,287.688,-2104.558,860.919,27.17,-1995.453,1188.954,635.924,-2254.068,1002.735,328.668,-2181.452,348.228,197.173,-2446.835,388.066,45.268,-2103.111,905.369,590.114,-2509.445,846.413,276.286,-2242.14,1021.52,30.145,3.029,2.27,9.515,-6.533,-6.142,-7.374,4.529,6.276,-7.374,-4.529,-6.276,-46.071,-7.913,-11.621,-40.883,6.802,2.935,-0.226,-0.137,0.866,-1.128,-0.087,0.644,193.209,-44.198,-12.399,-107.915,24.79,9.275
9.75,164.381,-2629.634,382.181,358.682,-2265.421,149.685,287.359,-2083.721,856.18,23.037,-1977.518,1164.411,634.5,-2216.272,992.286,326.229,-2174.06,346.529,197.526,-2411.069,390.601,39.97,-2102.358,885.785,593.326,-2470.599,830.488,276.079,-2219.69,1015.76,29.876,3.677,2.14,11.923,-7.185,-5.658,-6.903,4.864,6.148,-6.903,-4.864,-6.148,-45.797,-7.542,-11.934,-40.428,6.912,2.572,-0.297,-0.144,0.777,-1.095,-0.109,0.643,199.263,-46.068,-12.799,-71.849,26.369,7.28
9.76,163.397,-2592.278,380.489,357.768,-2263.6,150.556,286.386,-2062.844,852.218,18.725,-1960.789,1142.203,632.174,-2177.424,984.974,323.838,-2168.471,345.412,198.04,-2374.12,393.239,33.467,-2102.96,869.174,595.741,-2429.626,816.562,275.861,-2197.38,1011.03,29.221,4.06,2.089,14.518,-7.536,-4.863,-6.604,5.059,6.114,-6.604,-5.059,-6.114,-45.517,-7.182,-12.13,-39.972,6.911,2.446,-0.352,-0.143,0.681,-1.037,-0.131,0.663,202.919,-46.214,-13.189,-52.058,25.321,4.824
9.77,162.577,-2553.877,377.211,357.032,-2262.22,151.574,284.819,-2041.907,849.088,14.418,-1945.158,1123.597,628.977,-2137.989,981.402,321.635,-2164.154,344.749,198.724,-2336.32,396.008,25.862,-2104.306,856.325,596.998,-2386.586,805.247,275.629,-2175.16,1007.44,28.198,4.164,2.105,17.238,-7.545,-3.869,-6.511,5.097,6.14,-6.511,-5.097,-6.14,-45.276,-6.875,-12.176,-39.542,6.81,2.493,-0.395,-0.136,0.586,-0.957,-0.152,0.707,202.197,-44.451,-13.287,-42.314,22.717,2.778
9.78,161.934,-2514.616,372.315,356.532,-2261.076,152.811,282.798,-2020.902,846.821,10.338,-1930.429,1109.622,625.038,-2098.513,981.846,319.816,-2160.48,344.443,199.614,-2298.067,398.927,17.32,-2105.684,847.746,596.861,-2341.63,797.005,275.357,-2152.97,1005.12,26.904,4.03,2.187,20.018,-7.228,-2.827,-6.634,4.979,6.169,-6.634,-4.979,-6.169,-45.108,-6.649,-12.063,-39.162,6.638,2.653,-0.428,-0.123,0.499,-0.859,-0.174,0.773,194.876,-42.014,-12.406,-36.29,19.692,1.474
