Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
10.61,-16.719,-2616.365,422.101,213.392,-1858.133,150.349,148.011,-1869.205,963.253,41.273,-1667.07,1368.766,462.969,-1915.66,1228.664,192.072,-1848.904,383.437,24.259,-2387.648,376.154,34.512,-1735.98,1006.772,428.408,-2036.712,954.799,142.113,-1999.97,1155.31,39.62,3.98,1.167,-0.512,-1.862,10.984,-5.605,5.99,13.673,-5.605,-5.99,-13.673,-45.233,-15.194,-8.47,-34.781,-2.843,3.374,0.42,0.248,0.88,-1.018,0.026,0.923,215.836,27.878,36.47,-627.906,-35.869,0.649
10.62,-16.055,-2583.444,429.328,211.829,-1844.646,145.884,150.827,-1838.826,957.853,37.963,-1638.72,1350.95,463.344,-1879.643,1218.273,191.178,-1826.414,377.297,21.031,-2354.862,378.633,23.944,-1717.72,990.375,428.935,-1999.864,942.378,143.296,-1970.7,1147.64,38.849,4.291,0.311,-0.109,-2.194,9.961,-4.618,5.79,12.905,-4.618,-5.79,-12.905,-45.127,-15.119,-7.192,-35.581,-1.976,2.728,0.329,0.237,0.928,-1.0,0.008,0.942,211.467,17.749,20.784,-555.688,-30.531,0.512
10.63,-15.07,-2548.255,435.637,210.526,-1834.313,142.476,154.207,-1809.043,952.318,33.597,-1610.639,1331.495,463.492,-1842.382,1206.985,190.397,-1805.566,371.785,18.332,-2319.624,381.884,12.535,-1700.935,973.215,429.636,-1962.47,929.076,144.324,-1941.57,1139.77,38.221,4.828,-0.611,0.429,-2.763,8.73,-3.567,5.852,11.961,-3.567,-5.852,-11.961,-45.141,-15.086,-6.151,-36.158,-1.047,2.028,0.229,0.216,0.96,-1.0,-0.003,0.936,207.336,11.256,3.54,-468.761,-26.242,-0.793
10.64,-13.828,-2510.729,440.888,209.472,-1826.59,140.265,158.104,-1779.949,946.865,28.207,-1582.934,1310.828,463.297,-1803.931,1194.997,189.742,-1786.641,367.161,16.727,-2281.897,385.657,0.479,-1685.617,955.882,430.445,-1924.484,915.248,145.182,-1912.59,1132.05,37.764,5.588,-1.584,1.15,-3.556,7.413,-2.489,6.187,10.845,-2.489,-6.187,-10.845,-45.185,-15.086,-5.536,-36.349,-0.141,1.281,0.126,0.19,0.973,-1.017,-0.007,0.904,204.237,9.343,-12.921,-370.316,-20.258,-2.302
10.65,-12.413,-2470.883,444.919,208.62,-1820.939,139.171,162.389,-1751.546,941.676,21.819,-1555.736,1289.55,462.631,-1764.396,1182.647,189.173,-1769.911,363.514,16.447,-2241.758,389.538,-11.927,-1671.605,939.024,431.298,-1885.754,901.367,145.885,-1883.76,1124.77,37.438,6.529,-2.609,2.103,-4.532,6.143,-1.438,6.756,9.577,-1.438,-6.756,-9.577,-45.158,-15.097,-5.496,-36.121,0.687,0.456,0.022,0.161,0.966,-1.041,-0.007,0.85,202.464,10.796,-25.367,-270.052,-11.147,-2.31
10.66,-10.916,-2428.831,447.56,207.901,-1816.865,138.95,166.825,-1723.711,936.901,14.514,-1529.202,1268.434,461.393,-1723.923,1170.407,188.585,-1755.605,360.784,17.379,-2199.334,393.032,-24.32,-1658.662,923.362,432.131,-1846.082,888.003,146.479,-1855.06,1118.16,37.136,7.555,-3.694,3.335,-5.613,5.058,-0.499,7.471,8.206,-0.499,-7.471,-8.206,-44.938,-15.045,-6.081,-35.571,1.397,-0.454,-0.078,0.13,0.939,-1.065,-0.007,0.781,203.293,13.42,-31.601,-181.064,0.511,-0.341
10.67,-9.429,-2384.785,448.641,207.255,-1813.95,139.302,171.133,-1696.323,932.668,6.398,-1503.48,1248.468,459.521,-1682.755,1158.946,187.804,-1743.851,358.843,19.241,-2154.869,395.847,-36.372,-1646.376,909.601,432.843,-1805.245,875.802,147.031,-1826.49,1112.39,36.724,8.549,-4.821,4.868,-6.703,4.263,0.264,8.214,6.788,0.264,-8.214,-6.788,-44.471,-14.875,-7.177,-34.866,1.955,-1.382,-0.171,0.101,0.895,-1.078,-0.009,0.71,207.39,15.188,-32.51,-112.893,12.48,2.706
10.68,-8.03,-2339.025,448.008,206.645,-1811.864,139.965,175.014,-1669.188,929.062,-2.326,-1478.715,1230.739,456.994,-1641.197,1149.04,186.702,-1734.606,357.542,21.73,-2108.594,397.919,-47.704,-1634.247,898.324,433.252,-1763.027,865.387,147.597,-1798.0,1107.51,36.082,9.394,-5.932,6.706,-7.695,3.823,0.792,8.871,5.381,0.792,-8.871,-5.381,-43.804,-14.548,-8.568,-34.142,2.354,-2.231,-0.254,0.072,0.836,-1.077,-0.015,0.649,213.274,15.125,-30.687,-69.771,22.853,5.291
10.69,-6.784,-2291.853,445.533,206.071,-1810.348,140.773,178.168,-1642.117,926.121,-11.401,-1454.948,1216.246,453.814,-1599.45,1141.487,185.26,-1727.625,356.751,24.628,-2060.802,399.37,-58.082,-1621.647,889.961,433.121,-1719.287,857.32,148.204,-1769.56,1103.6,35.157,9.993,-6.921,8.826,-8.487,3.748,1.078,9.344,4.047,1.078,-9.344,-4.047,-43.061,-14.09,-10.022,-33.482,2.591,-2.91,-0.328,0.045,0.769,-1.057,-0.026,0.61,218.178,13.255,-27.893,-47.973,30.343,6.442
10.7,-5.738,-2243.548,441.127,205.558,-1809.203,141.672,180.392,-1614.964,923.892,-20.542,-1432.113,1205.749,449.991,-1557.615,1136.986,183.598,-1722.402,356.361,27.831,-2011.796,400.454,-67.379,-1608.01,884.698,432.193,-1674.018,852.027,148.851,-1741.11,1100.68,33.947,10.303,-7.662,11.179,-9.012,3.997,1.137,9.588,2.824,1.137,-9.588,-2.824,-42.388,-13.586,-11.339,-32.914,2.689,-3.376,-0.391,0.019,0.698,-1.019,-0.039,0.603,218.827,9.422,-24.482,-40.544,34.277,6.169
