Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.91,48.96,-1816.007,228.937,245.868,-1222.232,90.476,184.938,-1211.801,805.832,59.52,-1099.694,1209.818,431.789,-1417.172,1095.867,217.874,-1196.698,291.514,92.404,-1626.636,224.366,79.827,-1058.593,969.177,372.977,-1493.118,856.604,156.311,-1376.12,965.401,34.2,7.132,4.518,-6.725,-5.84,14.186,-6.421,11.663,15.912,-6.421,-11.663,-15.912,-46.497,-12.831,-7.866,-42.38,-3.256,-0.905,0.397,0.208,0.85,-0.774,-0.027,0.609,140.491,19.944,12.411,-352.279,2.38,0.551
4.92,45.72,-1794.653,237.379,243.921,-1215.904,88.78,187.273,-1188.881,802.891,57.286,-1078.561,1198.995,431.914,-1391.914,1089.122,215.67,-1183.422,287.616,87.91,-1605.177,228.385,72.624,-1041.643,959.305,371.322,-1466.67,849.932,156.535,-1354.65,960.828,33.363,7.512,4.515,-6.423,-6.175,14.152,-5.812,11.366,15.088,-5.812,-11.366,-15.088,-46.5,-13.281,-7.565,-42.525,-2.336,-2.263,0.354,0.212,0.911,-0.698,-0.032,0.665,154.692,14.323,8.921,-288.383,2.308,0.893
4.93,42.722,-1771.012,245.234,242.301,-1211.38,87.64,189.975,-1166.18,799.902,53.716,-1057.764,1186.608,431.977,-1364.922,1081.428,213.507,-1171.771,284.141,83.765,-1581.479,233.052,63.911,-1025.932,947.568,369.93,-1438.494,842.205,156.775,-1333.28,955.835,32.442,8.063,4.151,-6.114,-6.643,14.074,-5.004,11.094,14.15,-5.004,-11.094,-14.15,-46.512,-13.685,-7.352,-42.291,-1.53,-3.569,0.303,0.215,0.965,-0.646,-0.037,0.706,163.377,8.458,4.985,-221.678,3.009,0.925
4.94,40.016,-1745.02,252.319,240.941,-1208.184,87.08,193.048,-1143.823,796.996,48.656,-1037.482,1173.006,431.931,-1336.2,1073.048,211.484,-1161.602,281.3,80.174,-1555.478,238.086,53.854,-1011.636,934.188,368.849,-1408.468,833.631,157.019,-1311.99,950.609,31.464,8.813,3.508,-5.759,-7.264,13.906,-4.032,10.875,13.104,-4.032,-10.875,-13.104,-46.56,-14.037,-7.229,-41.643,-0.876,-4.703,0.245,0.216,1.004,-0.62,-0.04,0.725,167.962,2.93,0.737,-157.363,2.551,0.571
4.95,37.637,-1716.704,258.458,239.776,-1205.915,87.033,196.432,-1121.935,794.274,41.98,-1017.892,1158.576,431.712,-1305.726,1064.302,209.694,-1152.804,279.153,77.264,-1527.172,243.185,42.715,-998.952,919.471,368.083,-1376.503,824.479,157.248,-1290.81,945.333,30.448,9.759,2.682,-5.298,-8.043,13.63,-2.958,10.728,11.953,-2.958,-10.728,-11.953,-46.62,-14.327,-7.186,-40.622,-0.361,-5.619,0.184,0.215,1.026,-0.614,-0.041,0.72,170.068,-2.122,-3.568,-100.256,-0.173,-0.013
4.96,35.609,-1686.161,263.497,238.747,-1204.265,87.371,199.978,-1100.574,791.788,33.717,-999.236,1143.831,431.215,-1273.533,1055.615,208.182,-1145.319,277.626,75.082,-1496.653,248.136,30.779,-987.983,903.802,367.587,-1342.493,815.103,157.44,-1269.73,940.172,29.389,10.858,1.775,-4.653,-8.963,13.253,-1.867,10.657,10.711,-1.867,-10.657,-10.711,-46.714,-14.534,-7.23,-39.372,0.033,-6.317,0.12,0.209,1.026,-0.623,-0.041,0.691,171.209,-6.501,-7.65,-55.349,-4.725,-0.631
4.97,33.939,-1653.544,267.301,237.817,-1203.014,87.947,203.484,-1079.791,789.537,24.034,-981.723,1129.335,430.31,-1239.697,1047.467,206.915,-1139.106,276.572,73.589,-1464.067,252.716,18.365,-978.823,887.669,367.246,-1306.302,805.915,157.576,-1248.75,935.268,28.274,12.021,0.893,-3.732,-9.987,12.8,-0.85,10.649,9.397,-0.85,-10.649,-9.397,-46.786,-14.644,-7.364,-38.088,0.327,-6.824,0.056,0.198,1.005,-0.637,-0.042,0.643,172.469,-10.156,-11.082,-26.393,-9.613,-1.109
4.98,32.619,-1619.042,269.761,236.97,-1202.019,88.629,206.694,-1059.568,787.49,13.285,-965.491,1115.657,428.855,-1204.354,1040.395,205.815,-1134.188,275.849,72.729,-1429.604,256.876,5.816,-971.425,871.57,366.889,-1267.875,797.388,157.644,-1227.88,930.734,27.089,13.127,0.119,-2.458,-11.064,12.322,0.0,10.684,8.039,0.0,-10.684,-8.039,-46.84,-14.639,-7.585,-36.918,0.538,-7.181,-0.007,0.181,0.963,-0.653,-0.044,0.586,174.43,-13.185,-13.484,-12.968,-12.564,-1.382
4.99,31.63,-1582.866,270.794,236.209,-1201.192,89.318,209.359,-1039.799,785.604,1.972,-950.627,1103.294,426.704,-1167.674,1034.905,204.796,-1130.52,275.342,72.397,-1393.477,260.579,-6.537,-965.632,856.074,366.277,-1227.176,790.037,157.633,-1207.1,926.683,25.828,14.049,-0.484,-0.776,-12.134,11.867,0.629,10.729,6.683,0.629,-10.729,-6.683,-46.843,-14.499,-7.875,-35.992,0.671,-7.416,-0.068,0.16,0.904,-0.665,-0.047,0.531,176.786,-15.78,-14.684,-12.349,-12.46,-1.411
5.0,30.946,-1545.232,270.346,235.542,-1200.483,89.956,211.274,-1020.365,783.854,-9.331,-937.082,1092.675,423.728,-1129.967,1031.483,203.789,-1127.923,274.981,72.524,-1355.928,263.964,-18.384,-961.231,841.708,365.142,-1184.317,784.383,157.545,-1186.39,923.193,24.501,14.679,-0.893,1.327,-13.137,11.477,1.007,10.751,5.373,1.007,-10.751,-5.373,-46.847,-14.238,-8.201,-35.355,0.732,-7.543,-0.127,0.134,0.833,-0.672,-0.047,0.486,178.114,-18.222,-14.661,-20.632,-9.719,-1.174
5.01,30.536,-1506.348,268.389,234.975,-1199.86,90.521,212.288,-1001.117,782.238,-20.085,-924.681,1084.073,419.843,-1091.537,1030.511,202.791,-1126.134,274.722,73.021,-1317.223,267.13,-29.507,-957.905,828.958,363.211,-1139.475,780.933,157.379,-1165.73,920.35,23.127,14.956,-1.114,3.828,-14.016,11.183,1.152,10.723,4.156,1.152,-10.723,-4.156,-46.848,-13.873,-8.506,-34.975,0.727,-7.579,-0.184,0.106,0.754,-0.674,-0.043,0.462,177.287,-20.533,-13.546,-32.926,-4.803,-0.724
5.02,30.371,-1466.399,264.919,234.509,-1199.297,91.027,212.368,-981.898,780.792,-29.886,-913.155,1077.551,415.006,-1052.765,1032.235,201.886,-1124.845,274.545,73.821,-1277.634,270.185,-39.706,-955.268,818.191,360.217,-1092.962,780.097,157.14,-1145.08,918.202,21.736,14.875,-1.161,6.664,-14.719,11.0,1.09,10.63,3.055,1.09,-10.63,-3.055,-46.863,-13.444,-8.744,-34.777,0.689,-7.537,-0.241,0.079,0.675,-0.672,-0.034,0.462,173.57,-22.808,-11.457,-45.082,1.18,-0.269
5.03,30.435,-1425.533,259.957,234.144,-1198.77,91.51,211.554,-962.64,779.559,-38.538,-902.198,1073.064,409.234,-1014.012,1036.749,201.152,-1123.722,274.449,74.868,-1237.452,273.208,-48.879,-952.928,809.723,355.984,-1045.205,782.204,156.834,-1124.42,916.801,20.347,14.482,-1.057,9.75,-15.21,10.918,0.859,10.46,2.07,0.859,-10.46,-2.07,-46.872,-13.017,-8.871,-34.707,0.636,-7.421,-0.301,0.053,0.602,-0.665,-0.018,0.49,165.823,-25.255,-8.506,-55.581,6.811,-0.092
