Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.6,114.864,-1740.734,361.114,271.858,-1173.092,127.421,224.775,-1084.48,959.325,58.76,-996.26,1314.253,515.117,-1120.543,1216.043,251.36,-1114.877,346.689,140.54,-1517.493,359.003,65.835,-1024.075,1012.239,452.497,-1260.067,920.74,219.31,-1249.09,1110.7,22.388,5.368,-5.37,-4.025,-0.791,-8.463,2.462,3.921,3.13,2.462,-3.921,-3.13,-43.782,-11.948,-15.503,-36.741,-2.028,3.637,0.358,0.022,0.763,-1.045,-0.145,0.711,192.94,-1.047,1.774,-523.164,49.1,5.186
9.61,111.262,-1712.458,364.244,269.098,-1161.738,125.182,224.579,-1060.544,952.586,55.064,-975.551,1302.64,513.761,-1090.764,1207.125,246.961,-1099.282,341.563,134.367,-1487.566,355.433,61.634,-1006.638,1000.782,452.013,-1227.049,909.04,218.695,-1225.14,1102.09,22.376,5.589,-5.524,-3.484,-1.221,-8.733,3.358,4.132,2.67,3.358,-4.132,-2.67,-43.001,-11.845,-15.923,-37.247,-1.009,3.036,0.271,0.0,0.798,-1.091,-0.141,0.734,191.691,-6.632,-2.598,-468.171,47.17,7.232
9.62,107.626,-1682.487,366.281,266.613,-1153.166,123.605,224.323,-1037.072,945.589,51.114,-955.178,1290.645,511.883,-1060.256,1198.428,243.092,-1085.599,336.984,127.934,-1455.907,351.001,57.557,-989.723,988.948,451.174,-1192.999,897.277,218.041,-1201.31,1093.32,22.432,5.846,-5.883,-2.752,-1.781,-8.992,4.249,4.435,2.224,4.249,-4.435,-2.224,-42.066,-11.7,-16.528,-37.574,0.083,2.347,0.169,-0.027,0.817,-1.139,-0.138,0.736,189.385,-13.46,-7.152,-401.424,45.625,8.284
9.63,103.978,-1650.868,367.158,264.431,-1146.981,122.66,223.948,-1014.068,938.482,46.99,-935.152,1278.56,509.423,-1029.031,1190.199,239.915,-1073.63,333.103,121.337,-1422.581,345.887,53.716,-973.282,977.055,449.963,-1157.996,885.808,217.352,-1177.61,1084.67,22.513,6.121,-6.424,-1.791,-2.444,-9.209,5.082,4.807,1.794,5.082,-4.807,-1.794,-40.964,-11.491,-17.312,-37.62,1.19,1.619,0.055,-0.058,0.82,-1.182,-0.135,0.717,186.128,-21.265,-11.583,-326.777,44.069,8.245
9.64,100.348,-1617.679,366.805,262.575,-1142.767,122.265,223.383,-991.494,931.478,42.794,-915.464,1266.679,506.348,-997.115,1182.673,237.456,-1063.19,329.966,114.663,-1387.649,340.284,50.224,-957.282,965.441,448.364,-1122.224,874.972,216.633,-1154.06,1076.38,22.556,6.38,-7.127,-0.583,-3.166,-9.358,5.825,5.216,1.384,5.825,-5.216,-1.384,-39.709,-11.213,-18.257,-37.336,2.238,0.906,-0.065,-0.093,0.805,-1.211,-0.131,0.682,181.427,-29.703,-15.523,-251.279,41.68,7.378
9.65,96.767,-1583.022,365.152,261.06,-1140.113,122.309,222.569,-969.315,924.748,38.616,-896.111,1255.333,502.655,-964.603,1176.053,235.644,-1054.165,327.534,107.994,-1351.201,334.402,47.15,-941.647,954.45,446.397,-1085.922,865.116,215.889,-1130.64,1068.7,22.501,6.592,-7.938,0.889,-3.891,-9.432,6.431,5.619,0.985,6.431,-5.619,-0.985,-38.339,-10.841,-19.351,-36.756,3.17,0.28,-0.187,-0.128,0.775,-1.219,-0.126,0.64,174.689,-38.576,-18.556,-181.726,38.957,5.983
9.66,93.277,-1547.015,362.138,259.882,-1138.631,122.678,221.481,-947.459,918.507,34.554,-877.071,1244.846,498.362,-931.582,1170.487,234.347,-1046.531,325.729,101.384,-1313.352,328.411,44.551,-926.296,944.398,444.107,-1049.405,856.511,215.127,-1107.34,1061.83,22.284,6.736,-8.795,2.613,-4.569,-9.442,6.876,5.982,0.584,6.876,-5.982,-0.584,-36.856,-10.356,-20.568,-35.944,3.95,-0.219,-0.307,-0.162,0.732,-1.203,-0.119,0.603,165.711,-47.714,-20.308,-122.619,36.044,4.363
9.67,89.92,-1509.78,357.718,259.027,-1137.969,123.278,220.099,-925.837,912.921,30.689,-858.312,1235.507,493.523,-898.174,1166.104,233.391,-1040.215,324.461,94.901,-1274.208,322.509,42.441,-911.116,935.614,441.556,-1013.017,849.384,214.353,-1084.16,1055.97,21.862,6.79,-9.626,4.574,-5.14,-9.407,7.14,6.263,0.167,7.14,-6.263,-0.167,-35.307,-9.768,-21.88,-35.03,4.543,-0.56,-0.419,-0.193,0.681,-1.16,-0.109,0.58,154.091,-57.069,-20.362,-77.075,33.177,2.802
9.68,86.744,-1471.435,351.874,258.468,-1137.821,124.054,218.437,-904.369,908.152,27.083,-839.803,1227.635,488.2,-864.523,1162.991,232.652,-1035.152,323.659,88.686,-1233.907,316.977,40.795,-895.99,928.363,438.824,-977.113,843.912,213.576,-1061.08,1051.27,21.211,6.749,-10.373,6.732,-5.562,-9.355,7.21,6.437,-0.282,7.21,-6.437,0.282,-33.782,-9.085,-23.258,-34.129,4.94,-0.743,-0.521,-0.22,0.627,-1.094,-0.097,0.582,138.499,-66.714,-18.184,-45.466,30.602,1.473
9.69,83.797,-1432.082,344.619,258.172,-1137.921,125.005,216.536,-882.971,904.349,23.781,-821.482,1221.426,482.456,-830.771,1161.201,232.015,-1031.127,323.263,82.938,-1192.61,312.113,39.559,-880.799,922.834,435.999,-941.959,840.209,212.807,-1038.05,1047.84,20.324,6.611,-10.968,9.033,-5.795,-9.319,7.086,6.473,-0.782,7.086,-6.473,0.782,-32.361,-8.371,-24.642,-33.352,5.142,-0.777,-0.61,-0.241,0.574,-1.008,-0.081,0.611,119.022,-76.935,-13.469,-25.661,28.146,0.485
