Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
2.685,129.661,-3630.5495,412.4135,354.2495,-2982.3095000000003,136.329,222.3025,-2957.844,940.528,-6.937,-2860.9984999999997,1426.9615,682.77,-3124.2219999999998,1199.8125,311.61850000000004,-2936.621,355.664,144.252,-3415.748,382.80150000000003,-3.625,-2815.3405000000002,1082.9095,661.1980000000001,-3361.382,1008.177,245.0995,-3086.3149999999996,1128.125,39.774,-3.806,-9.7655,10.859,1.0105,-9.35,-6.251,3.0824999999999996,10.9145,-6.251,-3.0824999999999996,-10.9145,-36.14,-0.9655,-1.2065,-38.474500000000006,-1.2325,1.569,0.362,-0.212,1.3984999999999999,-0.294,0.006,0.713,196.3995,-28.9605,-2.3405,-264.159,-6.4475,1.683
2.705,126.0275,-3561.531,434.68949999999995,353.2585,-2965.0205,131.397,227.11149999999998,-2908.5965,927.8035,-10.3585,-2810.2605,1386.0230000000001,686.4380000000001,-3043.7245000000003,1168.0059999999999,310.8215,-2901.9449999999997,344.823,140.863,-3349.105,390.05449999999996,-15.032499999999999,-2809.291,1035.7995,671.8620000000001,-3279.79,973.143,245.0,-3034.6800000000003,1114.58,39.576,-2.428,-10.254999999999999,13.688500000000001,-0.884,-10.427,-4.77,4.386,8.6055,-4.77,-4.386,-8.6055,-36.2665,-0.997,-0.868,-38.1425,0.21249999999999997,0.015000000000000013,0.1795,-0.2265,1.0884999999999998,-0.618,-0.0485,0.7344999999999999,228.483,-32.52,-1.879,-250.2835,11.73,5.7635000000000005
2.725,122.17150000000001,-3484.9404999999997,449.764,352.10900000000004,-2954.6315,129.35899999999998,235.446,-2862.197,913.6195,-17.9465,-2764.4895,1336.5275,688.4525000000001,-2960.2455,1132.841,309.8705,-2875.4735,336.635,138.236,-3274.967,395.039,-26.532,-2815.0055,988.1875,682.0835,-3193.48,934.6885,244.52100000000002,-2984.26,1099.98,39.4425,0.32650000000000007,-10.56,17.2855,-3.7125,-11.585,-3.4459999999999997,6.557499999999999,5.432,-3.4459999999999997,-6.557499999999999,-5.432,-36.3245,-0.897,-0.1885,-36.929,1.43,-1.3944999999999999,0.016,-0.237,0.7505,-0.8540000000000001,-0.0925,0.6375,255.271,-34.4715,-1.7894999999999999,-191.93200000000002,29.277,3.9785000000000004
2.745,118.501,-3402.5525,456.52099999999996,351.001,-2948.6490000000003,129.4115,245.0255,-2818.3655,899.39,-30.235,-2725.9035000000003,1283.323,687.0795,-2872.9245,1098.8955,308.83799999999997,-2857.8379999999997,331.9875,136.506,-3193.9215000000004,398.023,-36.938,-2829.1875,947.0285,690.573,-3100.2709999999997,896.106,243.7405,-2934.535,1086.24,39.6605,3.44,-11.2005,21.926000000000002,-6.791,-12.0745,-2.8600000000000003,8.965499999999999,1.84,-2.8600000000000003,-8.965499999999999,-1.84,-36.376,-0.623,1.0415,-35.2475,2.2005,-2.4305000000000003,-0.118,-0.244,0.461,-0.9435,-0.1145,0.491,271.911,-40.230500000000006,-2.8855000000000004,-120.274,35.341499999999996,0.577
2.7649999999999997,115.5495,-3316.3985000000002,454.4205,349.98,-2945.209,130.16,252.7765,-2775.4865,886.9839999999999,-46.120000000000005,-2695.9939999999997,1234.2930000000001,679.994,-2780.7185,1072.6799999999998,307.824,-2848.1014999999998,330.08050000000003,135.861,-3107.3379999999997,399.216,-44.9135,-2845.1220000000003,918.5585000000001,695.1134999999999,-2997.7235,861.7835,242.8485,-2885.0699999999997,1074.995,39.689499999999995,5.6235,-12.582,27.4285,-9.15,-11.4185,-3.0995,10.6805,-1.468,-3.0995,-10.6805,1.468,-36.429,-0.2415,2.6135,-33.96,2.574,-3.1185,-0.225,-0.2475,0.251,-0.897,-0.114,0.40800000000000003,269.9785,-50.227000000000004,-4.5605,-68.923,26.2655,-1.0434999999999999
2.785,113.7405,-3228.223,443.5545,349.0425,-2943.1365,130.995,256.573,-2731.4175,878.1755,-62.748000000000005,-2673.895,1198.4360000000001,665.2645,-2684.281,1060.711,306.48850000000004,-2843.7275,329.645,136.538,-3017.103,399.0455,-50.166,-2855.6525,906.1134999999999,692.3240000000001,-2885.3145,836.6410000000001,241.9835,-2835.665,1067.42,38.6225,6.1754999999999995,-14.394,33.159,-10.088000000000001,-9.8795,-3.7745,11.114,-3.927,-3.7745,-11.114,3.927,-36.435,0.015,3.942,-33.5745,2.6295,-3.553,-0.3135,-0.2485,0.1235,-0.775,-0.0865,0.4645,247.5525,-63.577999999999996,-3.6254999999999997,-45.957499999999996,17.1635,-1.6280000000000001
2.8049999999999997,113.3495,-3138.987,424.591,348.271,-2941.4845,132.4405,256.378,-2684.889,873.9235,-77.025,-2655.4695,1181.6975,642.588,-2586.828,1066.623,304.504,-2840.526,329.789,138.5755,-2925.2455,398.0785,-53.4165,-2856.185,909.6345,679.049,-2765.79,824.836,241.135,-2786.13,1064.255,36.1965,5.3934999999999995,-15.768,38.494,-9.587,-8.283000000000001,-4.5555,10.329,-5.4935,-4.5555,-10.329,5.4935,-36.3565,-0.031,4.4885,-33.852500000000006,2.3975,-3.7984999999999998,-0.389,-0.242,0.0765,-0.633,-0.034,0.6599999999999999,205.885,-75.562,1.75,-43.042,20.6965,-2.636
2.825,114.54400000000001,-3048.71,398.632,347.8675,-2939.111,135.7205,253.6815,-2635.9015,874.228,-87.414,-2635.558,1184.317,613.721,-2492.998,1089.5055,302.38,-2833.4354999999996,330.0605,141.691,-2833.5119999999997,396.6525,-55.4825,-2845.5585,926.348,654.4300000000001,-2644.594,828.287,240.2425,-2736.2200000000003,1065.81,32.89,4.0825,-15.9585,43.0945,-8.127,-7.3765,-5.4495000000000005,8.722000000000001,-6.58,-5.4495000000000005,-8.722000000000001,6.58,-36.174499999999995,-0.3715,4.195,-34.1475,1.911,-3.8645,-0.45999999999999996,-0.222,0.1035,-0.494,0.0205,0.9275,145.5695,-75.862,7.938,-46.5295,28.843,-4.0605
2.8449999999999998,117.2925,-2956.6035,367.08000000000004,348.1115,-2934.5545,142.123,250.0395,-2584.809,878.753,-94.2765,-2610.9615000000003,1201.6970000000001,581.5765,-2406.393,1124.6595000000002,301.1425,-2817.7250000000004,329.813,145.4975,-2743.08,394.6795,-56.7965,-2825.08,951.8325,620.621,-2527.943,845.9465,239.36700000000002,-2685.71,1071.85,29.204500000000003,2.7605,-14.7725,46.6995,-6.2155000000000005,-7.3605,-6.4975000000000005,6.6305,-7.5905000000000005,-6.4975000000000005,-6.6305,7.5905000000000005,-35.8985,-0.8585,3.3975,-33.872,1.2365,-3.6425,-0.5255000000000001,-0.187,0.1965,-0.357,0.05,1.174,74.775,-62.251,8.8485,-42.8015,25.348,-4.086
2.865,121.298,-2861.345,331.563,349.222,-2926.2799999999997,152.3775,246.0735,-2531.5285000000003,887.233,-98.8685,-2581.3535,1227.3654999999999,548.8785,-2328.3559999999998,1166.114,301.525,-2791.0275,327.64300000000003,149.8295,-2654.4625,392.03099999999995,-57.3995,-2797.135,981.338,581.6469999999999,-2420.906,874.115,238.663,-2634.4849999999997,1081.67,25.2635,1.374,-12.623,48.982,-4.0745000000000005,-7.9495000000000005,-7.542999999999999,4.2005,-8.618,-7.542999999999999,-4.2005,8.618,-35.611,-1.4075,2.3705,-33.012,0.5609999999999999,-2.9234999999999998,-0.579,-0.1365,0.3365,-0.218,0.0465,1.3235000000000001,8.684000000000001,-45.117999999999995,4.4085,-22.136499999999998,10.3165,-1.471
