Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.75,208.9,-4495.977,453.2,386.469,-3807.924,188.885,295.405,-3815.584,930.948,155.459,-3666.042,1351.962,641.643,-3915.56,1225.294,346.255,-3753.795,385.284,185.928,-4299.036,412.328,77.782,-3725.63,1033.787,660.661,-4116.075,1021.645,299.303,-3939.09,1115.95,46.741,-1.197,6.558,1.088,-0.851,-3.239,-13.322,4.928,8.787,-13.322,-4.928,-8.787,-45.592,-8.627,-13.483,-42.559,-5.577,-12.4,0.438,0.068,0.977,-1.147,0.015,0.989,128.923,3.748,-14.369,-568.715,-29.99,-1.207
8.76,207.684,-4466.795,465.14,385.044,-3797.017,185.74,298.339,-3788.577,923.856,148.945,-3643.906,1331.307,642.443,-3879.899,1217.038,343.755,-3735.812,379.179,186.562,-4271.618,415.275,65.087,-3720.818,1017.736,664.641,-4076.979,1009.587,299.248,-3912.53,1108.38,46.487,-0.193,5.782,2.096,-1.178,-3.168,-13.076,4.702,7.513,-13.076,-4.702,-7.513,-45.48,-8.682,-13.539,-42.77,-5.681,-12.42,0.36,0.087,1.012,-1.216,-0.021,0.945,144.64,7.339,-13.396,-516.612,-15.712,1.45
8.77,206.027,-4434.777,476.298,384.165,-3788.766,183.753,301.962,-3762.137,916.585,141.462,-3622.773,1309.979,643.052,-3843.572,1208.097,341.661,-3719.325,373.747,187.381,-4241.701,417.604,52.091,-3717.449,1002.035,668.424,-4036.69,996.496,299.023,-3886.19,1100.44,46.308,1.174,5.473,3.214,-1.837,-3.139,-12.63,4.737,6.041,-12.63,-4.737,-6.041,-45.425,-8.692,-13.663,-42.505,-5.701,-12.327,0.267,0.101,1.048,-1.245,-0.045,0.856,159.186,7.975,-12.013,-435.597,-5.162,3.083
8.78,203.977,-4399.917,486.471,383.682,-3782.632,182.741,306.046,-3736.208,909.368,133.092,-3602.69,1288.383,643.389,-3806.527,1198.663,339.983,-3704.551,369.088,188.43,-4209.109,419.467,39.194,-3715.456,987.052,671.846,-3995.026,982.589,298.635,-3859.99,1092.36,46.185,2.827,5.731,4.46,-2.84,-3.099,-12.007,5.048,4.436,-12.007,-5.048,-4.436,-45.375,-8.653,-13.869,-41.723,-5.641,-12.159,0.16,0.112,1.075,-1.233,-0.053,0.738,172.138,5.897,-10.182,-338.733,3.162,2.836
8.79,201.592,-4362.317,495.44,383.433,-3778.131,182.425,310.263,-3710.827,902.369,123.934,-3583.672,1266.96,643.341,-3768.683,1189.04,338.649,-3691.765,365.181,189.69,-4173.784,420.948,26.755,-3714.685,973.201,674.728,-3951.797,968.161,298.111,-3833.93,1084.3,46.062,4.635,6.542,5.894,-4.142,-2.978,-11.272,5.601,2.787,-11.272,-5.601,-2.787,-45.255,-8.54,-14.153,-40.512,-5.516,-11.971,0.044,0.119,1.084,-1.184,-0.047,0.611,183.4,1.452,-7.962,-241.334,11.83,1.056
8.8,198.934,-4322.186,502.992,383.312,-3774.875,182.538,314.222,-3685.983,895.662,114.004,-3565.775,1246.202,642.737,-3729.94,1179.668,337.54,-3681.231,361.968,191.111,-4135.761,422.075,15.114,-3714.932,960.861,676.9,-3906.759,953.599,297.493,-3807.99,1076.4,45.849,6.419,7.74,7.598,-5.639,-2.697,-10.53,6.319,1.191,-10.53,-6.319,-1.191,-45.026,-8.342,-14.484,-39.067,-5.375,-11.803,-0.076,0.122,1.069,-1.105,-0.03,0.494,194.133,-4.965,-5.676,-155.875,21.623,-1.317
8.81,196.063,-4279.824,508.936,383.283,-3772.565,182.882,317.55,-3661.723,889.251,103.389,-3549.066,1226.652,641.364,-3690.133,1171.04,336.526,-3673.113,359.411,192.614,-4095.16,422.832,4.503,-3715.936,950.427,678.159,-3859.689,939.363,296.83,-3782.19,1068.82,45.478,7.982,9.044,9.677,-7.197,-2.202,-9.885,7.094,-0.27,-9.885,-7.094,0.27,-44.646,-8.053,-14.802,-37.621,-5.274,-11.68,-0.193,0.121,1.024,-1.008,-0.008,0.402,205.414,-12.28,-3.794,-89.069,30.226,-3.455
8.82,193.047,-4235.602,513.107,383.344,-3770.954,183.32,319.941,-3637.994,883.167,92.168,-3533.568,1208.827,638.995,-3649.219,1163.781,335.479,-3667.363,357.481,194.122,-4052.199,423.232,-4.89,-3717.355,942.193,678.296,-3810.513,925.997,296.162,-3756.48,1061.69,44.904,9.153,10.143,12.209,-8.66,-1.485,-9.423,7.802,-1.531,-9.423,-7.802,1.531,-44.124,-7.683,-15.061,-36.401,-5.279,-11.604,-0.301,0.115,0.95,-0.907,0.014,0.346,217.342,-18.837,-2.707,-43.251,32.89,-4.675
8.83,189.96,-4189.931,515.369,383.478,-3769.825,183.76,321.195,-3614.75,877.438,80.45,-3519.266,1193.226,635.432,-3607.203,1158.477,334.262,-3663.673,356.12,195.6,-4007.128,423.327,-12.975,-3718.839,936.401,677.127,-3759.182,914.109,295.512,-3730.83,1055.19,44.158,9.823,10.786,15.244,-9.88,-0.581,-9.188,8.332,-2.552,-9.188,-8.332,2.552,-43.495,-7.247,-15.227,-35.552,-5.439,-11.577,-0.393,0.102,0.849,-0.816,0.033,0.33,230.155,-23.408,-2.441,-18.41,26.974,-4.547
8.84,186.879,-4143.232,515.618,383.645,-3769.004,184.146,321.263,-3591.858,872.177,68.444,-3506.13,1180.262,630.56,-3564.255,1155.606,332.809,-3661.655,355.252,197.035,-3960.25,423.22,-19.762,-3720.013,933.216,674.488,-3705.859,904.274,294.887,-3705.16,1049.53,43.278,9.97,10.847,18.762,-10.736,0.408,-9.185,8.602,-3.334,-9.185,-8.602,3.334,-42.791,-6.792,-15.269,-35.15,-5.776,-11.574,-0.467,0.085,0.728,-0.744,0.049,0.354,242.704,-25.938,-2.525,-11.347,14.764,-3.157
8.85,183.876,-4095.892,513.782,383.809,-3768.359,184.473,320.216,-3569.179,867.529,56.382,-3493.983,1170.234,624.373,-3520.65,1155.493,331.164,-3660.82,354.799,198.442,-3911.839,423.111,-25.317,-3720.523,932.67,670.3,-3650.828,897.009,294.272,-3679.42,1044.9,42.317,9.654,10.338,22.692,-11.157,1.338,-9.393,8.574,-3.908,-9.393,-8.574,3.908,-42.131,-6.38,-15.206,-35.205,-6.284,-11.557,-0.522,0.064,0.595,-0.698,0.061,0.414,251.614,-27.556,-2.222,-16.181,0.31,-0.884
8.86,181.015,-4048.229,509.829,383.951,-3767.801,184.78,318.236,-3546.575,863.663,44.557,-3482.604,1163.213,617.004,-3476.787,1158.21,329.477,-3660.75,354.688,199.794,-3862.227,423.151,-29.805,-3720.055,934.726,664.533,-3594.54,892.695,293.652,-3653.56,1041.47,41.289,8.984,9.38,26.902,-11.122,2.052,-9.773,8.239,-4.342,-9.773,-8.239,4.342,-41.566,-6.075,-15.034,-35.673,-6.909,-11.478,-0.561,0.041,0.46,-0.675,0.068,0.505,252.892,-29.792,-0.776,-27.473,-12.251,1.603
8.87,178.35,-4000.465,503.771,384.08,-3767.269,185.155,315.572,-3523.877,860.749,33.256,-3471.69,1159.205,608.71,-3433.187,1163.669,327.991,-3661.012,354.881,201.086,-3811.7,423.6,-33.36,-3718.333,939.213,657.19,-3537.602,891.54,293.007,-3627.56,1039.38,40.176,8.092,8.176,31.255,-10.684,2.428,-10.289,7.627,-4.721,-10.289,-7.627,4.721,-41.212,-5.947,-14.758,-36.485,-7.551,-11.271,-0.586,0.018,0.331,-0.671,0.069,0.621,242.546,-33.502,2.179,-40.968,-19.638,3.153
8.88,175.933,-3952.706,495.67,384.217,-3766.701,185.72,312.489,-3500.885,858.958,22.77,-3460.883,1158.037,599.833,-3390.334,1171.569,326.92,-3661.107,355.294,202.29,-3760.604,424.644,-36.123,-3715.124,945.887,648.36,-3480.679,893.554,292.333,-3601.41,1038.68,38.918,7.089,6.946,35.596,-9.927,2.416,-10.891,6.771,-5.124,-10.891,-6.771,5.124,-41.15,-6.037,-14.357,-37.484,-8.123,-10.919,-0.603,0.0,0.217,-0.677,0.063,0.754,218.735,-38.482,6.032,-52.977,-20.046,2.79
8.89,173.81,-3904.949,485.637,384.39,-3766.018,186.63,309.223,-3477.384,858.425,13.316,-3449.848,1159.419,590.716,-3348.66,1181.495,326.408,-3660.449,355.811,203.393,-3709.28,426.405,-38.172,-3710.259,954.429,638.208,-3424.468,898.545,291.641,-3575.11,1039.36,37.43,6.048,5.877,39.779,-8.958,2.04,-11.544,5.706,-5.611,-11.544,-5.706,5.611,-41.392,-6.377,-13.806,-38.419,-8.547,-10.478,-0.615,-0.014,0.122,-0.682,0.05,0.897,182.729,-44.251,9.613,-61.287,-14.34,0.704
8.9,172.016,-3857.099,473.838,384.621,-3765.093,188.067,305.911,-3453.193,859.231,5.023,-3438.281,1163.069,581.645,-3308.47,1192.966,326.412,-3658.424,356.3,204.393,-3658.126,428.873,-39.53,-3703.652,964.449,626.938,-3369.644,906.175,290.95,-3548.65,1041.36,35.637,4.994,5.087,43.688,-7.868,1.398,-12.195,4.462,-6.197,-12.195,-4.462,6.197,-41.888,-6.933,-13.153,-39.099,-8.816,-10.02,-0.623,-0.022,0.052,-0.675,0.031,1.044,138.347,-50.598,12.231,-65.157,-5.957,-1.722
8.91,170.578,-3809.0,460.474,384.925,-3763.739,190.236,302.572,-3428.143,861.402,-2.058,-3425.9,1168.554,572.767,-3269.823,1205.485,326.813,-3654.486,356.643,205.255,-3607.477,431.787,-40.24,-3695.223,975.556,614.843,-3316.773,915.993,290.281,-3522.03,1044.62,33.505,3.909,4.593,47.224,-6.716,0.638,-12.804,3.071,-6.858,-12.804,-3.071,6.858,-42.46,-7.652,-12.493,-39.423,-8.966,-9.608,-0.628,-0.024,0.007,-0.647,0.005,1.186,91.19,-56.875,13.814,-64.979,1.195,-2.951
8.92,169.513,-3760.461,445.765,385.314,-3761.712,193.35,299.121,-3402.177,864.892,-7.924,-3412.541,1175.463,564.121,-3232.698,1218.621,327.515,-3648.165,356.753,205.928,-3557.584,434.801,-40.323,-3685.03,987.409,602.206,-3266.246,927.486,289.64,-3495.23,1048.99,31.056,2.753,4.373,50.324,-5.525,-0.087,-13.343,1.557,-7.549,-13.343,-1.557,7.549,-42.982,-8.443,-11.935,-39.46,-9.046,-9.222,-0.631,-0.021,-0.014,-0.594,-0.027,1.316,46.078,-61.604,14.38,-62.402,4.381,-2.346
8.93,168.827,-3711.29,429.933,385.792,-3758.72,197.595,295.422,-3375.301,869.6,-12.677,-3398.049,1183.345,555.67,-3196.944,1232.006,328.589,-3639.06,356.534,206.321,-3508.516,437.493,-39.815,-3673.164,999.674,589.288,-3218.339,940.095,289.024,-3468.25,1054.35,28.36,1.496,4.367,52.933,-4.292,-0.63,-13.797,-0.047,-8.215,-13.797,0.047,8.215,-43.379,-9.196,-11.554,-39.347,-9.036,-8.792,-0.63,-0.013,-0.014,-0.513,-0.062,1.424,5.887,-62.27,13.744,-56.701,3.729,-0.386
8.94,168.508,-3661.319,413.193,386.354,-3754.455,203.096,291.358,-3347.585,875.379,-16.493,-3382.449,1191.908,547.341,-3162.431,1245.383,330.21,-3626.888,355.811,206.335,-3460.224,439.494,-38.702,-3659.777,1012.08,576.318,-3173.197,953.282,288.417,-3441.08,1060.54,25.523,0.128,4.512,55.029,-3.008,-0.887,-14.153,-1.704,-8.809,-14.153,1.704,8.809,-43.633,-9.822,-11.347,-39.235,-8.873,-8.23,-0.625,0.0,0.004,-0.406,-0.097,1.503,-28.348,-56.77,11.697,-45.877,2.05,1.764
8.95,168.502,-3610.43,395.76,386.994,-3748.63,209.883,286.884,-3319.114,882.072,-19.581,-3365.808,1200.838,539.059,-3128.991,1258.5,332.617,-3611.588,354.349,205.906,-3412.578,440.572,-36.941,-3645.012,1024.379,563.473,-3130.785,966.581,287.8,-3413.74,1067.4,22.63,-1.323,4.769,56.581,-1.665,-0.802,-14.386,-3.375,-9.308,-14.386,3.375,9.308,-43.773,-10.251,-11.266,-39.307,-8.481,-7.475,-0.617,0.016,0.033,-0.281,-0.131,1.546,-57.195,-45.031,8.303,-29.809,3.481,2.847
