Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.08,75.034,-1557.147,323.507,244.181,-939.558,94.079,190.963,-940.711,882.048,-29.362,-778.151,1277.994,460.861,-1032.436,1120.784,232.611,-892.135,321.083,116.958,-1340.474,334.455,28.535,-785.177,991.742,441.214,-1170.282,892.79,157.146,-1077.76,1048.02,38.1,7.503,-7.933,5.511,0.309,-1.673,-1.845,5.186,2.757,-1.845,-5.186,-2.757,-38.604,-4.666,-1.235,-37.257,-2.414,7.027,0.689,0.291,1.267,-1.667,-0.429,0.501,386.268,18.172,11.042,-675.651,163.098,3.804
4.09,72.623,-1514.67,333.814,240.851,-927.583,92.457,191.556,-908.542,877.177,-31.554,-750.933,1262.21,461.809,-990.395,1113.194,227.426,-878.28,316.916,114.929,-1297.303,337.39,22.46,-766.841,976.861,444.632,-1124.105,883.047,157.246,-1045.69,1041.56,37.714,7.666,-8.911,6.94,-0.154,-1.037,-1.049,5.398,1.939,-1.049,-5.398,-1.939,-38.079,-4.474,-1.618,-38.082,-1.202,6.398,0.607,0.277,1.23,-1.613,-0.446,0.513,424.764,18.076,6.573,-590.774,164.819,5.617
4.1,70.408,-1469.397,341.839,237.805,-919.159,91.113,192.054,-876.686,871.983,-34.966,-724.658,1244.293,462.259,-947.091,1105.503,222.74,-867.492,313.138,112.561,-1251.399,339.379,15.041,-750.738,960.556,447.653,-1076.201,872.904,157.27,-1013.76,1034.82,37.169,7.855,-9.703,8.597,-0.835,-0.565,-0.282,5.762,1.076,-0.282,-5.762,-1.076,-37.46,-4.266,-2.117,-38.618,0.139,5.62,0.515,0.241,1.168,-1.545,-0.445,0.519,454.539,16.231,1.124,-492.3,157.167,6.739
4.11,68.39,-1421.536,347.257,235.124,-913.654,90.108,192.381,-845.189,866.631,-39.604,-699.551,1224.885,462.076,-902.674,1098.095,218.8,-858.988,309.964,110.022,-1202.976,340.61,6.448,-736.846,943.506,449.988,-1026.673,862.782,157.219,-981.954,1028.05,36.461,8.045,-10.27,10.51,-1.696,-0.252,0.407,6.255,0.19,0.407,-6.255,-0.19,-36.798,-4.028,-2.699,-38.765,1.496,4.759,0.413,0.184,1.082,-1.467,-0.425,0.527,474.384,11.777,-4.461,-386.441,140.921,7.11
4.12,66.568,-1371.33,349.815,232.877,-910.437,89.46,192.463,-814.042,861.297,-45.415,-675.803,1204.764,461.126,-857.328,1091.396,215.656,-852.124,307.493,107.501,-1152.272,341.361,-3.091,-725.063,926.482,451.366,-975.661,853.135,157.099,-950.274,1021.55,35.594,8.206,-10.593,12.709,-2.67,-0.052,0.973,6.832,-0.7,0.973,-6.832,0.7,-36.162,-3.762,-3.324,-38.518,2.755,3.897,0.304,0.112,0.977,-1.377,-0.389,0.543,482.503,4.105,-9.333,-281.719,118.456,6.872
4.13,64.945,-1319.042,349.355,231.107,-908.902,89.166,192.24,-783.211,856.207,-52.266,-653.521,1184.803,459.282,-811.243,1085.87,213.212,-846.44,305.719,105.164,-1099.576,341.854,-13.25,-715.168,910.279,451.507,-923.343,844.472,156.923,-918.7,1015.61,34.553,8.306,-10.679,15.193,-3.669,0.104,1.388,7.439,-1.581,1.388,-7.439,1.581,-35.608,-3.452,-3.943,-37.959,3.817,3.113,0.188,0.032,0.862,-1.279,-0.339,0.574,477.555,-6.716,-12.905,-186.915,92.98,6.296
4.14,63.541,-1264.922,345.822,229.817,-908.499,89.214,191.668,-752.617,851.589,-59.957,-632.71,1165.88,456.438,-764.597,1081.957,211.292,-841.63,304.574,103.153,-1045.254,342.274,-23.695,-706.846,895.644,450.186,-869.91,837.287,156.711,-887.214,1010.47,33.324,8.315,-10.552,17.942,-4.595,0.288,1.64,8.009,-2.441,1.64,-8.009,2.441,-35.168,-3.082,-4.508,-37.228,4.611,2.472,0.066,-0.047,0.744,-1.174,-0.281,0.625,458.563,-20.165,-14.828,-108.847,67.455,5.595
4.15,62.393,-1209.195,339.27,228.975,-908.746,89.61,190.74,-722.148,847.674,-68.243,-613.257,1148.8,452.522,-717.627,1080.076,209.714,-837.46,303.971,101.569,-989.71,342.748,-34.079,-699.69,883.208,447.22,-815.636,832.047,156.485,-855.786,1006.35,31.883,8.21,-10.249,20.906,-5.355,0.554,1.73,8.48,-3.279,1.73,-8.48,3.279,-34.867,-2.666,-4.972,-36.484,5.098,2.012,-0.06,-0.12,0.634,-1.065,-0.218,0.7,425.245,-35.397,-15.03,-50.706,43.857,4.923
4.16,61.554,-1152.039,329.862,228.52,-909.235,90.396,189.484,-691.684,844.675,-76.854,-594.942,1134.222,447.497,-670.542,1080.541,208.326,-833.653,303.833,100.475,-933.376,343.367,-44.087,-693.19,873.479,442.504,-760.809,829.144,156.273,-824.386,1003.43,30.213,7.979,-9.813,24.009,-5.874,0.919,1.671,8.792,-4.095,1.671,-8.792,4.095,-34.717,-2.228,-5.303,-35.868,5.273,1.755,-0.189,-0.18,0.539,-0.954,-0.155,0.796,377.641,-51.381,-13.666,-12.08,23.404,4.287
4.17,61.093,-1093.58,317.862,228.377,-909.623,91.655,187.955,-661.097,842.767,-85.531,-577.473,1122.609,441.377,-623.579,1083.552,207.036,-829.814,304.098,99.893,-876.705,344.199,-53.455,-686.841,866.749,436.012,-705.775,828.863,156.104,-792.974,1001.83,28.302,7.622,-9.292,27.155,-6.106,1.363,1.488,8.902,-4.892,1.488,-8.902,4.892,-34.768,-1.824,-5.481,-35.473,5.154,1.701,-0.318,-0.226,0.466,-0.844,-0.097,0.911,317.004,-66.856,-11.081,9.747,6.584,3.697
4.18,61.082,-1033.888,303.624,228.475,-909.619,93.511,186.234,-630.266,842.079,-94.044,-560.52,1114.163,434.215,-576.963,1089.194,205.81,-825.4,304.712,99.794,-820.097,345.136,-61.998,-680.137,863.129,427.8,-650.891,831.381,156.002,-761.514,1001.61,26.153,7.151,-8.727,30.236,-6.045,1.831,1.212,8.78,-5.677,1.212,-8.78,5.677,-34.937,-1.493,-5.493,-35.336,4.787,1.845,-0.443,-0.256,0.419,-0.733,-0.046,1.038,246.783,-80.384,-7.789,18.808,-6.709,3.185
4.19,61.582,-972.984,287.573,228.754,-908.97,96.115,184.411,-599.086,842.679,-102.211,-543.753,1108.924,426.107,-530.899,1097.4,204.679,-819.744,305.61,100.125,-763.888,346.105,-69.604,-672.631,862.547,418.008,-596.523,836.727,155.993,-729.962,1002.77,23.783,6.586,-8.154,33.144,-5.717,2.254,0.871,8.413,-6.449,0.871,-8.413,6.449,-35.225,-1.268,-5.353,-35.442,4.227,2.175,-0.56,-0.269,0.398,-0.622,-0.006,1.169,171.252,-90.703,-4.293,19.595,-16.481,2.691
4.2,62.637,-910.861,270.19,229.178,-907.447,99.627,182.573,-567.468,844.575,-109.898,-526.856,1106.689,417.185,-485.582,1107.988,203.737,-812.135,306.696,100.809,-708.31,346.956,-76.229,-663.973,864.757,406.882,-543.036,844.765,156.093,-698.281,1005.26,21.222,5.957,-7.601,35.779,-5.176,2.568,0.498,7.806,-7.211,0.498,-7.806,7.211,-35.581,-1.17,-5.081,-35.739,3.544,2.671,-0.667,-0.266,0.4,-0.509,0.022,1.293,95.437,-96.567,-1.061,15.975,-22.899,2.203
4.21,64.257,-847.503,251.985,229.738,-904.839,104.192,180.79,-535.354,847.714,-117.021,-509.556,1107.147,407.602,-441.164,1120.694,203.144,-801.919,307.823,101.768,-653.493,347.547,-81.861,-653.885,869.409,394.677,-490.729,855.248,156.312,-666.442,1008.99,18.511,5.297,-7.092,38.058,-4.488,2.727,0.119,6.98,-7.956,0.119,-6.98,7.956,-35.967,-1.19,-4.705,-36.161,2.804,3.306,-0.761,-0.249,0.421,-0.392,0.039,1.401,24.071,-97.089,1.532,10.964,-26.257,1.761
4.22,66.413,-782.91,233.483,230.444,-900.953,109.916,179.111,-502.699,851.997,-123.536,-491.629,1109.858,397.529,-397.776,1135.13,203.128,-788.611,308.774,102.93,-599.476,347.768,-86.523,-642.213,876.07,381.726,-439.885,867.811,156.65,-634.422,1013.79,15.697,4.636,-6.647,39.918,-3.719,2.717,-0.24,5.97,-8.677,-0.24,-5.97,8.677,-36.345,-1.303,-4.252,-36.65,2.076,4.027,-0.841,-0.221,0.453,-0.27,0.044,1.484,-39.947,-91.958,3.313,6.695,-26.82,1.357
4.23,69.035,-717.127,215.2,231.327,-895.617,116.856,177.563,-469.5,857.258,-129.437,-472.904,1114.338,387.147,-355.506,1150.896,203.968,-771.989,309.27,104.257,-546.24,347.562,-90.267,-628.835,884.256,368.356,-390.693,881.983,157.099,-602.209,1019.5,12.833,4.003,-6.288,41.32,-2.927,2.554,-0.567,4.82,-9.362,-0.567,-4.82,9.362,-36.689,-1.478,-3.743,-37.167,1.43,4.77,-0.908,-0.184,0.491,-0.145,0.041,1.534,-95.951,-81.416,4.264,4.501,-25.004,0.885
4.24,72.019,-650.273,197.629,232.426,-888.695,125.006,176.15,-435.785,863.295,-134.74,-453.258,1120.096,376.634,-314.41,1167.539,205.964,-752.16,309.011,105.726,-493.729,346.93,-93.13,-613.727,893.464,354.898,-343.283,897.283,157.642,-569.8,1025.89,9.982,3.421,-6.039,42.254,-2.151,2.283,-0.86,3.584,-10.001,-0.86,-3.584,10.001,-36.977,-1.689,-3.189,-37.697,0.929,5.445,-0.964,-0.143,0.527,-0.017,0.031,1.547,-145.875,-66.679,4.54,5.237,-21.486,0.225
4.25,75.234,-582.557,181.216,233.787,-880.093,134.303,174.868,-401.611,869.862,-139.475,-432.608,1126.632,366.161,-274.503,1184.632,209.359,-729.585,307.762,107.337,-441.867,345.928,-95.176,-596.846,903.213,341.641,-297.711,913.191,158.255,-537.198,1032.75,7.208,2.909,-5.925,42.735,-1.417,1.963,-1.127,2.313,-10.582,-1.127,-2.313,10.582,-37.192,-1.927,-2.598,-38.25,0.627,5.958,-1.012,-0.101,0.558,0.109,0.018,1.52,-193.746,-49.739,4.408,9.283,-17.056,-0.723
4.26,78.541,-514.299,166.347,235.446,-869.768,144.631,173.709,-367.063,876.692,-143.681,-410.909,1133.538,355.885,-235.772,1201.754,214.235,-705.022,305.454,109.081,-390.565,344.66,-96.472,-578.201,913.034,328.845,-253.956,929.217,158.908,-504.422,1039.85,4.582,2.477,-5.964,42.803,-0.737,1.664,-1.382,1.063,-11.097,-1.382,-1.063,11.097,-37.303,-2.196,-1.976,-38.85,0.552,6.229,-1.056,-0.063,0.581,0.231,0.005,1.457,-244.431,-32.951,4.109,16.567,-12.495,-1.948
4.27,81.808,-445.929,153.325,237.434,-857.726,155.834,172.672,-332.254,883.493,-147.4,-388.123,1140.445,345.954,-198.178,1218.484,220.43,-679.374,302.252,110.937,-339.743,343.277,-97.098,-557.799,922.534,316.734,-211.978,944.871,159.569,-471.488,1046.95,2.175,2.132,-6.162,42.523,-0.116,1.451,-1.652,-0.121,-11.542,-1.652,0.121,11.542,-37.275,-2.514,-1.336,-39.504,0.692,6.22,-1.097,-0.031,0.596,0.343,-0.005,1.362,-302.108,-19.045,3.874,26.466,-8.634,-3.17
4.28,84.928,-377.99,142.349,239.764,-844.018,167.727,171.768,-297.312,889.978,-150.664,-364.219,1147.044,336.496,-161.657,1234.478,227.512,-653.503,298.588,112.842,-289.362,341.971,-97.139,-535.641,931.361,305.468,-171.689,959.761,160.207,-438.422,1053.82,0.057,1.873,-6.506,41.977,0.447,1.38,-1.967,-1.195,-11.915,-1.967,1.195,11.915,-37.066,-2.898,-0.705,-40.209,0.99,5.947,-1.137,-0.009,0.603,0.444,-0.011,1.244,-368.732,-10.446,3.895,37.983,-5.965,-4.096
4.29,87.829,-311.112,133.497,242.434,-828.724,180.112,171.018,-262.348,895.898,-153.506,-339.163,1153.08,327.627,-126.132,1249.418,234.851,-628.016,295.058,114.711,-239.465,340.95,-96.714,-511.721,939.233,295.193,-132.975,973.543,160.794,-405.259,1060.26,-1.724,1.697,-6.96,41.249,0.95,1.488,-2.343,-2.126,-12.217,-2.343,2.126,12.217,-36.64,-3.354,-0.121,-40.934,1.358,5.489,-1.176,0.001,0.604,0.531,-0.011,1.113,-443.059,-8.932,4.283,50.384,-4.549,-4.638
4.3,90.482,-245.989,126.717,245.424,-811.936,192.784,170.46,-227.507,900.991,-155.95,-312.909,1158.379,319.445,-91.508,1263.002,241.776,-603.173,292.269,116.441,-190.232,340.385,-95.921,-486.016,945.908,286.004,-95.733,985.887,161.311,-372.03,1066.08,-3.115,1.601,-7.472,40.444,1.389,1.802,-2.811,-2.889,-12.453,-2.811,2.889,12.453,-35.99,-3.87,0.372,-41.637,1.702,4.958,-1.213,-0.003,0.601,0.603,-0.004,0.98,-520.807,-15.274,4.973,63.453,-4.37,-4.796
4.31,92.903,-183.335,121.821,248.706,-793.741,205.538,170.115,-192.879,905.089,-158.016,-285.408,1162.738,312.036,-57.69,1274.965,247.714,-578.918,290.699,117.96,-141.987,340.356,-94.884,-458.519,951.216,277.977,-59.87,996.578,161.743,-338.774,1071.11,-4.102,1.571,-7.972,39.645,1.766,2.322,-3.369,-3.472,-12.628,-3.369,3.472,12.628,-35.143,-4.417,0.734,-42.277,1.945,4.474,-1.246,-0.021,0.596,0.661,0.007,0.856,-595.953,-28.886,5.691,77.392,-5.327,-4.507
4.32,95.142,-123.846,118.505,252.243,-774.201,218.178,170.021,-158.524,908.093,-159.723,-256.6,1166.086,305.481,-24.574,1285.091,252.314,-554.985,290.602,119.263,-95.168,340.797,-93.71,-429.232,955.026,271.162,-25.286,1005.387,162.087,-305.515,1075.22,-4.694,1.602,-8.392,38.919,2.072,3.034,-4.005,-3.862,-12.748,-4.005,3.862,12.748,-34.171,-4.959,0.951,-42.821,2.048,4.127,-1.272,-0.049,0.591,0.704,0.023,0.749,-662.308,-48.113,6.044,92.672,-7.13,-3.688
4.33,97.27,-68.152,116.374,255.994,-753.343,230.518,170.191,-124.494,909.923,-161.089,-226.434,1168.273,299.841,7.947,1293.145,255.476,-531.03,292.007,120.425,-50.265,341.491,-92.514,-398.159,957.29,265.608,8.088,1012.15,162.353,-272.277,1078.28,-4.914,1.685,-8.673,38.33,2.309,3.905,-4.7,-4.064,-12.817,-4.7,4.064,12.817,-33.181,-5.456,1.03,-43.246,2.004,3.97,-1.288,-0.085,0.587,0.734,0.041,0.665,-715.093,-70.329,5.657,109.566,-9.424,-2.308
4.34,99.367,-16.776,114.988,259.922,-731.155,242.387,170.607,-90.766,910.618,-162.133,-194.867,1169.261,295.165,39.979,1298.976,257.327,-506.712,294.769,121.585,-7.734,342.11,-91.37,-365.338,957.943,261.335,40.293,1016.739,162.553,-239.07,1080.24,-4.819,1.806,-8.777,37.901,2.479,4.883,-5.402,-4.09,-12.839,-5.402,4.09,12.839,-32.293,-5.885,0.994,-43.543,1.834,4.005,-1.293,-0.124,0.587,0.751,0.058,0.609,-751.764,-92.662,4.389,127.835,-11.911,-0.317
