Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.81,135.313,-1468.913,380.779,364.052,-741.863,117.216,233.209,-767.979,852.074,42.298,-606.506,1170.261,591.404,-871.013,1030.377,329.523,-728.083,335.205,124.675,-1263.504,361.204,-32.572,-708.891,916.112,627.971,-1114.969,870.763,247.883,-910.725,1031.02,36.894,-3.226,3.269,-6.545,-4.783,-7.858,-7.088,7.6,12.411,-7.088,-7.6,-12.411,-32.917,-3.005,-3.172,-37.387,-5.586,-0.388,0.679,-0.016,1.214,-1.291,0.168,0.928,264.586,-25.584,-15.809,-593.122,-103.187,1.213
9.82,137.464,-1432.154,389.669,363.153,-729.651,113.646,236.327,-736.588,846.717,38.329,-580.771,1150.852,588.596,-827.669,1020.572,328.388,-705.652,329.456,125.743,-1227.683,360.543,-40.012,-693.61,900.955,626.79,-1067.494,853.059,248.411,-879.951,1023.38,36.695,-2.636,1.254,-5.533,-5.767,-8.39,-6.188,8.025,11.506,-6.188,-8.025,-11.506,-32.962,-3.09,-3.241,-38.162,-4.982,-0.992,0.566,-0.014,1.26,-1.293,0.088,0.904,289.131,-20.333,-14.235,-508.442,-68.45,4.017
9.83,139.325,-1392.245,396.631,362.298,-720.968,110.853,239.99,-705.86,841.518,33.619,-555.896,1130.898,585.465,-782.999,1011.03,327.361,-685.725,324.296,126.824,-1188.769,358.899,-48.429,-679.874,885.672,625.927,-1017.989,835.115,248.826,-849.374,1015.67,36.477,-1.86,-0.968,-4.303,-6.923,-8.795,-5.232,8.571,10.402,-5.232,-8.571,-10.402,-33.118,-3.189,-3.102,-38.524,-4.304,-1.657,0.442,-0.012,1.272,-1.296,0.008,0.858,308.559,-14.827,-13.714,-406.908,-34.176,5.432
9.84,140.83,-1349.382,401.447,361.51,-715.117,108.913,244.032,-675.878,836.602,28.225,-531.896,1110.835,581.918,-737.174,1002.159,326.557,-668.308,319.984,127.944,-1146.766,356.474,-57.677,-667.634,870.787,625.301,-966.608,817.536,249.138,-819.014,1008.2,36.216,-0.943,-3.194,-2.807,-8.197,-9.01,-4.288,9.205,9.152,-4.288,-9.205,-9.152,-33.368,-3.271,-2.744,-38.369,-3.621,-2.329,0.312,-0.009,1.248,-1.29,-0.063,0.796,322.416,-9.707,-14.433,-297.461,-5.38,5.404
9.85,141.922,-1303.841,403.961,360.803,-711.404,107.751,248.185,-646.673,832.043,22.181,-508.82,1091.218,577.835,-690.374,994.346,325.97,-653.43,316.611,129.16,-1101.785,353.521,-67.528,-656.792,856.844,624.811,-913.522,800.952,249.36,-788.879,1001.22,35.877,0.033,-5.232,-0.984,-9.515,-8.955,-3.434,9.864,7.826,-3.434,-9.864,-7.826,-33.661,-3.327,-2.233,-37.749,-2.997,-2.956,0.184,-0.007,1.192,-1.269,-0.12,0.726,330.218,-5.396,-15.591,-193.605,14.895,4.505
9.86,142.563,-1255.956,404.088,360.183,-709.189,107.194,252.135,-618.201,827.876,15.542,-486.695,1072.658,573.085,-642.792,987.978,325.476,-641.114,314.13,130.524,-1054.014,350.323,-77.676,-647.117,844.387,624.285,-858.934,785.964,249.514,-758.961,994.947,35.409,0.966,-6.922,1.212,-10.79,-8.559,-2.746,10.474,6.502,-2.746,-10.474,-6.502,-33.935,-3.371,-1.676,-36.84,-2.492,-3.496,0.062,-0.006,1.111,-1.23,-0.16,0.659,332.382,-2.568,-15.783,-108.421,26.703,3.508
9.87,142.735,-1206.095,401.807,359.646,-707.932,107.038,255.567,-590.346,824.124,8.402,-465.503,1055.777,567.551,-594.645,983.425,324.888,-631.351,312.422,132.035,-1003.748,347.104,-87.75,-638.278,833.895,623.525,-803.067,773.117,249.615,-729.235,989.523,34.762,1.747,-8.15,3.812,-11.932,-7.781,-2.283,10.959,5.247,-2.283,-10.959,-5.247,-34.111,-3.427,-1.167,-35.877,-2.155,-3.924,-0.051,-0.007,1.013,-1.173,-0.182,0.607,329.615,-2.039,-13.874,-49.367,32.57,2.736
9.88,142.452,-1154.621,397.151,359.181,-707.201,107.115,258.219,-562.935,820.815,0.88,-445.183,1041.197,561.148,-546.184,981.032,324.025,-624.028,311.349,133.747,-951.338,344.267,-97.358,-629.832,825.692,622.304,-746.165,762.842,249.668,-699.654,985.047,33.898,2.295,-8.859,6.806,-12.856,-6.632,-2.072,11.259,4.104,-2.072,-11.259,-4.104,-34.218,-3.544,-0.764,-35.075,-2.009,-4.228,-0.155,-0.01,0.908,-1.101,-0.189,0.581,320.651,-4.355,-9.454,-16.545,35.371,2.143
9.89,141.75,-1101.858,390.204,358.781,-706.68,107.34,259.941,-535.773,818.008,-6.88,-425.613,1029.455,553.845,-497.706,981.086,322.779,-618.867,310.787,135.641,-897.216,342.102,-106.169,-621.304,819.968,620.416,-688.528,755.468,249.662,-670.161,981.577,32.799,2.572,-9.058,10.151,-13.498,-5.185,-2.111,11.346,3.093,-2.111,-11.346,-3.093,-34.275,-3.738,-0.464,-34.578,-2.058,-4.419,-0.251,-0.016,0.803,-1.018,-0.182,0.586,304.232,-9.6,-3.221,-4.719,36.765,1.596
9.9,140.694,-1048.061,381.079,358.441,-706.138,107.73,260.714,-508.671,815.778,-14.754,-406.628,1020.904,545.676,-449.54,983.773,321.165,-615.371,310.624,137.698,-841.831,340.881,-113.923,-612.227,816.754,617.692,-630.459,751.156,249.574,-640.691,979.142,31.469,2.59,-8.809,13.766,-13.822,-3.563,-2.372,11.22,2.197,-2.372,-11.22,-2.197,-34.343,-4.021,-0.227,-34.438,-2.275,-4.514,-0.339,-0.024,0.707,-0.927,-0.167,0.626,279.386,-17.242,3.344,-6.816,37.322,0.896
