Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
10.05,-198.247,-3215.281,393.986,-40.222,-2543.376,118.827,-91.62,-2550.31,806.327,-303.532,-2351.288,1117.775,190.937,-2722.163,981.678,-71.633,-2513.595,305.701,-187.726,-3032.928,325.72,-345.271,-2391.625,830.445,117.166,-2868.128,882.581,-111.767,-2669.56,968.867,39.863,7.7,-3.688,-9.168,-0.916,-13.898,1.787,5.328,5.785,1.787,-5.328,-5.785,-42.275,-13.706,-17.575,-39.57,-14.53,-10.917,0.316,-0.093,1.737,-0.554,-0.073,0.723,91.859,-0.092,11.051,-313.883,20.014,5.501
10.06,-199.955,-3181.524,406.802,-43.669,-2530.762,116.66,-89.218,-2521.089,801.428,-308.228,-2327.556,1105.864,194.974,-2687.947,972.175,-75.044,-2493.246,300.633,-187.691,-3003.0,328.579,-348.31,-2373.345,819.005,123.429,-2833.79,871.494,-111.737,-2641.8,961.745,38.92,8.192,-5.331,-8.957,-1.183,-13.782,3.222,4.945,4.688,3.222,-4.945,-4.688,-42.081,-13.94,-17.057,-39.655,-12.858,-11.975,0.259,-0.078,1.785,-0.734,-0.113,0.721,141.234,-3.625,10.211,-304.163,39.225,8.15
10.07,-201.599,-3144.928,418.568,-46.683,-2520.708,115.208,-86.558,-2491.705,796.457,-313.808,-2304.63,1092.136,199.192,-2652.235,961.986,-77.998,-2474.754,295.99,-188.795,-2970.538,330.34,-352.232,-2357.708,806.148,130.485,-2797.749,859.521,-111.72,-2613.85,954.303,37.735,8.831,-6.807,-8.738,-1.653,-13.758,4.771,4.722,3.527,4.771,-4.722,-3.527,-41.473,-13.944,-16.798,-39.337,-11.099,-13.042,0.174,-0.058,1.731,-0.907,-0.155,0.698,179.31,-4.184,7.304,-269.692,51.902,8.3
10.08,-203.177,-3105.878,428.833,-49.222,-2513.061,114.44,-83.832,-2462.61,791.575,-320.229,-2282.979,1076.876,203.45,-2615.271,951.503,-80.401,-2458.48,291.96,-190.761,-2935.624,331.133,-356.866,-2345.232,792.336,138.213,-2760.242,847.055,-111.748,-2585.99,946.852,36.369,9.605,-8.053,-8.407,-2.367,-13.8,6.334,4.689,2.361,6.334,-4.689,-2.361,-40.548,-13.755,-16.788,-38.551,-9.393,-14.101,0.087,-0.04,1.592,-1.057,-0.193,0.656,210.899,-2.173,2.523,-221.401,57.248,6.661
10.09,-204.709,-3064.74,437.227,-51.322,-2507.477,114.213,-81.301,-2434.097,786.922,-327.439,-2262.932,1060.497,207.605,-2577.113,941.195,-82.356,-2444.66,288.596,-193.3,-2898.295,331.061,-361.985,-2336.172,778.153,146.435,-2721.297,834.564,-111.859,-2558.42,939.714,34.862,10.478,-9.038,-7.824,-3.342,-13.873,7.789,4.841,1.254,7.789,-4.841,-1.254,-39.376,-13.41,-17.006,-37.368,-7.868,-15.121,0.012,-0.027,1.397,-1.171,-0.219,0.607,239.611,1.842,-3.377,-172.049,57.928,4.504
10.1,-206.234,-3021.879,443.447,-53.039,-2503.55,114.354,-79.231,-2406.335,782.607,-335.339,-2244.718,1043.459,211.531,-2537.766,931.618,-84.03,-2433.412,285.878,-196.086,-2858.531,330.271,-367.316,-2330.502,764.298,154.935,-2680.98,822.559,-112.086,-2531.19,933.202,33.261,11.386,-9.77,-6.839,-4.557,-13.935,9.006,5.142,0.255,9.006,-5.142,-0.255,-38.041,-12.952,-17.424,-35.986,-6.595,-16.036,-0.048,-0.023,1.172,-1.241,-0.229,0.563,267.007,6.943,-9.266,-130.215,57.883,2.5
10.11,-207.799,-2977.672,447.26,-54.408,-2500.884,114.728,-77.861,-2379.321,778.756,-343.796,-2228.513,1026.339,215.08,-2497.225,923.352,-85.608,-2424.687,283.784,-198.853,-2816.387,328.847,-372.565,-2327.957,751.454,163.453,-2639.281,811.581,-112.448,-2504.31,927.605,31.591,12.236,-10.262,-5.313,-5.956,-13.918,9.892,5.525,-0.602,9.892,-5.525,0.602,-36.598,-12.406,-18.025,-34.605,-5.638,-16.804,-0.096,-0.025,0.942,-1.261,-0.221,0.539,292.723,11.823,-14.005,-98.97,57.136,1.003
10.12,-209.456,-2932.498,448.491,-55.436,-2499.117,115.259,-77.376,-2352.963,775.556,-352.643,-2214.347,1009.756,218.096,-2455.515,916.905,-87.189,-2418.228,282.289,-201.36,-2771.915,326.946,-377.476,-2328.13,740.29,171.694,-2596.266,802.112,-112.944,-2477.72,923.157,29.865,12.912,-10.562,-3.178,-7.441,-13.741,10.4,5.907,-1.306,10.4,-5.907,1.306,-35.158,-11.842,-18.782,-33.405,-5.02,-17.391,-0.14,-0.033,0.727,-1.235,-0.196,0.546,314.054,14.814,-16.554,-77.313,54.251,0.191
10.13,-211.251,-2886.718,447.025,-56.121,-2497.939,115.937,-77.879,-2327.06,773.242,-361.669,-2202.199,994.318,220.418,-2412.767,912.69,-88.728,-2413.509,281.338,-203.413,-2725.215,324.823,-381.788,-2330.42,731.326,179.348,-2552.092,794.588,-113.557,-2451.31,920.02,28.059,13.305,-10.707,-0.439,-8.886,-13.347,10.571,6.202,-1.868,10.571,-6.202,1.868,-33.878,-11.34,-19.642,-32.464,-4.707,-17.796,-0.186,-0.043,0.541,-1.168,-0.159,0.591,327.192,14.816,-16.571,-62.727,47.895,0.021
10.14,-213.211,-2840.64,442.805,-56.472,-2497.087,116.804,-79.402,-2301.432,772.028,-370.671,-2191.843,980.565,221.901,-2369.134,910.942,-90.13,-2409.892,280.856,-204.932,-2676.469,322.695,-385.383,-2334.21,724.952,186.142,-2506.961,789.301,-114.254,-2425.02,918.294,26.141,13.337,-10.734,2.819,-10.148,-12.735,10.488,6.329,-2.3,10.488,-6.329,2.3,-32.828,-10.969,-20.528,-31.801,-4.659,-18.039,-0.239,-0.052,0.394,-1.068,-0.113,0.67,328.972,11.395,-14.434,-51.728,38.46,0.232
