Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
6.99,116.514,-1874.087,386.335,313.683,-1207.588,120.242,237.531,-1229.333,854.446,108.718,-1096.964,1253.617,564.117,-1393.225,1104.113,277.909,-1201.808,335.536,149.128,-1671.517,338.971,121.423,-1102.799,936.814,526.451,-1588.573,894.571,225.429,-1361.43,1052.18,48.746,2.567,9.881,13.775,-3.105,4.046,-21.497,7.773,8.593,-21.497,-7.773,-8.593,-40.06,-9.471,-6.427,-39.004,-10.606,-1.048,0.454,0.155,0.791,-1.138,0.132,0.724,295.612,5.329,0.761,-570.78,-116.529,1.967
7.0,113.504,-1838.346,392.226,311.786,-1192.765,116.291,239.139,-1198.337,848.208,105.227,-1070.188,1234.793,565.475,-1354.297,1094.043,275.87,-1177.366,329.725,146.071,-1636.235,342.942,110.285,-1087.223,918.274,530.841,-1546.799,881.085,225.178,-1331.89,1044.56,48.091,3.186,8.887,14.092,-3.692,3.904,-20.666,7.733,7.789,-20.666,-7.733,-7.789,-39.723,-9.396,-6.693,-39.598,-9.551,-1.862,0.39,0.128,0.831,-1.198,0.104,0.74,295.016,-2.591,-1.716,-536.048,-100.233,2.783
7.01,110.521,-1800.655,396.048,309.874,-1181.082,113.134,240.976,-1167.706,841.648,100.451,-1044.267,1214.562,566.341,-1313.901,1083.572,273.901,-1154.547,324.192,143.09,-1598.798,345.995,97.776,-1073.705,898.896,535.097,-1503.063,866.525,224.917,-1302.51,1036.5,47.338,3.895,7.885,14.465,-4.443,3.613,-19.797,7.802,6.919,-19.797,-7.802,-6.919,-39.415,-9.312,-6.996,-39.835,-8.355,-2.86,0.305,0.091,0.859,-1.254,0.074,0.728,291.31,-9.707,-4.57,-479.208,-79.028,3.527
7.02,107.619,-1761.122,397.79,307.905,-1172.225,111.014,243.042,-1137.655,834.921,94.276,-1019.501,1193.575,566.535,-1272.03,1073.099,271.986,-1133.866,319.26,140.321,-1559.271,348.215,84.161,-1062.457,879.261,538.955,-1457.316,851.314,224.644,-1273.27,1028.29,46.609,4.692,6.887,15.022,-5.35,3.214,-18.97,7.985,5.98,-18.97,-7.985,-5.98,-39.136,-9.209,-7.33,-39.526,-7.059,-4.011,0.205,0.047,0.873,-1.297,0.045,0.689,285.276,-15.92,-7.277,-401.37,-51.584,3.509
7.03,104.857,-1719.862,397.471,305.891,-1165.776,109.948,245.31,-1108.401,828.195,86.649,-996.235,1172.573,565.845,-1228.758,1063.108,270.12,-1115.742,315.138,137.866,-1517.762,349.648,69.778,-1053.61,860.069,542.128,-1409.485,835.927,224.344,-1244.17,1020.24,45.994,5.583,5.864,15.887,-6.391,2.771,-18.268,8.274,4.97,-18.268,-8.274,-4.97,-38.841,-9.086,-7.69,-38.632,-5.739,-5.214,0.092,-0.001,0.869,-1.319,0.018,0.631,277.765,-22.503,-9.177,-312.751,-20.508,2.667
7.04,102.298,-1677.001,395.133,303.919,-1161.261,109.743,247.692,-1080.004,821.649,77.608,-974.728,1152.306,564.056,-1184.17,1054.091,268.287,-1100.495,311.871,135.797,-1474.393,350.402,54.989,-1047.21,842.075,544.302,-1359.575,820.963,224.007,-1215.19,1012.65,45.515,6.549,4.788,17.175,-7.515,2.367,-17.771,8.631,3.906,-17.771,-8.631,-3.906,-38.514,-8.948,-8.067,-37.264,-4.505,-6.353,-0.026,-0.048,0.849,-1.314,-0.007,0.567,268.341,-30.506,-9.911,-226.019,7.493,1.38
7.05,100.007,-1632.68,390.844,302.119,-1158.208,110.11,250.016,-1052.476,815.472,67.271,-955.198,1133.488,560.975,-1138.444,1046.582,266.467,-1088.357,309.405,134.158,-1429.351,350.614,40.169,-1043.12,826.05,545.146,-1307.621,807.067,223.627,-1186.36,1005.81,45.123,7.528,3.678,18.95,-8.64,2.08,-17.531,8.991,2.813,-17.531,-8.991,-2.813,-38.118,-8.807,-8.44,-35.667,-3.458,-7.31,-0.144,-0.092,0.816,-1.281,-0.027,0.511,256.211,-40.408,-9.432,-153.113,25.165,0.202
7.06,98.047,-1587.049,384.69,300.606,-1156.188,110.774,252.029,-1025.614,809.909,55.842,-937.725,1116.701,556.454,-1091.853,1041.081,264.646,-1079.323,307.653,132.97,-1382.867,350.486,25.7,-1040.942,812.714,544.297,-1253.83,794.899,223.206,-1157.69,999.915,44.675,8.406,2.618,21.189,-9.648,1.985,-17.534,9.263,1.736,-17.534,-9.263,-1.736,-37.673,-8.661,-8.792,-34.121,-2.679,-8.042,-0.256,-0.128,0.773,-1.223,-0.043,0.477,240.114,-51.998,-7.827,-102.18,30.039,-0.196
7.07,96.482,-1540.258,376.77,299.432,-1154.841,111.543,253.458,-999.108,805.212,43.573,-922.255,1102.262,550.399,-1044.682,1037.994,262.854,-1073.132,306.525,132.236,-1335.193,350.215,11.949,-1040.111,802.595,541.412,-1198.546,785.092,222.746,-1129.2,995.144,44.013,9.057,1.743,23.797,-10.423,2.119,-17.732,9.367,0.718,-17.732,-9.367,-0.718,-37.205,-8.541,-9.102,-32.846,-2.165,-8.544,-0.357,-0.156,0.727,-1.145,-0.053,0.475,219.347,-63.758,-5.374,-72.229,25.744,0.396
7.08,95.368,-1492.441,367.19,298.585,-1153.89,112.338,254.042,-972.642,801.609,30.733,-908.607,1090.339,542.79,-997.252,1037.618,261.154,-1069.261,305.927,131.924,-1286.623,349.893,-0.804,-1039.885,796.026,536.182,-1142.212,778.144,222.248,-1100.89,991.617,43.006,9.366,1.182,26.636,-10.861,2.469,-18.038,9.235,-0.196,-18.038,-9.235,0.196,-36.711,-8.453,-9.358,-31.969,-1.897,-8.839,-0.446,-0.175,0.681,-1.053,-0.059,0.509,194.877,-73.629,-2.498,-56.098,18.759,1.448
7.09,94.747,-1443.699,356.063,298.021,-1153.125,113.18,253.613,-945.893,799.27,17.613,-896.514,1080.906,533.668,-949.898,1040.104,259.65,-1066.919,305.756,132.027,-1237.446,349.67,-12.353,-1039.503,793.039,528.411,-1085.33,774.358,221.706,-1072.69,989.408,41.596,9.277,1.023,29.553,-10.907,2.979,-18.385,8.839,-0.985,-18.385,-8.839,0.985,-36.227,-8.419,-9.551,-31.484,-1.8,-8.967,-0.521,-0.185,0.639,-0.952,-0.06,0.581,167.024,-79.943,0.342,-46.811,14.529,2.216
7.1,94.64,-1394.086,343.513,297.684,-1152.375,114.166,252.14,-918.702,798.262,4.541,-885.661,1073.908,523.138,-902.932,1045.435,258.446,-1065.242,305.919,132.526,-1187.941,349.625,-22.642,-1038.296,793.472,518.068,-1028.469,773.88,221.119,-1044.55,988.538,39.802,8.791,1.282,32.427,-10.555,3.563,-18.739,8.168,-1.664,-18.739,-8.168,1.664,-35.8,-8.445,-9.675,-31.343,-1.824,-8.958,-0.583,-0.185,0.605,-0.848,-0.061,0.686,136.516,-81.967,2.786,-39.814,14.841,2.12
7.11,95.041,-1343.604,329.685,297.528,-1151.487,115.447,249.742,-891.003,798.557,-8.123,-875.711,1069.317,511.351,-856.635,1053.425,257.599,-1063.307,306.344,133.394,-1138.399,349.749,-31.702,-1035.757,796.933,505.289,-972.171,776.638,220.491,-1016.39,988.986,37.697,7.97,1.915,35.177,-9.859,4.114,-19.099,7.245,-2.276,-19.099,-7.245,2.276,-35.427,-8.542,-9.701,-31.453,-1.926,-8.842,-0.631,-0.178,0.579,-0.743,-0.063,0.816,104.667,-79.234,4.384,-33.059,17.846,1.109
7.12,95.924,-1292.206,314.738,297.536,-1150.307,117.201,246.65,-862.849,800.051,-20.015,-866.267,1067.109,498.494,-811.256,1063.758,257.08,-1060.281,306.969,134.636,-1089.031,350.084,-39.653,-1031.59,802.954,490.377,-916.953,782.408,219.839,-988.165,990.677,35.364,6.905,2.851,37.751,-8.902,4.541,-19.476,6.097,-2.875,-19.476,-6.097,2.875,-35.174,-8.698,-9.607,-31.727,-2.104,-8.646,-0.669,-0.164,0.561,-0.637,-0.07,0.961,71.753,-72.205,4.723,-27.584,20.313,-0.278
7.13,97.232,-1239.8,298.86,297.727,-1148.67,119.62,243.163,-834.278,802.601,-30.833,-856.85,1067.272,484.769,-766.997,1076.001,256.81,-1055.462,307.73,136.245,-1040.067,350.56,-46.611,-1025.741,811.008,473.756,-863.262,790.833,219.196,-959.843,993.497,32.877,5.695,4.008,40.11,-7.786,4.777,-19.883,4.765,-3.509,-19.883,-4.765,3.509,-35.078,-8.905,-9.379,-32.121,-2.376,-8.368,-0.698,-0.145,0.551,-0.53,-0.083,1.108,38.245,-63.032,3.726,-25.02,20.392,-1.473
7.14,98.886,-1186.271,282.262,298.144,-1146.385,122.886,239.545,-805.359,806.04,-40.418,-846.991,1069.728,470.385,-723.999,1089.686,256.751,-1048.261,308.524,138.186,-991.635,351.047,-52.649,-1018.258,820.566,455.925,-811.434,801.455,218.599,-931.414,997.316,30.297,4.424,5.302,42.218,-6.605,4.791,-20.319,3.29,-4.203,-20.319,-3.29,4.203,-35.136,-9.14,-9.018,-32.583,-2.751,-7.997,-0.722,-0.121,0.547,-0.421,-0.102,1.245,5.551,-54.187,1.656,-25.015,17.826,-2.211
7.15,100.807,-1131.505,265.181,298.831,-1143.245,127.142,236.006,-776.121,810.208,-48.751,-836.239,1074.28,455.548,-682.355,1104.37,256.913,-1038.253,309.19,140.389,-943.787,351.372,-57.797,-1009.312,831.175,437.395,-761.723,813.757,218.08,-902.882,1001.97,27.67,3.153,6.659,44.032,-5.431,4.592,-20.771,1.719,-4.957,-20.771,-1.719,4.957,-35.292,-9.372,-8.573,-33.113,-3.218,-7.511,-0.742,-0.095,0.546,-0.311,-0.126,1.358,-25.559,-47.135,-0.754,-25.638,13.068,-2.427
7.16,102.927,-1075.413,247.88,299.818,-1139.033,132.47,232.69,-746.572,814.952,-55.932,-824.265,1080.634,440.466,-642.114,1119.665,257.36,-1025.187,309.492,142.75,-896.522,351.369,-62.042,-999.029,842.399,418.659,-714.313,827.22,217.657,-874.25,1007.3,25.042,1.924,8.008,45.51,-4.309,4.218,-21.215,0.101,-5.757,-21.215,-0.101,5.757,-35.479,-9.582,-8.113,-33.688,-3.739,-6.905,-0.761,-0.068,0.547,-0.201,-0.151,1.44,-55.161,-41.813,-2.652,-23.433,7.708,-2.267
7.17,105.188,-1017.952,230.659,301.116,-1133.557,138.881,229.664,-716.726,820.12,-62.109,-810.902,1088.439,425.334,-603.288,1135.22,258.203,-1009.09,309.169,145.159,-849.774,350.954,-65.379,-987.546,853.888,400.126,-669.228,841.321,217.328,-845.517,1013.12,22.468,0.77,9.281,46.623,-3.262,3.722,-21.636,-1.517,-6.584,-21.636,1.517,6.584,-35.603,-9.734,-7.694,-34.39,-4.259,-6.179,-0.781,-0.041,0.546,-0.094,-0.175,1.484,-83.415,-37.716,-3.525,-17.649,4.12,-2.016
7.18,107.544,-959.155,213.853,302.727,-1126.669,146.318,226.95,-686.593,825.557,-67.423,-796.104,1097.259,410.34,-565.86,1150.716,259.56,-990.269,307.96,147.54,-803.55,350.161,-67.805,-974.943,865.343,382.188,-626.497,855.581,217.065,-816.672,1019.24,20.002,-0.278,10.408,47.361,-2.303,3.167,-22.022,-3.082,-7.415,-22.022,3.082,7.415,-35.647,-9.845,-7.338,-35.209,-4.71,-5.396,-0.804,-0.015,0.542,0.009,-0.194,1.488,-112.539,-34.528,-3.489,-10.485,3.778,-1.777
7.19,109.974,-899.146,197.816,304.647,-1118.286,154.681,224.529,-656.211,831.107,-71.981,-779.938,1106.635,395.652,-529.787,1165.9,261.533,-969.337,305.755,149.841,-757.86,349.066,-69.338,-961.261,876.495,365.137,-586.0,869.565,216.83,-787.706,1025.49,17.696,-1.199,11.318,47.74,-1.429,2.607,-22.378,-4.551,-8.231,-22.378,4.551,8.231,-35.612,-9.934,-7.027,-36.185,-5.039,-4.632,-0.831,0.009,0.534,0.103,-0.205,1.454,-146.401,-31.555,-3.258,-4.447,6.38,-1.355
7.2,112.474,-838.157,182.91,306.864,-1108.402,163.851,222.383,-625.613,836.608,-75.852,-762.528,1116.112,381.42,-494.998,1180.512,264.188,-947.025,302.627,152.04,-712.735,347.756,-70.025,-946.498,887.11,349.24,-547.612,882.895,216.583,-758.614,1031.67,15.584,-1.978,11.941,47.794,-0.636,2.087,-22.708,-5.885,-9.014,-22.708,5.885,9.014,-35.501,-10.04,-6.738,-37.299,-5.229,-3.988,-0.863,0.029,0.522,0.187,-0.208,1.387,-187.995,-27.964,-3.44,-2.319,9.703,-0.379
7.21,115.036,-776.54,169.48,309.348,-1097.081,173.717,220.487,-594.876,841.892,-79.086,-744.013,1125.249,367.781,-461.401,1194.284,267.515,-924.171,298.916,154.132,-668.176,346.307,-69.991,-930.641,896.984,334.72,-511.175,895.212,216.296,-729.406,1037.62,13.699,-2.616,12.209,47.588,0.081,1.648,-23.03,-7.057,-9.748,-23.03,7.057,9.748,-35.314,-10.207,-6.45,-38.493,-5.297,-3.545,-0.901,0.045,0.507,0.259,-0.201,1.295,-239.088,-23.561,-4.003,-5.625,10.871,1.424
7.22,117.635,-714.773,157.815,312.039,-1084.448,184.203,218.838,-564.091,846.794,-81.736,-724.478,1133.604,354.841,-428.89,1206.923,271.39,-901.45,295.155,156.118,-624.179,344.799,-69.373,-913.641,905.955,321.722,-476.477,906.223,215.954,-700.105,1043.18,12.071,-3.113,12.073,47.196,0.718,1.32,-23.365,-8.047,-10.422,-23.365,8.047,10.422,-35.041,-10.483,-6.157,-39.661,-5.298,-3.334,-0.945,0.056,0.491,0.319,-0.186,1.188,-300.053,-18.823,-4.502,-14.28,8.234,4.105
7.23,120.231,-653.463,148.108,314.854,-1070.67,195.268,217.418,-533.344,851.147,-83.879,-703.961,1140.836,342.701,-397.344,1218.131,275.543,-879.387,292.032,157.999,-580.741,343.321,-68.361,-895.44,913.832,310.369,-443.355,915.633,215.55,-670.74,1048.18,10.727,-3.477,11.521,46.698,1.275,1.135,-23.725,-8.846,-11.023,-23.725,8.846,11.023,-34.67,-10.903,-5.853,-40.74,-5.301,-3.317,-0.993,0.061,0.476,0.367,-0.167,1.075,-369.565,-14.118,-4.603,-26.49,2.698,7.479
7.24,122.769,-593.316,140.421,317.701,-1055.926,206.899,216.211,-502.752,854.785,-85.633,-682.41,1146.591,331.445,-366.626,1227.573,279.579,-858.302,290.289,159.789,-537.913,341.969,-67.137,-875.933,920.45,300.709,-411.632,923.221,215.079,-641.344,1052.48,9.711,-3.715,10.602,46.173,1.748,1.117,-24.129,-9.45,-11.536,-24.129,9.45,11.536,-34.212,-11.478,-5.55,-41.721,-5.406,-3.392,-1.043,0.059,0.467,0.405,-0.147,0.967,-444.871,-9.854,-4.216,-38.348,-2.68,11.059
7.25,125.184,-535.1,134.668,320.512,-1040.361,219.088,215.183,-472.394,857.574,-87.139,-659.706,1150.659,321.147,-336.584,1234.904,283.118,-838.163,290.408,161.51,-495.783,340.816,-65.905,-854.988,925.635,292.791,-381.174,928.766,214.538,-611.941,1055.93,9.057,-3.838,9.41,45.688,2.136,1.285,-24.583,-9.862,-11.939,-24.583,9.862,11.939,-33.684,-12.183,-5.276,-42.574,-5.678,-3.428,-1.092,0.05,0.465,0.436,-0.129,0.871,-521.835,-7.761,-3.134,-44.688,-5.072,14.327
7.26,127.414,-479.585,130.617,323.253,-1024.045,231.807,214.287,-442.339,859.403,-88.541,-635.713,1152.865,311.884,-307.05,1239.807,285.941,-818.733,292.604,163.192,-454.507,339.884,-64.867,-832.426,929.225,286.63,-351.868,932.112,213.929,-582.552,1058.42,8.788,-3.862,8.082,45.297,2.434,1.633,-25.085,-10.092,-12.21,-25.085,10.092,12.21,-33.128,-12.947,-5.079,-43.322,-6.152,-3.303,-1.136,0.034,0.473,0.462,-0.118,0.795,-595.029,-10.478,-1.103,-40.396,-3.551,16.706
7.27,129.434,-427.494,127.897,325.923,-1006.923,244.995,213.457,-412.573,860.215,-89.966,-610.274,1153.157,303.748,-277.863,1241.978,288.093,-799.531,296.66,164.856,-414.336,339.117,-64.197,-808.032,931.046,282.269,-323.672,933.143,213.267,-553.187,1059.84,8.889,-3.815,6.763,45.031,2.647,2.129,-25.606,-10.159,-12.323,-25.606,10.159,12.323,-32.606,-13.664,-4.991,-43.95,-6.781,-2.951,-1.173,0.013,0.493,0.485,-0.114,0.743,-658.246,-19.23,1.634,-22.54,0.79,17.694
7.28,131.263,-379.443,126.037,328.553,-988.804,258.548,212.614,-383.046,859.998,-91.494,-583.273,1151.538,296.858,-248.888,1241.157,289.869,-779.906,301.965,166.514,-375.592,338.349,-64.05,-781.591,930.966,279.779,-296.568,931.75,212.579,-523.85,1060.15,9.313,-3.731,5.584,44.908,2.782,2.705,-26.102,-10.083,-12.262,-26.102,10.083,12.262,-32.196,-14.232,-5.028,-44.424,-7.474,-2.381,-1.2,-0.01,0.523,0.505,-0.121,0.716,-706.267,-32.393,4.26,8.481,5.681,17.265
7.29,132.956,-335.897,124.525,331.193,-969.374,272.319,211.673,-353.655,858.789,-93.154,-554.633,1148.085,291.355,-220.035,1237.166,291.663,-759.155,307.655,168.164,-338.599,337.326,-64.519,-752.872,928.843,279.246,-270.604,927.887,211.903,-494.535,1059.3,9.98,-3.644,4.635,44.922,2.855,3.271,-26.516,-9.889,-12.012,-26.516,9.889,12.012,-31.968,-14.581,-5.174,-44.688,-8.103,-1.661,-1.218,-0.032,0.562,0.521,-0.136,0.715,-736.664,-45.685,5.708,49.559,8.948,15.78
7.3,134.577,-297.159,122.894,333.903,-948.265,286.11,210.542,-324.283,856.654,-94.918,-524.309,1142.937,287.39,-191.271,1229.926,293.815,-736.666,312.837,169.786,-303.612,335.772,-65.665,-721.67,924.614,280.761,-245.814,921.611,211.272,-465.236,1057.3,10.794,-3.586,3.949,45.046,2.899,3.718,-26.79,-9.599,-11.571,-26.79,9.599,11.571,-31.965,-14.691,-5.411,-44.7,-8.554,-0.866,-1.229,-0.048,0.607,0.53,-0.159,0.737,-750.191,-54.143,5.357,95.816,9.695,13.631
7.31,136.164,-263.376,120.813,336.737,-925.123,299.679,209.115,-294.794,853.692,-96.724,-492.265,1136.269,285.128,-162.64,1219.444,296.511,-712.032,316.814,171.366,-270.789,333.471,-67.478,-687.83,918.235,284.396,-222.297,912.973,210.711,-435.946,1054.18,11.652,-3.591,3.512,45.227,2.963,3.945,-26.863,-9.243,-10.941,-26.863,9.243,10.941,-32.209,-14.579,-5.729,-44.443,-8.753,-0.061,-1.237,-0.055,0.653,0.529,-0.187,0.778,-749.779,-54.65,3.474,141.823,9.036,10.877
7.32,137.716,-234.569,118.158,339.719,-899.668,312.748,207.295,-265.096,850.011,-98.482,-458.458,1128.289,284.758,-134.268,1205.902,299.774,-685.095,319.235,172.88,-240.197,330.336,-69.922,-651.241,909.738,290.178,-200.131,902.159,210.227,-406.678,1049.99,12.466,-3.683,3.275,45.395,3.098,3.898,-26.69,-8.85,-10.133,-26.69,8.85,10.133,-32.695,-14.278,-6.122,-43.94,-8.677,0.724,-1.247,-0.052,0.693,0.514,-0.216,0.831,-737.753,-47.166,0.921,183.023,10.241,6.817
7.33,139.188,-210.652,115.041,342.847,-871.708,325.025,204.977,-235.152,845.745,-100.09,-422.831,1119.241,286.453,-106.347,1189.594,303.508,-655.896,320.147,174.315,-211.855,326.451,-72.898,-611.849,899.253,298.046,-179.431,889.411,209.816,-377.458,1044.83,13.172,-3.894,3.169,45.47,3.362,3.585,-26.237,-8.463,-9.161,-26.237,8.463,9.161,-33.383,-13.823,-6.591,-43.25,-8.358,1.458,-1.261,-0.04,0.722,0.483,-0.241,0.89,-713.123,-34.5,-1.43,216.455,17.902,0.099
7.34,140.521,-191.425,111.777,346.092,-841.141,336.227,202.088,-204.984,841.043,-101.438,-385.318,1109.409,290.352,-79.117,1170.95,307.521,-624.582,319.99,175.661,-185.778,322.042,-76.253,-569.639,886.974,307.849,-160.31,875.048,209.467,-348.328,1038.8,13.736,-4.254,3.12,45.376,3.806,3.093,-25.487,-8.127,-8.042,-25.487,8.127,8.042,-34.163,-13.234,-7.129,-42.486,-7.884,2.091,-1.283,-0.022,0.731,0.433,-0.257,0.948,-671.282,-20.531,-3.29,240.683,35.154,-10.282
7.35,141.672,-176.519,108.811,349.4,-807.951,346.103,198.587,-174.693,836.076,-102.407,-345.852,1099.091,296.525,-52.84,1150.585,311.6,-591.317,319.514,176.936,-161.95,317.445,-79.768,-524.645,873.182,319.304,-142.876,859.507,209.164,-319.318,1032.09,14.16,-4.799,3.061,45.069,4.471,2.555,-24.448,-7.888,-6.795,-24.448,7.888,6.795,-34.845,-12.514,-7.737,-41.823,-7.389,2.514,-1.31,-0.001,0.716,0.365,-0.261,0.998,-606.926,-8.065,-4.891,255.874,57.076,-22.615
7.36,142.643,-165.353,106.595,352.698,-772.191,354.454,194.52,-144.444,831.004,-102.853,-304.407,1088.649,304.962,-27.786,1129.124,315.579,-556.212,319.56,178.176,-140.291,313.016,-83.182,-476.913,858.26,332.072,-127.204,843.297,208.901,-290.441,1024.86,14.486,-5.55,2.946,44.549,5.373,2.104,-23.16,-7.78,-5.446,-23.16,7.78,5.446,-35.184,-11.657,-8.422,-41.46,-7.018,2.561,-1.336,0.016,0.675,0.279,-0.249,1.033,-519.281,2.149,-6.285,262.915,67.328,-31.101
7.37,143.476,-157.152,105.447,355.892,-733.973,361.132,190.014,-114.451,825.968,-102.611,-261.002,1078.469,315.561,-4.225,1107.289,319.322,-519.253,320.623,179.45,-120.693,309.012,-86.2,-426.528,842.698,345.735,-113.306,826.987,208.677,-261.683,1017.37,14.804,-6.526,2.759,43.854,6.506,1.816,-21.699,-7.825,-4.025,-21.699,7.825,4.025,-34.986,-10.673,-9.21,-41.495,-6.859,2.122,-1.355,0.027,0.612,0.177,-0.22,1.049,-416.401,10.696,-6.882,262.923,51.457,-30.345
