Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
16.78,332.525,1095.592,328.202,148.892,461.519,97.154,189.125,489.771,816.98,369.092,328.66,1080.152,-122.372,598.519,965.124,169.429,446.363,301.665,285.638,898.383,319.237,363.524,390.341,774.967,-70.3,822.984,760.461,218.055,631.763,977.236,36.978,6.464,7.421,2.49,-0.443,-3.149,-9.123,4.961,7.29,-9.123,-4.961,-7.29,-41.879,-4.759,-12.73,-43.359,2.688,2.089,0.232,0.039,0.964,-1.006,0.033,0.881,196.278,-17.058,-4.132,-459.605,-50.617,-1.966
16.79,336.535,1055.139,334.141,150.252,448.077,93.687,187.534,460.114,810.873,374.416,305.071,1057.232,-119.53,555.724,956.001,170.28,424.202,296.279,289.264,857.77,320.62,373.151,381.094,755.501,-70.211,776.24,746.681,218.285,601.415,969.667,36.835,6.936,6.552,3.787,-1.627,-3.885,-8.622,5.166,6.299,-8.622,-5.166,-6.299,-41.637,-4.944,-12.944,-43.79,3.444,1.37,0.111,-0.038,0.97,-0.111,-0.526,-2.741,192.512,-28.467,-7.918,169.118,317.658,-70.577
16.8,340.318,1012.701,338.625,151.505,437.407,90.907,185.728,431.049,804.598,380.667,282.703,1033.908,-115.948,511.462,947.862,170.971,403.996,291.257,292.526,815.212,321.364,382.991,373.245,736.563,-69.673,726.777,732.813,218.554,571.219,962.031,36.784,7.543,5.544,5.301,-3.001,-4.511,-8.148,5.523,5.218,-8.148,-5.523,-5.218,-41.332,-5.073,-13.254,-43.916,4.253,0.462,-0.016,-0.114,0.955,-0.535,0.278,-14.365,188.275,-38.925,-11.022,-74.193,419.97,29.067
16.81,343.837,968.443,341.615,152.651,429.199,88.882,183.799,402.605,798.333,387.795,261.635,1010.759,-111.571,465.896,941.204,171.513,385.883,286.748,295.361,770.855,321.654,392.761,366.616,718.68,-68.503,674.627,719.418,218.853,541.215,954.58,36.788,8.247,4.477,7.075,-4.493,-4.947,-7.727,5.994,4.065,-7.727,-5.994,-4.065,-40.953,-5.154,-13.647,-43.669,5.063,-0.574,-0.145,-0.184,0.919,1.605,0.041,-19.738,184.078,-48.802,-13.236,800.633,686.041,54.526
16.82,347.049,922.555,343.086,153.689,423.117,87.588,181.874,374.769,792.258,395.72,241.918,988.444,-106.351,419.214,936.499,171.938,369.996,282.847,297.705,724.866,321.737,402.165,360.956,702.347,-66.527,619.906,707.105,219.167,511.435,947.56,36.788,8.992,3.428,9.146,-6.014,-5.117,-7.385,6.517,2.864,-7.385,-6.517,-2.864,-40.519,-5.181,-14.101,-43.049,5.836,-1.665,-0.27,-0.246,0.864,2.166,0.104,-15.707,179.971,-58.293,-14.421,988.516,479.497,13.949
16.83,349.899,875.236,343.032,154.617,418.81,86.929,180.096,347.488,786.545,404.33,223.552,967.591,-100.263,371.654,934.179,172.323,356.439,279.601,299.487,677.449,321.9,410.94,355.962,688.006,-63.576,562.817,696.49,219.481,481.903,941.199,36.71,9.707,2.464,11.538,-7.462,-4.962,-7.139,7.018,1.642,-7.139,-7.018,-1.642,-40.061,-5.163,-14.585,-42.119,6.54,-2.725,-0.388,-0.297,0.795,3.401,-0.554,-14.296,175.355,-67.408,-14.556,1238.35,648.725,36.389
16.84,352.33,826.688,341.455,155.441,415.925,86.779,178.619,320.662,781.36,413.478,206.482,948.783,-93.306,323.486,934.578,172.761,345.266,277.023,300.644,628.844,322.423,418.885,351.318,675.997,-59.477,503.662,688.152,219.777,452.621,935.688,36.474,10.317,1.644,14.259,-8.735,-4.459,-7.001,7.42,0.425,-7.001,-7.42,-0.425,-39.631,-5.111,-15.063,-40.999,7.154,-3.689,-0.494,-0.334,0.717,5.594,-1.086,-14.354,169.094,-76.071,-13.719,1822.91,836.536,118.248
16.85,354.275,777.099,338.373,156.175,414.121,87.012,177.579,294.162,776.86,423.001,190.594,932.516,-85.513,275.028,937.918,173.352,336.436,275.112,301.135,579.329,323.547,425.869,346.66,666.554,-54.11,442.848,682.604,220.036,423.575,931.195,36.01,10.753,1.008,17.291,-9.743,-3.633,-6.976,7.651,-0.763,-6.976,-7.651,0.763,-39.274,-5.037,-15.497,-39.83,7.662,-4.514,-0.588,-0.357,0.635,7.874,-1.441,-16.023,159.935,-83.846,-12.165,2244.2,997.143,171.735
16.86,355.671,726.636,333.819,156.842,413.082,87.54,177.082,267.838,773.184,432.723,175.727,919.151,-76.956,226.615,944.285,174.172,329.782,273.854,300.946,529.205,325.431,431.849,341.658,659.801,-47.379,380.901,680.253,220.245,394.735,927.844,35.267,10.963,0.586,20.593,-10.415,-2.549,-7.059,7.656,-1.905,-7.059,-7.656,1.905,-39.035,-4.953,-15.857,-38.747,8.053,-5.181,-0.669,-0.367,0.555,9.412,-1.497,-17.476,146.625,-90.164,-10.187,2410.81,1037.01,226.771
16.87,356.462,675.434,327.846,157.473,412.517,88.333,177.19,241.538,770.46,442.468,161.68,908.907,-67.737,178.596,953.613,175.245,324.973,273.209,300.096,478.792,328.123,436.865,336.009,655.751,-39.259,318.391,681.345,220.39,366.058,925.736,34.219,10.919,0.389,24.1,-10.713,-1.31,-7.242,7.399,-2.996,-7.242,-7.399,2.996,-38.941,-4.874,-16.114,-37.85,8.331,-5.693,-0.737,-0.364,0.481,10.719,-1.665,-18.889,128.015,-94.422,-8.111,2512.14,1087.51,306.606
