Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.3,174.843,-3980.728,404.4,364.007,-3250.628,102.153,270.708,-3267.605,909.812,23.238,-3163.453,1266.035,585.655,-3381.923,1063.244,309.741,-3230.955,335.876,196.001,-3756.844,357.725,14.817,-3264.922,910.026,605.869,-3607.15,852.194,249.122,-3405.8,1086.98,42.462,7.344,2.359,5.113,-4.175,-5.632,0.497,6.895,9.996,0.497,-6.895,-9.996,-45.819,-1.065,-0.393,-47.159,-8.273,-0.336,0.285,0.036,1.095,-1.144,0.022,0.804,223.504,7.864,-13.167,-532.724,-26.993,-6.809
4.31,173.141,-3941.253,416.77,362.478,-3243.152,99.121,270.726,-3239.934,902.949,20.338,-3139.024,1246.875,585.5,-3345.75,1049.975,308.702,-3214.429,330.713,195.644,-3719.259,360.149,2.192,-3257.267,895.987,604.75,-3566.921,835.456,249.185,-3377.73,1079.56,42.007,7.554,2.106,6.651,-4.553,-6.488,1.036,7.203,9.499,1.036,-7.203,-9.499,-45.466,-1.113,-0.448,-47.406,-7.535,-1.075,0.188,0.021,1.008,-1.11,0.005,0.8,237.82,9.331,-11.214,-456.756,-18.045,-6.754
4.32,171.252,-3899.375,427.528,361.151,-3237.63,96.763,271.142,-3212.841,895.654,16.355,-3116.042,1227.066,585.106,-3308.552,1036.973,307.773,-3199.397,325.942,195.168,-3679.427,361.853,-10.646,-3251.173,882.554,604.13,-3525.241,818.629,249.213,-3349.82,1071.75,41.579,7.9,1.577,8.367,-5.093,-7.421,1.599,7.613,8.93,1.599,-7.613,-8.93,-45.051,-1.156,-0.547,-47.472,-6.821,-1.947,0.082,0.002,0.916,-1.05,-0.015,0.777,248.365,9.512,-8.568,-371.193,-7.58,-5.67
4.33,169.216,-3855.366,436.554,360.009,-3233.582,95.082,272.002,-3186.299,888.17,11.306,-3094.542,1207.154,584.336,-3270.226,1024.825,306.902,-3185.896,321.699,194.579,-3637.436,362.96,-23.478,-3246.313,870.228,603.893,-3481.876,802.206,249.202,-3322.03,1063.81,41.168,8.39,0.795,10.276,-5.789,-8.334,2.155,8.13,8.285,2.155,-8.13,-8.285,-44.578,-1.186,-0.681,-47.322,-6.181,-2.876,-0.028,-0.018,0.816,-0.974,-0.034,0.741,255.808,8.584,-5.486,-283.243,2.018,-3.855
4.34,167.084,-3809.544,443.748,359.03,-3230.636,94.026,273.275,-3160.328,880.714,5.259,-3074.465,1187.728,583.039,-3230.688,1014.148,306.047,-3174.057,318.086,193.887,-3593.425,363.588,-36.06,-3242.382,859.477,603.86,-3436.538,786.669,249.147,-3294.36,1056.02,40.761,9.003,-0.186,12.41,-6.611,-9.126,2.659,8.728,7.574,2.659,-8.728,-7.574,-44.024,-1.192,-0.824,-46.951,-5.64,-3.772,-0.135,-0.038,0.706,-0.893,-0.049,0.697,261.193,6.805,-2.244,-199.668,9.333,-1.734
4.35,164.91,-3762.257,449.03,358.191,-3228.52,93.498,274.89,-3134.868,873.526,-1.652,-3055.781,1169.474,581.064,-3189.944,1005.583,305.155,-3163.976,315.159,193.122,-3547.549,363.891,-48.156,-3238.995,850.673,603.834,-3388.971,772.582,249.052,-3266.81,1048.64,40.328,9.698,-1.305,14.773,-7.516,-9.705,3.08,9.369,6.811,3.08,-9.369,-6.811,-43.424,-1.173,-0.958,-46.428,-5.21,-4.541,-0.233,-0.056,0.587,-0.816,-0.059,0.652,264.727,3.935,1.051,-126.995,13.226,0.305
4.36,162.753,-3713.86,452.337,357.47,-3227.036,93.374,276.715,-3109.826,866.803,-9.253,-3038.342,1152.942,578.272,-3148.04,999.728,304.164,-3155.731,312.922,192.323,-3499.978,364.043,-59.558,-3235.705,844.146,603.584,-3339.036,760.495,248.924,-3239.37,1041.91,39.835,10.407,-2.481,17.375,-8.442,-10.002,3.383,9.997,6.021,3.383,-9.997,-6.021,-42.83,-1.123,-1.059,-45.8,-4.893,-5.122,-0.316,-0.07,0.462,-0.75,-0.064,0.61,266.397,-0.147,4.23,-69.195,14.349,1.954
4.37,160.669,-3664.694,453.626,356.847,-3226.039,93.525,278.612,-3085.064,860.767,-17.327,-3021.996,1138.737,574.555,-3105.111,997.107,303.047,-3149.347,311.334,191.501,-3450.94,364.141,-70.092,-3232.141,840.104,602.835,-3286.652,750.966,248.774,-3212.02,1036.03,39.23,11.063,-3.628,20.198,-9.319,-9.989,3.552,10.547,5.225,3.552,-10.547,-5.225,-42.232,-1.057,-1.081,-45.167,-4.691,-5.472,-0.381,-0.082,0.336,-0.699,-0.065,0.576,266.471,-5.276,7.125,-27.8,13.884,3.006
4.38,158.714,-3615.067,452.87,356.304,-3225.413,93.841,280.401,-3060.409,855.583,-25.62,-3006.5,1127.301,569.834,-3061.355,998.141,301.757,-3144.743,310.31,190.679,-3400.676,364.308,-79.592,-3227.924,838.645,601.304,-3231.878,744.514,248.614,-3184.75,1031.2,38.469,11.589,-4.67,23.212,-10.075,-9.672,3.581,10.952,4.454,3.581,-10.952,-4.454,-41.674,-0.973,-1.003,-44.585,-4.597,-5.583,-0.425,-0.091,0.216,-0.663,-0.061,0.556,264.379,-11.367,9.583,-2.644,12.634,3.434
4.39,156.94,-3565.233,450.059,355.829,-3225.063,94.244,281.955,-3035.663,851.414,-33.89,-2991.625,1118.993,564.078,-3017.088,1003.111,300.301,-3141.702,309.748,189.894,-3349.413,364.683,-87.964,-3222.741,839.787,598.734,-3174.913,741.589,248.457,-3157.51,1027.52,37.508,11.93,-5.544,26.368,-10.65,-9.094,3.481,11.16,3.724,3.481,-11.16,-3.724,-41.195,-0.896,-0.796,-44.121,-4.612,-5.471,-0.451,-0.099,0.108,-0.643,-0.054,0.555,259.184,-18.261,11.431,9.065,12.174,3.212
