Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.605,132.6505,-2757.0685,400.221,349.24199999999996,-2066.442,122.778,253.21699999999998,-2075.848,890.998,28.945,-1937.1785,1279.463,556.8375,-2085.9790000000003,1211.5815,305.6355,-2052.63,350.0615,153.8545,-2525.389,369.144,83.63550000000001,-1996.4025,975.2,538.2940000000001,-2241.1639999999998,912.226,239.5005,-2208.685,1070.06,40.9725,4.147,3.82,-0.04149999999999998,-3.4055,-2.505,3.627,3.9699999999999998,3.6045,3.627,-3.9699999999999998,-3.6045,-32.994,-5.1275,1.7305,-33.295500000000004,2.175,9.266,0.0475,0.1955,1.05,-0.896,-0.0605,0.7484999999999999,103.481,10.1665,7.529,-409.11699999999996,3.329,-7.573
3.625,130.2665,-2683.497,414.3885,348.10450000000003,-2048.381,116.55250000000001,259.30899999999997,-2021.6464999999998,875.654,22.01,-1887.276,1244.7224999999999,558.6795,-2015.376,1190.6235000000001,303.819,-2016.15,340.142,156.8745,-2453.3595,374.577,71.10249999999999,-1959.9885,944.0905,550.0145,-2167.657,888.4085,240.812,-2152.8500000000004,1052.3049999999998,40.907,5.856999999999999,4.7395,2.554,-5.047,-2.7615,4.377000000000001,5.5435,1.665,4.377000000000001,-5.5435,-1.665,-33.197,-5.2925,1.298,-33.7525,2.628,9.131,-0.1685,0.1745,1.035,-0.9339999999999999,-0.09,0.6995,117.936,-1.6129999999999998,3.925,-305.35400000000004,8.3795,-2.775
3.645,128.232,-2601.9325,424.7795,347.3465,-2037.7265,113.0795,264.606,-1969.2525,860.406,12.650500000000001,-1839.9535,1209.8725,558.1155,-1942.1680000000001,1171.5475000000001,302.195,-1986.647,332.191,159.317,-2373.096,380.5435,57.045500000000004,-1928.1,912.2435,560.473,-2090.0975,865.702,241.80700000000002,-2097.41,1035.2649999999999,40.787,7.351,4.72,6.2620000000000005,-6.990500000000001,-3.1100000000000003,4.742,7.121,-0.029000000000000026,4.742,-7.121,0.029000000000000026,-33.308499999999995,-5.2425,0.514,-33.302,3.4074999999999998,8.5125,-0.36050000000000004,0.1155,0.899,-0.9795,-0.092,0.5900000000000001,140.746,-19.4155,-2.2305,-200.3305,8.437,0.3935
3.665,126.85849999999999,-2513.857,430.2475,346.767,-2032.1915,111.8155,268.031,-1918.1075,846.652,1.8329999999999997,-1795.4834999999998,1179.6064999999999,554.264,-1867.05,1157.8475,300.608,-1965.2275,326.601,161.74200000000002,-2285.678,388.731,42.9805,-1899.967,883.6469999999999,568.1335,-2008.0059999999999,847.1735,242.4915,-2042.3500000000001,1020.73,40.22,8.271999999999998,3.816,11.191500000000001,-8.791,-2.9875,4.640000000000001,8.343499999999999,-1.319,4.640000000000001,-8.343499999999999,1.319,-33.628,-5.018000000000001,-0.603,-32.0785,4.28,7.62,-0.489,0.0385,0.6815,-0.9995,-0.07050000000000001,0.47950000000000004,171.2645,-43.2535,-7.1370000000000005,-114.8255,4.7305,1.0485
3.685,126.44550000000001,-2421.2309999999998,429.6975,346.21349999999995,-2029.795,111.805,269.1325,-1867.3519999999999,835.7745,-9.1235,-1753.4805000000001,1157.9985000000001,546.7864999999999,-1791.2289999999998,1152.27,299.003,-1951.9025000000001,323.37149999999997,164.46,-2193.3379999999997,400.252,30.125,-1873.633,862.0605,571.3415,-1921.4270000000001,835.5250000000001,242.894,-1987.5900000000001,1010.125,38.811,8.4475,2.4699999999999998,17.172,-10.045,-2.224,4.108,8.940000000000001,-2.2365,4.108,-8.940000000000001,2.2365,-34.423500000000004,-4.6845,-1.9260000000000002,-30.624,5.0495,6.7095,-0.5405,-0.033,0.449,-0.9844999999999999,-0.036,0.4435,201.99099999999999,-73.393,-6.983499999999999,-62.3195,-0.5855,-0.014500000000000013
3.705,127.21000000000001,-2325.893,422.33050000000003,345.64,-2028.9875,112.42099999999999,268.172,-1816.096,828.923,-19.294,-1713.1715,1146.9305,536.14,-1716.0970000000002,1155.9209999999998,297.4615,-1945.027,322.13599999999997,167.112,-2098.933,414.15250000000003,19.0815,-1846.6945,849.934,568.694,-1831.386,832.4445000000001,243.049,-1932.9699999999998,1004.3299999999999,36.3095,7.9355,1.334,23.7455,-10.555,-1.057,3.2415000000000003,8.812999999999999,-2.9815,3.2415000000000003,-8.812999999999999,2.9815,-35.575,-4.221,-3.226,-29.486,5.5875,5.899,-0.536,-0.0775,0.2635,-0.9405,-0.0004999999999999996,0.5329999999999999,215.7145,-102.576,-1.3675,-43.2255,-7.654,-1.3645
3.725,129.221,-2228.9695,407.8345,345.029,-2028.5565000000001,113.8555,265.7915,-1763.578,826.7895,-28.6575,-1673.8384999999998,1145.7465,523.3924999999999,-1642.722,1167.9630000000002,296.132,-1941.1480000000001,322.389,168.672,-2004.5945000000002,427.09799999999996,9.8875,-1817.138,847.817,559.5685000000001,-1739.926,838.2145,243.0005,-1878.3049999999998,1003.605,32.67,6.905,0.908,30.292,-10.377,0.21300000000000002,2.1799999999999997,8.023,-3.7885,2.1799999999999997,-8.023,3.7885,-36.4975,-3.487,-4.27,-28.9345,5.853,5.2005,-0.504,-0.08199999999999999,0.16749999999999998,-0.8645,0.027,0.747,190.63400000000001,-111.0305,5.3165000000000004,-47.988,-16.7605,-1.8944999999999999
3.745,132.35399999999998,-2130.5645000000004,386.494,344.31899999999996,-2027.355,117.15549999999999,262.631,-1709.2775000000001,829.4590000000001,-37.7525,-1634.8125,1152.1365,509.6595,-1571.5725,1186.188,295.0465,-1935.386,323.7585,168.60250000000002,-1910.7649999999999,435.631,2.3055,-1783.843,854.5975,544.4775,-1649.659,851.74,242.7785,-1823.335,1007.665,28.033,5.5245,1.2715,36.2275,-9.7265,1.4495,1.066,6.7195,-4.8155,1.066,-6.7195,4.8155,-36.6135,-2.5335,-4.8855,-28.8975,5.8725000000000005,4.648999999999999,-0.4665,-0.045,0.17049999999999998,-0.7375,0.033,1.033,129.122,-82.7555,8.4505,-60.570499999999996,-26.8975,-1.0795000000000001
3.7649999999999997,136.2425,-2029.848,359.2045,343.4075,-2024.0500000000002,123.8215,259.071,-1653.013,836.433,-46.9825,-1595.517,1163.3310000000001,495.677,-1502.6570000000002,1207.948,294.21950000000004,-1922.463,325.9255,167.6995,-1817.176,438.926,-3.8735,-1746.627,868.0795,524.982,-1562.9944999999998,870.8725,242.36,-1767.835,1015.84,22.7065,3.949,2.0585,41.1545,-8.8415,2.6665,0.02850000000000001,5.1045,-6.077500000000001,0.02850000000000001,-5.1045,6.077500000000001,-35.9265,-1.7765,-4.971500000000001,-29.139,5.7265,4.359,-0.43,0.022000000000000002,0.2525,-0.5429999999999999,0.01,1.3035,67.7125,-29.794,7.3605,-66.26599999999999,-33.766999999999996,1.2015
3.785,140.252,-1925.4555,327.43550000000005,342.255,-2017.114,135.1365,255.311,-1594.9555,846.7605,-56.248999999999995,-1555.5075,1177.0915,481.7625,-1435.8694999999998,1230.8705,294.23,-1898.4425,328.022,167.081,-1724.5335,438.788,-8.7025,-1705.859,885.689,503.1905,-1481.6165,892.971,241.68200000000002,-1711.615,1027.175,17.124000000000002,2.3655,2.685,44.900000000000006,-7.905,3.8095,-0.8574999999999999,3.4050000000000002,-7.4885,-0.8574999999999999,-3.4050000000000002,7.4885,-35.0685,-1.6265,-4.6315,-29.522,5.5555,4.4495,-0.3985,0.1,0.369,-0.2915,-0.033,1.4685000000000001,32.447,17.3445,4.5305,-55.6205,-31.5115,4.2465
