Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
6.27,103.437,-2552.298,526.79,282.684,-1834.488,154.576,239.999,-1787.789,968.615,-8.77,-1650.797,1293.299,547.682,-1945.528,1195.578,255.921,-1795.467,387.076,123.114,-2338.312,448.851,24.007,-1752.216,975.068,519.358,-2203.436,978.543,208.026,-1930.33,1148.11,32.564,10.066,8.555,-6.931,-1.921,-6.447,4.193,5.527,2.749,4.193,-5.527,-2.749,-54.703,-6.542,1.086,-45.7,1.595,9.814,0.55,0.213,1.417,-1.781,0.201,1.023,238.114,17.435,-3.28,-896.755,-78.634,-0.93
6.28,101.078,-2511.816,541.261,278.698,-1810.713,150.573,241.561,-1755.467,961.692,-12.982,-1621.765,1274.689,549.682,-1903.385,1181.469,252.397,-1769.685,381.251,119.24,-2302.738,450.347,15.038,-1730.122,958.854,524.577,-2157.698,959.399,206.876,-1897.75,1138.91,32.246,10.869,7.293,-6.29,-2.678,-6.982,5.224,6.108,1.535,5.224,-6.108,-1.535,-54.575,-6.498,1.03,-46.466,2.465,9.425,0.447,0.212,1.466,-1.84,0.128,0.958,259.802,19.498,-6.379,-858.411,-41.292,0.059
6.29,98.578,-2468.09,553.712,275.062,-1792.195,147.601,243.34,-1723.677,954.732,-17.696,-1593.695,1256.066,551.449,-1859.749,1166.843,248.835,-1747.701,375.877,115.431,-2264.223,450.843,6.03,-1709.037,942.35,530.103,-2109.72,939.215,205.664,-1865.33,1129.38,31.891,11.793,5.884,-5.453,-3.697,-7.457,6.327,6.846,0.251,6.327,-6.846,-0.251,-54.291,-6.457,0.791,-47.209,3.441,8.841,0.318,0.201,1.467,-1.865,0.045,0.871,279.986,21.166,-9.284,-789.776,-1.987,1.413
6.3,95.93,-2421.361,563.899,271.858,-1778.431,145.565,245.136,-1692.406,947.879,-22.858,-1566.606,1237.887,552.811,-1814.544,1152.232,245.475,-1729.167,371.144,111.812,-2222.645,450.469,-2.891,-1688.96,926.028,535.71,-2059.361,918.555,204.414,-1833.06,1119.8,31.471,12.763,4.411,-4.374,-4.951,-7.842,7.436,7.703,-1.054,7.436,-7.703,1.054,-53.862,-6.43,0.363,-47.753,4.432,8.073,0.173,0.179,1.414,-1.849,-0.041,0.771,298.998,22.182,-11.474,-690.895,33.95,2.714
6.31,93.131,-2371.965,571.62,269.153,-1768.767,144.352,246.741,-1661.637,941.312,-28.388,-1540.505,1220.724,553.564,-1767.751,1138.27,242.517,-1713.567,367.189,108.498,-2177.898,449.384,-11.559,-1669.906,910.425,541.16,-2006.534,898.046,203.149,-1800.94,1110.47,30.959,13.705,2.997,-3.001,-6.389,-8.101,8.493,8.624,-2.338,8.493,-8.624,2.338,-53.331,-6.407,-0.227,-47.966,5.357,7.165,0.025,0.146,1.306,-1.792,-0.117,0.672,316.901,21.623,-12.642,-567.914,61.037,3.712
6.32,90.182,-2320.312,576.726,266.986,-1762.456,143.841,247.948,-1631.335,935.14,-34.193,-1515.377,1205.087,553.535,-1719.407,1125.627,240.049,-1700.385,364.048,105.56,-2129.99,447.729,-19.817,-1651.778,896.1,546.211,-1951.207,878.416,201.884,-1768.94,1101.74,30.339,14.531,1.742,-1.271,-7.935,-8.212,9.425,9.538,-3.567,9.425,-9.538,3.567,-52.739,-6.377,-0.92,-47.78,6.146,6.203,-0.116,0.103,1.152,-1.696,-0.178,0.589,333.547,17.887,-12.58,-434.61,76.952,4.315
6.33,87.095,-2266.864,579.127,265.372,-1758.723,143.908,248.585,-1601.414,929.466,-40.191,-1491.191,1191.451,552.541,-1669.589,1114.955,238.07,-1689.204,361.666,103.049,-2078.954,445.719,-27.488,-1634.416,883.602,550.614,-1893.351,860.368,200.635,-1737.03,1093.87,29.595,15.166,0.732,0.869,-9.5,-8.149,10.172,10.376,-4.717,10.172,-10.376,4.717,-52.171,-6.317,-1.667,-47.231,6.755,5.289,-0.241,0.053,0.962,-1.568,-0.219,0.536,347.077,10.526,-11.297,-305.08,82.786,4.541
6.34,83.898,-2212.096,578.794,264.294,-1756.819,144.45,248.544,-1571.783,924.389,-46.305,-1467.899,1180.224,550.472,-1618.493,1106.863,236.481,-1679.659,359.937,100.969,-2025.004,443.552,-34.429,-1617.618,873.399,554.151,-1833.134,844.602,199.415,-1705.16,1087.13,28.717,15.547,0.012,3.454,-10.982,-7.906,10.683,11.07,-5.778,10.683,-11.07,5.778,-51.671,-6.206,-2.376,-46.419,7.164,4.524,-0.346,-0.002,0.751,-1.419,-0.239,0.522,355.545,-0.361,-9.047,-190.996,80.99,4.474
6.35,80.639,-2156.465,575.753,263.715,-1756.065,145.401,247.793,-1542.318,919.989,-52.474,-1445.432,1171.689,547.254,-1566.38,1101.844,235.175,-1671.438,358.743,99.307,-1968.404,441.475,-40.532,-1601.117,865.859,556.614,-1770.807,831.724,198.24,-1673.29,1081.74,27.689,15.635,-0.403,6.488,-12.276,-7.486,10.927,11.565,-6.758,10.927,-11.565,6.758,-51.292,-6.039,-2.972,-45.477,7.355,3.974,-0.43,-0.058,0.537,-1.26,-0.24,0.551,357.364,-14.617,-5.944,-101.112,75.163,4.191
6.36,77.383,-2100.371,570.08,263.585,-1755.873,146.748,246.376,-1512.912,916.354,-58.636,-1423.681,1166.017,542.888,-1513.575,1100.231,234.065,-1664.228,357.992,98.043,-1909.573,439.763,-45.718,-1584.645,861.194,557.821,-1706.739,822.197,197.125,-1641.37,1077.83,26.505,15.417,-0.524,9.939,-13.284,-6.924,10.895,11.813,-7.677,10.895,-11.813,7.677,-51.064,-5.821,-3.392,-44.553,7.337,3.69,-0.494,-0.112,0.334,-1.098,-0.227,0.622,349.995,-30.871,-2.286,-36.558,67.73,3.731
