Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
27.58,133.897,-2192.388,335.489,324.671,-1483.962,121.559,262.323,-1500.214,892.402,71.543,-1370.406,1306.31,606.558,-1607.209,1067.452,296.72,-1475.551,338.475,130.727,-1979.165,297.01,92.644,-1408.708,977.721,589.486,-1829.586,847.091,248.122,-1631.15,1078.81,40.089,6.385,2.062,0.618,-6.118,1.147,-7.768,8.267,6.729,-7.768,-8.267,-6.729,-38.854,-9.361,-23.286,-38.066,-8.536,-8.145,0.46,0.164,0.857,-1.156,-0.002,0.722,192.695,-30.952,-0.413,-637.916,-19.485,2.313
27.59,132.809,-2163.618,340.708,323.757,-1469.798,118.076,262.346,-1470.832,887.104,66.916,-1341.963,1285.053,607.525,-1566.718,1059.299,295.435,-1452.104,332.888,129.043,-1951.077,297.673,76.38,-1395.584,958.388,593.622,-1784.469,833.69,247.798,-1603.13,1071.43,39.639,6.35,1.12,0.94,-6.641,0.873,-7.084,8.527,5.954,-7.084,-8.527,-5.954,-39.071,-9.677,-23.191,-38.399,-8.181,-8.67,0.391,0.156,0.934,-1.134,-0.013,0.768,199.916,-36.036,0.414,-575.232,-18.967,2.571
27.6,131.752,-2132.667,344.962,323.057,-1459.041,115.4,262.489,-1441.813,881.674,60.943,-1314.095,1261.759,608.2,-1525.438,1050.792,294.251,-1430.739,327.625,127.708,-1920.642,298.469,58.811,-1384.587,938.409,597.743,-1738.366,819.88,247.395,-1575.22,1063.75,39.296,6.369,0.095,1.373,-7.323,0.505,-6.359,8.869,5.102,-6.359,-8.869,-5.102,-39.281,-10.026,-23.109,-38.538,-7.731,-9.296,0.309,0.141,0.993,-1.125,-0.025,0.793,204.144,-40.585,0.672,-488.344,-18.756,2.202
27.61,130.74,-2099.477,348.198,322.491,-1451.145,113.669,262.696,-1413.298,876.261,53.782,-1287.036,1236.999,608.451,-1483.388,1042.254,293.151,-1411.736,323.0,126.77,-1887.731,299.42,40.36,-1375.879,918.425,601.689,-1691.307,806.019,246.889,-1547.43,1056.06,39.082,6.461,-0.922,1.981,-8.141,0.077,-5.627,9.285,4.185,-5.627,-9.285,-4.185,-39.431,-10.383,-23.054,-38.328,-7.199,-10.017,0.219,0.119,1.028,-1.125,-0.035,0.795,207.042,-44.787,0.291,-384.072,-18.357,1.834
27.62,129.787,-2064.044,350.362,321.957,-1445.495,112.821,262.866,-1385.368,871.017,45.762,-1260.956,1211.442,608.137,-1440.574,1034.079,292.11,-1395.229,319.181,126.218,-1852.287,300.521,21.542,-1369.514,899.197,605.283,-1643.304,792.529,246.272,-1519.83,1048.66,38.955,6.618,-1.868,2.829,-9.052,-0.366,-4.917,9.742,3.236,-4.917,-9.742,-3.236,-39.496,-10.69,-23.051,-37.698,-6.595,-10.779,0.123,0.093,1.038,-1.13,-0.044,0.779,209.739,-49.042,-0.545,-276.542,-16.689,1.708
27.63,128.911,-2026.422,351.394,321.375,-1441.525,112.653,262.873,-1358.001,866.081,37.357,-1235.918,1185.868,607.096,-1397.024,1026.75,291.098,-1381.244,316.172,126.0,-1814.349,301.743,2.888,-1365.372,881.527,608.331,-1594.369,779.883,245.555,-1492.4,1041.79,38.812,6.799,-2.733,3.983,-10.001,-0.772,-4.284,10.197,2.293,-4.284,-10.197,-2.293,-39.44,-10.899,-23.101,-36.693,-5.961,-11.523,0.027,0.065,1.024,-1.13,-0.053,0.75,213.771,-53.655,-1.662,-181.487,-12.44,1.58
27.64,128.136,-1986.735,351.222,320.717,-1438.771,112.912,262.591,-1331.138,861.601,29.214,-1211.809,1161.042,605.18,-1352.826,1020.807,290.041,-1369.867,313.907,126.033,-1774.04,303.107,-15.009,-1363.068,866.19,610.591,-1544.5,768.614,244.774,-1465.19,1035.66,38.501,6.939,-3.521,5.473,-10.915,-1.09,-3.762,10.598,1.401,-3.762,-10.598,-1.401,-39.299,-10.995,-23.198,-35.509,-5.358,-12.169,-0.066,0.035,0.988,-1.119,-0.062,0.718,218.93,-58.375,-3.036,-107.238,-7.269,1.205
27.65,127.498,-1945.16,349.767,320.005,-1436.873,113.376,261.902,-1304.721,857.654,21.975,-1188.471,1137.56,602.248,-1308.138,1016.802,288.861,-1361.072,312.303,126.265,-1731.554,304.693,-31.65,-1362.073,853.866,611.791,-1493.716,759.196,243.97,-1438.2,1030.4,37.914,6.951,-4.248,7.32,-11.708,-1.292,-3.406,10.883,0.59,-3.406,-10.883,-0.59,-39.103,-10.99,-23.321,-34.385,-4.873,-12.684,-0.152,0.007,0.936,-1.094,-0.073,0.694,224.035,-62.478,-4.643,-57.712,-2.439,0.68
27.66,127.038,-1901.905,346.945,319.295,-1435.548,113.907,260.744,-1278.703,854.279,16.132,-1165.825,1115.75,598.229,-1263.22,1015.202,287.549,-1354.725,311.305,126.628,-1687.174,306.489,-46.643,-1361.622,845.02,611.624,-1442.124,752.029,243.174,-1411.42,1026.1,37.015,6.768,-4.907,9.503,-12.291,-1.365,-3.251,10.998,-0.132,-3.251,-10.998,0.132,-38.827,-10.887,-23.453,-33.549,-4.556,-13.05,-0.23,-0.02,0.873,-1.051,-0.084,0.689,227.975,-65.525,-6.393,-31.464,2.788,0.205
27.67,126.802,-1857.177,342.68,318.663,-1434.581,114.475,259.154,-1253.093,851.475,11.79,-1144.173,1095.947,593.121,-1218.408,1016.313,286.157,-1350.468,310.859,127.124,-1641.208,308.554,-59.803,-1360.99,839.825,609.839,-1389.876,747.415,242.397,-1384.82,1022.86,35.838,6.368,-5.455,11.985,-12.6,-1.34,-3.32,10.906,-0.79,-3.32,-10.906,0.79,-38.497,-10.711,-23.593,-33.143,-4.443,-13.275,-0.299,-0.043,0.806,-0.992,-0.096,0.709,228.963,-67.867,-7.973,-20.743,8.666,0.063
