Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.65,191.853,-3148.104,346.711,401.352,-2545.246,141.881,322.621,-2515.675,928.025,68.387,-2466.348,1229.047,657.781,-2710.169,1130.994,393.332,-2460.623,354.664,195.719,-2928.972,353.797,36.055,-2650.192,935.347,581.115,-2977.897,937.113,298.42,-2650.15,1102.03,41.798,5.565,5.125,5.637,-5.195,-8.102,-9.771,8.375,5.702,-9.771,-8.375,-5.702,-52.182,-0.571,4.758,-39.887,-3.181,-0.054,0.877,0.055,1.712,-0.465,0.008,0.5,261.29,-10.515,-11.725,-371.865,-21.164,-9.913
4.66,191.22,-3113.645,352.563,399.15,-2529.212,139.157,324.975,-2486.76,923.874,67.621,-2444.14,1213.893,660.329,-2671.593,1119.929,388.825,-2444.417,350.838,196.038,-2894.544,352.712,30.967,-2639.987,927.993,586.154,-2937.026,920.822,299.298,-2621.82,1096.14,41.163,5.863,4.788,6.592,-5.383,-7.649,-9.239,8.367,4.947,-9.239,-8.367,-4.947,-52.287,-0.254,5.787,-39.936,-2.34,-1.179,0.778,0.08,1.693,-0.637,-0.014,0.503,281.796,-8.846,-20.778,-402.995,-4.632,-6.53
4.67,190.45,-3076.79,357.291,397.087,-2516.578,136.936,327.424,-2458.151,919.139,66.245,-2422.583,1197.818,662.532,-2631.576,1107.754,383.498,-2431.548,347.344,196.51,-2857.896,350.903,25.943,-2630.079,920.261,591.183,-2894.502,903.286,300.178,-2593.52,1089.53,40.456,6.236,4.432,7.699,-5.728,-7.212,-8.623,8.461,4.154,-8.623,-8.461,-4.154,-52.284,0.012,6.609,-39.864,-1.623,-2.177,0.62,0.097,1.6,-0.809,-0.04,0.497,283.914,-6.054,-28.747,-408.994,12.763,-2.424
4.68,189.537,-3037.756,360.773,395.252,-2507.295,135.332,329.884,-2430.25,913.91,64.303,-2401.822,1181.208,664.223,-2590.42,1094.839,377.908,-2421.767,344.371,197.245,-2819.199,348.636,21.082,-2620.49,912.413,595.989,-2850.537,884.865,301.032,-2565.51,1082.42,39.72,6.693,4.118,9.004,-6.223,-6.741,-7.964,8.668,3.335,-7.964,-8.668,-3.335,-52.15,0.174,7.103,-39.617,-1.072,-2.981,0.429,0.105,1.452,-0.964,-0.064,0.478,274.473,-2.653,-34.571,-388.622,27.043,1.237
4.69,188.47,-2996.703,362.961,393.711,-2500.979,134.357,332.266,-2403.256,908.323,61.866,-2381.795,1164.492,665.238,-2548.235,1081.664,372.599,-2414.538,342.011,198.3,-2778.536,346.171,16.438,-2611.044,904.722,600.355,-2805.189,865.977,301.832,-2537.91,1075.07,38.982,7.225,3.883,10.556,-6.851,-6.16,-7.311,8.99,2.499,-7.311,-8.99,-2.499,-51.871,0.202,7.168,-39.145,-0.725,-3.581,0.224,0.104,1.269,-1.088,-0.081,0.449,259.379,0.557,-37.228,-344.746,35.122,3.805
4.7,187.249,-2953.764,363.846,392.49,-2497.042,133.922,334.428,-2377.208,902.538,59.075,-2362.312,1148.153,665.42,-2505.082,1068.787,367.952,-2409.15,340.239,199.684,-2735.963,343.79,12.095,-2601.456,897.512,604.082,-2758.454,847.162,302.552,-2510.71,1067.8,38.259,7.795,3.74,12.416,-7.578,-5.387,-6.73,9.41,1.655,-6.73,-9.41,-1.655,-51.486,0.088,6.747,-38.463,-0.579,-3.983,0.021,0.095,1.073,-1.17,-0.089,0.416,242.36,2.933,-36.024,-286.635,36.014,5.068
4.71,185.88,-2909.085,363.442,391.575,-2494.828,133.875,336.215,-2352.071,896.701,56.084,-2343.135,1132.76,664.607,-2460.99,1056.848,364.071,-2405.041,338.949,201.335,-2691.554,341.683,8.11,-2591.373,891.104,606.983,-2710.312,828.975,303.168,-2483.87,1060.88,37.55,8.329,3.686,14.628,-8.335,-4.365,-6.287,9.881,0.81,-6.287,-9.881,-0.81,-51.03,-0.131,5.848,-37.64,-0.619,-4.209,-0.168,0.08,0.88,-1.208,-0.085,0.391,225.455,3.648,-30.687,-225.926,31.055,5.35
4.72,184.387,-2862.846,361.77,390.922,-2493.733,134.041,337.477,-2327.647,891.018,53.027,-2324.06,1118.926,662.671,-2416.014,1046.488,360.852,-2401.828,337.991,203.168,-2645.475,340.07,4.552,-2580.402,885.741,608.879,-2660.727,812.011,303.666,-2457.31,1054.58,36.828,8.748,3.695,17.203,-9.048,-3.073,-6.024,10.342,-0.027,-6.024,-10.342,0.027,-50.586,-0.413,4.559,-36.805,-0.834,-4.277,-0.336,0.06,0.706,-1.204,-0.072,0.386,208.469,1.74,-21.808,-171.248,23.368,5.116
4.73,182.808,-2815.265,358.858,390.468,-2493.271,134.27,338.104,-2303.739,885.688,50.063,-2304.818,1107.273,659.522,-2370.302,1038.326,358.114,-2399.343,337.241,205.047,-2597.914,339.058,1.477,-2568.111,881.638,609.613,-2609.81,796.881,304.047,-2430.93,1049.15,36.038,8.966,3.734,20.117,-9.627,-1.562,-5.975,10.716,-0.853,-5.975,-10.716,0.853,-50.186,-0.711,3.062,-36.046,-1.181,-4.206,-0.478,0.037,0.559,-1.163,-0.054,0.41,190.633,-2.884,-11.051,-127.252,15.787,4.537
4.74,181.196,-2766.588,354.74,390.154,-2493.102,134.472,338.055,-2280.06,880.93,47.361,-2285.2,1098.393,655.114,-2324.085,1032.868,355.667,-2397.441,336.618,206.863,-2549.172,338.803,-1.06,-2554.161,878.95,609.016,-2557.693,784.113,304.32,-2404.63,1044.74,35.127,8.93,3.772,23.303,-9.997,0.043,-6.132,10.929,-1.667,-6.132,-10.929,1.667,-49.882,-0.994,1.567,-35.47,-1.63,-4.011,-0.59,0.012,0.443,-1.095,-0.034,0.469,171.413,-10.422,-0.343,-95.065,10.22,3.697
4.75,179.615,-2717.064,349.453,389.937,-2493.01,134.627,337.349,-2256.347,876.96,44.988,-2265.062,1092.73,649.48,-2277.701,1030.456,353.418,-2396.005,336.093,208.502,-2499.58,339.34,-3.014,-2538.241,877.726,606.958,-2504.572,774.105,304.503,-2378.35,1041.5,34.035,8.624,3.786,26.654,-10.098,1.599,-6.469,10.919,-2.468,-6.469,-10.919,2.468,-49.654,-1.239,0.286,-35.092,-2.142,-3.722,-0.672,-0.012,0.357,-1.009,-0.016,0.561,149.908,-20.416,8.541,-73.01,7.419,2.7
4.76,178.148,-2666.92,343.038,389.794,-2492.877,134.793,336.04,-2232.349,873.961,43.018,-2244.284,1090.577,642.717,-2231.495,1031.23,351.335,-2394.85,335.68,209.905,-2449.471,340.697,-4.337,-2520.196,877.978,603.33,-2450.751,767.159,304.616,-2352.01,1039.5,32.713,8.06,3.76,30.044,-9.907,2.937,-6.93,10.647,-3.256,-6.93,-10.647,3.256,-49.489,-1.449,-0.647,-34.934,-2.688,-3.362,-0.725,-0.033,0.298,-0.912,-0.003,0.682,126.401,-31.533,14.557,-58.828,7.188,1.668
4.77,176.89,-2616.335,335.538,389.727,-2492.627,135.102,334.207,-2207.824,872.09,41.412,-2222.853,1091.977,634.985,-2185.899,1035.139,349.484,-2393.657,335.417,211.069,-2399.185,342.82,-5.015,-2499.951,879.62,598.082,-2396.606,763.396,304.684,-2325.55,1038.78,31.128,7.275,3.681,33.347,-9.431,3.949,-7.457,10.102,-4.023,-7.457,-10.102,4.023,-49.343,-1.623,-1.192,-34.945,-3.239,-2.959,-0.751,-0.05,0.261,-0.808,0.004,0.827,101.459,-42.466,17.726,-51.361,8.467,0.794
4.78,175.946,-2565.431,326.998,389.759,-2492.188,135.748,331.934,-2182.645,871.421,40.084,-2200.827,1096.775,626.489,-2141.239,1041.94,347.969,-2391.994,335.355,212.043,-2349.061,345.65,-5.031,-2477.587,882.589,591.249,-2342.503,762.81,304.724,-2298.96,1039.31,29.268,6.311,3.566,36.447,-8.701,4.56,-8.0,9.287,-4.767,-8.0,-9.287,4.767,-49.215,-1.783,-1.399,-35.095,-3.79,-2.518,-0.753,-0.063,0.237,-0.699,0.005,0.983,75.504,-52.039,18.658,-48.476,9.792,0.273
4.79,175.414,-2514.265,317.47,389.929,-2491.458,136.969,329.311,-2156.676,872.006,38.895,-2178.291,1104.574,617.45,-2097.806,1051.266,346.96,-2389.273,335.543,212.91,-2299.394,349.045,-4.382,-2453.251,886.733,582.936,-2288.872,765.267,304.758,-2272.21,1041.05,27.139,5.212,3.426,39.238,-7.771,4.786,-8.503,8.23,-5.481,-8.503,-8.23,5.481,-49.077,-1.933,-1.357,-35.301,-4.321,-2.039,-0.738,-0.07,0.223,-0.585,-0.001,1.141,49.879,-59.022,18.076,-48.289,10.373,0.123
4.8,175.371,-2462.836,307.015,390.293,-2490.283,139.025,326.423,-2129.892,873.833,37.724,-2155.355,1114.862,608.086,-2055.798,1062.693,346.655,-2384.816,335.996,213.742,-2250.413,352.798,-3.124,-2427.172,891.871,573.357,-2236.13,770.528,304.794,-2245.29,1043.9,24.761,4.013,3.294,41.637,-6.697,4.698,-8.931,6.971,-6.165,-8.931,-6.971,6.165,-48.92,-2.088,-1.174,-35.511,-4.83,-1.498,-0.713,-0.072,0.211,-0.466,-0.014,1.288,25.153,-62.755,16.518,-49.963,9.365,0.399
4.81,175.861,-2411.102,295.71,390.909,-2488.452,142.169,323.35,-2102.302,876.836,36.452,-2132.132,1127.021,598.576,-2015.288,1075.745,347.239,-2377.943,336.681,214.598,-2202.301,356.676,-1.315,-2399.607,897.844,562.795,-2184.663,778.262,304.832,-2218.22,1047.76,22.189,2.75,3.185,43.586,-5.542,4.41,-9.261,5.565,-6.818,-9.261,-5.565,6.818,-48.749,-2.241,-0.938,-35.678,-5.313,-0.856,-0.684,-0.068,0.2,-0.341,-0.031,1.413,1.585,-62.913,14.222,-51.494,6.595,1.066
4.82,176.877,-2358.996,283.66,391.832,-2485.712,146.62,320.19,-2073.957,880.917,34.998,-2108.699,1140.428,589.074,-1976.286,1090.02,348.929,-2367.998,337.45,215.5,-2155.18,360.458,0.96,-2370.821,904.435,551.586,-2134.823,788.092,304.861,-2190.97,1052.48,19.483,1.46,3.108,45.051,-4.37,4.044,-9.494,4.08,-7.454,-9.494,-4.08,7.454,-48.58,-2.404,-0.701,-35.766,-5.752,-0.072,-0.659,-0.06,0.188,-0.211,-0.051,1.507,-20.734,-59.282,11.167,-50.669,2.706,1.876
4.83,178.363,-2306.451,271.001,393.097,-2481.793,152.536,317.047,-2044.958,885.916,33.341,-2085.098,1154.543,579.699,-1938.734,1105.109,351.875,-2354.578,338.052,216.427,-2109.082,363.895,3.596,-2341.037,911.436,540.108,-2086.884,799.582,304.863,-2163.55,1057.89,16.732,0.179,3.035,46.023,-3.24,3.702,-9.641,2.585,-8.086,-9.641,-2.585,8.086,-48.414,-2.57,-0.487,-35.814,-6.132,0.889,-0.644,-0.048,0.175,-0.078,-0.071,1.562,-43.225,-52.567,7.368,-46.097,-1.503,2.785
4.84,180.22,-2253.425,257.911,394.715,-2476.447,159.986,314.027,-2015.424,891.646,31.514,-2061.342,1168.871,570.563,-1902.523,1120.658,356.22,-2337.634,338.137,217.348,-2064.012,366.846,6.486,-2310.465,918.627,528.724,-2041.043,812.254,304.817,-2135.95,1063.82,14.018,-1.046,2.922,46.521,-2.196,3.465,-9.717,1.159,-8.727,-9.717,-1.159,8.727,-48.279,-2.738,-0.296,-35.905,-6.413,2.03,-0.643,-0.036,0.165,0.054,-0.089,1.575,-67.837,-43.375,3.037,-37.536,-5.008,3.62
4.85,182.318,-2199.915,244.608,396.663,-2469.481,168.946,311.21,-1985.492,897.879,29.589,-2037.354,1183.051,561.738,-1867.55,1136.309,362.061,-2317.463,337.341,218.21,-2019.963,369.194,9.526,-2279.213,925.823,517.781,-1997.394,825.617,304.704,-2108.16,1070.09,11.434,-2.185,2.701,46.589,-1.273,3.343,-9.752,-0.136,-9.384,-9.752,0.136,9.384,-48.194,-2.913,-0.115,-36.144,-6.543,3.291,-0.66,-0.026,0.158,0.18,-0.1,1.545,-97.686,-33.048,-1.433,-25.53,-7.102,4.102
4.86,184.512,-2145.991,231.349,398.886,-2460.792,179.3,308.685,-1955.279,904.37,27.631,-2013.066,1196.788,553.304,-1833.705,1151.755,369.39,-2294.861,335.461,218.957,-1976.839,370.832,12.658,-2247.334,932.798,507.61,-1956.024,839.19,304.512,-2080.19,1076.52,9.055,-3.204,2.304,46.281,-0.492,3.312,-9.776,-1.245,-10.06,-9.776,1.245,10.06,-48.155,-3.095,0.075,-36.681,-6.47,4.542,-0.694,-0.021,0.159,0.296,-0.101,1.476,-135.723,-23.839,-5.408,-10.838,-8.101,4.087
4.87,186.665,-2091.804,218.419,401.301,-2450.371,190.86,306.483,-1924.959,910.84,25.727,-1988.403,1209.916,545.317,-1800.868,1166.678,378.086,-2270.852,332.518,219.536,-1934.497,371.714,15.793,-2214.8,939.376,498.477,-1916.874,852.52,304.238,-2052.07,1082.92,6.957,-4.087,1.681,45.69,0.143,3.314,-9.822,-2.142,-10.747,-9.822,2.142,10.747,-48.138,-3.278,0.301,-37.573,-6.143,5.585,-0.745,-0.022,0.169,0.399,-0.09,1.376,-183.46,-17.958,-8.136,4.928,-9.154,3.524
4.88,188.668,-2037.611,206.109,403.799,-2438.298,203.393,304.612,-1894.651,917.011,23.926,-1963.249,1222.281,537.844,-1768.983,1180.75,387.779,-2246.536,328.9,219.905,-1892.782,371.842,18.875,-2181.525,945.401,490.612,-1879.957,865.154,303.887,-2023.81,1089.11,5.199,-4.828,0.798,44.918,0.639,3.283,-9.924,-2.822,-11.426,-9.924,2.822,11.426,-48.135,-3.506,0.588,-38.812,-5.546,6.217,-0.81,-0.032,0.189,0.485,-0.066,1.253,-242.22,-17.559,-9.109,20.711,-11.401,2.641
4.89,190.46,-1983.779,194.69,406.257,-2424.707,216.652,303.04,-1864.488,922.636,22.277,-1937.465,1233.776,530.944,-1737.993,1193.663,397.863,-2222.783,325.226,220.024,-1851.455,371.248,21.863,-2147.374,950.721,484.198,-1845.176,876.697,303.471,-1995.44,1094.93,3.82,-5.425,-0.338,44.074,1.013,3.183,-10.107,-3.297,-12.071,-10.107,3.297,12.071,-48.099,-3.799,0.962,-40.227,-4.758,6.307,-0.883,-0.05,0.221,0.554,-0.03,1.119,-311.826,-24.072,-8.217,36.256,-15.68,1.788
4.9,192.031,-1930.788,184.381,408.548,-2409.756,230.391,301.718,-1834.591,927.478,20.794,-1910.994,1244.355,524.689,-1707.836,1205.093,407.512,-2200.073,322.25,219.867,-1810.345,370.046,24.705,-2112.18,955.195,479.369,-1812.491,886.804,303.006,-1966.98,1100.19,2.855,-5.888,-1.682,43.267,1.285,3.005,-10.394,-3.596,-12.652,-10.394,3.596,12.652,-47.982,-4.168,1.432,-41.62,-3.908,5.86,-0.962,-0.075,0.265,0.606,0.013,0.984,-388.95,-36.697,-5.721,52.238,-21.919,1.278
4.91,193.43,-1879.215,175.327,410.562,-2393.583,244.379,300.567,-1805.041,931.366,19.472,-1883.762,1253.984,519.155,-1678.499,1214.748,415.855,-2178.419,320.642,219.433,-1769.396,368.401,27.347,-2075.768,958.726,476.208,-1781.848,895.182,302.508,-1938.46,1104.74,2.306,-6.228,-3.155,42.585,1.48,2.773,-10.791,-3.758,-13.139,-10.791,3.758,13.139,-47.745,-4.62,1.983,-42.776,-3.162,5.025,-1.04,-0.103,0.319,0.643,0.06,0.859,-468.686,-53.83,-2.358,70.055,-29.09,1.391
