Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.17,8.409,-3060.717,258.559,241.541,-2553.704,136.211,150.695,-2507.97,896.141,-30.235,-2436.078,1288.221,404.357,-2479.704,1225.579,236.78,-2458.753,335.107,52.648,-2855.456,258.343,40.144,-2320.237,1015.677,341.011,-2475.742,929.853,140.251,-2660.77,1034.52,33.132,2.05,-3.113,2.554,-3.385,0.838,-4.666,7.848,6.987,-4.666,-7.848,-6.987,-49.811,-11.914,-6.325,-33.075,-14.179,5.459,0.541,0.029,1.059,-0.431,0.071,0.388,115.589,-7.283,22.322,-312.443,-29.027,-6.565
5.18,5.666,-3039.907,264.518,238.466,-2543.014,133.695,151.154,-2483.974,893.534,-29.378,-2414.488,1282.319,406.24,-2456.458,1222.074,231.307,-2447.157,331.564,53.875,-2835.45,263.409,38.87,-2301.633,1008.251,342.302,-2451.089,927.009,141.523,-2637.97,1031.3,32.598,1.644,-4.163,3.303,-3.124,1.568,-4.676,7.588,6.894,-4.676,-7.588,-6.894,-49.934,-12.902,-5.927,-33.482,-12.493,3.889,0.477,0.043,1.018,-0.54,0.033,0.447,132.077,-16.545,22.98,-308.997,-8.081,-1.374
5.19,3.388,-3018.012,270.126,235.347,-2535.149,131.393,151.753,-2460.306,890.056,-29.285,-2393.299,1275.032,407.669,-2432.505,1217.725,224.855,-2438.858,328.298,54.303,-2814.016,269.001,36.723,-2283.82,999.328,343.024,-2425.672,923.362,142.766,-2615.38,1027.25,31.996,1.31,-5.243,4.124,-2.927,2.443,-4.675,7.381,6.689,-4.675,-7.381,-6.689,-49.856,-13.777,-5.489,-33.884,-10.777,2.198,0.397,0.056,0.962,-0.64,-0.012,0.506,144.671,-22.952,21.279,-289.625,14.767,4.227
5.2,1.592,-2994.873,275.245,232.336,-2529.632,129.436,152.628,-2437.137,885.807,-29.967,-2372.624,1266.483,408.599,-2407.866,1212.683,218.113,-2433.155,325.456,53.826,-2790.928,274.728,33.735,-2266.942,989.071,343.091,-2399.496,919.011,143.954,-2593.09,1022.49,31.309,1.123,-6.294,4.984,-2.862,3.377,-4.655,7.254,6.349,-4.655,-7.254,-6.349,-49.574,-14.465,-5.084,-34.19,-9.194,0.536,0.314,0.064,0.903,-0.721,-0.06,0.557,154.656,-25.407,17.577,-257.879,35.176,8.957
5.21,0.26,-2970.311,279.74,229.601,-2525.869,127.907,153.88,-2414.525,880.908,-31.413,-2352.528,1256.849,408.993,-2382.589,1207.112,211.763,-2429.236,323.106,52.569,-2766.061,280.395,30.008,-2251.115,977.638,342.471,-2372.563,914.13,145.063,-2571.15,1017.19,30.539,1.148,-7.268,5.875,-2.987,4.281,-4.611,7.228,5.864,-4.611,-7.228,-5.864,-49.115,-14.946,-4.756,-34.341,-7.864,-0.978,0.235,0.064,0.85,-0.78,-0.104,0.594,162.276,-23.862,12.654,-218.887,49.081,11.979
5.22,-0.647,-2944.169,283.484,227.282,-2523.279,126.836,155.585,-2392.521,875.512,-33.588,-2333.039,1246.331,408.833,-2356.662,1201.238,206.328,-2426.204,321.23,50.777,-2739.312,285.83,25.631,-2236.401,965.306,341.083,-2344.811,908.916,146.071,-2549.54,1011.51,29.703,1.435,-8.132,6.81,-3.348,5.066,-4.546,7.324,5.229,-4.546,-7.324,-5.229,-48.483,-15.232,-4.521,-34.261,-6.844,-2.294,0.166,0.055,0.811,-0.815,-0.14,0.615,168.548,-19.425,7.398,-178.964,54.643,13.145
5.23,-1.183,-2916.339,286.361,225.467,-2521.381,126.204,157.742,-2371.13,869.777,-36.446,-2314.23,1235.159,408.095,-2330.131,1195.302,202.037,-2423.432,319.77,48.796,-2710.712,291.08,20.684,-2222.768,952.376,338.869,-2316.18,903.671,146.96,-2528.22,1005.65,28.839,2.005,-8.866,7.828,-3.967,5.664,-4.462,7.561,4.449,-4.462,-7.561,-4.449,-47.731,-15.358,-4.371,-33.951,-6.145,-3.372,0.105,0.037,0.788,-0.826,-0.164,0.619,173.686,-13.983,2.431,-143.218,52.71,12.864
5.24,-1.395,-2886.766,288.263,224.17,-2519.832,125.959,160.257,-2350.348,863.877,-39.933,-2296.133,1223.597,406.77,-2303.054,1189.573,198.89,-2420.538,318.63,46.968,-2680.334,296.19,15.24,-2210.229,939.147,335.748,-2286.646,898.677,147.707,-2507.12,999.786,27.996,2.835,-9.462,8.99,-4.829,6.037,-4.378,7.946,3.542,-4.378,-7.946,-3.542,-46.899,-15.374,-4.289,-33.437,-5.743,-4.2,0.052,0.01,0.782,-0.817,-0.174,0.611,176.782,-9.662,-1.943,-113.191,46.597,11.542
5.25,-1.326,-2855.448,289.096,223.342,-2518.426,126.029,162.965,-2330.15,858.009,-43.98,-2278.823,1211.933,404.838,-2275.491,1184.291,196.717,-2417.406,317.721,45.593,-2648.314,301.197,9.332,-2198.716,925.97,331.669,-2256.178,894.259,148.296,-2486.18,994.094,27.204,3.865,-9.913,10.361,-5.89,6.177,-4.303,8.475,2.529,-4.303,-8.475,-2.529,-46.024,-15.327,-4.263,-32.8,-5.576,-4.771,0.001,-0.024,0.787,-0.792,-0.171,0.595,177.621,-7.965,-5.605,-89.114,39.09,9.57
5.26,-1.007,-2822.416,288.781,222.896,-2517.061,126.335,165.639,-2310.45,852.401,-48.51,-2262.325,1200.47,402.297,-2247.564,1179.715,195.259,-2414.053,316.966,44.871,-2614.809,306.059,2.971,-2188.189,913.172,326.568,-2224.871,890.725,148.716,-2465.33,988.727,26.462,4.994,-10.198,11.986,-7.061,6.116,-4.244,9.119,1.436,-4.244,-9.119,-1.436,-45.108,-15.238,-4.295,-32.118,-5.597,-5.105,-0.049,-0.062,0.798,-0.757,-0.157,0.576,176.431,-9.537,-8.49,-71.317,32.336,7.284
