Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.765,127.09400000000001,-2673.3385,336.293,296.3555,-2100.0795,126.869,236.78,-2067.943,926.8685,82.145,-1952.7475,1387.3449999999998,591.6945000000001,-2173.9435,1149.6835,264.6035,-2080.5285,350.0935,141.655,-2456.797,308.451,170.919,-1894.533,1096.656,518.3599999999999,-2386.456,922.6395,221.8245,-2223.42,1080.545,30.859499999999997,6.843999999999999,-8.248999999999999,1.412,-6.514,-10.082,0.22100000000000003,9.684,7.923,0.22100000000000003,-9.684,-7.923,-37.409,-4.877000000000001,-10.125499999999999,-37.912499999999994,-4.515000000000001,1.475,0.2875,0.0035000000000000005,0.9410000000000001,-0.623,-0.23249999999999998,0.6585,165.7405,-1.052,2.9604999999999997,-283.8515,65.964,2.5335
5.785,116.36850000000001,-2614.0640000000003,346.55150000000003,292.7825,-2084.1965,120.889,239.964,-2021.056,913.56,77.328,-1908.0320000000002,1355.9805000000001,591.3240000000001,-2105.3805,1130.24,261.661,-2046.31,340.5625,139.856,-2398.692,312.907,165.667,-1861.8835,1064.0925,522.5840000000001,-2310.4515,893.875,221.8425,-2175.285,1064.2649999999999,30.748,8.388,-8.0945,3.4299999999999997,-8.0075,-10.584,1.5605,10.422999999999998,6.9345,1.5605,-10.422999999999998,-6.9345,-37.1405,-5.1165,-9.2905,-38.313,-2.6345,-0.10049999999999998,0.1255,-0.077,0.9735,-0.6695,-0.2415,0.733,176.076,-17.82,5.6739999999999995,-216.16899999999998,49.914,6.0329999999999995
5.805,105.717,-2546.6905,352.1305,290.616,-2072.8235,118.315,242.953,-1975.83,899.3525,71.163,-1863.6345000000001,1318.022,588.929,-2032.6460000000002,1109.879,260.515,-2015.4375,332.9905,136.9265,-2332.734,314.6485,156.04,-1834.188,1023.3915,524.6845,-2227.1530000000002,863.2639999999999,221.811,-2127.2,1047.31,30.982,9.912500000000001,-7.9065,6.2235,-9.6615,-10.8265,2.8535,11.3385,5.7745,2.8535,-11.3385,-5.7745,-36.521,-5.0634999999999994,-8.723500000000001,-38.033500000000004,-0.6865,-2.114,-0.0705,-0.16649999999999998,0.911,-0.76,-0.20900000000000002,0.7025,180.50799999999998,-34.297,3.0755,-142.4785,29.9745,5.9295
5.825,95.975,-2472.2569999999996,352.28499999999997,289.202,-2065.0275,118.186,245.438,-1931.893,885.8344999999999,63.275,-1820.699,1276.3635,583.6410000000001,-1956.204,1092.2604999999999,259.831,-1990.9745,327.4945,134.2135,-2259.489,315.0095,141.5605,-1812.5985,978.287,523.4085,-2136.2839999999997,834.6790000000001,221.7525,-2079.365,1031.56,30.977,11.111,-8.396,9.9465,-11.0945,-10.292,3.8979999999999997,12.2905,4.3915,3.8979999999999997,-12.2905,-4.3915,-35.4915,-4.759,-8.6715,-37.045,0.9205,-3.8614999999999995,-0.2595,-0.235,0.768,-0.846,-0.14750000000000002,0.6,179.2165,-53.021,-2.702,-85.9735,16.3625,3.791
5.845,87.6925,-2392.3289999999997,346.5435,288.1355,-2060.047,119.018,247.07100000000003,-1888.3745,874.4545,53.056,-1780.7404999999999,1234.7925,574.6975,-1876.856,1081.3609999999999,258.69100000000003,-1974.308,323.905,132.5895,-2180.237,315.2665,122.783,-1797.75,934.329,517.75,-2038.774,812.7425000000001,221.67649999999998,-2031.85,1018.64,30.045,11.7645,-9.808499999999999,14.524000000000001,-11.934000000000001,-9.053999999999998,4.449,13.0155,2.8335,4.449,-13.0155,-2.8335,-34.311499999999995,-4.2940000000000005,-9.176,-35.6035,2.0220000000000002,-4.8665,-0.41400000000000003,-0.27649999999999997,0.5875,-0.896,-0.079,0.503,168.72699999999998,-75.5095,-7.7925,-62.629,10.966,1.0465
5.865,81.279,-2308.5775,334.95799999999997,287.395,-2057.0795,119.893,247.877,-1844.3435,866.4549999999999,39.9905,-1745.0575,1197.6154999999999,561.8615,-1795.9254999999998,1080.118,257.0105,-1964.2224999999999,321.814,132.365,-2096.865,316.43899999999996,101.2235,-1788.483,897.7745,507.246,-1937.121,801.613,221.5215,-1984.505,1009.83,27.9595,11.891,-11.5225,19.545499999999997,-11.9855,-7.703,4.406499999999999,13.282,1.115,4.406499999999999,-13.282,-1.115,-33.315,-3.7560000000000002,-9.9545,-34.0025,2.604,-5.17,-0.531,-0.296,0.4255,-0.901,-0.022000000000000002,0.488,144.121,-99.3615,-9.791,-61.283,8.809999999999999,-1.3505
5.885,77.166,-2222.313,318.19399999999996,287.06100000000004,-2055.326,120.7475,248.168,-1799.0785,862.79,24.0435,-1713.962,1168.875,545.5070000000001,-1715.1950000000002,1089.6689999999999,255.393,-1958.0565,320.754,133.5245,-2011.5425,319.2045,78.5185,-1781.464,873.4585,492.2395,-1834.8845000000001,803.529,221.158,-1937.075,1005.97,24.907,11.6375,-12.336,24.3915,-11.315999999999999,-6.7275,3.859,13.006,-0.8515,3.859,-13.006,0.8515,-32.7025,-3.2935,-10.618500000000001,-32.5215,2.8049999999999997,-5.182,-0.6165,-0.2945,0.3265,-0.857,0.0175,0.5935,100.9385,-119.952,-7.653499999999999,-64.5785,7.2635000000000005,-3.0170000000000003
5.905,75.871,-2134.1895,297.379,287.15,-2054.0455,122.30449999999999,248.1225,-1752.199,863.7715000000001,5.8575,-1686.62,1151.6889999999999,526.4395,-1636.4969999999998,1109.3345,254.4425,-1952.8115,320.52049999999997,135.85649999999998,-1926.2215,323.6615,55.760999999999996,-1772.7914999999998,863.1685,473.70550000000003,-1735.6025,818.1669999999999,220.517,-1889.3600000000001,1007.3,21.128,11.057,-11.3405,28.5255,-10.155000000000001,-6.096,2.952,12.192,-3.175,2.952,-12.192,3.175,-32.538,-3.0774999999999997,-10.883500000000002,-31.4355,2.776,-5.2829999999999995,-0.6725000000000001,-0.272,0.312,-0.752,0.035500000000000004,0.8035,41.4705,-129.381,-2.37,-63.66499999999999,5.798,-3.5055
5.925,77.875,-2044.1765,273.8795,287.6315,-2052.2705,125.935,247.59199999999998,-1703.6979999999999,868.8915,-13.357,-1661.2805,1147.5285,505.6785,-1561.4035,1137.1005,254.139,-1945.175,321.1615,138.9545,-1842.0965,329.124,33.5625,-1759.862,865.689,452.8555,-1641.8715,843.127,219.67149999999998,-1841.275,1013.4100000000001,16.8255,10.048,-8.66,31.72,-8.743,-5.486,1.788,10.850999999999999,-5.836,1.788,-10.850999999999999,5.836,-32.759,-3.2315,-10.6415,-31.0185,2.463,-5.4990000000000006,-0.6935,-0.22549999999999998,0.3695,-0.5785,0.025,1.057,-18.9995,-119.328,2.5084999999999997,-59.5,1.0550000000000002,-1.5975000000000001
5.945,83.28,-1951.7765,249.115,288.46,-2048.517,133.273,246.35500000000002,-1653.9335,877.106,-32.3085,-1635.9724999999999,1155.499,484.273,-1490.8274999999999,1170.106,254.44,-1931.2105000000001,322.5245,142.346,-1759.4825,334.6105,12.286999999999999,-1741.923,877.937,430.883,-1555.135,874.909,218.78449999999998,-1792.72,1023.4399999999999,12.3525,8.5135,-5.375500000000001,34.018,-7.279999999999999,-4.7255,0.458,9.0545,-8.65,0.458,-9.0545,8.65,-33.0985,-3.6814999999999998,-9.998999999999999,-31.376,1.7850000000000001,-5.557,-0.68,-0.156,0.45999999999999996,-0.3525,-0.0115,1.268,-59.92699999999999,-87.7065,3.458,-56.6875,-8.467,2.8125
5.965,91.48750000000001,-1856.3899999999999,224.4545,289.681,-2041.025,145.4735,244.4185,-1603.3355000000001,887.312,-50.035,-1609.2435,1172.298,463.08950000000004,-1424.8885,1205.266,256.5425,-1907.536,323.6815,145.779,-1678.3890000000001,339.71950000000004,-7.6395,-1719.609,896.2535,408.90200000000004,-1475.742,909.891,217.99,-1743.6100000000001,1036.23,8.19,6.5085,-2.8120000000000003,35.556,-5.945,-4.008,-0.9105,7.0175,-11.346,-0.9105,-7.0175,11.346,-33.328,-4.2255,-9.207,-32.3475,1.0270000000000001,-5.2035,-0.648,-0.0735,0.5365,-0.11599999999999999,-0.047,1.3645,-80.025,-42.569500000000005,-0.20750000000000002,-50.4755,-15.399000000000001,7.138
5.985,101.22999999999999,-1757.7625,201.264,291.5185,-2028.4650000000001,162.52800000000002,241.988,-1552.159,898.573,-65.944,-1580.4105,1193.3870000000002,442.8155,-1363.3195,1239.8675,262.648,-1873.5735,322.786,149.345,-1599.307,344.66200000000003,-25.560000000000002,-1694.149,917.2985,387.87800000000004,-1403.3235,944.862,217.3245,-1693.95,1050.44,4.666,4.266,-1.944,36.4145,-4.8475,-3.7075,-2.1555,5.0675,-13.66,-2.1555,-5.0675,13.66,-33.3565,-4.672000000000001,-8.509,-33.677499999999995,0.722,-4.48,-0.6265000000000001,-0.001,0.566,0.08,-0.0485,1.3195000000000001,-102.33,0.9575000000000005,-5.217,-38.537,-8.6885,8.286999999999999
6.005,111.0305,-1656.562,181.0005,294.29600000000005,-2010.5555,183.2755,239.277,-1500.3629999999998,909.961,-79.724,-1549.214,1214.672,424.1885,-1305.8105,1271.732,274.15250000000003,-1832.745,318.238,153.223,-1522.9795,349.53499999999997,-40.706500000000005,-1666.3775,938.3955,368.64,-1337.1665,977.154,216.7585,-1643.8400000000001,1064.635,1.8104999999999998,2.121,-3.0519999999999996,36.643,-3.9579999999999997,-3.9735,-3.174,3.4835,-15.379999999999999,-3.174,-3.4835,15.379999999999999,-33.2675,-5.019,-7.993,-35.178,1.1405,-3.7615,-0.6415,0.041999999999999996,0.542,0.20450000000000002,-0.006999999999999999,1.1555,-156.34300000000002,29.919999999999998,-6.754,-28.5185,8.317,6.4399999999999995
6.025,119.82300000000001,-1554.9479999999999,165.031,298.214,-1988.098,206.153,236.50650000000002,-1447.943,920.271,-91.2645,-1515.3045,1233.624,408.12149999999997,-1252.033,1299.0425,289.778,-1790.9920000000002,310.918,157.3535,-1449.7445,354.04200000000003,-52.7455,-1636.112,957.6225,351.935,-1276.484,1004.56,216.2695,-1593.4499999999998,1077.385,-0.46449999999999997,0.4095,-5.5794999999999995,36.3705,-3.152,-4.531499999999999,-3.9665,2.3805,-16.403,-3.9665,-2.3805,16.403,-33.083,-5.4895,-7.625,-36.7605,2.055,-3.447,-0.7025,0.051500000000000004,0.48050000000000004,0.2625,0.059,0.9339999999999999,-252.4585,40.703500000000005,-2.5460000000000003,-25.8575,23.0305,3.76
