Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.32,136.614,-2221.597,327.895,301.725,-1610.554,137.789,254.636,-1615.838,861.131,30.981,-1525.362,1244.771,525.597,-1691.488,1188.193,278.859,-1591.804,342.23,179.628,-2023.842,290.461,117.079,-1493.296,948.979,444.99,-1819.722,885.364,239.091,-1759.19,1015.7,32.278,2.272,7.37,-6.98,-0.192,2.079,-3.442,4.025,6.59,-3.442,-4.025,-6.59,-46.646,-8.204,-3.641,-44.029,-0.5,7.221,0.328,0.177,0.805,-0.708,-0.056,0.889,93.81,-5.712,7.778,-424.519,-24.721,-5.256
8.33,134.289,-2193.92,333.329,298.714,-1597.587,132.87,255.283,-1588.748,855.763,28.757,-1503.122,1237.615,527.703,-1661.752,1179.31,275.493,-1572.509,335.546,174.338,-1996.033,292.817,111.962,-1473.069,939.919,449.048,-1785.5,873.91,238.469,-1733.09,1007.99,31.458,2.72,7.895,-6.835,-0.731,0.87,-2.525,4.088,5.991,-2.525,-4.088,-5.991,-46.779,-8.507,-3.194,-45.272,0.483,6.062,0.252,0.16,0.907,-0.727,-0.069,0.927,89.483,-5.16,2.938,-400.235,-23.02,-2.348
8.34,132.073,-2164.117,338.325,296.098,-1587.08,129.058,256.239,-1562.072,850.334,25.853,-1481.233,1228.918,529.81,-1631.029,1169.324,272.568,-1553.684,329.464,168.845,-1966.181,294.349,106.046,-1453.911,929.308,453.616,-1750.346,861.275,237.797,-1707.1,999.831,30.723,3.335,8.472,-6.683,-1.557,-0.542,-1.354,4.349,5.328,-1.354,-4.349,-5.328,-46.856,-8.669,-2.959,-46.213,1.61,4.619,0.162,0.135,0.992,-0.767,-0.076,0.93,89.226,-1.978,-2.087,-362.242,-20.704,-0.153
8.35,129.908,-2132.059,342.828,293.909,-1578.748,126.557,257.48,-1535.956,844.94,22.326,-1459.689,1218.772,531.815,-1599.184,1158.365,270.209,-1535.477,324.218,163.564,-1934.19,295.094,99.376,-1436.09,917.21,458.542,-1714.203,847.649,237.089,-1681.22,991.438,30.157,4.121,9.064,-6.439,-2.651,-2.046,0.04,4.822,4.612,0.04,-4.822,-4.612,-46.836,-8.713,-2.944,-46.565,2.793,3.015,0.059,0.103,1.051,-0.822,-0.074,0.895,93.408,2.003,-6.589,-305.703,-16.315,0.887
8.36,127.733,-2097.697,346.748,292.11,-1572.269,125.32,258.907,-1510.464,839.643,18.273,-1438.473,1207.354,533.578,-1566.021,1146.729,268.425,-1518.199,319.826,158.82,-1900.011,295.177,92.033,-1419.83,903.857,463.697,-1677.052,833.292,236.355,-1655.45,983.058,29.79,5.054,9.614,-6.009,-3.951,-3.472,1.598,5.485,3.859,1.598,-5.485,-3.859,-46.699,-8.66,-3.143,-46.171,3.959,1.389,-0.051,0.067,1.08,-0.883,-0.065,0.824,100.839,4.073,-9.887,-234.63,-10.551,1.421
8.37,125.506,-2061.079,349.965,290.605,-1567.309,125.088,260.355,-1485.604,834.471,13.837,-1417.601,1194.998,534.91,-1531.408,1134.889,267.034,-1502.36,316.162,154.8,-1863.614,294.756,84.095,-1405.334,889.549,468.975,-1638.715,818.609,235.602,-1629.78,974.906,29.567,6.077,10.058,-5.28,-5.367,-4.628,3.219,6.29,3.088,3.219,-6.29,-3.088,-46.42,-8.542,-3.519,-45.127,5.051,-0.102,-0.163,0.031,1.075,-0.937,-0.049,0.724,109.714,2.329,-11.633,-161.875,-6.779,2.294
8.38,123.213,-2022.349,352.347,289.282,-1563.552,125.515,261.633,-1461.358,829.407,9.198,-1397.091,1182.178,535.581,-1495.268,1123.437,265.803,-1488.529,313.089,151.571,-1825.015,294.043,75.669,-1392.678,874.839,474.297,-1598.981,804.143,234.844,-1604.26,967.172,29.362,7.093,10.305,-4.126,-6.778,-5.316,4.785,7.153,2.308,4.785,-7.153,-2.308,-46.0,-8.382,-4.033,-43.709,6.025,-1.33,-0.268,-0.004,1.039,-0.976,-0.03,0.613,119.084,-3.495,-11.81,-101.198,-5.677,3.343
8.39,120.869,-1981.727,353.752,288.066,-1560.727,126.275,262.553,-1437.648,824.451,4.557,-1376.972,1169.438,535.367,-1457.608,1113.096,264.544,-1477.21,310.556,149.124,-1784.307,293.288,66.901,-1381.84,860.303,479.516,-1557.583,790.512,234.104,-1578.91,960.005,29.011,7.975,10.267,-2.451,-8.06,-5.4,6.158,7.985,1.526,6.158,-7.985,-1.526,-45.443,-8.224,-4.627,-42.208,6.846,-2.214,-0.362,-0.034,0.974,-0.995,-0.012,0.506,128.15,-12.389,-10.584,-60.205,-5.645,3.809
8.4,118.513,-1939.478,354.042,286.928,-1558.607,127.123,262.975,-1414.367,819.646,0.104,-1357.243,1157.415,534.059,-1418.665,1104.657,263.123,-1468.616,308.589,147.453,-1741.637,292.835,57.997,-1372.592,846.661,484.406,-1514.31,778.457,233.417,-1553.7,953.539,28.398,8.594,9.854,-0.208,-9.098,-4.81,7.235,8.697,0.739,7.235,-8.697,-0.739,-44.816,-8.105,-5.249,-40.886,7.482,-2.73,-0.441,-0.06,0.888,-0.994,0.001,0.422,136.017,-22.747,-8.272,-39.401,-5.658,3.319
8.41,116.198,-1895.876,353.08,285.86,-1556.997,127.913,262.804,-1391.399,815.111,-4.025,-1337.928,1146.65,531.562,-1378.855,1098.789,261.471,-1462.667,307.216,146.557,-1697.226,292.978,49.235,-1364.59,834.557,488.629,-1469.016,768.697,232.812,-1528.62,947.928,27.478,8.852,9.015,2.573,-9.8,-3.575,7.962,9.223,-0.059,7.962,-9.223,0.059,-44.172,-8.066,-5.838,-39.908,7.919,-2.922,-0.504,-0.082,0.788,-0.979,0.004,0.373,142.362,-33.308,-5.216,-34.243,-5.032,2.13
