Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.78,106.927,-1748.616,385.592,261.47,-1144.395,127.336,202.217,-1133.713,839.48,120.083,-1027.62,1127.841,467.058,-1144.603,1061.23,246.105,-1117.867,313.996,112.014,-1581.115,285.498,84.946,-1127.177,850.894,367.571,-1256.155,887.794,203.722,-1258.89,999.551,34.706,1.935,-5.93,2.404,-0.695,-3.724,-4.974,6.609,6.957,-4.974,-6.609,-6.957,-26.621,-12.923,-34.388,-35.136,8.536,6.612,0.357,0.002,1.128,-0.947,0.002,1.01,182.858,-21.038,-1.689,-515.809,-5.081,1.824
8.79,102.298,-1712.596,397.801,258.879,-1131.838,124.247,204.677,-1105.0,834.233,110.124,-1003.115,1104.642,465.406,-1106.294,1050.222,244.638,-1096.339,308.23,108.77,-1550.753,288.585,68.895,-1116.464,834.098,366.866,-1214.408,876.899,203.402,-1230.55,992.573,34.068,2.783,-6.267,3.684,-1.695,-3.992,-4.282,6.792,5.566,-4.282,-6.792,-5.566,-26.509,-12.789,-34.562,-35.524,9.791,5.857,0.266,-0.035,1.153,-0.967,-0.014,0.964,202.78,-28.613,-1.086,-461.568,-1.362,1.401
8.8,97.659,-1673.867,408.462,256.5,-1122.107,122.363,207.969,-1076.902,828.862,98.533,-979.81,1080.546,463.444,-1067.14,1038.426,243.224,-1076.743,303.128,105.825,-1517.513,291.193,52.183,-1107.778,817.674,366.387,-1171.405,865.416,203.0,-1202.26,985.405,33.693,3.887,-6.3,5.129,-3.031,-4.251,-3.545,7.224,4.003,-3.545,-7.224,-4.003,-26.321,-12.55,-34.599,-35.652,11.027,5.001,0.166,-0.077,1.145,-1.001,-0.034,0.898,223.293,-33.612,-1.608,-392.134,3.141,0.445
8.81,93.116,-1632.647,417.346,254.405,-1114.704,121.62,211.829,-1049.444,823.629,85.534,-957.776,1056.306,461.117,-1027.216,1026.488,241.807,-1059.409,298.911,103.359,-1481.169,293.357,35.37,-1100.82,802.304,365.882,-1127.119,853.934,202.528,-1174.04,978.343,33.564,5.191,-6.044,6.787,-4.631,-4.384,-2.773,7.856,2.358,-2.773,-7.856,-2.358,-26.116,-12.158,-34.441,-35.299,12.115,4.196,0.062,-0.12,1.1,-1.039,-0.056,0.814,244.756,-37.042,-3.104,-310.418,10.098,-0.721
8.82,88.76,-1589.216,424.254,252.613,-1109.143,121.762,215.887,-1022.574,818.742,71.477,-937.024,1032.855,458.364,-986.628,1015.264,240.352,-1044.512,295.613,101.456,-1441.609,295.009,19.051,-1095.075,788.684,365.038,-1081.486,843.156,202.011,-1145.9,971.637,33.57,6.609,-5.558,8.72,-6.37,-4.243,-1.988,8.595,0.742,-1.988,-8.595,-0.742,-25.954,-11.488,-34.038,-34.375,12.991,3.572,-0.036,-0.162,1.019,-1.071,-0.079,0.723,266.173,-41.719,-4.843,-225.415,19.578,-1.452
8.83,84.669,-1543.919,429.025,251.088,-1104.981,122.449,219.69,-996.162,814.317,56.821,-917.493,1011.216,455.118,-945.469,1005.875,238.822,-1032.099,293.122,100.128,-1398.856,296.091,3.759,-1089.825,777.422,363.527,-1034.507,833.898,201.486,-1117.9,965.472,33.524,8.018,-4.943,10.991,-8.089,-3.704,-1.228,9.324,-0.726,-1.228,-9.324,0.726,-25.96,-10.396,-33.318,-32.999,13.66,3.195,-0.125,-0.2,0.908,-1.087,-0.101,0.638,285.515,-50.156,-5.976,-150.152,30.133,-1.685
8.84,80.9,-1497.152,431.552,249.767,-1101.87,123.371,222.824,-970.04,810.346,42.131,-899.025,992.479,451.327,-903.855,999.399,237.202,-1022.169,291.287,99.31,-1353.068,296.575,-10.123,-1084.246,768.973,361.077,-986.276,826.977,200.999,-1090.06,959.975,33.223,9.272,-4.299,13.652,-9.606,-2.717,-0.547,9.921,-1.949,-0.547,-9.921,1.949,-26.267,-8.78,-32.158,-31.394,14.148,3.053,-0.201,-0.235,0.775,-1.082,-0.121,0.573,300.427,-62.627,-6.129,-92.215,40.291,-1.952
8.85,77.495,-1449.33,431.781,248.604,-1099.547,124.316,224.979,-944.078,806.751,27.998,-881.387,977.624,446.955,-861.927,996.72,235.52,-1014.618,289.994,98.958,-1304.461,296.632,-22.418,-1077.532,763.586,357.518,-937.016,823.18,200.603,-1062.37,955.243,32.536,10.222,-3.759,16.722,-10.756,-1.346,-0.017,10.288,-2.872,-0.017,-10.288,2.872,-27.068,-6.652,-30.412,-29.796,14.493,3.084,-0.263,-0.267,0.631,-1.053,-0.141,0.542,309.147,-77.112,-5.39,-52.005,47.527,-2.565
8.86,74.495,-1400.846,429.701,247.593,-1097.814,125.196,225.982,-918.15,803.433,14.935,-864.277,967.351,442.01,-819.877,998.284,233.865,-1009.129,289.157,99.055,-1253.317,296.565,-33.096,-1069.07,761.297,352.871,-887.088,823.106,200.339,-1034.8,951.391,31.445,10.772,-3.449,20.188,-11.425,0.247,0.285,10.371,-3.491,0.285,-10.371,3.491,-28.489,-4.188,-28.006,-28.381,14.705,3.212,-0.313,-0.295,0.486,-1.001,-0.16,0.553,310.991,-89.682,-4.187,-26.808,49.064,-3.356
8.87,71.942,-1352.028,425.331,246.776,-1096.492,126.041,225.822,-892.186,800.366,3.296,-847.358,961.93,436.542,-777.954,1004.001,232.359,-1005.22,288.721,99.645,-1199.918,296.837,-42.274,-1058.474,761.963,347.305,-836.94,827.12,200.221,-1007.29,948.548,30.01,10.903,-3.445,23.983,-11.559,1.84,0.303,10.158,-3.863,0.303,-10.158,3.863,-30.449,-1.759,-25.09,-27.265,14.78,3.363,-0.355,-0.318,0.35,-0.928,-0.177,0.609,305.863,-96.714,-2.984,-12.589,44.272,-3.893
