Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
10.94,88.897,-2419.533,323.604,248.206,-1833.812,144.648,210.959,-1792.375,944.728,-17.832,-1651.47,1232.738,485.452,-1856.292,1099.645,240.594,-1800.612,363.293,118.897,-2205.415,360.524,-15.183,-1765.766,926.943,482.761,-2007.981,877.749,184.88,-1944.71,1106.66,36.279,7.755,-0.913,6.414,-2.399,3.253,-14.561,5.099,7.764,-14.561,-5.099,-7.764,-40.565,-1.476,-3.686,-38.806,2.479,2.515,0.456,0.144,0.731,-1.057,-0.116,0.744,220.738,9.725,8.203,-549.676,7.816,10.088
10.95,85.565,-2388.134,322.044,245.984,-1821.311,141.886,211.888,-1766.585,938.252,-20.039,-1630.831,1216.558,484.083,-1824.643,1089.694,238.278,-1780.603,357.745,116.136,-2174.749,363.539,-20.493,-1755.168,911.8,482.104,-1974.156,866.299,184.533,-1919.08,1098.71,35.985,8.153,-0.62,7.063,-2.893,2.586,-14.084,5.266,7.192,-14.084,-5.266,-7.192,-40.222,-1.668,-3.799,-39.321,3.611,1.502,0.36,0.107,0.833,-1.053,-0.134,0.784,194.829,5.444,2.933,-505.593,13.571,12.797
10.96,82.299,-2354.964,319.407,244.075,-1811.84,140.169,213.011,-1741.288,931.448,-22.66,-1610.735,1199.773,482.656,-1792.202,1079.951,236.026,-1762.799,352.883,113.711,-2142.659,365.973,-25.986,-1745.74,895.931,481.037,-1939.441,854.162,184.171,-1893.49,1090.36,35.813,8.601,-0.371,7.888,-3.545,1.841,-13.618,5.568,6.614,-13.618,-5.568,-6.614,-39.96,-1.875,-4.014,-39.425,4.737,0.531,0.244,0.062,0.928,-1.051,-0.147,0.791,169.836,2.75,-1.91,-434.921,23.962,12.352
10.97,79.083,-2319.942,315.839,242.556,-1804.972,139.48,214.337,-1716.639,924.388,-25.568,-1591.109,1182.644,481.078,-1758.959,1070.76,233.936,-1747.364,348.977,111.833,-2109.106,367.869,-31.577,-1737.408,879.748,479.43,-1903.816,841.609,183.804,-1867.95,1081.9,35.81,9.099,-0.202,8.99,-4.325,1.118,-13.226,6.003,6.014,-13.226,-6.003,-6.014,-39.786,-2.087,-4.341,-39.023,5.705,-0.288,0.113,0.014,1.009,-1.049,-0.152,0.765,147.009,0.164,-5.325,-344.667,34.612,9.92
10.98,75.916,-2283.011,311.477,241.473,-1800.167,139.629,215.829,-1692.726,917.198,-28.644,-1571.934,1165.527,479.189,-1724.852,1062.507,232.134,-1734.229,346.07,110.555,-2074.053,369.254,-37.104,-1730.038,863.717,477.218,-1867.245,829.027,183.442,-1842.48,1073.62,35.943,9.641,-0.134,10.44,-5.209,0.518,-12.944,6.565,5.389,-12.944,-6.565,-5.389,-39.702,-2.257,-4.755,-38.144,6.441,-0.924,-0.028,-0.034,1.071,-1.042,-0.149,0.714,126.025,-4.325,-6.997,-248.955,39.853,7.568
10.99,72.803,-2244.161,306.437,240.792,-1796.897,140.327,217.355,-1669.485,910.029,-31.821,-1553.165,1148.813,476.78,-1689.833,1055.563,230.685,-1723.248,344.005,109.818,-2037.493,370.215,-42.48,-1723.381,848.407,474.368,-1829.666,816.86,183.092,-1817.16,1065.79,36.112,10.192,-0.178,12.286,-6.148,0.119,-12.789,7.216,4.751,-12.789,-7.216,-4.751,-39.732,-2.347,-5.2,-36.957,6.944,-1.385,-0.17,-0.078,1.11,-1.024,-0.137,0.648,106.217,-11.845,-7.423,-163.177,36.98,6.379
11.0,69.756,-2203.441,300.818,240.416,-1794.714,141.287,218.689,-1646.781,903.103,-35.09,-1534.838,1133.05,473.607,-1653.877,1050.299,229.527,-1714.262,342.544,109.461,-1999.466,370.815,-47.582,-1717.109,834.394,470.872,-1791.065,805.599,182.76,-1792.01,1058.66,36.186,10.674,-0.369,14.528,-7.062,-0.029,-12.763,7.892,4.137,-12.763,-7.892,-4.137,-39.823,-2.307,-5.589,-35.665,7.244,-1.688,-0.306,-0.116,1.123,-0.995,-0.117,0.579,87.455,-21.805,-7.738,-97.178,28.482,5.87
11.01,66.791,-2160.954,294.697,240.232,-1793.266,142.295,219.586,-1624.429,896.665,-38.588,-1517.03,1118.723,469.442,-1617.0,1047.04,228.521,-1707.175,341.492,109.33,-1960.093,371.199,-52.315,-1710.852,822.228,466.732,-1751.375,795.76,182.454,-1767.03,1052.42,36.056,11.009,-0.759,17.119,-7.855,0.089,-12.851,8.521,3.589,-12.851,-8.521,-3.589,-39.967,-2.128,-5.86,-34.446,7.402,-1.836,-0.43,-0.148,1.11,-0.954,-0.092,0.52,70.362,-32.495,-8.668,-53.225,18.976,5.111
11.02,63.939,-2116.833,288.135,240.161,-1792.278,143.23,219.802,-1602.146,891.01,-42.552,-1499.842,1106.316,464.114,-1579.337,1045.965,227.51,-1701.723,340.71,109.274,-1919.443,371.394,-56.628,-1704.245,812.314,461.926,-1710.641,787.797,182.168,-1742.18,1047.22,35.645,11.14,-1.371,19.959,-8.434,0.454,-13.002,9.033,3.15,-13.002,-9.033,-3.15,-40.091,-1.829,-5.995,-33.439,7.425,-1.839,-0.538,-0.172,1.075,-0.906,-0.062,0.482,55.876,-42.098,-9.942,-30.028,10.389,3.746
11.03,61.247,-2071.23,281.184,240.154,-1791.55,144.067,219.199,-1579.736,886.38,-47.335,-1483.401,1096.218,457.553,-1541.08,1047.215,226.402,-1697.588,340.125,109.227,-1877.676,371.446,-60.485,-1696.897,804.954,456.367,-1668.913,782.084,181.887,-1717.4,1043.17,34.931,11.061,-2.16,22.934,-8.722,1.01,-13.184,9.373,2.828,-13.184,-9.373,-2.828,-40.13,-1.454,-6.019,-32.664,7.332,-1.729,-0.626,-0.19,1.02,-0.853,-0.031,0.471,43.76,-49.823,-10.605,-21.249,3.029,2.192
