Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
12.39,78.25,-2127.133,349.775,319.356,-1491.795,124.746,257.407,-1486.768,874.922,40.926,-1333.077,1263.576,569.22,-1552.456,1221.413,289.118,-1453.746,340.889,127.976,-1924.996,307.411,135.662,-1348.53,930.044,599.48,-1612.703,932.771,218.995,-1616.33,1044.33,42.47,9.746,-10.751,5.834,-7.63,-16.608,-6.298,13.779,9.913,-6.298,-13.779,-9.913,-40.607,-4.017,-2.252,-38.175,-2.766,3.429,0.309,-0.131,0.931,-1.119,-0.142,0.713,190.889,-62.842,18.794,-551.848,64.133,1.631
12.4,75.873,-2094.233,358.917,318.55,-1480.546,122.29,258.139,-1457.71,870.535,39.826,-1307.616,1251.153,570.969,-1512.904,1215.075,289.179,-1433.169,335.181,125.669,-1893.199,310.615,134.861,-1328.611,917.343,604.011,-1567.984,924.515,220.195,-1587.9,1038.02,42.293,9.515,-10.524,6.68,-8.335,-16.432,-5.781,13.239,9.322,-5.781,-13.239,-9.322,-40.445,-4.211,-1.869,-38.883,-1.854,2.56,0.237,-0.159,0.962,-1.12,-0.112,0.741,209.175,-72.558,17.136,-475.803,40.161,0.473
12.41,73.944,-2058.902,367.038,317.437,-1472.173,120.709,259.17,-1428.695,865.651,37.956,-1282.507,1237.239,572.131,-1472.152,1208.636,289.107,-1414.494,329.882,122.87,-1858.723,313.478,132.77,-1310.373,903.476,607.509,-1520.964,915.915,221.371,-1559.62,1031.18,41.828,9.426,-10.229,7.397,-9.1,-16.149,-5.131,12.674,8.584,-5.131,-12.674,-8.584,-40.232,-4.282,-1.721,-39.173,-0.811,1.387,0.17,-0.189,0.981,-1.13,-0.09,0.744,225.014,-79.533,14.552,-386.948,24.129,-0.875
12.42,72.501,-2021.199,373.914,316.045,-1466.071,120.061,260.616,-1399.797,860.409,35.339,-1257.786,1222.332,572.551,-1430.444,1202.576,288.815,-1397.841,325.293,119.983,-1821.605,316.161,129.347,-1293.769,888.932,609.746,-1471.801,907.477,222.513,-1531.49,1024.04,41.071,9.532,-9.875,8.039,-9.93,-15.793,-4.347,12.127,7.701,-4.347,-12.127,-7.701,-39.963,-4.26,-1.765,-38.918,0.28,0.034,0.11,-0.221,0.988,-1.14,-0.074,0.722,239.439,-85.239,10.875,-291.991,19.674,-2.031
12.43,71.58,-1981.259,379.329,314.485,-1461.691,120.198,262.519,-1371.133,854.943,31.981,-1233.614,1206.986,572.054,-1388.055,1197.359,288.21,-1383.396,321.524,117.364,-1781.868,318.854,124.659,-1278.658,874.37,610.547,-1420.701,899.818,223.607,-1503.5,1016.85,40.042,9.858,-9.467,8.702,-10.807,-15.385,-3.464,11.622,6.668,-3.464,-11.622,-6.668,-39.688,-4.183,-1.957,-38.171,1.295,-1.337,0.053,-0.254,0.979,-1.143,-0.064,0.681,252.049,-90.392,6.206,-201.418,24.499,-2.917
12.44,71.217,-1939.279,383.087,312.905,-1458.577,120.864,264.833,-1342.791,849.374,27.874,-1210.167,1191.842,570.478,-1345.208,1193.472,287.163,-1371.382,318.56,115.28,-1739.633,321.588,118.83,-1264.727,860.474,609.738,-1367.939,893.549,224.63,-1475.64,1009.87,38.766,10.385,-9.049,9.519,-11.706,-14.959,-2.546,11.17,5.486,-2.546,-11.17,-5.486,-39.403,-4.067,-2.261,-37.114,2.128,-2.555,0.0,-0.286,0.956,-1.132,-0.06,0.632,261.74,-95.493,1.261,-126.965,32.422,-3.364
12.45,71.443,-1895.508,385.018,311.437,-1456.37,121.794,267.431,-1314.909,843.792,23.023,-1187.628,1177.528,567.689,-1302.185,1191.264,285.561,-1362.017,316.351,113.923,-1695.103,324.392,112.083,-1251.69,847.915,607.172,-1313.86,889.259,225.562,-1447.93,1003.37,37.291,11.047,-8.684,10.64,-12.589,-14.555,-1.714,10.769,4.155,-1.714,-10.769,-4.155,-39.138,-3.934,-2.652,-36.025,2.673,-3.514,-0.053,-0.315,0.918,-1.103,-0.06,0.587,267.756,-100.993,-3.149,-75.26,37.903,-2.996
12.46,72.279,-1850.218,384.986,310.154,-1454.797,122.788,270.104,-1287.611,838.323,17.454,-1166.17,1164.717,563.624,-1259.221,1190.978,283.349,-1355.351,314.854,113.393,-1648.561,327.204,104.705,-1239.102,837.284,602.695,-1258.925,887.378,226.385,-1420.32,997.588,35.668,11.731,-8.486,12.216,-13.416,-14.207,-1.108,10.402,2.69,-1.108,-10.402,-2.69,-38.876,-3.795,-3.104,-35.134,2.903,-4.157,-0.107,-0.34,0.866,-1.056,-0.065,0.559,269.694,-106.825,-6.517,-45.82,37.991,-1.589
12.47,73.736,-1803.681,382.883,309.081,-1453.648,123.736,272.567,-1260.921,833.155,11.231,-1145.881,1153.979,558.286,-1216.555,1192.686,280.592,-1351.18,313.998,113.737,-1600.356,330.0,97.02,-1226.495,829.011,596.193,-1203.607,888.174,227.085,-1392.79,992.752,33.954,12.311,-8.538,14.34,-14.143,-13.927,-0.827,10.032,1.133,-0.827,-10.032,-1.133,-38.635,-3.649,-3.582,-34.614,2.826,-4.478,-0.166,-0.359,0.802,-0.994,-0.072,0.559,267.568,-112.24,-8.671,-34.039,33.417,0.698
12.48,75.812,-1756.131,378.631,308.209,-1452.763,124.629,274.475,-1234.703,828.599,4.458,-1126.719,1145.733,551.752,-1174.336,1196.298,277.515,-1348.966,313.669,114.942,-1550.881,332.761,89.281,-1213.453,823.344,587.581,-1148.449,891.706,227.655,-1365.29,989.064,32.182,12.663,-8.875,16.997,-14.719,-13.697,-0.895,9.607,-0.448,-0.895,-9.607,0.448,-38.413,-3.508,-4.029,-34.469,2.525,-4.505,-0.23,-0.368,0.73,-0.919,-0.078,0.593,260.619,-115.741,-9.786,-32.0,27.466,3.209
