Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
7.05,195.859,-3225.49,467.399,334.448,-2463.906,165.798,262.493,-2556.223,818.988,86.313,-2375.386,1075.171,652.14,-3002.395,954.561,303.646,-2465.352,361.143,195.528,-3060.813,377.664,63.755,-2468.024,771.195,533.278,-3203.93,1125.512,251.875,-2651.29,990.986,53.946,3.45,3.956,1.931,2.414,-8.549,-5.112,5.177,8.091,-5.112,-5.177,-8.091,-44.674,-2.74,0.527,-41.743,0.685,-0.042,0.776,0.337,1.499,-1.8,-0.236,1.456,330.075,82.198,8.187,-761.696,13.189,-10.304
7.06,194.922,-3168.724,481.217,332.231,-2448.025,158.87,264.303,-2515.163,814.789,76.431,-2344.786,1037.491,664.953,-2934.679,932.131,301.48,-2440.694,352.793,191.417,-3006.688,385.74,47.69,-2473.954,747.467,548.432,-3150.181,1087.98,251.589,-2611.15,983.942,52.495,3.688,1.839,3.307,2.05,-8.832,-4.286,3.948,6.891,-4.286,-3.948,-6.891,-44.354,-2.75,0.682,-42.835,1.163,-0.474,0.637,0.316,1.515,-1.715,-0.302,1.372,359.479,89.119,-3.079,-680.614,37.317,-5.583
7.07,193.078,-3108.247,492.423,330.687,-2435.714,153.423,267.141,-2474.747,810.48,64.251,-2319.461,1001.711,678.71,-2862.825,909.595,299.865,-2417.926,345.428,188.014,-2947.951,392.758,32.681,-2481.738,728.06,565.426,-3092.704,1046.945,251.165,-2571.23,976.453,50.958,4.312,-0.551,4.88,1.167,-9.294,-3.245,3.117,5.495,-3.245,-3.117,-5.495,-43.912,-2.794,0.712,-43.818,1.628,-1.056,0.471,0.263,1.504,-1.625,-0.347,1.249,380.793,95.996,-14.176,-582.396,53.287,-0.767
7.08,190.264,-3044.52,500.563,329.773,-2426.275,149.633,270.957,-2435.084,806.291,50.405,-2298.889,969.232,692.844,-2786.711,887.939,299.047,-2396.936,339.287,185.649,-2884.849,398.4,19.241,-2490.247,713.581,583.992,-3030.781,1003.3,250.597,-2531.47,968.829,49.35,5.329,-2.956,6.765,-0.3,-9.939,-2.043,2.752,3.931,-2.043,-2.752,-3.931,-43.318,-2.879,0.577,-44.387,2.026,-1.767,0.288,0.18,1.453,-1.535,-0.367,1.103,394.149,97.433,-23.026,-465.478,58.838,2.693
7.09,186.472,-2978.099,505.292,329.387,-2419.158,147.36,275.526,-2396.24,802.396,35.514,-2282.287,941.019,706.672,-2706.213,868.22,299.083,-2377.991,334.338,184.405,-2817.832,402.598,7.533,-2498.291,704.402,603.801,-2963.7,958.207,249.887,-2491.8,961.403,47.722,6.669,-5.147,9.093,-2.331,-10.672,-0.788,2.836,2.267,-0.788,-2.836,-2.267,-42.618,-2.945,0.234,-44.375,2.318,-2.532,0.1,0.075,1.36,-1.448,-0.36,0.951,401.535,88.133,-27.976,-338.494,53.443,4.263
7.1,181.777,-2909.593,506.393,329.383,-2413.897,146.226,280.452,-2358.168,798.875,20.115,-2268.714,917.641,719.433,-2621.414,851.629,299.822,-2361.615,330.392,184.181,-2747.504,405.49,-2.622,-2504.736,700.615,624.345,-2890.828,913.046,249.055,-2452.13,954.466,46.102,8.189,-6.942,11.998,-4.794,-11.309,0.376,3.258,0.597,0.376,-3.258,-0.597,-41.867,-2.921,-0.321,-43.83,2.516,-3.239,-0.08,-0.044,1.229,-1.361,-0.33,0.816,404.582,65.01,-28.347,-218.045,39.847,4.448
7.11,176.352,-2839.592,503.778,329.606,-2410.116,145.804,285.253,-2320.749,795.721,4.655,-2257.276,899.314,730.316,-2532.683,839.413,300.988,-2348.281,327.278,184.814,-2674.512,407.551,-11.623,-2508.695,702.054,644.936,-2811.722,869.366,248.137,-2412.38,948.258,44.434,9.679,-8.21,15.585,-7.438,-11.636,1.3,3.825,-0.98,1.3,-3.825,0.98,-41.188,-2.759,-1.036,-42.929,2.652,-3.797,-0.243,-0.165,1.071,-1.275,-0.279,0.715,402.865,28.472,-24.757,-118.485,25.42,3.831
7.12,170.444,-2768.604,497.473,329.934,-2407.521,145.767,289.436,-2283.694,792.908,-10.42,-2247.117,886.023,738.543,-2440.785,832.789,302.264,-2338.083,324.906,186.065,-2599.57,409.378,-19.898,-2509.449,708.258,664.712,-2726.193,828.769,247.186,-2372.5,942.973,42.577,10.889,-8.914,19.882,-9.943,-11.49,1.89,4.321,-2.376,1.89,-4.321,2.376,-40.695,-2.43,-1.809,-41.874,2.761,-4.164,-0.382,-0.277,0.9,-1.189,-0.211,0.666,393.692,-17.505,-18.854,-44.127,16.02,2.775
7.13,164.336,-2696.985,487.59,330.304,-2405.848,145.945,292.599,-2246.629,790.456,-24.547,-2237.359,877.566,743.471,-2346.99,832.675,303.329,-2330.742,323.222,187.61,-2523.473,411.479,-27.755,-2506.66,718.598,682.741,-2634.438,792.843,246.263,-2332.5,938.778,40.374,11.584,-9.112,24.8,-11.988,-10.818,2.127,4.564,-3.546,2.127,-4.564,3.546,-40.443,-1.937,-2.513,-40.86,2.822,-4.323,-0.494,-0.373,0.73,-1.104,-0.129,0.679,374.82,-66.298,-12.652,5.741,12.06,1.579
7.14,158.308,-2624.904,474.314,330.699,-2404.818,146.325,294.509,-2209.152,788.47,-37.128,-2227.019,873.548,744.651,-2252.821,839.57,303.93,-2325.539,322.149,189.097,-2447.117,414.085,-35.368,-2500.217,732.338,698.136,-2536.993,762.981,245.436,-2292.38,935.832,37.716,11.601,-8.946,30.14,-13.327,-9.699,2.059,4.44,-4.495,2.059,-4.44,4.495,-40.396,-1.266,-3.039,-40.021,2.784,-4.268,-0.58,-0.446,0.572,-1.022,-0.039,0.76,345.103,-109.854,-7.849,31.264,10.693,0.547
