Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.24,117.673,-2554.323,430.563,364.315,-1790.578,126.929,249.213,-1842.717,840.477,74.377,-1647.871,1171.514,588.805,-1984.392,1123.532,314.821,-1746.976,334.832,141.869,-2377.558,328.657,98.192,-1732.403,849.468,517.752,-2197.796,900.002,232.792,-1953.0,1025.34,55.187,4.671,10.582,-1.079,-3.15,13.215,6.207,13.95,15.563,6.207,-13.95,-15.563,-50.239,-5.647,3.465,-47.819,-17.116,-0.578,0.923,0.469,1.953,-1.957,0.356,0.752,418.61,15.889,5.965,-818.154,-165.962,0.018
8.25,119.753,-2501.926,448.347,361.886,-1774.291,122.589,253.073,-1804.915,836.619,72.807,-1613.873,1155.859,591.543,-1939.323,1114.31,311.268,-1725.585,327.604,142.793,-2331.27,335.01,88.166,-1710.009,835.792,520.458,-2144.733,883.88,234.146,-1915.59,1019.81,53.908,5.664,10.49,0.686,-3.448,13.314,6.72,13.447,14.602,6.72,-13.447,-14.602,-49.77,-5.612,4.227,-48.421,-16.684,-1.076,0.748,0.499,1.88,-1.838,0.289,0.723,443.618,19.189,-2.651,-721.003,-129.269,2.457
8.26,122.131,-2445.792,462.893,359.724,-1762.192,119.169,257.288,-1767.395,832.412,69.585,-1581.127,1138.2,594.093,-1892.063,1103.853,307.813,-1707.133,320.838,143.839,-2280.856,339.779,76.136,-1690.673,821.204,523.561,-2088.976,866.436,235.46,-1878.25,1013.64,52.428,6.825,10.248,2.662,-3.973,13.026,7.373,12.989,13.504,7.373,-12.989,-13.504,-49.209,-5.54,4.767,-48.881,-16.276,-1.649,0.552,0.494,1.757,-1.71,0.224,0.677,456.171,21.08,-9.176,-610.984,-92.96,5.19
8.27,124.636,-2386.458,473.922,357.879,-1753.464,116.701,261.675,-1730.274,828.026,64.677,-1549.797,1119.164,596.329,-1842.378,1092.848,304.593,-1691.439,314.815,145.287,-2226.313,343.139,62.597,-1674.3,806.552,527.035,-2030.51,848.35,236.706,-1840.97,1007.1,50.766,8.108,9.915,4.917,-4.717,12.329,8.115,12.606,12.296,8.115,-12.606,-12.296,-48.616,-5.473,5.016,-49.079,-15.942,-2.275,0.347,0.457,1.586,-1.577,0.164,0.622,459.263,21.744,-12.527,-493.977,-59.829,7.764
8.28,127.129,-2324.528,481.309,356.323,-1747.357,115.13,266.004,-1693.608,823.617,58.105,-1520.077,1099.513,598.082,-1790.086,1082.08,301.686,-1678.373,309.738,147.282,-2167.75,345.216,48.208,-1660.658,792.684,530.801,-1969.312,830.402,237.854,-1803.73,1000.49,48.959,9.444,9.53,7.52,-5.653,11.306,8.873,12.321,11.013,8.873,-12.321,-11.013,-48.008,-5.431,4.991,-48.942,-15.698,-2.929,0.145,0.399,1.376,-1.443,0.11,0.572,456.299,21.428,-12.449,-377.777,-30.858,9.68
8.29,129.511,-2260.623,485.061,354.977,-1743.217,114.323,270.011,-1657.388,819.346,50.002,-1492.088,1080.161,599.132,-1735.12,1072.467,299.114,-1667.727,305.699,149.846,-2105.383,346.221,33.678,-1649.347,780.43,534.734,-1905.354,813.397,238.876,-1766.55,994.137,47.025,10.744,9.134,10.531,-6.72,10.116,9.578,12.127,9.698,9.578,-12.127,-9.698,-47.438,-5.419,4.728,-48.47,-15.538,-3.574,-0.044,0.331,1.142,-1.313,0.061,0.537,448.354,20.242,-9.343,-270.26,-6.148,10.594
8.3,131.726,-2195.325,485.294,353.748,-1740.508,114.105,273.428,-1621.548,815.376,40.581,-1465.883,1062.017,599.228,-1677.571,1064.881,296.79,-1659.273,302.671,152.894,-2039.518,346.474,19.71,-1639.836,770.486,538.648,-1838.737,798.177,239.745,-1729.4,988.335,44.967,11.91,8.752,13.982,-7.831,8.972,10.167,12.0,8.399,10.167,-12.0,-8.399,-46.982,-5.43,4.309,-47.742,-15.438,-4.171,-0.215,0.268,0.902,-1.191,0.016,0.527,434.583,18.235,-3.987,-179.152,14.121,10.491
8.31,133.753,-2129.133,482.198,352.574,-1738.798,114.315,275.995,-1585.962,811.853,30.117,-1441.454,1046.0,598.106,-1617.761,1060.102,294.603,-1652.743,300.538,156.242,-1970.567,346.333,6.904,-1631.456,763.332,542.29,-1769.656,785.514,240.441,-1692.27,983.355,42.779,12.836,8.397,17.867,-8.868,8.088,10.588,11.901,7.162,10.588,-11.901,-7.162,-46.677,-5.461,3.841,-46.876,-15.39,-4.675,-0.363,0.215,0.675,-1.083,-0.026,0.549,413.735,15.862,2.587,-110.135,30.117,9.42
8.32,135.603,-2062.416,476.006,351.442,-1737.743,114.85,277.523,-1550.44,808.912,18.952,-1418.678,1032.847,595.537,-1556.259,1058.695,292.461,-1647.717,299.136,159.705,-1899.014,346.25,-4.278,-1623.537,759.273,545.342,-1698.401,776.083,240.955,-1655.12,979.407,40.438,13.433,8.092,22.146,-9.695,7.626,10.802,11.771,6.016,10.802,-11.771,-6.016,-46.567,-5.521,3.434,-46.005,-15.405,-5.051,-0.488,0.177,0.477,-0.991,-0.066,0.608,383.822,13.882,9.271,-64.757,42.47,7.498
8.33,137.299,-1995.394,466.971,350.402,-1737.046,115.694,277.874,-1514.81,806.674,7.426,-1397.365,1023.119,591.385,-1493.811,1060.906,290.366,-1643.694,298.296,163.112,-1825.437,346.669,-13.605,-1615.445,758.39,547.462,-1625.481,770.368,241.29,-1617.93,976.662,37.929,13.632,7.854,26.735,-10.182,7.645,10.8,11.545,4.978,10.8,-11.545,-4.978,-46.662,-5.621,3.159,-45.252,-15.496,-5.274,-0.586,0.153,0.321,-0.919,-0.104,0.703,344.422,12.994,15.153,-41.146,52.03,4.935
8.34,138.872,-1928.122,455.347,349.553,-1736.429,116.927,277.01,-1478.885,805.239,-4.127,-1377.247,1017.104,585.658,-1431.27,1066.631,288.467,-1639.902,297.859,166.293,-1750.502,347.905,-20.981,-1606.627,760.598,548.282,-1551.508,768.633,241.462,-1580.65,975.23,35.237,13.404,7.716,31.513,-10.228,8.096,10.579,11.161,4.038,10.579,-11.161,-4.038,-46.922,-5.768,3.061,-44.664,-15.674,-5.343,-0.656,0.141,0.209,-0.863,-0.139,0.833,296.859,13.512,19.561,-35.216,59.329,1.886
8.35,140.349,-1860.5,441.385,349.031,-1735.6,118.709,274.983,-1442.522,804.698,-15.408,-1358.054,1014.841,578.507,-1369.452,1075.503,287.041,-1635.465,297.693,169.138,-1674.872,350.177,-26.466,-1596.718,765.682,547.471,-1477.169,770.898,241.492,-1543.24,975.176,32.361,12.76,7.708,36.335,-9.79,8.834,10.151,10.566,3.163,10.151,-10.566,-3.163,-47.32,-5.961,3.131,-44.25,-15.914,-5.268,-0.695,0.137,0.141,-0.821,-0.172,0.99,243.474,15.637,22.103,-41.49,65.076,-1.429
8.36,141.747,-1792.307,425.334,348.986,-1734.241,121.258,271.946,-1405.59,805.146,-26.198,-1339.462,1016.094,570.187,-1308.994,1086.9,286.454,-1629.413,297.681,171.528,-1599.222,353.41,-30.205,-1585.474,773.327,544.768,-1403.296,776.948,241.414,-1505.63,976.508,29.305,11.752,7.865,41.038,-8.893,9.664,9.546,9.724,2.3,9.546,-9.724,-2.3,-47.776,-6.183,3.337,-43.99,-16.195,-5.076,-0.705,0.139,0.105,-0.785,-0.201,1.166,187.564,19.507,22.718,-54.554,69.49,-4.792
8.37,143.069,-1723.241,407.452,349.567,-1732.012,124.813,268.131,-1367.957,806.673,-36.312,-1321.17,1020.465,560.98,-1250.313,1100.128,287.041,-1620.827,297.653,173.386,-1524.097,357.376,-32.397,-1572.805,783.172,540.034,-1330.652,786.38,241.265,-1467.82,979.199,26.074,10.457,8.212,45.454,-7.627,10.392,8.814,8.618,1.386,8.814,-8.618,-1.386,-48.249,-6.393,3.615,-43.83,-16.452,-4.791,-0.689,0.144,0.086,-0.747,-0.226,1.352,132.117,24.446,21.758,-70.057,72.303,-7.995
8.38,144.302,-1652.982,388.015,350.899,-1728.568,129.611,263.825,-1329.52,809.358,-45.636,-1302.908,1027.411,551.106,-1193.584,1114.559,289.056,-1608.975,297.365,174.634,-1449.862,361.617,-33.242,-1558.707,794.817,533.281,-1259.967,798.64,241.084,-1429.75,983.166,22.682,8.968,8.759,49.43,-6.128,10.869,8.012,7.252,0.364,8.012,-7.252,-0.364,-48.639,-6.564,3.934,-43.738,-16.645,-4.454,-0.657,0.15,0.069,-0.698,-0.246,1.534,78.989,29.879,19.644,-85.04,72.836,-10.681
8.39,145.422,-1581.248,367.328,353.072,-1723.587,135.865,259.327,-1290.203,813.241,-54.09,-1284.385,1036.351,540.701,-1138.831,1129.642,292.595,-1593.435,296.463,175.256,-1376.724,365.753,-32.944,-1543.21,807.855,524.662,-1191.815,813.064,240.901,-1391.4,988.28,19.151,7.378,9.486,52.84,-4.548,11.038,7.222,5.656,-0.811,7.222,-5.656,0.811,-48.94,-6.671,4.27,-43.708,-16.7,-4.103,-0.622,0.153,0.04,-0.631,-0.26,1.701,27.55,34.787,16.75,-97.727,70.026,-12.358
8.4,146.385,-1507.854,345.735,356.12,-1716.807,143.747,254.923,-1249.957,818.279,-61.642,-1265.362,1046.708,529.816,-1085.96,1145.046,297.616,-1574.27,294.589,175.245,-1304.754,369.438,-31.681,-1526.384,821.876,514.485,-1126.659,828.98,240.742,-1352.78,994.367,15.524,5.766,10.341,55.583,-3.024,10.914,6.514,3.877,-2.16,6.514,-3.877,2.16,-49.141,-6.7,4.63,-43.786,-16.568,-3.804,-0.604,0.151,-0.009,-0.539,-0.265,1.843,-24.262,37.478,13.474,-106.589,63.134,-12.397
8.41,147.138,-1432.756,323.619,360.004,-1708.051,153.388,250.847,-1208.805,824.345,-68.291,-1245.606,1057.94,518.472,-1034.894,1160.546,303.921,-1552.051,291.528,174.633,-1234.021,372.477,-29.621,-1508.241,836.488,503.133,-1064.726,845.727,240.611,-1313.87,1001.2,11.862,4.198,11.226,57.608,-1.659,10.578,5.944,1.987,-3.676,5.944,-1.987,3.676,-49.216,-6.667,5.054,-44.013,-16.202,-3.645,-0.622,0.142,-0.076,-0.419,-0.26,1.949,-79.504,37.34,9.957,-109.942,52.171,-10.225
8.42,147.615,-1356.09,301.404,364.602,-1697.235,164.882,247.289,-1166.838,831.202,-74.075,-1224.888,1069.553,506.699,-985.514,1176.035,311.153,-1527.815,287.454,173.483,-1164.669,374.811,-26.904,-1488.754,851.282,491.047,-1006.087,862.683,240.5,-1274.72,1008.54,8.252,2.726,12.017,58.901,-0.517,10.144,5.54,0.072,-5.334,5.54,-0.072,5.334,-49.188,-6.595,5.565,-44.458,-15.597,-3.708,-0.691,0.122,-0.151,-0.274,-0.246,2.015,-142.401,33.404,6.347,-107.774,37.501,-5.596
8.43,147.748,-1278.193,279.532,369.711,-1684.367,178.293,244.373,-1124.262,838.531,-79.055,-1203.053,1081.091,494.582,-937.784,1191.435,318.828,-1502.811,283.08,171.898,-1096.974,376.448,-23.675,-1467.866,865.841,478.659,-950.659,879.317,240.386,-1235.36,1016.09,4.8,1.391,12.585,59.499,0.375,9.731,5.291,-1.778,-7.083,5.291,1.778,7.083,-49.057,-6.53,6.173,-45.139,-14.814,-4.046,-0.817,0.088,-0.215,-0.106,-0.223,2.039,-215.963,25.023,2.934,-101.991,19.896,1.136
8.44,147.482,-1199.609,258.452,375.056,-1669.504,193.659,242.187,-1081.263,845.983,-83.325,-1179.944,1092.155,482.268,-891.681,1206.628,326.404,-1477.995,279.525,170.001,-1031.291,377.389,-20.07,-1445.414,879.755,466.343,-898.267,895.15,240.236,-1195.83,1023.55,1.622,0.226,12.828,59.479,1.013,9.439,5.161,-3.48,-8.863,5.161,3.48,8.863,-48.815,-6.538,6.853,-45.987,-13.974,-4.634,-0.996,0.037,-0.251,0.077,-0.193,2.024,-302.396,11.762,0.039,-93.283,1.316,8.885
8.45,146.792,-1121.082,238.583,380.325,-1652.717,210.994,240.763,-1038.134,853.178,-86.991,-1155.408,1102.408,469.962,-847.196,1221.346,333.345,-1453.898,278.067,167.926,-967.964,377.589,-16.25,-1421.25,892.605,454.451,-848.705,909.774,240.016,-1156.2,1030.66,-1.166,-0.74,12.706,58.959,1.408,9.339,5.088,-4.963,-10.605,5.088,4.963,10.605,-48.464,-6.657,7.547,-46.944,-13.207,-5.373,-1.212,-0.032,-0.239,0.268,-0.158,1.979,-402.236,-8.485,-1.964,-81.212,-15.989,16.28
8.46,145.702,-1043.534,220.277,385.207,-1634.024,230.273,240.083,-995.075,859.8,-90.181,-1129.363,1111.472,457.922,-804.317,1235.271,339.274,-1430.419,279.611,165.8,-907.344,376.976,-12.382,-1395.147,903.97,443.278,-801.771,922.827,239.7,-1116.52,1037.16,-3.468,-1.488,12.259,58.068,1.58,9.465,5.021,-6.187,-12.236,5.021,6.187,12.236,-47.961,-6.945,8.168,-47.884,-12.646,-6.123,-1.444,-0.118,-0.172,0.457,-0.121,1.914,-511.839,-38.126,-2.838,-64.635,-30.071,22.316
8.47,144.305,-968.015,203.782,389.425,-1613.345,251.419,240.061,-952.287,865.578,-93.007,-1101.686,1119.1,446.45,-763.012,1248.015,343.998,-1407.044,284.596,163.767,-849.689,375.507,-8.659,-1366.914,913.458,433.079,-757.328,933.978,239.273,-1076.84,1042.83,-5.213,-2.008,11.585,56.949,1.557,9.814,4.914,-7.135,-13.689,4.914,7.135,13.689,-47.341,-7.398,8.635,-48.796,-12.32,-6.762,-1.663,-0.218,-0.047,0.639,-0.086,1.842,-624.397,-78.374,-2.705,-40.059,-39.243,26.442
8.48,142.758,-895.647,189.213,392.779,-1590.469,274.273,240.548,-909.901,870.324,-95.582,-1072.289,1125.017,435.873,-723.212,1259.095,347.554,-1383.043,292.789,161.968,-795.208,373.174,-5.285,-1336.387,920.763,424.138,-715.292,942.916,238.739,-1037.18,1047.53,-6.365,-2.311,10.836,55.734,1.374,10.341,4.747,-7.818,-14.906,4.747,7.818,14.906,-46.635,-7.98,8.884,-49.632,-12.216,-7.227,-1.847,-0.324,0.125,0.807,-0.057,1.776,-731.084,-128.285,-2.035,-4.004,-43.086,28.581
8.49,141.27,-827.536,176.535,395.152,-1565.057,298.565,241.336,-867.991,873.92,-97.992,-1041.06,1129.018,426.512,-684.78,1268.104,350.129,-1357.597,303.515,160.575,-744.107,370.019,-2.465,-1303.432,925.612,416.699,-675.585,949.434,238.114,-997.578,1051.13,-6.927,-2.415,10.166,54.527,1.077,10.982,4.524,-8.261,-15.842,4.524,8.261,15.842,-45.91,-8.616,8.898,-50.391,-12.269,-7.531,-1.98,-0.429,0.326,0.953,-0.038,1.726,-822.237,-183.441,-1.519,44.784,-43.113,28.767
8.5,140.073,-764.681,165.576,396.521,-1536.674,323.9,242.175,-826.568,876.316,-100.306,-1007.844,1130.944,418.665,-647.529,1274.644,352.019,-1329.939,315.746,159.766,-696.598,366.101,-0.389,-1267.952,927.848,411.053,-638.181,953.323,237.426,-958.03,1053.58,-6.936,-2.359,9.69,53.393,0.726,11.654,4.272,-8.504,-16.465,4.272,8.504,16.465,-45.254,-9.207,8.707,-51.026,-12.399,-7.729,-2.055,-0.521,0.533,1.071,-0.037,1.699,-890.359,-236.53,-1.824,105.86,-40.939,26.923
8.51,139.38,-707.89,156.057,396.932,-1504.853,349.742,242.802,-785.593,877.515,-102.558,-972.504,1130.737,412.559,-611.233,1278.427,353.471,-1299.462,328.452,159.706,-652.871,361.451,0.759,-1229.915,927.372,407.474,-603.046,954.487,236.703,-918.539,1054.81,-6.452,-2.197,9.456,52.352,0.394,12.272,4.028,-8.588,-16.761,4.028,8.588,16.761,-44.749,-9.658,8.365,-51.523,-12.527,-7.899,-2.077,-0.59,0.724,1.154,-0.054,1.696,-931.765,-279.886,-3.24,176.08,-37.179,23.098
8.52,139.345,-657.703,147.651,396.486,-1469.175,375.437,242.973,-745.003,877.563,-104.76,-934.874,1128.393,408.357,-575.656,1279.269,354.675,-1265.714,340.686,160.503,-613.019,356.074,0.838,-1189.345,924.226,406.216,-570.113,952.924,235.972,-879.107,1054.81,-5.563,-1.989,9.442,51.38,0.159,12.771,3.842,-8.551,-16.728,3.842,8.551,16.728,-44.462,-9.897,7.934,-51.852,-12.611,-8.109,-2.057,-0.63,0.88,1.195,-0.091,1.711,-946.456,-307.486,-5.562,249.926,-31.902,17.636
