Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
28.53,398.318,313.753,767.832,270.046,-272.192,104.392,301.397,-235.647,795.366,619.033,-310.207,1099.795,-55.092,139.095,1004.193,271.039,-302.641,323.004,386.639,221.038,561.876,656.486,-150.985,853.224,36.628,387.336,975.915,310.92,-107.792,992.121,44.457,4.583,4.556,-0.004,-9.717,-14.006,-8.049,7.125,12.012,-8.049,-7.125,-12.012,-46.39,-10.384,-16.326,-37.599,6.395,7.439,0.213,-0.327,0.82,-1.78,0.091,1.317,613.745,31.425,-15.712,-509.174,-62.879,4.748
28.54,402.69,228.17,763.833,274.078,-283.709,99.009,299.266,-285.151,789.739,635.819,-336.751,1071.877,-62.576,59.76,989.149,277.736,-328.319,313.873,390.375,136.261,556.837,666.928,-153.213,840.982,22.827,306.722,942.079,311.455,-159.756,984.29,43.596,5.725,4.097,3.836,-11.061,-12.156,-8.013,7.33,10.533,-8.013,-7.33,-10.533,-45.484,-9.918,-16.791,-38.426,7.786,5.2,0.143,-0.321,0.413,-2.265,-0.526,-2.187,674.456,22.415,-6.677,-580.149,361.274,-0.613
28.55,407.459,145.008,755.803,277.637,-292.388,95.721,296.961,-333.849,784.35,651.051,-361.087,1047.448,-69.232,-23.419,975.809,284.02,-350.034,306.782,393.846,49.662,550.104,674.256,-155.244,833.979,8.235,220.546,908.68,311.872,-211.41,977.091,42.6,6.973,3.794,8.443,-12.351,-9.616,-8.102,7.602,8.998,-8.102,-7.602,-8.998,-44.684,-9.492,-17.054,-38.889,8.855,2.938,0.073,-0.329,0.034,2.72,-0.564,-22.787,716.074,1.661,0.811,1080.79,735.998,79.698
28.56,412.277,64.913,744.273,280.489,-298.617,94.285,294.719,-382.02,779.582,664.078,-384.155,1027.675,-74.568,-110.405,965.46,289.459,-368.015,301.79,396.659,-38.614,542.95,678.526,-158.336,832.539,-6.586,128.159,877.108,312.198,-262.766,971.025,41.308,8.229,3.737,13.813,-13.46,-6.536,-8.335,7.89,7.445,-8.335,-7.89,-7.445,-44.131,-9.15,-17.09,-38.907,9.499,1.032,-0.014,-0.352,-0.29,7.084,2.284,-22.555,725.052,-26.882,4.757,2290.97,-995.047,-186.043
28.57,416.874,-11.758,729.628,282.508,-302.876,94.3,292.828,-430.14,775.868,674.447,-406.946,1013.282,-78.128,-200.897,959.585,293.803,-382.875,298.562,398.399,-128.172,536.671,679.988,-163.682,836.648,-20.925,29.19,849.03,312.445,-313.872,966.535,39.479,9.336,4.007,19.852,-14.207,-3.158,-8.712,8.094,5.918,-8.712,-8.094,-5.918,-43.919,-8.917,-16.893,-38.541,9.74,-0.279,-0.127,-0.384,-0.533,8.614,-1.548,-21.111,691.59,-58.539,4.682,2239.04,700.151,50.016
28.58,421.082,-85.029,712.078,283.667,-305.755,95.452,291.591,-478.779,773.604,681.95,-430.296,1004.511,-79.542,-294.237,959.668,296.89,-395.548,296.596,398.68,-218.205,532.379,679.002,-172.259,845.879,-33.964,-76.283,826.273,312.58,-364.81,963.966,36.865,10.092,4.604,26.354,-14.391,0.15,-9.223,8.073,4.458,-9.223,-8.073,-4.458,-44.065,-8.81,-16.476,-37.932,9.646,-0.924,-0.265,-0.414,-0.675,9.619,-1.425,-20.505,611.58,-88.037,1.394,1933.86,433.395,24.44
28.59,424.816,-155.356,691.678,283.977,-307.918,97.673,291.25,-528.458,773.084,686.628,-454.742,1001.17,-78.563,-389.354,966.944,298.537,-407.367,295.401,397.219,-307.473,530.677,675.972,-184.71,859.489,-44.851,-187.612,810.612,312.545,-415.676,963.541,33.328,10.294,5.394,33.011,-13.859,2.929,-9.844,7.668,3.089,-9.844,-7.668,-3.089,-44.494,-8.849,-15.863,-37.216,9.26,-0.917,-0.411,-0.435,-0.709,10.431,-2.203,-19.756,488.8,-110.145,-3.892,2101.85,719.258,49.794
28.6,428.041,-223.611,668.403,283.448,-310.055,101.173,291.914,-579.529,774.439,688.728,-480.58,1002.766,-75.093,-484.803,982.117,298.538,-420.044,294.502,393.94,-394.596,531.391,671.224,-201.345,876.515,-52.83,-303.562,803.535,312.287,-466.568,965.329,28.9,9.795,6.154,39.468,-12.573,4.737,-10.541,6.743,1.808,-10.541,-6.743,-1.808,-45.078,-9.058,-15.1,-36.486,8.587,-0.29,-0.536,-0.446,-0.641,10.55,-2.55,-19.366,336.688,-122.77,-10.1,2007.74,839.572,77.479
28.61,430.741,-290.987,642.234,282.086,-312.852,106.414,293.517,-632.125,777.628,688.633,-507.961,1008.639,-69.201,-578.924,1005.217,296.599,-435.376,293.383,389.062,-478.525,533.521,665.031,-222.137,895.943,-57.373,-422.394,806.055,311.766,-517.569,969.257,23.758,8.543,6.646,45.416,-10.653,5.286,-11.274,5.224,0.586,-11.274,-5.224,-0.586,-45.669,-9.454,-14.274,-35.791,7.636,0.937,-0.613,-0.447,-0.496,9.61,-2.322,-19.662,177.27,-129.535,-16.137,1343.91,703.0,143.904
28.62,432.885,-358.826,613.258,279.918,-316.945,114.013,295.812,-686.145,782.451,686.798,-536.996,1018.01,-61.115,-670.061,1035.598,292.241,-454.774,291.41,383.092,-558.981,535.595,657.618,-246.804,916.829,-58.301,-542.075,818.575,310.954,-568.732,975.107,18.173,6.599,6.683,50.657,-8.335,4.561,-12.003,3.128,-0.621,-12.003,-3.128,0.621,-46.125,-10.01,-13.516,-35.192,6.494,2.693,-0.623,-0.441,-0.313,9.47,-2.382,-19.69,36.553,-137.51,-20.81,1137.57,791.95,153.02
