Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
29.77,125.563,-1598.821,162.313,308.016,-2427.71,724.522,184.278,-1666.046,914.988,-54.206,-1657.213,1165.931,298.809,-1382.723,1205.085,319.612,-2297.078,541.931,148.428,-1580.956,390.045,-31.346,-1861.502,912.219,345.522,-1476.456,880.414,218.146,-1759.72,1121.8,-1.082,-1.698,-8.4,54.978,12.573,3.224,-0.253,-13.478,-3.493,-0.253,13.478,3.493,-40.922,-14.107,-3.781,-43.347,2.214,3.882,-2.334,0.03,1.113,0.476,-0.568,2.783,-1080.75,-69.344,3.136,533.782,99.935,-24.864
29.78,129.203,-1579.94,154.88,304.652,-2344.76,743.129,181.737,-1616.06,911.034,-47.484,-1596.509,1151.878,309.932,-1348.753,1170.886,317.731,-2222.699,553.159,150.673,-1552.571,380.153,-18.129,-1792.749,891.721,364.614,-1465.497,857.945,218.18,-1710.94,1114.12,0.27,-2.905,-10.313,52.431,13.115,2.147,0.828,-13.614,-2.427,0.828,13.614,2.427,-41.33,-12.665,-4.787,-42.07,2.272,3.155,-2.385,0.128,1.085,0.466,-0.48,2.292,-972.936,-25.379,3.285,605.529,111.799,-32.599
29.79,132.739,-1566.606,149.314,302.086,-2259.595,755.307,179.231,-1567.254,906.339,-40.529,-1533.806,1138.567,325.267,-1317.716,1137.271,315.133,-2144.133,559.757,153.216,-1528.719,371.563,-5.707,-1720.918,871.762,387.043,-1456.615,838.151,218.489,-1662.4,1106.1,2.139,-4.55,-11.973,50.154,13.634,1.191,1.565,-14.126,-1.15,1.565,14.126,1.15,-41.618,-10.955,-6.103,-40.773,2.36,2.519,-2.359,0.211,1.017,0.47,-0.386,1.777,-828.949,19.523,3.687,682.997,120.549,-35.775
29.8,135.939,-1557.439,145.694,300.475,-2173.55,761.215,176.669,-1519.722,901.12,-33.279,-1468.996,1126.969,344.48,-1289.596,1105.566,312.237,-2062.254,561.944,155.724,-1508.649,364.699,5.941,-1645.6,853.163,411.9,-1449.509,821.931,219.007,-1614.05,1098.18,4.63,-6.576,-13.135,48.17,14.153,0.385,1.896,-14.976,0.335,1.896,14.976,-0.335,-41.576,-9.243,-7.588,-39.529,2.52,1.982,-2.258,0.274,0.934,0.467,-0.296,1.26,-657.686,60.802,4.432,755.919,125.071,-34.743
29.81,138.54,-1551.311,143.828,299.891,-2087.854,761.248,173.973,-1473.426,895.64,-25.665,-1402.102,1118.1,366.964,-1264.229,1076.996,309.367,-1977.757,560.34,157.951,-1491.795,359.654,16.909,-1566.505,836.874,438.164,-1443.902,810.006,219.64,-1565.86,1090.81,7.845,-8.914,-13.637,46.44,14.696,-0.225,1.787,-16.064,1.994,1.787,16.064,-1.994,-41.108,-7.809,-9.009,-38.405,2.769,1.571,-2.095,0.311,0.866,0.437,-0.214,0.762,-477.188,89.853,5.316,811.925,123.371,-29.97
29.82,140.37,-1547.344,143.293,300.313,-2003.548,755.937,171.114,-1428.089,890.265,-17.654,-1333.323,1112.861,391.851,-1241.329,1052.587,306.702,-1891.146,555.818,159.829,-1477.816,356.196,27.372,-1483.664,823.93,464.767,-1439.426,802.931,220.285,-1517.75,1084.33,11.825,-11.46,-13.441,44.819,15.267,-0.581,1.252,-17.238,3.776,1.252,17.238,-3.776,-40.292,-6.824,-10.149,-37.464,3.101,1.3,-1.887,0.324,0.835,0.363,-0.135,0.304,-312.612,102.643,6.158,838.126,113.455,-22.191
29.83,141.407,-1544.851,143.636,301.624,-1921.427,745.877,168.206,-1383.341,885.342,-9.252,-1263.104,1112.04,418.081,-1220.308,1033.118,304.217,-1802.831,549.456,161.45,-1466.447,353.961,37.579,-1397.402,815.387,490.717,-1435.511,800.995,220.86,-1469.64,1079.01,16.564,-14.045,-12.633,43.104,15.83,-0.614,0.345,-18.302,5.604,0.345,18.302,-5.604,-39.267,-6.318,-10.892,-36.773,3.475,1.181,-1.655,0.314,0.856,0.24,-0.06,-0.09,-181.924,103.952,6.819,824.861,96.145,-12.502
29.84,141.731,-1543.277,144.556,303.648,-1841.981,731.649,165.482,-1338.663,881.2,-0.533,-1192.062,1116.186,444.551,-1200.365,1019.068,301.813,-1713.315,542.387,162.899,-1457.307,352.628,47.837,-1308.418,812.166,515.26,-1431.371,804.184,221.307,-1421.45,1075.05,21.969,-16.441,-11.417,41.096,16.284,-0.319,-0.818,-19.056,7.39,-0.818,19.056,-7.39,-38.227,-6.233,-11.228,-36.372,3.822,1.207,-1.42,0.287,0.934,0.069,0.008,-0.398,-90.023,100.313,7.127,767.684,74.518,-2.047
29.85,141.447,-1542.145,145.96,306.185,-1765.348,713.766,163.277,-1293.525,878.056,8.38,-1120.971,1125.535,470.289,-1180.571,1010.532,299.378,-1623.228,535.693,164.14,-1449.711,351.961,58.403,-1217.78,814.859,537.896,-1426.207,812.21,221.587,-1373.13,1072.57,27.858,-18.376,-10.062,38.641,16.479,0.255,-2.096,-19.32,9.042,-2.096,19.32,-9.042,-37.304,-6.489,-11.198,-36.279,4.055,1.333,-1.198,0.247,1.064,-0.136,0.063,-0.6,-32.999,93.603,6.854,667.97,51.495,8.335
29.86,140.621,-1541.03,147.949,309.046,-1691.283,692.639,161.962,-1247.437,876.041,17.313,-1050.623,1139.945,494.55,-1160.073,1007.22,296.866,-1533.362,530.216,164.984,-1442.556,351.774,69.448,-1126.723,823.674,558.397,-1419.226,824.556,221.68,-1324.62,1071.66,33.965,-19.606,-8.85,35.668,16.245,1.032,-3.332,-18.969,10.477,-3.332,18.969,-10.477,-36.605,-7.005,-10.842,-36.477,4.089,1.513,-1.0,0.197,1.234,-0.348,0.105,-0.686,-3.812,81.183,6.275,535.461,28.486,18.221
