Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.08,88.394,-1520.774,308.717,271.694,-722.524,103.848,180.358,-825.922,790.273,111.931,-733.307,1335.833,434.558,-1127.751,1113.652,240.153,-731.873,307.023,115.508,-1329.24,295.755,192.146,-568.123,1123.229,347.665,-1248.309,879.481,178.956,-986.386,967.241,43.899,1.643,2.998,-9.977,-7.374,12.691,-9.099,14.244,25.733,-9.099,-14.244,-25.733,-47.342,-13.818,-8.273,-42.467,-5.88,2.645,0.584,0.275,0.981,-0.848,0.08,1.076,173.286,16.421,-5.494,-435.434,-71.4,-10.991
4.09,86.753,-1480.827,316.147,268.811,-710.263,98.359,182.275,-790.656,787.904,111.053,-699.735,1320.981,436.778,-1081.977,1103.22,237.19,-709.093,300.522,113.393,-1289.55,300.368,184.081,-541.462,1099.011,350.576,-1197.594,865.838,178.801,-952.952,961.768,42.517,2.357,2.286,-9.408,-7.514,12.334,-8.462,13.262,24.536,-8.462,-13.262,-24.536,-47.535,-13.979,-7.952,-42.924,-4.773,1.471,0.457,0.279,1.029,-0.792,0.044,1.108,164.483,18.094,-9.27,-372.825,-50.745,-8.49
4.1,85.011,-1438.336,322.393,266.202,-700.52,93.956,185.153,-755.776,785.27,108.661,-666.044,1304.421,439.719,-1034.135,1091.744,234.181,-687.564,294.566,111.505,-1247.398,303.909,173.096,-515.536,1072.862,355.323,-1144.506,851.019,178.617,-919.65,955.796,41.17,3.405,1.209,-8.744,-7.835,11.864,-7.654,12.406,23.09,-7.654,-12.406,-23.09,-47.712,-14.088,-7.735,-43.085,-3.675,0.105,0.326,0.28,1.07,-0.781,0.011,1.104,158.27,19.98,-12.173,-309.048,-30.486,-5.449
4.11,83.151,-1393.354,327.401,263.884,-692.842,90.881,189.048,-721.43,782.492,104.672,-632.419,1286.338,443.111,-984.374,1079.591,231.238,-667.464,289.411,109.797,-1202.786,306.463,159.43,-490.743,1045.201,361.598,-1088.959,835.442,178.418,-886.494,949.521,39.885,4.789,-0.114,-7.945,-8.389,11.266,-6.709,11.74,21.409,-6.709,-11.74,-21.409,-47.851,-14.122,-7.67,-42.81,-2.697,-1.358,0.196,0.275,1.098,-0.807,-0.018,1.059,154.412,21.309,-13.867,-243.6,-14.634,-2.609
4.12,81.171,-1345.969,331.113,261.865,-686.869,89.15,193.889,-687.722,779.719,99.034,-599.057,1267.003,446.663,-932.781,1067.224,228.499,-649.128,285.167,108.216,-1155.759,308.097,143.376,-467.492,1016.562,369.002,-1030.84,819.67,178.2,-853.511,943.158,38.653,6.479,-1.554,-6.961,-9.21,10.56,-5.667,11.301,19.513,-5.667,-11.301,-19.513,-47.881,-14.074,-7.763,-42.06,-1.911,-2.802,0.068,0.266,1.112,-0.852,-0.044,0.973,152.784,21.382,-14.24,-180.033,-5.789,-0.415
4.13,79.084,-1296.301,333.464,260.141,-682.302,88.58,199.454,-654.723,777.093,91.695,-566.172,1246.64,450.062,-879.423,1055.233,226.085,-632.967,281.815,106.735,-1106.374,308.924,125.292,-446.223,987.468,377.11,-969.903,804.335,177.946,-820.715,936.91,37.426,8.402,-2.966,-5.735,-10.303,9.802,-4.595,11.101,17.438,-4.595,-11.101,-17.438,-47.787,-13.93,-8.01,-40.922,-1.326,-4.12,-0.053,0.252,1.107,-0.902,-0.069,0.854,153.056,19.71,-13.4,-125.185,-3.626,1.052
4.14,76.915,-1244.515,334.387,258.7,-678.883,88.868,205.392,-622.46,774.709,82.655,-534.007,1225.592,452.987,-824.378,1044.338,224.072,-619.374,279.257,105.348,-1054.774,309.093,105.611,-427.293,958.597,385.395,-905.973,790.224,177.627,-788.125,930.956,36.13,10.434,-4.196,-4.192,-11.631,9.077,-3.58,11.117,15.229,-3.58,-11.117,-15.229,-47.57,-13.693,-8.382,-39.59,-0.912,-5.231,-0.165,0.234,1.083,-0.942,-0.093,0.718,154.645,16.122,-11.636,-85.322,-4.976,1.944
4.15,74.693,-1190.814,333.827,257.525,-676.377,89.688,211.269,-590.899,772.606,71.949,-502.867,1204.253,455.114,-767.795,1035.349,222.461,-608.613,277.389,104.046,-1001.12,308.731,84.793,-410.982,930.672,393.298,-838.922,778.201,177.215,-755.747,925.452,34.683,12.411,-5.097,-2.256,-13.117,8.477,-2.714,11.296,12.94,-2.714,-11.296,-12.94,-47.229,-13.373,-8.841,-38.287,-0.628,-6.089,-0.268,0.21,1.042,-0.963,-0.115,0.583,157.585,10.547,-9.301,-62.44,-5.673,2.501
4.16,72.45,-1135.427,331.738,256.599,-674.57,90.759,216.638,-559.946,770.777,59.693,-473.092,1183.099,456.137,-709.904,1029.109,221.204,-600.704,276.122,102.845,-945.633,308.046,63.391,-397.443,904.431,400.21,-768.804,769.246,176.688,-723.573,920.538,33.022,14.148,-5.555,0.14,-14.651,8.079,-2.073,11.56,10.63,-2.073,-11.56,-10.63,-46.808,-12.997,-9.348,-37.197,-0.443,-6.678,-0.36,0.181,0.984,-0.962,-0.131,0.47,161.399,2.841,-6.634,-53.697,-3.029,2.877
4.17,70.212,-1078.595,328.093,255.905,-673.266,91.893,221.107,-529.448,769.193,46.072,-445.08,1162.69,455.795,-651.083,1026.426,220.239,-595.353,275.376,101.756,-888.585,307.22,41.99,-386.683,880.602,405.515,-695.833,764.262,176.037,-691.57,916.35,31.128,15.476,-5.525,3.032,-16.099,7.932,-1.703,11.819,8.356,-1.703,-11.819,-8.356,-46.349,-12.592,-9.863,-36.417,-0.336,-7.003,-0.441,0.148,0.915,-0.943,-0.136,0.397,165.355,-6.851,-3.864,-53.481,3.402,3.047
