Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.79,124.95,-1414.719,597.642,258.269,-550.518,113.053,234.731,-618.021,871.63,69.263,-446.695,1203.776,616.325,-774.038,1143.5,250.87,-510.802,329.536,140.659,-1255.723,448.774,32.614,-481.415,895.573,627.999,-988.909,936.292,210.369,-754.776,1051.87,45.103,8.35,-7.969,-16.831,0.256,-15.754,4.905,2.595,6.894,4.905,-2.595,-6.894,-44.43,-6.755,-4.901,-42.258,4.883,4.699,0.742,0.014,2.63,-2.469,-0.279,1.173,457.002,57.671,23.768,-1092.36,178.225,-6.515
4.8,125.313,-1336.26,623.213,253.682,-532.387,109.262,237.587,-570.521,868.62,61.49,-404.033,1196.222,620.03,-715.471,1133.337,245.617,-484.936,321.992,136.929,-1190.096,460.376,24.739,-442.962,888.872,635.243,-925.567,921.742,209.844,-707.469,1046.84,43.498,9.221,-7.818,-14.97,-0.475,-16.89,5.413,2.757,5.428,5.413,-2.757,-5.428,-43.689,-6.078,-5.094,-43.517,6.161,4.077,0.522,0.024,2.365,-2.332,-0.289,0.975,515.116,84.121,6.085,-940.405,165.234,-3.355
4.81,124.495,-1253.553,643.77,249.668,-519.415,106.812,240.106,-523.594,865.388,52.572,-362.265,1187.679,622.977,-654.456,1122.411,240.29,-462.912,315.326,133.14,-1119.057,469.782,16.148,-406.078,881.188,641.811,-859.246,905.718,209.158,-660.262,1041.24,41.778,10.178,-7.599,-12.733,-1.708,-18.0,6.011,3.297,4.024,6.011,-3.297,-4.024,-42.628,-5.56,-5.545,-44.415,7.484,3.22,0.328,0.019,2.006,-1.146,-0.96,-1.878,576.347,108.668,-10.763,-147.635,347.142,-63.941
4.82,122.445,-1167.9,658.887,246.309,-510.506,105.643,242.151,-477.349,861.877,42.777,-321.419,1178.442,624.889,-591.2,1111.313,235.229,-444.363,309.875,129.601,-1042.925,476.599,7.005,-370.835,872.831,647.314,-789.994,888.776,208.364,-613.148,1035.3,40.015,11.168,-7.396,-10.007,-3.365,-18.98,6.599,4.161,2.705,6.599,-4.161,-2.705,-41.312,-5.143,-6.221,-44.697,8.64,2.275,0.18,0.003,1.574,0.791,-1.261,-11.745,639.738,127.485,-23.662,849.648,79.476,-70.508
4.83,119.191,-1080.673,668.427,243.645,-504.645,105.528,243.614,-431.831,858.037,32.388,-281.516,1168.803,625.531,-525.998,1100.624,230.662,-428.894,305.726,126.448,-962.31,480.617,-2.467,-337.284,864.193,651.407,-717.958,871.601,207.531,-566.112,1029.3,38.263,12.123,-7.271,-6.672,-5.308,-19.684,7.078,5.231,1.479,7.078,-5.231,-1.479,-39.861,-4.72,-7.047,-44.31,9.499,1.432,0.081,-0.017,1.101,2.473,-1.095,-11.794,701.522,137.518,-30.971,1451.52,-59.004,-34.909
4.84,114.85,-993.207,672.527,241.647,-500.931,106.151,244.407,-387.014,853.854,21.689,-242.575,1159.094,624.725,-459.195,1090.85,226.64,-416.176,302.731,123.756,-877.89,482.038,-12.008,-305.392,855.681,653.794,-643.401,854.886,206.732,-519.138,1023.48,36.525,12.955,-7.238,-2.609,-7.331,-19.937,7.347,6.349,0.341,7.347,-6.349,-0.341,-38.476,-4.204,-7.947,-43.408,10.02,0.824,0.023,-0.038,0.624,3.775,-1.91,-10.488,753.628,136.401,-32.326,1574.21,312.473,12.235
4.85,109.629,-906.687,671.537,240.219,-498.622,107.235,244.472,-342.774,849.4,10.969,-204.607,1149.719,622.365,-391.106,1082.387,223.104,-405.922,300.649,121.562,-790.387,481.416,-21.312,-275.029,847.741,654.266,-566.692,839.363,206.035,-472.221,1018.14,34.744,13.563,-7.266,2.251,-9.18,-19.583,7.341,7.33,-0.718,7.341,-7.33,0.718,-37.309,-3.564,-8.812,-42.245,10.239,0.498,-0.012,-0.063,0.18,6.61,-2.206,-10.775,786.221,122.283,-28.501,2437.03,367.279,-40.499
4.86,103.805,-822.044,665.933,239.248,-497.131,108.617,243.793,-298.907,844.858,0.515,-167.575,1141.061,618.388,-322.068,1075.561,220.011,-397.734,299.259,119.892,-700.55,479.585,-30.084,-245.897,840.797,652.714,-488.317,825.707,205.505,-425.349,1013.54,32.828,13.832,-7.306,7.888,-10.586,-18.572,7.042,7.996,-1.708,7.042,-7.996,1.708,-36.453,-2.843,-9.528,-41.058,10.221,0.428,-0.047,-0.098,-0.198,8.603,-2.825,-12.582,789.419,94.903,-21.242,2716.21,530.257,-47.396
4.87,97.687,-739.868,656.22,238.65,-496.003,110.283,242.414,-255.133,840.518,-9.449,-131.411,1133.546,612.8,-252.435,1070.595,217.398,-390.969,298.383,118.782,-609.178,477.524,-38.058,-217.575,835.188,649.124,-408.874,814.443,205.194,-378.501,1009.91,30.684,13.656,-7.324,14.163,-11.319,-17.006,6.491,8.2,-2.653,6.491,-8.2,2.653,-35.933,-2.144,-10.005,-40.01,10.023,0.551,-0.099,-0.148,-0.481,10.821,-3.061,-14.547,755.664,56.177,-13.035,3136.83,500.996,-54.943
4.88,91.584,-660.349,642.841,238.405,-494.87,112.35,240.451,-211.138,836.725,-18.769,-95.97,1127.474,605.653,-182.596,1067.666,215.374,-384.731,297.861,118.283,-517.153,476.181,-45.054,-189.606,831.166,643.584,-329.05,805.996,205.14,-331.632,1007.48,28.251,12.97,-7.33,20.831,-11.249,-15.128,5.769,7.845,-3.588,5.769,-7.845,3.588,-35.73,-1.6,-10.202,-39.191,9.679,0.812,-0.172,-0.215,-0.65,12.557,-3.141,-16.456,683.291,9.83,-6.458,3298.93,421.768,-57.345
4.89,85.781,-583.255,626.132,238.559,-493.397,115.036,238.081,-166.586,833.827,-27.373,-61.074,1123.067,597.042,-112.918,1066.882,214.092,-377.951,297.52,118.463,-425.437,476.284,-51.012,-161.562,828.83,636.251,-249.534,800.543,205.36,-284.685,1006.35,25.496,11.775,-7.377,27.591,-10.399,-13.232,4.979,6.91,-4.555,4.979,-6.91,4.555,-35.809,-1.324,-10.143,-38.615,9.208,1.181,-0.259,-0.294,-0.696,13.78,-2.954,-17.743,578.111,-39.682,-3.247,3304.09,302.365,-55.057
4.9,80.531,-507.975,606.326,239.223,-491.241,118.619,235.512,-121.148,832.127,-35.225,-26.488,1120.374,587.113,-43.785,1068.259,213.751,-369.49,297.149,119.368,-335.025,478.12,-55.947,-133.079,828.2,627.363,-171.008,798.145,205.848,-237.599,1006.58,22.41,10.142,-7.549,34.151,-8.933,-11.57,4.225,5.452,-5.598,4.225,-5.452,5.598,-36.112,-1.364,-9.903,-38.254,8.62,1.651,-0.337,-0.373,-0.627,14.084,-2.893,-17.539,452.673,-87.331,-3.754,3199.57,317.006,-17.805
4.91,76.045,-433.603,583.601,240.54,-488.018,123.396,232.929,-74.523,831.853,-42.315,8.021,1119.358,576.069,24.383,1071.759,214.617,-358.263,296.457,120.996,-246.785,481.4,-59.936,-103.959,829.16,617.231,-94.088,798.679,206.581,-190.308,1008.14,18.991,8.187,-7.926,40.27,-7.095,-10.279,3.596,3.577,-6.748,3.596,-3.577,6.748,-36.552,-1.697,-9.575,-38.049,7.948,2.233,-0.378,-0.44,-0.469,13.842,-2.624,-17.596,323.516,-128.706,-6.998,2870.47,288.606,24.198
4.92,72.498,-359.067,558.147,242.658,-483.31,129.637,230.469,-26.497,833.125,-48.661,42.657,1119.884,564.151,91.235,1077.249,217.02,-343.416,295.054,123.264,-161.216,485.29,-63.066,-74.075,831.53,606.248,-19.239,801.887,207.525,-142.751,1010.93,15.252,6.038,-8.553,45.767,-5.133,-9.376,3.157,1.419,-8.02,3.157,-1.419,8.02,-37.009,-2.248,-9.236,-37.961,7.267,2.932,-0.361,-0.482,-0.267,13.451,-2.154,-17.793,207.311,-161.865,-11.231,2542.49,216.411,60.867
4.93,70.026,-283.269,530.234,245.701,-476.681,137.571,228.214,23.008,835.931,-54.3,77.569,1121.778,551.619,156.486,1084.551,221.319,-324.516,292.479,126.015,-78.263,488.693,-65.41,-43.404,835.078,594.873,53.221,807.417,208.638,-94.871,1014.75,11.235,3.818,-9.41,50.526,-3.24,-8.792,2.937,-0.889,-9.41,2.937,0.889,9.41,-37.369,-2.912,-8.924,-38.002,6.689,3.719,-0.28,-0.494,-0.073,12.404,-1.638,-17.271,116.549,-186.856,-14.734,2142.39,185.881,102.929
4.94,68.734,-205.225,500.248,249.739,-467.721,147.365,226.207,73.894,840.097,-59.295,112.854,1124.855,538.746,219.968,1093.388,227.825,-301.712,288.327,129.053,2.641,490.639,-67.013,-11.934,839.577,583.58,123.137,814.831,209.886,-46.643,1019.41,7.017,1.634,-10.419,54.492,-1.537,-8.431,2.931,-3.234,-10.9,2.931,3.234,10.9,-37.557,-3.581,-8.654,-38.26,6.363,4.521,-0.154,-0.477,0.065,10.461,-1.071,-15.446,56.493,-203.77,-16.339,1657.65,168.075,114.493
4.95,68.7,-124.178,468.692,254.756,-456.104,159.142,224.484,125.888,845.279,-63.72,148.55,1128.89,525.802,281.635,1103.437,236.664,-275.81,282.508,132.197,82.298,490.583,-67.938,20.359,844.749,572.802,190.548,823.626,211.238,1.933,1024.66,2.716,-0.419,-11.469,57.668,-0.084,-8.207,3.092,-5.533,-12.451,3.092,5.533,12.451,-37.56,-4.165,-8.421,-38.861,6.424,5.206,-0.021,-0.437,0.112,8.091,-0.562,-12.98,24.189,-212.188,-15.706,1092.06,177.029,102.882
4.96,69.975,-39.682,436.147,260.623,-441.641,172.995,223.073,178.574,850.986,-67.652,184.684,1133.638,513.062,341.503,1114.318,247.525,-248.133,275.571,135.332,161.354,488.482,-68.262,53.504,850.385,562.905,255.628,833.254,212.666,50.816,1030.23,-1.511,-2.256,-12.441,60.117,1.097,-8.081,3.347,-7.73,-14.011,3.347,7.73,14.011,-37.424,-4.618,-8.198,-39.873,6.922,5.621,0.068,-0.384,0.061,5.718,-0.142,-10.045,9.291,-211.906,-13.233,546.011,175.435,76.038
4.97,72.575,48.358,403.213,267.084,-424.31,189.017,221.996,231.509,856.684,-71.165,221.244,1138.874,500.797,399.668,1125.539,259.479,-220.108,268.913,138.415,240.036,484.613,-68.094,87.547,856.22,554.14,318.616,843.171,214.133,99.954,1035.84,-5.496,-3.797,-13.236,61.92,2.004,-8.051,3.61,-9.772,-15.522,3.61,9.772,15.522,-37.22,-4.952,-7.942,-41.22,7.739,5.663,0.065,-0.326,-0.069,3.841,0.239,-6.593,-3.976,-203.515,-9.604,254.523,99.843,52.437
4.98,76.474,139.692,370.462,273.764,-404.238,207.314,221.234,284.265,861.861,-74.332,258.228,1144.305,489.272,456.25,1136.615,271.107,-192.657,264.548,141.451,318.096,479.293,-67.564,122.536,862.055,546.611,379.755,852.827,215.582,149.291,1041.2,-9.063,-4.973,-13.781,63.178,2.656,-8.142,3.782,-11.602,-16.931,3.782,11.602,16.931,-37.023,-5.22,-7.604,-42.682,8.615,5.373,-0.064,-0.268,-0.237,2.252,0.439,-3.008,-34.174,-187.535,-5.494,62.178,20.294,38.209
4.99,81.597,233.751,338.416,280.203,-381.623,227.992,220.722,336.548,866.156,-77.225,295.654,1149.653,478.774,511.354,1146.986,280.983,-165.856,264.391,144.442,394.998,472.663,-66.864,158.473,867.66,540.365,439.176,861.684,216.954,198.769,1046.07,-12.083,-5.736,-14.032,63.955,3.097,-8.36,3.803,-13.153,-18.179,3.803,13.153,18.179,-36.88,-5.498,-7.14,-44.014,9.264,4.931,-0.329,-0.212,-0.389,1.24,0.505,-0.241,-98.672,-163.66,-1.274,-31.772,-38.12,30.164
5.0,87.814,329.671,307.554,285.938,-356.625,251.106,220.354,388.162,869.366,-79.916,333.568,1154.623,469.593,565.103,1156.088,288.215,-139.095,269.529,147.395,470.156,464.631,-66.156,195.363,872.882,535.409,496.92,869.275,218.195,248.323,1050.23,-14.471,-6.063,-13.981,64.298,3.395,-8.669,3.635,-14.36,-19.201,3.635,14.36,19.201,-36.799,-5.875,-6.53,-45.093,9.502,4.542,-0.715,-0.157,-0.47,0.587,0.601,1.589,-209.262,-130.615,3.004,-128.584,-117.315,11.956
5.01,94.951,426.304,278.318,290.59,-329.236,276.597,220.018,439.068,871.475,-82.464,372.019,1158.986,462.0,617.629,1163.437,292.699,-111.504,279.907,150.327,543.159,454.985,-65.54,233.202,877.509,531.772,552.891,875.239,219.272,297.882,1053.53,-16.215,-5.961,-13.667,64.205,3.63,-8.972,3.289,-15.166,-19.935,3.289,15.166,19.935,-36.731,-6.442,-5.77,-45.901,9.302,4.332,-1.181,-0.097,-0.432,0.509,0.65,2.198,-369.157,-86.859,7.218,-139.905,-166.602,10.417
5.02,102.791,522.226,251.106,293.933,-299.199,304.241,219.613,489.365,872.623,-84.911,411.093,1162.523,456.275,669.028,1168.61,294.999,-82.235,294.523,153.282,613.842,443.633,-65.08,271.974,881.392,529.538,606.915,879.282,220.167,347.368,1055.89,-17.38,-5.474,-13.191,63.642,3.885,-9.142,2.831,-15.524,-20.351,2.831,15.524,20.351,-36.593,-7.286,-4.895,-46.469,8.767,4.308,-1.666,-0.033,-0.249,0.746,0.646,2.141,-571.153,-32.57,11.331,-83.408,-190.326,8.658
5.03,111.091,615.779,226.246,295.916,-266.013,333.635,219.055,539.278,873.057,-87.264,450.906,1165.084,452.587,719.414,1171.315,295.996,-50.52,311.879,156.309,682.209,430.796,-64.778,311.72,884.348,528.814,658.768,881.25,220.88,396.717,1057.28,-18.075,-4.68,-12.71,62.558,4.224,-9.072,2.371,-15.417,-20.451,2.371,15.417,20.451,-36.299,-8.452,-3.986,-46.832,8.07,4.404,-2.105,0.034,0.076,0.968,0.607,2.11,-797.259,27.543,15.575,-5.378,-200.266,4.404
5.04,119.605,705.149,203.951,296.649,-229.02,364.224,218.31,589.054,872.982,-89.508,491.597,1166.556,451.025,768.85,1171.391,296.473,-15.669,330.481,159.394,748.219,417.071,-64.615,352.494,886.231,529.713,708.231,881.099,221.435,445.883,1057.65,-18.417,-3.676,-12.415,60.936,4.672,-8.73,2.02,-14.861,-20.267,2.02,14.861,20.267,-35.8,-9.905,-3.145,-47.041,7.391,4.535,-2.441,0.1,0.508,1.157,0.537,2.109,-1020.79,84.377,20.133,83.269,-196.023,-1.414
5.05,128.106,788.496,184.253,296.357,-187.521,395.336,217.366,638.923,872.55,-91.616,533.342,1166.849,451.566,817.361,1168.805,296.89,22.922,349.101,162.397,811.579,403.234,-64.544,394.458,886.891,532.316,755.117,878.9,221.877,494.861,1056.99,-18.501,-2.589,-12.499,58.809,5.221,-8.196,1.881,-13.929,-19.843,1.881,13.929,19.843,-35.125,-11.505,-2.464,-47.157,6.868,4.63,-2.64,0.163,0.988,1.297,0.451,2.137,-1212.43,129.214,24.456,170.77,-179.003,-6.895
5.06,136.413,864.151,166.97,295.329,-140.906,426.212,216.229,689.016,871.791,-93.546,576.321,1165.888,454.096,864.927,1163.647,297.395,65.731,366.8,165.114,871.639,389.914,-64.53,437.761,886.186,536.613,799.326,874.813,222.274,543.695,1055.27,-18.378,-1.547,-13.107,56.286,5.835,-7.634,2.007,-12.736,-19.221,2.007,12.736,19.221,-34.391,-13.03,-1.984,-47.24,6.573,4.646,-2.702,0.222,1.446,1.374,0.366,2.183,-1348.96,158.907,26.802,248.834,-151.964,-10.191
5.07,144.397,930.822,151.737,293.873,-88.761,456.033,214.892,739.349,870.63,-95.266,620.692,1163.629,458.429,911.462,1156.111,297.994,113.054,382.831,167.453,927.532,377.314,-64.549,482.629,884.001,542.518,840.817,869.049,222.693,592.469,1052.42,-18.063,-0.677,-14.289,53.529,6.485,-7.231,2.404,-11.431,-18.428,2.404,11.431,18.428,-33.773,-14.234,-1.683,-47.297,6.517,4.56,-2.653,0.279,1.823,1.382,0.295,2.23,-1419.88,176.325,25.148,314.615,-117.83,-10.457
5.08,151.977,987.779,138.116,292.295,-30.949,483.959,213.332,789.787,868.887,-96.746,666.627,1160.017,464.359,956.831,1146.527,298.696,164.977,396.608,169.598,978.441,365.241,-64.608,529.291,880.256,549.862,879.632,861.893,223.196,641.282,1048.42,-17.531,-0.084,-15.978,50.74,7.155,-7.123,3.024,-10.177,-17.476,3.024,10.177,17.476,-33.465,-14.925,-1.529,-47.287,6.669,4.367,-2.532,0.336,2.083,1.32,0.245,2.257,-1427.76,187.071,18.72,369.762,-78.984,-8.108
5.09,159.098,1034.951,125.772,290.897,32.367,509.18,211.473,840.097,866.378,-97.969,714.257,1155.028,471.65,1000.881,1135.255,299.561,221.423,407.735,171.971,1023.981,353.39,-64.709,577.946,874.873,558.369,915.831,853.582,223.83,690.21,1043.27,-16.743,0.146,-18.009,48.113,7.862,-7.355,3.796,-9.138,-16.358,3.796,9.138,16.358,-33.6,-14.977,-1.523,-47.152,6.982,4.073,-2.379,0.391,2.212,1.195,0.212,2.243,-1383.92,195.914,8.876,417.524,-36.546,-4.558
5.1,165.705,1072.908,114.6,289.982,100.749,530.962,209.227,889.989,862.958,-98.914,763.698,1148.694,480.056,1043.468,1122.715,300.673,282.226,416.008,175.008,1064.345,341.666,-64.883,628.781,867.876,567.725,949.495,844.403,224.619,739.282,1037.05,-15.661,-0.03,-20.156,45.809,8.633,-7.861,4.647,-8.451,-15.057,4.647,8.451,15.057,-34.233,-14.344,-1.73,-46.846,7.4,3.691,-2.221,0.44,2.216,1.02,0.186,2.169,-1301.26,204.684,-1.152,460.453,9.794,-1.695
5.11,171.728,1102.702,104.772,289.857,173.54,548.708,206.501,939.16,858.579,-99.563,815.032,1141.07,489.336,1084.481,1109.298,302.085,347.216,421.402,178.871,1100.203,330.296,-65.159,681.933,859.33,577.551,980.7,834.597,225.571,788.465,1029.89,-14.244,-0.634,-22.201,43.934,9.509,-8.498,5.518,-8.222,-13.547,5.518,8.222,13.547,-35.307,-13.045,-2.272,-46.364,7.871,3.239,-2.073,0.476,2.114,0.813,0.158,2.026,-1188.7,211.615,-7.886,500.101,60.007,-1.008
5.12,177.081,1125.63,96.642,290.822,249.944,561.98,203.251,987.34,853.331,-99.875,868.323,1132.302,499.257,1123.855,1095.362,303.804,416.23,423.995,183.341,1132.42,319.744,-65.488,737.476,849.362,587.409,1009.591,824.453,226.676,837.678,1022.04,-12.451,-1.663,-23.958,42.536,10.527,-9.092,6.366,-8.499,-11.814,6.366,8.499,11.814,-36.608,-11.191,-3.276,-45.724,8.355,2.715,-1.938,0.495,1.928,0.592,0.124,1.814,-1048.58,212.309,-9.839,537.266,111.853,-2.612
5.13,181.668,1142.972,90.557,293.142,329.095,570.521,199.494,1034.33,847.444,-99.779,923.574,1122.619,509.676,1161.518,1081.209,305.781,489.101,423.962,187.939,1161.601,310.495,-65.77,795.381,838.213,596.889,1036.244,814.278,227.915,886.803,1013.81,-10.239,-3.101,-25.294,41.604,11.715,-9.491,7.16,-9.282,-9.864,7.16,9.282,9.864,-37.788,-9.002,-4.745,-44.984,8.821,2.104,-1.811,0.494,1.686,0.375,0.085,1.541,-877.591,202.388,-8.012,571.838,159.663,-5.198
5.14,185.419,1155.806,86.634,296.997,410.107,574.251,195.372,1080.049,841.264,-99.17,980.787,1112.317,520.484,1197.379,1067.068,307.908,565.644,421.625,192.168,1187.852,302.875,-65.819,855.596,826.197,605.555,1060.822,804.372,229.252,935.727,1005.55,-7.555,-4.906,-26.111,41.068,13.071,-9.598,7.871,-10.5,-7.738,7.871,10.5,7.738,-38.449,-6.785,-6.553,-44.238,9.254,1.391,-1.683,0.475,1.416,0.174,0.051,1.226,-675.703,177.687,-4.405,601.721,194.876,-6.945
5.15,188.339,1164.993,84.638,302.437,492.132,573.255,191.159,1124.595,835.215,-97.899,1039.891,1101.793,531.604,1231.322,1053.163,310.044,645.617,417.489,195.703,1210.838,296.954,-65.422,917.94,813.763,613.058,1083.51,795.124,230.646,984.366,997.643,-4.349,-6.996,-26.319,40.768,14.532,-9.394,8.468,-12.023,-5.497,8.468,12.023,5.497,-38.343,-4.8,-8.455,-43.597,9.644,0.602,-1.546,0.438,1.148,-0.006,0.032,0.893,-457.356,138.147,-0.636,622.419,208.588,-6.345
5.16,190.52,1171.271,84.057,309.347,574.406,567.773,187.26,1168.271,829.733,-95.782,1100.752,1091.585,542.896,1263.294,1039.73,312.026,728.678,412.252,198.454,1230.173,292.573,-64.349,982.206,801.423,619.139,1104.541,786.911,232.049,1032.68,990.444,-0.58,-9.233,-25.836,40.456,15.963,-8.945,8.917,-13.663,-3.23,8.917,13.663,3.23,-37.529,-3.182,-10.18,-43.164,9.974,-0.199,-1.395,0.389,0.913,-0.166,0.033,0.569,-254.667,90.966,2.367,628.261,195.098,-2.617
5.17,192.09,1175.337,84.333,317.453,656.306,558.163,184.137,1211.525,825.188,-92.629,1163.229,1082.278,554.153,1293.254,1027.065,313.715,814.32,406.743,200.583,1245.638,289.465,-62.425,1048.144,789.832,623.671,1124.256,780.145,233.424,1080.64,984.246,3.763,-11.421,-24.618,39.838,17.17,-8.358,9.204,-15.209,-1.028,9.204,15.209,1.028,-36.295,-1.955,-11.528,-43.022,10.21,-0.903,-1.236,0.331,0.733,-0.309,0.059,0.281,-99.462,48.522,4.125,614.274,154.512,3.894
5.18,193.163,1177.859,85.064,326.352,737.413,544.858,182.165,1254.844,821.834,-88.265,1227.024,1074.516,565.05,1321.308,1015.561,315.036,901.819,401.805,202.36,1257.381,287.392,-59.521,1115.5,779.697,626.633,1143.047,775.178,234.743,1128.3,979.293,8.64,-13.332,-22.714,38.691,17.935,-7.765,9.327,-16.471,1.037,9.327,16.471,-1.037,-34.998,-1.121,-12.416,-43.196,10.299,-1.388,-1.08,0.266,0.624,-0.441,0.104,0.05,-3.544,19.14,4.492,578.591,93.066,11.767
