Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.79,143.164,-1335.872,692.992,332.759,-465.347,118.056,212.931,-582.815,872.495,36.317,-389.05,1308.06,739.23,-763.118,1142.239,292.448,-443.211,349.875,160.344,-1197.088,500.087,46.91,-355.665,985.096,761.598,-1083.868,1044.98,240.185,-697.554,1084.47,54.215,-1.888,-4.457,2.628,-0.724,-12.402,-8.517,6.544,15.559,-8.517,-6.544,-15.559,-42.745,-4.524,-12.496,-40.133,-5.436,-0.26,0.516,-0.187,1.703,-1.563,-0.003,1.035,494.711,60.742,-10.236,-678.714,-32.947,-11.066
5.8,138.987,-1259.123,704.533,330.736,-450.227,111.564,219.064,-537.662,867.589,29.076,-347.318,1277.732,741.988,-688.856,1124.271,289.634,-416.451,340.482,158.958,-1129.169,506.52,28.652,-339.094,952.555,777.153,-1004.181,1014.305,238.834,-651.471,1077.03,53.114,0.425,-5.303,4.603,-2.592,-13.437,-7.016,7.797,13.219,-7.016,-7.797,-13.219,-42.686,-4.535,-12.34,-40.812,-4.286,-1.318,0.359,-0.205,1.44,-1.494,-0.083,0.893,539.757,61.109,-7.892,-577.338,-8.236,-0.239
5.81,134.172,-1181.194,711.228,328.67,-438.285,106.244,226.05,-493.55,862.381,20.223,-307.57,1247.316,743.19,-612.033,1106.93,287.215,-392.062,331.741,157.387,-1058.212,509.43,8.977,-325.189,922.279,791.911,-920.213,983.524,237.479,-605.643,1069.26,51.957,2.881,-5.816,6.941,-4.82,-14.257,-5.657,9.396,10.7,-5.657,-9.396,-10.7,-42.452,-4.489,-12.301,-41.22,-3.094,-2.574,0.225,-0.227,1.132,-1.977,-0.672,-1.989,590.827,54.689,-3.894,-649.693,295.702,-34.978
5.82,128.857,-1102.963,713.2,326.704,-429.05,102.434,233.457,-450.652,856.96,9.922,-269.947,1217.689,742.404,-532.93,1091.116,285.368,-370.319,324.124,155.738,-984.571,509.022,-11.227,-313.629,895.253,805.184,-831.935,953.472,236.228,-560.081,1061.52,50.857,5.279,-6.028,9.75,-7.256,-14.719,-4.594,11.18,8.117,-4.594,-11.18,-8.117,-42.043,-4.399,-12.312,-41.225,-1.943,-3.955,0.118,-0.256,0.801,-0.256,-0.379,-11.668,640.215,41.27,1.12,413.062,152.285,32.145
5.83,123.214,-1025.232,710.663,324.952,-422.119,100.206,240.796,-408.914,851.511,-1.552,-234.531,1189.907,739.142,-451.929,1077.81,284.183,-351.508,317.942,154.195,-908.438,505.828,-30.983,-303.834,872.391,816.187,-739.44,925.085,235.159,-514.771,1054.2,49.865,7.429,-6.021,13.108,-9.706,-14.675,-3.91,12.953,5.582,-3.91,-12.953,-5.582,-41.533,-4.297,-12.332,-40.787,-0.886,-5.342,0.032,-0.292,0.469,2.47,-0.609,-18.393,678.919,20.428,6.568,1612.3,-90.979,54.283
5.84,117.432,-948.673,703.891,323.487,-417.119,99.388,247.558,-368.053,846.294,-13.833,-201.328,1165.119,732.952,-369.585,1067.998,283.648,-335.768,313.294,152.941,-829.899,500.584,-49.354,-294.945,854.415,824.095,-642.983,899.331,234.312,-469.679,1047.68,48.94,9.171,-5.889,17.042,-11.944,-14.022,-3.613,14.51,3.195,-3.613,-14.51,-3.195,-41.022,-4.227,-12.315,-39.968,0.042,-6.594,-0.043,-0.333,0.161,3.419,-0.358,-18.181,697.835,-7.816,11.974,1518.03,32.198,58.708
5.85,111.706,-873.774,693.183,322.342,-413.68,99.661,253.29,-327.609,841.627,-26.468,-170.246,1144.381,723.492,-286.59,1062.528,283.64,-323.019,310.09,152.12,-749.09,494.175,-65.589,-285.949,841.739,828.053,-543.075,877.151,233.705,-424.754,1042.31,47.95,10.392,-5.711,21.516,-13.745,-12.739,-3.641,15.675,1.044,-3.641,-15.675,-1.044,-40.631,-4.233,-12.263,-38.93,0.806,-7.591,-0.117,-0.379,-0.101,5.989,-1.69,-17.427,689.665,-41.985,16.8,2272.76,562.6,122.387
5.86,106.226,-800.795,678.845,321.524,-411.414,100.694,257.636,-287.04,837.821,-38.974,-141.06,1128.621,710.626,-203.835,1062.029,283.939,-312.888,308.086,151.802,-666.327,487.53,-79.241,-275.876,834.471,827.265,-440.524,859.405,233.332,-379.935,1038.33,46.717,11.028,-5.536,26.42,-14.919,-10.923,-3.909,16.314,-0.808,-3.909,-16.314,0.808,-40.442,-4.353,-12.161,-37.867,1.354,-8.244,-0.196,-0.427,-0.301,7.407,-1.464,-16.792,650.472,-78.714,20.407,2512.27,461.284,100.709
5.87,101.162,-729.739,661.167,321.036,-409.905,102.249,260.405,-245.806,835.15,-50.885,-113.414,1118.426,694.469,-122.326,1066.826,284.281,-304.682,306.957,152.008,-582.178,481.556,-90.172,-263.882,832.443,821.13,-336.424,846.789,233.182,-335.156,1035.91,45.07,11.067,-5.405,31.577,-15.352,-8.787,-4.321,16.365,-2.329,-4.321,-16.365,2.329,-40.511,-4.609,-12.021,-36.963,1.617,-8.492,-0.28,-0.47,-0.428,8.633,-1.62,-16.086,580.675,-113.399,22.194,2749.63,604.724,159.578
5.88,96.666,-660.355,640.422,320.9,-408.695,104.251,261.588,-203.497,833.811,-61.806,-86.83,1113.993,675.386,-43.055,1076.866,284.454,-297.374,306.343,152.716,-497.49,476.96,-98.476,-249.41,835.247,809.311,-232.112,839.749,233.24,-290.335,1035.14,42.915,10.547,-5.359,36.78,-15.024,-6.619,-4.819,15.825,-3.529,-4.819,-15.825,3.529,-40.837,-4.99,-11.861,-36.332,1.533,-8.302,-0.362,-0.503,-0.479,8.876,-1.645,-15.717,485.333,-141.388,21.656,2508.03,674.068,188.923
5.89,92.861,-592.168,616.862,321.17,-407.286,106.791,261.341,-159.85,833.917,-71.472,-60.768,1115.122,653.912,33.133,1091.701,284.377,-289.687,305.874,153.877,-413.315,474.047,-104.399,-232.193,842.333,791.823,-129.046,838.418,233.486,-245.391,1036.02,40.25,9.549,-5.441,41.829,-14.014,-4.709,-5.383,14.743,-4.458,-5.383,-14.743,4.458,-41.368,-5.453,-11.704,-36.01,1.07,-7.659,-0.43,-0.52,-0.461,9.069,-1.488,-15.45,373.758,-160.016,18.605,2252.35,652.204,207.595
5.9,89.853,-524.531,590.739,321.925,-405.145,110.098,259.942,-114.755,835.514,-79.771,-34.702,1121.228,630.646,105.611,1110.582,284.16,-280.242,305.184,155.438,-330.68,472.583,-108.281,-212.224,853.012,769.065,-28.689,842.625,233.9,-200.251,1038.51,37.14,8.189,-5.663,46.551,-12.474,-3.286,-6.012,13.205,-5.183,-6.012,-13.205,5.183,-41.998,-5.926,-11.585,-35.961,0.262,-6.573,-0.474,-0.516,-0.388,9.147,-1.255,-15.224,258.113,-169.701,13.314,1974.12,593.263,206.362
5.91,87.728,-456.709,562.311,323.257,-401.732,114.483,257.737,-68.189,838.6,-86.748,-8.213,1131.435,606.203,173.995,1132.612,284.058,-267.783,303.902,157.337,-250.306,471.822,-110.474,-189.743,866.551,741.746,67.656,851.864,234.46,-154.852,1042.53,33.673,6.602,-5.987,50.806,-10.594,-2.472,-6.707,11.308,-5.773,-6.707,-11.308,5.773,-42.593,-6.329,-11.539,-36.128,-0.786,-5.091,-0.486,-0.492,-0.28,8.994,-1.097,-15.145,150.493,-173.024,6.515,1656.22,575.569,196.737
