Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.76,147.938,-3562.831,652.957,324.335,-2794.078,186.204,242.416,-2850.13,902.055,102.873,-2651.481,1277.176,561.026,-3049.79,1153.107,285.146,-2786.319,383.141,129.096,-3407.653,490.166,-4.307,-2756.426,974.141,501.834,-3316.972,1013.95,226.57,-2963.31,1099.87,52.624,5.503,-4.365,-0.394,0.636,-11.232,-4.398,12.023,6.948,-4.398,-12.023,-6.948,-80.493,-3.141,-0.043,-39.046,3.662,1.467,0.382,0.061,2.782,-0.717,-0.154,0.757,261.411,-25.87,-5.902,-428.397,76.572,-5.532
8.77,146.526,-3497.996,667.991,322.449,-2777.877,177.46,244.502,-2809.2,896.751,86.117,-2620.005,1243.026,563.997,-2997.599,1132.209,283.217,-2762.253,373.483,128.048,-3351.269,497.136,-36.639,-2755.207,956.369,506.414,-3263.055,989.169,225.823,-2922.82,1091.67,50.531,6.311,-5.011,1.327,-0.959,-12.322,-3.539,11.982,5.563,-3.539,-11.982,-5.563,-80.597,-2.395,0.035,-39.488,3.626,1.354,0.22,0.015,2.519,-0.87,-0.185,0.771,288.439,-10.903,-17.675,-426.83,85.399,-2.427
8.78,144.729,-3430.546,678.933,320.998,-2764.654,170.197,246.846,-2769.428,890.645,65.577,-2591.433,1209.454,566.781,-2943.184,1111.362,281.644,-2739.608,364.766,127.978,-3290.918,501.544,-70.233,-2756.513,942.759,511.809,-3206.201,962.687,225.027,-2882.45,1082.75,48.785,7.246,-4.851,3.423,-3.003,-13.357,-2.813,12.194,4.065,-2.813,-12.194,-4.065,-80.389,-1.892,-0.102,-39.842,3.652,1.156,0.083,-0.036,2.134,-1.013,-0.199,0.759,322.524,8.067,-26.98,-415.13,80.759,1.257
8.79,142.41,-3361.255,685.556,320.009,-2754.003,164.681,249.249,-2731.052,883.783,41.49,-2565.95,1177.309,569.162,-2886.264,1091.594,280.514,-2718.517,357.23,128.684,-3227.055,503.165,-103.998,-2760.237,933.895,517.91,-3145.67,935.018,224.209,-2842.31,1073.39,47.492,8.221,-3.956,6.001,-5.374,-14.169,-2.254,12.61,2.518,-2.254,-12.61,-2.518,-79.865,-1.656,-0.565,-39.956,3.72,0.837,-0.019,-0.083,1.673,-1.137,-0.191,0.722,369.61,26.616,-31.462,-387.639,65.346,4.324
8.8,139.482,-3290.901,687.844,319.411,-2745.578,160.925,251.512,-2694.077,876.332,14.328,-2543.571,1147.456,570.898,-2826.539,1074.014,279.812,-2699.362,350.972,129.915,-3160.1,502.078,-136.675,-2765.977,930.162,524.557,-3080.552,906.862,223.384,-2802.43,1063.86,46.663,9.148,-2.507,9.158,-7.904,-14.6,-1.862,13.153,0.983,-1.862,-13.153,-0.983,-79.067,-1.647,-1.381,-39.701,3.806,0.395,-0.091,-0.119,1.182,-1.231,-0.162,0.666,428.361,38.648,-30.261,-340.874,46.564,5.991
8.81,135.938,-3220.256,685.943,319.058,-2739.084,158.68,253.426,-2658.307,868.539,-15.212,-2524.12,1120.792,571.759,-2763.823,1059.725,279.425,-2682.725,345.955,131.425,-3090.422,498.651,-166.925,-2772.974,931.719,531.492,-3010.026,879.197,222.553,-2762.77,1054.47,46.201,9.955,-0.753,12.975,-10.398,-14.517,-1.619,13.722,-0.487,-1.619,-13.722,0.487,-78.082,-1.789,-2.482,-39.065,3.909,-0.128,-0.146,-0.142,0.702,-1.285,-0.118,0.604,490.544,38.021,-23.821,-280.077,32.327,6.366
8.82,131.866,-3150.033,680.115,318.795,-2734.254,157.545,254.804,-2623.386,860.732,-46.123,-2507.247,1098.218,571.556,-2698.139,1049.672,279.17,-2669.193,342.074,133.027,-3018.279,493.533,-193.546,-2780.064,938.315,538.403,-2933.417,853.254,221.709,-2723.31,1045.53,45.876,10.581,1.014,17.481,-12.638,-13.85,-1.491,14.206,-1.858,-1.491,-14.206,1.858,-77.049,-2.005,-3.728,-38.182,4.024,-0.651,-0.2,-0.154,0.266,-1.297,-0.071,0.553,541.62,21.88,-13.505,-215.966,25.563,5.943
8.83,127.438,-3080.81,670.683,318.519,-2730.83,157.109,255.516,-2588.912,853.226,-77.211,-2492.39,1080.525,570.138,-2629.826,1044.677,278.874,-2659.091,339.222,134.563,-2943.911,487.552,-215.733,-2785.958,949.334,544.889,-2850.57,830.485,220.849,-2683.99,1037.3,45.402,10.979,2.526,22.665,-14.421,-12.648,-1.473,14.485,-3.123,-1.473,-14.485,3.123,-76.104,-2.225,-4.926,-37.264,4.162,-1.083,-0.268,-0.158,-0.099,-1.273,-0.031,0.532,565.689,-7.343,-1.24,-159.333,24.493,5.001
8.84,122.883,-3012.95,657.995,318.201,-2728.547,157.055,255.484,-2554.467,846.295,-107.165,-2478.814,1068.238,567.41,-2559.481,1045.244,278.426,-2652.304,337.279,135.887,-2867.628,481.622,-233.296,-2789.377,963.902,550.525,-2761.801,812.383,219.982,-2644.74,1030.02,44.529,11.101,3.554,28.434,-15.583,-11.08,-1.556,14.449,-4.285,-1.556,-14.449,4.285,-75.347,-2.422,-5.91,-36.491,4.281,-1.372,-0.36,-0.159,-0.375,-1.225,-0.007,0.555,552.672,-43.137,11.039,-115.739,24.473,3.674
8.85,118.458,-2946.557,642.39,317.866,-2727.13,157.201,254.68,-2519.699,840.125,-134.785,-2465.685,1061.566,563.326,-2487.996,1051.572,277.764,-2648.222,336.08,136.866,-2789.829,476.686,-246.555,-2789.366,981.1,554.929,-2668.028,800.329,219.129,-2605.44,1023.9,43.122,10.891,3.942,34.625,-16.032,-9.412,-1.767,14.004,-5.361,-1.767,-14.004,5.361,-74.887,-2.585,-6.529,-35.956,4.352,-1.48,-0.472,-0.159,-0.547,-1.164,0.0,0.632,501.435,-76.277,21.313,-85.657,22.008,2.122
8.86,114.399,-2881.471,624.186,317.56,-2726.287,157.511,253.101,-2484.333,834.8,-159.157,-2452.209,1060.336,557.876,-2416.36,1063.564,276.907,-2645.918,335.437,137.392,-2711.166,473.472,-256.181,-2785.456,1000.214,557.781,-2570.727,795.375,218.311,-2565.98,1019.13,41.188,10.291,3.614,41.032,-15.771,-7.955,-2.139,13.09,-6.38,-2.139,-13.09,6.38,-74.79,-2.725,-6.717,-35.687,4.331,-1.398,-0.59,-0.156,-0.615,-1.103,-0.005,0.763,418.948,-98.099,27.859,-68.066,17.339,0.422
8.87,110.895,-2817.311,603.674,317.34,-2725.712,158.076,250.733,-2448.131,830.379,-179.78,-2437.775,1064.101,551.088,-2345.691,1080.754,275.956,-2644.197,335.148,137.467,-2632.519,472.415,-262.844,-2777.587,1020.678,558.893,-2471.678,798.019,217.539,-2526.26,1015.87,38.794,9.263,2.602,47.412,-14.888,-6.954,-2.669,11.682,-7.367,-2.669,-11.682,7.367,-75.102,-2.863,-6.452,-35.599,4.185,-1.135,-0.693,-0.151,-0.587,-1.046,-0.013,0.944,317.002,-104.214,30.053,-61.0,13.402,-1.511
8.88,108.062,-2753.533,581.124,317.269,-2725.078,159.11,247.592,-2410.937,826.905,-196.535,-2421.993,1072.168,543.033,-2277.008,1102.448,275.089,-2641.755,335.066,137.198,-2554.835,473.442,-267.051,-2766.01,1042.086,558.16,-2372.792,808.196,216.812,-2486.21,1014.2,36.033,7.807,1.053,53.556,-13.539,-6.539,-3.355,9.8,-8.353,-3.355,-9.8,8.353,-75.752,-3.016,-5.834,-35.617,3.899,-0.665,-0.758,-0.141,-0.484,-0.995,-0.016,1.163,208.484,-95.294,28.162,-62.304,12.413,-3.732
8.89,105.934,-2689.515,556.798,317.419,-2724.028,160.929,243.704,-2372.576,824.495,-209.634,-2404.714,1083.748,533.815,-2211.152,1127.625,274.497,-2637.252,335.049,136.784,-2478.955,476.049,-269.007,-2751.168,1064.042,555.553,-2275.928,825.234,216.129,-2445.81,1014.12,32.954,5.962,-0.779,59.262,-11.903,-6.696,-4.128,7.493,-9.349,-4.128,-7.493,9.349,-76.612,-3.184,-4.98,-35.62,3.455,0.042,-0.767,-0.124,-0.337,-0.944,-0.009,1.404,104.006,-76.931,22.847,-71.243,13.871,-6.077
8.9,104.464,-2624.622,530.968,317.863,-2722.167,163.939,239.126,-2332.889,823.302,-219.487,-2385.991,1097.974,523.577,-2148.719,1155.193,274.364,-2629.365,334.931,136.391,-2405.349,479.302,-268.741,-2733.531,1086.136,551.068,-2182.622,847.922,215.486,-2405.05,1015.6,29.568,3.806,-2.591,64.357,-10.131,-7.272,-4.896,4.847,-10.348,-4.896,-4.847,10.348,-77.459,-3.364,-4.059,-35.55,2.839,1.052,-0.719,-0.098,-0.185,-0.886,0.007,1.649,12.59,-56.79,15.098,-87.621,15.474,-8.071
8.91,103.536,-2558.281,503.935,318.665,-2719.074,168.593,233.976,-2291.815,823.451,-226.627,-2365.997,1113.951,512.497,-2090.0,1183.936,274.898,-2616.895,334.378,136.047,-2334.003,482.142,-266.207,-2713.572,1108.007,544.783,-2094.065,874.726,214.883,-2363.96,1018.51,25.88,1.458,-4.1,68.707,-8.336,-8.042,-5.55,1.975,-11.326,-5.55,-1.975,11.326,-78.056,-3.544,-3.247,-35.375,2.061,2.415,-0.625,-0.061,-0.062,-0.813,0.028,1.878,-58.203,-40.066,6.25,-110.05,14.799,-8.922
8.92,102.976,-2490.04,476.036,319.859,-2714.326,175.335,228.425,-2249.338,824.98,-231.588,-2344.978,1130.876,500.779,-2034.954,1212.627,276.383,-2599.009,332.784,135.646,-2264.495,483.8,-261.357,-2691.658,1129.21,536.813,-2010.99,903.892,214.32,-2322.56,1022.65,21.907,-0.938,-5.141,72.211,-6.575,-8.758,-6.008,-0.986,-12.254,-6.008,0.986,12.254,-78.259,-3.723,-2.665,-35.093,1.218,4.12,-0.511,-0.015,0.009,-0.717,0.049,2.073,-105.024,-28.358,-2.15,-134.541,11.126,-7.768
8.93,102.581,-2419.599,447.636,321.438,-2707.563,184.535,222.682,-2205.58,827.798,-234.825,-2323.151,1147.995,488.641,-1983.28,1240.15,279.233,-2575.669,329.297,135.026,-2196.293,483.94,-254.216,-2668.097,1149.352,527.339,-1933.857,933.639,213.793,-2280.91,1027.79,17.7,-3.232,-5.673,74.824,-4.869,-9.208,-6.226,-3.898,-13.106,-6.226,3.898,13.106,-78.041,-3.893,-2.38,-34.884,0.508,6.036,-0.409,0.035,0.019,-0.596,0.069,2.217,-129.628,-21.277,-8.579,-154.154,5.569,-4.421
8.94,102.143,-2346.848,419.105,323.343,-2698.541,196.432,216.98,-2160.819,831.649,-236.678,-2300.64,1164.568,476.318,-1934.425,1265.472,283.905,-2548.071,323.166,134.089,-2129.07,482.697,-244.924,-2642.993,1168.005,516.608,-1862.689,962.234,213.285,-2239.04,1033.63,13.366,-5.27,-5.763,76.553,-3.226,-9.244,-6.217,-6.63,-13.866,-6.217,6.63,13.866,-77.521,-4.012,-2.382,-35.012,0.231,7.841,-0.352,0.083,-0.023,-0.449,0.09,2.301,-140.08,-17.203,-12.093,-161.948,-0.091,-0.274
8.95,101.486,-2271.862,390.801,325.455,-2687.172,211.109,211.547,-2115.366,836.181,-237.325,-2277.419,1180.007,464.028,-1887.719,1287.753,290.612,-2518.68,314.507,132.823,-2062.808,480.373,-233.71,-2616.425,1184.753,504.923,-1797.361,988.085,212.756,-2197.0,1039.82,9.044,-6.918,-5.542,77.442,-1.67,-8.795,-6.031,-9.074,-14.537,-6.031,9.074,14.537,-76.847,-4.04,-2.576,-35.832,0.695,9.047,-0.364,0.122,-0.096,-0.278,0.117,2.319,-148.7,-14.119,-12.722,-157.722,-5.192,2.744
8.96,100.483,-2194.917,363.064,327.607,-2673.524,228.519,206.585,-2069.578,840.97,-236.888,-2253.288,1193.684,451.952,-1842.435,1306.354,298.958,-2490.302,304.835,131.297,-1997.819,477.27,-220.971,-2588.297,1199.132,492.643,-1737.559,1009.874,212.15,-2154.84,1046.0,4.894,-8.075,-5.172,77.59,-0.247,-7.87,-5.754,-11.16,-15.13,-5.754,11.16,15.13,-76.135,-3.951,-2.823,-37.3,1.923,9.146,-0.455,0.144,-0.173,-0.09,0.149,2.276,-168.761,-10.323,-11.087,-148.815,-11.315,4.124
8.97,99.069,-2116.478,336.235,329.606,-2657.796,248.543,202.283,-2023.805,845.588,-235.456,-2227.835,1205.073,440.193,-1797.852,1320.835,307.784,-2464.921,296.907,129.604,-1934.59,473.575,-207.233,-2558.445,1210.664,480.135,-1682.857,1026.567,211.404,-2112.58,1051.85,1.092,-8.693,-4.806,77.132,0.972,-6.547,-5.482,-12.855,-15.657,-5.482,12.855,15.657,-75.531,-3.757,-2.973,-38.974,3.619,7.994,-0.625,0.146,-0.222,0.106,0.184,2.183,-211.828,-5.768,-7.778,-142.371,-20.895,4.455
8.98,97.247,-2037.206,310.652,331.253,-2640.255,271.04,198.778,-1978.352,849.687,-233.179,-2200.557,1213.746,428.823,-1753.458,1330.928,315.483,-2442.778,293.49,127.786,-1873.629,469.249,-193.071,-2526.699,1218.938,467.766,-1632.859,1037.476,210.468,-2070.25,1057.07,-2.197,-8.789,-4.574,76.223,1.918,-4.958,-5.285,-14.158,-16.137,-5.285,14.158,16.137,-75.072,-3.543,-2.929,-40.29,5.294,5.989,-0.86,0.129,-0.22,0.301,0.217,2.057,-283.06,-1.575,-3.278,-137.883,-34.079,5.024
8.99,95.076,-1957.947,286.646,332.371,-2621.116,295.859,196.15,-1933.405,853.041,-230.287,-2170.925,1219.402,417.879,-1708.906,1336.518,320.584,-2422.808,296.377,125.799,-1815.255,464.07,-179.144,-2492.875,1223.547,455.896,-1587.247,1042.193,209.312,-2027.86,1061.45,-4.829,-8.453,-4.556,75.008,2.542,-3.255,-5.205,-15.094,-16.581,-5.205,15.094,16.581,-74.745,-3.369,-2.661,-41.106,6.56,3.79,-1.132,0.094,-0.147,0.487,0.241,1.921,-381.284,0.912,1.707,-128.062,-46.286,7.208
9.0,92.658,-1879.72,264.498,332.825,-2600.408,322.815,194.418,-1889.03,855.536,-227.067,-2138.476,1221.94,407.368,-1664.002,1337.588,322.333,-2403.411,305.904,123.596,-1759.515,457.795,-166.047,-2456.823,1224.204,444.862,-1545.808,1040.709,207.941,-1985.39,1064.84,-6.715,-7.812,-4.788,73.612,2.833,-1.576,-5.256,-15.697,-16.984,-5.256,15.697,16.984,-74.542,-3.307,-2.197,-41.56,7.259,1.937,-1.412,0.049,0.001,0.66,0.253,1.795,-501.234,-0.893,6.233,-106.122,-50.454,11.324
