Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.43,102.317,-1924.905,349.431,315.442,-1169.118,101.0,221.795,-1227.115,850.785,49.507,-1054.271,1225.341,529.806,-1370.491,1043.858,297.983,-1135.431,332.186,147.731,-1708.499,333.481,40.794,-1136.194,926.929,494.355,-1577.896,855.935,199.944,-1352.63,1040.68,49.398,4.059,-4.193,2.237,3.658,-2.846,-7.746,8.852,3.362,-7.746,-8.852,-3.362,-38.894,-4.885,-0.264,-35.732,-3.97,8.331,1.029,0.25,1.527,-1.922,-0.288,0.637,445.658,34.739,13.252,-819.489,98.505,-0.695
3.44,102.675,-1866.458,354.841,312.541,-1154.151,97.34,222.11,-1186.287,846.622,45.844,-1016.476,1200.353,530.19,-1312.644,1032.783,294.087,-1113.439,325.445,147.789,-1650.227,335.724,27.604,-1116.552,909.658,498.515,-1517.857,841.765,200.742,-1310.77,1035.09,48.592,3.954,-3.529,4.534,3.808,-2.749,-6.847,8.575,2.512,-6.847,-8.575,-2.512,-38.63,-4.836,-0.688,-36.382,-2.987,7.871,0.801,0.257,1.528,-1.799,-0.316,0.588,447.729,43.121,4.427,-714.288,104.917,3.897
3.45,103.176,-1804.57,357.991,309.563,-1143.202,94.405,222.654,-1145.518,842.69,39.078,-980.965,1173.254,529.916,-1253.217,1021.466,289.879,-1095.306,319.118,147.758,-1588.382,336.914,12.59,-1099.729,892.365,502.338,-1455.199,826.834,201.528,-1269.01,1029.06,47.515,3.909,-3.275,6.991,3.55,-2.57,-5.772,8.649,1.611,-5.772,-8.649,-1.611,-38.216,-4.749,-1.369,-36.896,-1.707,7.153,0.558,0.25,1.495,-1.67,-0.348,0.542,448.764,50.493,-5.062,-595.626,113.687,7.569
3.46,103.753,-1739.501,358.709,306.683,-1135.543,92.37,223.37,-1104.855,839.146,29.179,-948.201,1145.089,528.828,-1192.477,1010.451,285.777,-1080.501,313.689,147.792,-1523.25,337.287,-3.772,-1085.703,875.862,505.3,-1389.918,811.668,202.328,-1227.35,1022.85,46.182,3.93,-3.457,9.625,2.893,-2.258,-4.592,9.064,0.677,-4.592,-9.064,-0.677,-37.65,-4.585,-2.227,-37.101,-0.299,6.267,0.314,0.228,1.429,-1.54,-0.378,0.51,447.424,54.631,-13.649,-465.173,119.942,9.627
3.47,104.342,-1671.562,356.855,304.084,-1130.484,91.242,224.107,-1064.393,836.031,16.396,-918.482,1117.053,526.764,-1130.646,1000.389,282.104,-1068.428,309.427,148.005,-1455.144,337.168,-20.927,-1074.316,860.961,506.891,-1322.056,796.936,203.151,-1185.77,1016.73,44.638,3.997,-4.023,12.483,1.927,-1.762,-3.399,9.73,-0.27,-3.399,-9.73,0.27,-37.025,-4.295,-3.149,-36.878,1.07,5.332,0.079,0.191,1.333,-1.413,-0.399,0.503,441.155,53.368,-20.113,-330.961,118.586,10.046
3.48,104.893,-1601.091,352.347,301.921,-1127.39,90.897,224.666,-1024.152,833.332,1.265,-891.846,1090.51,523.551,-1067.897,992.015,278.992,-1058.529,306.364,148.472,-1384.484,336.803,-38.227,-1065.226,848.493,506.608,-1251.735,783.399,204.002,-1144.25,1010.98,42.906,4.062,-4.881,15.608,0.807,-1.042,-2.29,10.506,-1.202,-2.29,-10.506,1.202,-36.396,-3.866,-4.017,-36.262,2.226,4.477,-0.138,0.142,1.217,-1.294,-0.406,0.53,426.963,44.537,-23.541,-205.561,108.239,9.392
3.49,105.39,-1528.429,345.187,300.292,-1125.688,91.152,224.842,-984.071,831.034,-15.404,-867.977,1066.83,519.022,-1004.424,986.081,276.378,-1050.418,304.346,149.228,-1311.775,336.463,-55.056,-1057.878,839.147,504.026,-1179.211,771.873,204.882,-1102.77,1005.87,40.973,4.055,-5.918,19.025,-0.272,-0.072,-1.339,11.22,-2.088,-1.339,-11.22,2.088,-35.873,-3.308,-4.726,-35.393,3.055,3.795,-0.332,0.085,1.091,-1.188,-0.395,0.597,401.26,27.869,-23.831,-103.403,90.432,8.33
3.5,105.863,-1453.893,335.475,299.22,-1124.87,91.858,224.499,-944.04,829.169,-32.647,-846.212,1047.124,513.035,-940.409,983.26,274.064,-1043.732,303.146,150.279,-1237.531,336.314,-70.821,-1051.564,833.432,498.854,-1104.844,763.156,205.798,-1061.27,1001.65,38.794,3.91,-7.023,22.712,-1.124,1.144,-0.586,11.72,-2.899,-0.586,-11.72,2.899,-35.497,-2.677,-5.19,-34.477,3.494,3.343,-0.499,0.025,0.965,-1.095,-0.364,0.706,361.139,5.128,-21.469,-33.748,68.997,7.151
3.51,106.393,-1377.747,323.412,298.665,-1124.486,92.966,223.605,-903.836,827.846,-49.517,-825.668,1032.122,505.493,-876.087,984.065,271.892,-1038.083,302.561,151.617,-1162.316,336.525,-85.04,-1045.453,831.605,490.952,-1029.1,757.948,206.761,-1019.73,998.531,36.301,3.573,-8.105,26.594,-1.607,2.535,-0.032,11.89,-3.616,-0.032,-11.89,3.616,-35.321,-2.071,-5.377,-33.719,3.522,3.127,-0.639,-0.034,0.849,-1.015,-0.313,0.854,304.93,-20.628,-17.19,3.483,48.189,5.928
3.52,107.097,-1300.18,309.299,298.557,-1124.128,94.563,222.231,-863.229,827.211,-65.242,-805.44,1022.098,496.358,-811.731,988.81,269.827,-1032.84,302.432,153.207,-1086.614,337.107,-97.395,-1038.711,833.622,480.313,-952.535,756.781,207.793,-978.082,996.674,33.446,3.022,-9.085,30.554,-1.649,3.981,0.338,11.667,-4.237,0.338,-11.667,4.237,-35.299,-1.6,-5.291,-33.236,3.186,3.126,-0.751,-0.089,0.747,-0.944,-0.246,1.035,233.802,-46.235,-11.813,13.618,29.852,4.687
