Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.55,135.037,-1848.842,465.861,278.14,-1125.852,112.399,187.264,-1135.268,842.073,31.834,-1013.288,1180.833,599.717,-1394.289,959.248,244.769,-1106.516,323.345,120.325,-1659.369,396.761,-109.05,-1115.915,915.265,617.538,-1674.789,928.204,204.788,-1280.09,1025.12,39.333,1.295,0.616,-5.069,-8.353,-10.915,-7.918,10.444,12.533,-7.918,-10.444,-12.533,-43.398,-7.727,-10.028,-36.82,-5.614,4.454,0.491,-0.092,1.764,-1.252,0.039,0.794,328.598,-32.059,-10.182,-488.397,-58.188,0.14
9.56,134.673,-1796.825,474.564,276.833,-1112.924,108.569,191.201,-1099.817,836.172,24.609,-986.133,1153.848,596.587,-1336.136,941.439,243.877,-1084.626,317.49,119.508,-1610.188,395.567,-123.134,-1108.004,899.447,615.846,-1614.181,895.803,204.689,-1244.49,1016.72,38.695,2.212,-1.244,-3.235,-9.705,-10.886,-6.895,11.08,11.361,-6.895,-11.08,-11.361,-42.841,-7.789,-9.786,-37.362,-4.778,3.989,0.378,-0.039,1.504,-1.465,0.005,0.78,360.159,-11.955,-9.006,-475.271,-35.321,0.357
9.57,133.556,-1742.067,480.386,275.783,-1103.198,105.605,195.573,-1065.615,830.059,16.127,-960.682,1125.695,592.379,-1274.938,923.874,243.365,-1064.935,312.168,118.258,-1557.895,393.185,-138.212,-1102.15,884.582,613.497,-1549.314,861.813,204.566,-1209.41,1008.07,38.067,3.225,-3.128,-1.04,-11.164,-10.69,-5.904,11.778,10.024,-5.904,-11.778,-10.024,-42.17,-7.8,-9.518,-37.561,-3.926,3.4,0.266,-0.001,1.248,-1.604,-0.037,0.723,386.553,5.144,-7.613,-438.869,-11.866,0.625
9.58,131.678,-1684.972,483.259,274.969,-1096.088,103.499,200.239,-1032.585,823.84,6.394,-936.904,1097.052,586.925,-1210.948,907.353,243.188,-1047.392,307.426,116.668,-1502.553,389.947,-153.912,-1097.935,871.345,610.306,-1480.188,827.396,204.429,-1174.77,999.427,37.431,4.296,-4.888,1.551,-12.672,-10.295,-5.006,12.496,8.538,-5.006,-12.496,-8.538,-41.437,-7.777,-9.243,-37.355,-3.122,2.73,0.148,0.021,1.007,-1.663,-0.076,0.64,405.195,17.476,-6.042,-383.977,8.312,0.84
9.59,129.06,-1625.962,483.195,274.363,-1091.045,102.174,205.014,-1000.588,817.636,-4.473,-914.73,1068.677,580.077,-1144.473,892.691,243.205,-1032.044,303.284,114.848,-1444.229,386.287,-169.749,-1094.925,860.28,606.086,-1406.9,793.778,204.282,-1140.46,991.028,36.751,5.367,-6.409,4.567,-14.157,-9.669,-4.253,13.181,6.932,-4.253,-13.181,-6.932,-40.735,-7.738,-9.004,-36.764,-2.419,2.04,0.023,0.027,0.786,-1.646,-0.103,0.553,413.332,23.851,-4.279,-317.496,22.241,0.987
9.6,125.754,-1565.455,480.272,273.934,-1087.584,101.504,209.705,-969.397,811.565,-16.326,-894.037,1041.375,571.719,-1075.95,880.675,243.269,-1018.935,299.754,112.905,-1383.111,382.597,-185.188,-1092.595,851.833,600.692,-1329.746,762.245,204.128,-1106.35,983.121,35.987,6.377,-7.59,8.028,-15.538,-8.799,-3.692,13.775,5.235,-3.692,-13.775,-5.235,-40.114,-7.727,-8.803,-35.865,-1.849,1.39,-0.109,0.019,0.592,-1.564,-0.113,0.485,409.464,23.684,-2.462,-246.443,29.141,1.088
9.61,121.838,-1503.836,474.607,273.65,-1085.298,101.349,214.111,-938.782,805.756,-28.976,-874.65,1015.966,561.787,-1005.897,872.022,243.233,-1008.081,296.851,110.957,-1319.509,379.305,-199.637,-1090.443,846.212,593.977,-1249.224,733.991,203.967,-1072.33,975.922,35.089,7.252,-8.376,11.934,-16.728,-7.693,-3.351,14.217,3.479,-3.351,-14.217,-3.479,-39.639,-7.77,-8.663,-34.785,-1.432,0.822,-0.244,-0.001,0.429,-1.437,-0.105,0.453,392.671,17.524,-0.797,-178.004,29.993,1.073
9.62,117.409,-1441.427,466.349,273.487,-1083.85,101.583,218.052,-908.468,800.334,-42.147,-856.342,993.229,550.273,-934.925,867.328,242.98,-999.384,294.58,109.15,-1253.851,376.819,-212.599,-1087.954,843.48,585.864,-1165.927,710.078,203.8,-1038.28,969.642,34.01,7.928,-8.753,16.251,-17.642,-6.397,-3.236,14.448,1.703,-3.236,-14.448,-1.703,-39.36,-7.904,-8.585,-33.663,-1.181,0.361,-0.378,-0.029,0.302,-1.284,-0.082,0.466,363.457,6.872,0.288,-118.367,26.689,0.908
9.63,112.574,-1378.463,455.662,273.427,-1082.96,102.125,221.374,-878.214,795.439,-55.516,-838.848,973.863,537.245,-863.71,867.024,242.446,-992.611,292.929,107.616,-1186.735,375.392,-223.656,-1084.713,843.515,576.282,-1080.675,691.338,203.625,-1004.13,964.443,32.705,8.349,-8.738,20.906,-18.204,-4.987,-3.343,14.419,-0.06,-3.343,-14.419,0.06,-39.266,-8.139,-8.562,-32.625,-1.105,0.014,-0.501,-0.063,0.213,-1.125,-0.049,0.528,323.288,-6.63,0.365,-70.715,21.156,0.674
9.64,107.442,-1315.068,442.719,273.463,-1082.384,102.954,223.972,-847.737,791.205,-68.736,-821.866,958.402,522.836,-792.973,871.347,241.638,-987.338,291.847,106.499,-1118.841,375.251,-232.586,-1080.322,846.14,565.233,-994.347,678.358,203.442,-969.796,960.457,31.142,8.474,-8.386,25.788,-18.363,-3.574,-3.644,14.093,-1.78,-3.644,-14.093,1.78,-39.38,-8.482,-8.602,-31.763,-1.205,-0.221,-0.608,-0.098,0.163,-0.972,-0.012,0.635,273.943,-21.646,-0.711,-36.055,15.058,0.429
