Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.26,207.961,-2101.639,437.228,349.222,-1414.729,145.192,262.772,-1498.123,814.165,56.427,-1392.451,1085.84,718.344,-1942.515,1044.744,324.674,-1419.512,339.918,181.534,-1914.928,370.55,34.102,-1463.811,801.63,504.917,-2143.876,988.655,279.148,-1618.36,979.111,48.132,-4.458,3.816,6.776,-2.054,-7.847,-7.699,4.655,9.484,-7.699,-4.655,-9.484,-80.832,172.746,1.774,-35.96,-3.71,-1.598,0.802,-0.305,1.694,-1.318,0.114,1.123,448.449,-51.088,-19.698,-567.352,-84.99,-5.34
4.27,206.434,-2044.353,451.435,346.7,-1403.433,138.761,263.975,-1460.519,810.668,37.803,-1371.726,1053.628,728.084,-1880.379,1024.412,323.563,-1399.031,331.896,181.97,-1859.118,378.191,11.016,-1474.379,779.018,525.106,-2089.99,964.23,279.48,-1580.83,973.961,46.381,-4.505,3.131,9.405,-2.246,-6.701,-7.707,4.068,8.695,-7.707,-4.068,-8.695,-79.972,172.515,0.924,-36.567,-2.496,-2.36,0.67,-0.278,1.544,-1.141,0.079,1.097,466.952,-33.975,-24.949,-465.046,-70.111,-6.452
4.28,204.379,-1983.837,462.008,344.45,-1394.732,133.689,266.167,-1422.967,806.405,17.954,-1356.17,1021.569,737.388,-1813.536,1003.323,322.458,-1380.02,324.7,182.449,-1799.414,384.338,-9.929,-1489.964,760.451,546.454,-2031.49,936.036,279.804,-1543.37,968.036,44.625,-4.157,2.185,12.102,-2.671,-5.574,-7.453,3.526,7.678,-7.453,-3.526,-7.678,-79.084,172.317,-0.064,-37.081,-1.064,-3.357,0.536,-0.266,1.371,-1.007,0.045,1.066,479.948,-19.852,-28.134,-369.584,-51.269,-6.16
4.29,201.79,-1920.744,468.728,342.487,-1387.885,130.05,269.493,-1385.612,801.461,-2.39,-1346.037,991.126,745.531,-1742.329,982.686,321.396,-1362.549,318.56,183.17,-1736.261,389.062,-27.755,-1509.412,747.231,568.064,-1967.859,904.933,280.126,-1506.03,961.567,42.925,-3.359,1.076,14.938,-3.364,-4.566,-6.922,3.069,6.402,-6.922,-3.069,-6.402,-78.247,172.17,-1.13,-37.299,0.382,-4.529,0.403,-0.272,1.185,-0.92,0.015,1.033,488.598,-12.792,-29.141,-280.83,-32.669,-4.312
4.3,198.717,-1855.734,471.482,340.834,-1382.455,127.726,274.032,-1348.667,795.957,-22.436,-1341.119,963.679,751.91,-1667.215,963.665,320.42,-1346.919,313.596,184.277,-1670.206,392.593,-41.809,-1531.369,740.327,589.147,-1898.766,872.165,280.457,-1468.85,954.813,41.331,-2.103,-0.096,17.99,-4.326,-3.731,-6.164,2.732,4.831,-6.164,-2.732,-4.831,-77.529,172.09,-2.21,-37.043,1.686,-5.774,0.269,-0.294,0.995,-0.877,-0.009,0.999,491.332,-15.072,-28.502,-199.297,-19.179,-1.281
4.31,195.258,-1789.4,470.245,339.481,-1378.166,126.459,279.775,-1312.297,790.048,-41.377,-1340.816,940.428,756.048,-1588.721,947.35,319.588,-1333.386,309.805,185.878,-1601.863,395.282,-51.869,-1554.282,740.338,609.124,-1824.162,839.286,280.803,-1431.87,948.052,39.818,-0.428,-1.196,21.327,-5.525,-3.068,-5.284,2.531,2.941,-5.284,-2.531,-2.941,-76.979,172.086,-3.257,-36.29,2.784,-6.97,0.137,-0.326,0.813,-0.87,-0.029,0.964,484.746,-27.399,-26.289,-128.506,-11.93,1.764
4.32,191.547,-1722.209,465.067,338.385,-1374.81,125.941,286.579,-1276.652,783.898,-58.496,-1344.054,922.279,757.547,-1507.417,934.769,318.913,-1322.026,307.046,188.074,-1531.876,397.619,-58.1,-1576.552,747.377,627.529,-1744.174,807.92,281.169,-1395.08,941.553,38.298,1.56,-2.06,25.028,-6.901,-2.558,-4.452,2.453,0.738,-4.452,-2.453,-0.738,-76.674,172.165,-4.221,-35.14,3.692,-8.015,0.006,-0.361,0.648,-0.885,-0.043,0.932,464.914,-48.507,-22.109,-75.349,-7.489,3.66
4.33,187.753,-1654.457,456.072,337.495,-1372.211,125.906,294.139,-1241.824,777.714,-73.229,-1349.439,909.809,756.066,-1423.949,926.862,318.359,-1312.753,305.13,190.885,-1461.004,399.999,-61.081,-1596.649,761.123,643.944,-1659.19,779.643,281.565,-1358.51,935.607,36.653,3.676,-2.513,29.135,-8.363,-2.182,-3.838,2.448,-1.72,-3.838,-2.448,1.72,-76.617,172.306,-5.044,-33.752,4.455,-8.859,-0.122,-0.39,0.509,-0.907,-0.052,0.913,429.717,-75.456,-15.638,-40.85,-1.609,4.192
4.34,184.071,-1586.242,443.456,336.78,-1370.211,126.171,302.019,-1207.694,771.798,-85.204,-1355.382,903.227,751.266,-1339.084,924.472,317.857,-1305.335,303.869,194.252,-1389.979,402.703,-61.52,-1613.328,780.82,657.939,-1569.786,755.85,282.022,-1322.09,930.497,34.769,5.672,-2.434,33.624,-9.795,-1.932,-3.564,2.417,-4.323,-3.564,-2.417,4.323,-76.795,172.498,-5.649,-32.323,5.07,-9.483,-0.243,-0.406,0.399,-0.923,-0.056,0.913,379.07,-104.139,-7.228,-20.66,5.469,4.015
4.35,180.711,-1517.47,427.486,336.227,-1368.648,126.658,309.679,-1173.932,766.571,-94.257,-1360.314,902.379,742.819,-1253.812,928.284,317.346,-1299.369,303.118,198.014,-1319.571,405.73,-60.099,-1625.728,805.444,669.04,-1476.735,737.715,282.581,-1285.76,926.5,32.565,7.285,-1.81,38.358,-11.073,-1.824,-3.628,2.247,-6.919,-3.628,-2.247,6.919,-77.125,172.707,-5.948,-31.023,5.504,-9.891,-0.354,-0.404,0.315,-0.921,-0.052,0.943,314.962,-130.229,2.06,-10.722,11.521,3.769
