Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.74,96.74,-1836.694,493.965,276.166,-1135.032,106.36,228.523,-1182.049,782.306,27.716,-1026.589,1105.764,570.328,-1320.403,962.534,241.44,-1126.463,294.318,112.752,-1702.278,353.475,-7.252,-1059.5,825.45,505.088,-1470.964,833.506,206.08,-1299.73,944.715,42.352,9.308,-1.236,-9.972,1.751,-12.894,5.42,7.206,2.443,5.42,-7.206,-2.443,-35.71,-11.557,-22.104,-39.942,-14.804,-9.49,0.338,0.093,1.075,-1.61,-0.148,0.923,230.675,17.284,12.704,-581.821,30.047,2.466
8.75,97.237,-1783.671,502.423,273.631,-1121.992,102.363,231.95,-1145.906,776.143,23.123,-999.423,1088.687,577.828,-1269.287,951.261,240.562,-1101.449,287.682,110.791,-1655.1,355.973,-10.998,-1042.917,809.233,518.0,-1416.893,817.774,207.17,-1264.74,935.423,40.797,9.818,-3.471,-9.562,0.849,-13.704,6.973,7.152,1.161,6.973,-7.152,-1.161,-35.584,-11.796,-22.257,-39.724,-12.833,-10.769,0.206,0.05,1.034,-1.543,-0.213,0.867,242.719,20.525,1.763,-487.981,53.203,4.338
8.76,97.75,-1728.625,508.282,271.306,-1111.725,99.606,235.377,-1110.274,769.913,17.559,-973.365,1070.345,584.553,-1215.96,940.267,240.144,-1077.969,281.674,109.443,-1604.673,357.286,-15.567,-1028.829,792.474,530.493,-1360.109,801.978,208.158,-1229.86,926.046,39.258,10.403,-5.66,-8.907,-0.374,-14.648,8.49,7.295,-0.159,8.49,-7.295,0.159,-35.553,-12.066,-22.241,-38.977,-10.803,-12.124,0.062,-0.006,0.961,-1.475,-0.26,0.807,255.919,23.312,-10.4,-379.463,66.532,4.736
8.77,98.135,-1671.999,511.318,269.276,-1103.831,98.047,238.742,-1075.406,763.668,11.126,-948.62,1051.211,590.116,-1160.533,930.009,239.974,-1056.689,276.373,108.914,-1551.304,357.099,-20.523,-1017.219,775.854,542.072,-1300.619,786.666,209.033,-1195.11,916.967,37.849,11.042,-7.678,-7.833,-1.847,-15.595,9.852,7.599,-1.52,9.852,-7.599,1.52,-35.572,-12.257,-22.148,-37.684,-8.952,-13.396,-0.082,-0.067,0.856,-1.411,-0.285,0.748,270.51,23.714,-20.581,-269.776,68.965,4.151
8.78,98.28,-1614.275,511.398,267.602,-1097.934,97.471,241.969,-1041.468,757.538,3.967,-925.376,1031.829,594.113,-1103.253,921.006,239.811,-1038.285,271.818,109.26,-1495.306,355.282,-25.462,-1007.969,760.13,552.232,-1238.547,772.499,209.794,-1160.53,908.564,36.604,11.712,-9.393,-6.173,-3.485,-16.384,10.951,8.007,-2.908,10.951,-8.007,2.908,-35.615,-12.289,-22.148,-36.003,-7.444,-14.433,-0.22,-0.126,0.724,-1.352,-0.29,0.697,285.549,19.895,-25.71,-175.417,63.733,3.247
8.79,98.145,-1555.957,508.49,266.332,-1093.668,97.598,244.913,-1008.397,751.794,-3.712,-903.788,1012.818,596.168,-1044.474,913.81,239.451,-1023.2,268.067,110.404,-1437.001,351.913,-29.958,-1000.824,746.064,560.464,-1174.166,760.169,210.452,-1126.12,901.179,35.444,12.357,-10.694,-3.813,-5.192,-16.844,11.713,8.451,-4.293,11.713,-8.451,4.293,-35.634,-12.136,-22.35,-34.206,-6.384,-15.141,-0.345,-0.178,0.574,-1.296,-0.275,0.661,298.948,11.215,-24.684,-106.615,56.762,2.297
8.8,97.768,-1497.533,502.664,265.491,-1090.673,98.176,247.375,-976.009,746.812,-11.648,-883.909,994.87,595.959,-984.575,908.941,238.788,-1011.5,265.181,112.222,-1376.603,347.321,-33.644,-995.334,734.361,566.29,-1107.892,750.333,211.023,-1091.89,895.105,34.225,12.879,-11.518,-0.717,-6.859,-16.839,12.131,8.857,-5.628,12.131,-8.857,5.628,-35.613,-11.834,-22.734,-32.555,-5.792,-15.511,-0.454,-0.22,0.422,-1.24,-0.244,0.649,307.644,-2.064,-18.845,-63.476,52.108,1.411
8.81,97.257,-1439.417,494.063,265.076,-1088.604,99.03,249.136,-943.975,742.988,-19.533,-865.633,978.679,593.258,-924.012,906.846,237.828,-1002.87,263.186,114.615,-1314.312,342.046,-36.243,-990.851,725.564,569.286,-1040.355,743.538,211.541,-1057.8,890.556,32.779,13.149,-11.885,3.061,-8.364,-16.316,12.248,9.144,-6.867,12.248,-9.144,6.867,-35.607,-11.468,-23.19,-31.273,-5.651,-15.602,-0.549,-0.252,0.28,-1.183,-0.2,0.669,307.427,-18.47,-10.781,-38.742,49.271,0.784
8.82,96.754,-1381.902,482.864,265.045,-1087.146,100.079,250.022,-911.95,740.625,-27.048,-848.65,964.937,587.944,-863.277,907.831,236.687,-996.63,262.013,117.466,-1250.367,336.668,-37.596,-986.587,719.985,569.135,-972.238,740.122,212.043,-1023.78,887.655,30.978,13.043,-11.887,7.394,-9.571,-15.324,12.148,9.238,-7.977,12.148,-9.238,7.977,-35.619,-11.116,-23.581,-30.441,-5.894,-15.503,-0.63,-0.274,0.161,-1.122,-0.149,0.724,294.475,-34.771,-3.072,-25.232,45.947,0.534
8.83,96.397,-1325.105,469.258,265.339,-1086.013,101.345,249.919,-879.639,739.839,-33.927,-832.478,954.268,580.015,-802.866,911.996,235.555,-991.928,261.518,120.767,-1185.018,331.888,-37.739,-981.782,717.719,565.7,-904.296,740.212,212.564,-989.751,886.461,28.777,12.481,-11.666,12.131,-10.352,-13.997,11.91,9.07,-8.947,11.91,-9.07,8.947,-35.714,-10.864,-23.798,-30.093,-6.434,-15.284,-0.7,-0.285,0.075,-1.058,-0.093,0.816,266.914,-47.496,2.479,-18.208,40.879,0.581
8.84,96.293,-1268.953,453.434,265.908,-1084.937,102.936,248.823,-846.821,740.567,-40.006,-816.525,947.148,569.582,-743.252,919.218,234.647,-987.839,261.529,124.533,-1118.682,328.365,-36.827,-975.769,718.635,559.014,-837.24,743.693,213.128,-955.632,886.952,26.206,11.45,-11.359,17.095,-10.607,-12.548,11.577,8.593,-9.791,11.577,-8.593,9.791,-35.932,-10.776,-23.782,-30.186,-7.172,-14.981,-0.757,-0.286,0.027,-0.989,-0.038,0.942,225.889,-55.036,5.203,-14.244,34.227,0.73
8.85,96.51,-1213.181,435.577,266.736,-1083.637,105.029,246.828,-813.416,742.635,-45.244,-800.208,943.822,556.861,-684.876,929.159,234.184,-983.422,261.867,128.794,-1051.923,326.64,-35.116,-968.085,722.469,549.313,-771.683,750.264,213.75,-921.366,889.058,23.334,10.007,-11.072,22.113,-10.294,-11.202,11.17,7.781,-10.537,11.17,-7.781,10.537,-36.306,-10.885,-23.499,-30.668,-8.037,-14.61,-0.8,-0.277,0.016,-0.913,0.013,1.093,174.389,-58.019,5.124,-12.956,27.077,0.868
8.86,97.089,-1157.376,415.879,267.849,-1081.803,107.843,244.124,-779.402,745.84,-49.695,-783.065,944.236,542.161,-628.115,941.339,234.405,-977.719,262.355,133.524,-985.446,326.978,-32.876,-958.51,728.9,536.987,-708.121,759.496,214.437,-886.913,892.669,20.237,8.268,-10.847,27.014,-9.439,-10.137,10.691,6.64,-11.216,10.691,-6.64,11.216,-36.874,-11.205,-22.964,-31.433,-8.94,-14.179,-0.827,-0.26,0.037,-0.828,0.058,1.258,116.493,-58.494,2.864,-14.333,19.86,1.117
8.87,98.057,-1101.024,394.549,269.301,-1079.094,111.611,240.974,-744.8,750.017,-53.47,-764.833,948.04,525.851,-573.247,955.226,235.571,-969.807,262.797,138.579,-920.041,329.165,-30.305,-946.961,737.538,522.552,-646.918,770.897,215.196,-852.263,897.643,16.974,6.378,-10.675,31.633,-8.138,-9.453,10.149,5.209,-11.859,10.149,-5.209,11.859,-37.592,-11.706,-22.255,-32.364,-9.801,-13.688,-0.837,-0.236,0.08,-0.73,0.093,1.422,57.175,-58.511,-0.315,-16.375,11.831,1.683
8.88,99.434,-1043.581,371.837,271.147,-1075.152,116.542,237.672,-709.644,755.053,-56.698,-745.434,954.659,508.342,-520.449,970.314,237.957,-958.866,262.92,143.708,-856.269,332.539,-27.525,-933.502,748.003,506.544,-588.305,783.936,216.033,-817.409,903.804,13.58,4.483,-10.519,35.826,-6.53,-9.16,9.562,3.552,-12.494,9.562,-3.552,12.494,-38.351,-12.307,-21.481,-33.341,-10.524,-13.14,-0.832,-0.206,0.134,-0.616,0.118,1.567,1.265,-58.377,-2.966,-17.303,2.518,2.73
8.89,101.243,-984.536,348.05,273.422,-1069.624,122.791,234.5,-673.968,760.857,-59.506,-724.939,963.398,490.048,-469.794,986.167,241.835,-944.357,262.351,148.603,-794.325,336.121,-24.576,-918.234,759.891,489.502,-532.393,798.097,216.951,-782.362,910.941,10.084,2.706,-10.337,39.475,-4.766,-9.199,8.963,1.74,-13.143,8.963,-1.74,13.143,-38.953,-12.924,-20.753,-34.262,-10.996,-12.559,-0.818,-0.17,0.189,-0.486,0.134,1.678,-46.477,-56.767,-4.052,-16.83,-6.663,4.029
8.9,103.494,-923.48,323.561,276.126,-1062.214,130.444,231.668,-637.82,767.306,-62.0,-703.481,973.554,471.366,-421.287,1002.351,247.458,-926.189,260.657,153.041,-733.967,339.081,-21.463,-901.265,772.79,471.893,-479.162,812.896,217.947,-747.129,918.827,6.523,1.131,-10.107,42.501,-2.976,-9.464,8.384,-0.159,-13.822,8.384,0.159,13.822,-39.25,-13.468,-20.128,-35.069,-11.105,-11.972,-0.803,-0.129,0.236,-0.34,0.144,1.743,-83.535,-52.161,-3.465,-16.46,-12.843,4.71
8.91,106.182,-860.153,298.808,279.235,-1052.741,139.531,229.287,-601.261,774.221,-64.266,-681.206,984.51,452.655,-374.863,1018.526,254.992,-904.819,257.469,156.977,-674.808,341.086,-18.175,-882.664,786.281,454.125,-428.487,827.937,219.009,-711.728,927.198,2.95,-0.201,-9.835,44.87,-1.251,-9.841,7.848,-2.093,-14.533,7.848,2.093,14.533,-39.252,-13.929,-19.59,-35.743,-10.759,-11.455,-0.795,-0.085,0.272,-0.185,0.151,1.755,-111.42,-43.692,-1.739,-19.101,-14.568,3.983
8.92,109.284,-794.475,274.282,282.705,-1041.191,150.048,227.385,-564.375,781.362,-66.361,-658.223,995.762,434.23,-330.412,1034.357,264.433,-881.3,252.694,160.487,-616.596,342.211,-14.716,-862.514,799.97,436.531,-380.163,842.848,220.113,-676.18,935.786,-0.565,-1.279,-9.563,46.598,0.353,-10.218,7.36,-4.024,-15.273,7.36,4.024,15.273,-39.072,-14.349,-19.089,-36.292,-9.941,-11.111,-0.801,-0.04,0.298,-0.028,0.16,1.713,-134.155,-31.532,0.703,-27.715,-13.847,1.874
