Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.09,111.227,-1564.767,506.26,331.549,-795.468,118.904,246.159,-867.633,829.007,82.489,-714.298,1148.258,654.978,-1074.878,1070.612,297.143,-801.024,334.131,140.739,-1376.728,418.956,-0.502,-812.289,848.722,620.936,-1333.985,917.023,242.325,-981.027,1041.99,55.718,0.425,6.133,11.519,-3.335,0.936,-19.579,11.107,8.434,-19.579,-11.107,-8.434,-38.95,-5.958,-10.68,-39.644,-11.623,0.16,0.633,0.103,1.123,-1.298,0.163,0.955,377.073,9.847,-5.964,-635.196,-113.594,-2.321
5.1,109.016,-1516.022,511.679,329.498,-780.634,114.034,249.622,-830.144,822.385,72.966,-686.602,1125.546,662.084,-1026.767,1058.165,295.099,-774.748,327.819,139.439,-1329.43,421.833,-18.716,-801.669,834.463,634.565,-1283.933,900.332,242.44,-944.978,1033.46,54.916,1.683,5.352,12.097,-4.162,1.081,-18.605,11.375,7.248,-18.605,-11.375,-7.248,-38.751,-5.852,-11.079,-40.396,-10.377,-0.686,0.504,0.087,1.111,-1.33,0.11,0.902,374.952,2.725,-8.088,-563.942,-84.588,-1.514
5.11,106.808,-1465.389,514.087,327.395,-768.959,110.257,253.787,-793.357,815.705,61.925,-660.786,1103.102,668.352,-976.591,1045.731,293.116,-749.988,322.094,138.445,-1279.64,423.015,-37.343,-793.477,821.482,648.026,-1231.482,882.978,242.583,-909.115,1024.76,54.139,3.139,4.604,12.902,-5.246,1.186,-17.652,11.805,5.909,-17.652,-11.805,-5.909,-38.554,-5.815,-11.363,-40.679,-9.041,-1.749,0.353,0.063,1.076,-1.361,0.055,0.828,370.4,-5.987,-9.379,-479.626,-55.584,0.029
5.12,104.678,-1413.107,513.539,325.272,-759.977,107.759,258.551,-757.532,809.085,49.572,-637.056,1081.785,673.51,-924.303,1033.842,291.186,-727.171,317.09,137.735,-1227.509,422.698,-55.759,-787.576,810.397,660.955,-1176.373,865.375,242.76,-873.458,1016.19,53.467,4.748,3.954,14.043,-6.539,1.28,-16.829,12.354,4.42,-16.829,-12.354,-4.42,-38.318,-5.819,-11.514,-40.352,-7.694,-2.96,0.186,0.034,1.021,-1.382,0.002,0.739,363.199,-15.928,-9.573,-386.138,-27.634,1.656
5.13,102.712,-1359.405,510.133,323.176,-753.238,106.5,263.691,-722.856,802.66,36.218,-615.481,1062.405,677.286,-869.975,1023.068,289.292,-706.835,312.853,137.325,-1173.156,421.197,-73.352,-783.652,801.799,672.978,-1118.45,848.069,242.959,-838.022,1008.08,52.939,6.434,3.413,15.63,-7.96,1.414,-16.238,12.939,2.802,-16.238,-12.939,-2.802,-38.051,-5.848,-11.549,-39.416,-6.398,-4.218,0.012,0.004,0.949,-1.384,-0.047,0.648,352.595,-27.177,-8.533,-291.668,-2.443,2.932
5.14,100.999,-1304.503,503.997,321.181,-748.317,106.261,268.902,-689.325,796.585,22.27,-595.972,1045.6,679.44,-813.739,1013.941,287.438,-689.489,309.384,137.205,-1116.796,418.79,-89.549,-781.184,796.153,683.703,-1057.629,831.601,243.167,-802.809,1000.71,52.507,8.094,2.962,17.732,-9.412,1.658,-15.938,13.46,1.1,-15.938,-13.46,-1.1,-37.723,-5.906,-11.473,-38.019,-5.201,-5.41,-0.162,-0.025,0.868,-1.361,-0.09,0.566,337.12,-39.472,-6.466,-205.964,17.943,3.739
5.15,99.622,-1248.601,495.28,319.376,-744.812,106.741,273.799,-656.783,791.052,8.186,-578.298,1031.855,679.774,-755.85,1006.938,285.647,-675.445,306.674,137.431,-1058.679,415.884,-103.9,-779.504,793.708,692.743,-993.995,816.53,243.366,-767.817,994.338,52.052,9.593,2.588,20.375,-10.779,2.076,-15.942,13.807,-0.622,-15.942,-13.807,0.622,-37.401,-5.989,-11.321,-36.402,-4.147,-6.449,-0.329,-0.05,0.787,-1.313,-0.127,0.51,314.274,-51.794,-3.988,-136.575,32.082,4.22
5.16,98.645,-1191.865,484.14,317.846,-742.356,107.656,277.97,-624.902,786.279,-5.568,-562.1,1021.43,678.149,-696.668,1002.445,283.958,-664.706,304.71,138.013,-999.162,412.743,-116.107,-777.899,794.525,699.709,-927.79,803.364,243.543,-733.034,989.165,51.403,10.781,2.305,23.521,-11.94,2.708,-16.204,13.886,-2.281,-16.204,-13.886,2.281,-37.067,-6.124,-11.11,-34.821,-3.277,-7.277,-0.484,-0.068,0.713,-1.241,-0.155,0.491,282.965,-62.455,-1.684,-86.342,39.958,4.487
5.17,98.097,-1134.407,470.744,316.649,-740.618,108.815,281.052,-593.26,782.492,-18.546,-546.916,1014.422,674.496,-636.644,1000.721,282.429,-656.908,303.454,138.973,-938.597,409.64,-126.047,-775.638,798.438,704.261,-859.432,792.538,243.69,-698.429,985.354,50.393,11.526,2.148,27.073,-12.788,3.544,-16.639,13.64,-3.796,-16.639,-13.64,3.796,-36.763,-6.327,-10.878,-33.483,-2.623,-7.865,-0.621,-0.079,0.653,-1.15,-0.174,0.519,244.164,-69.816,0.131,-53.27,43.347,4.506
5.18,97.977,-1076.264,455.263,315.81,-739.301,110.156,282.784,-561.422,779.9,-30.363,-532.236,1010.773,668.82,-576.285,1001.875,281.124,-651.323,302.832,140.284,-877.397,406.723,-133.723,-772.122,805.138,706.137,-789.486,784.372,243.804,-663.952,983.007,48.912,11.729,2.153,30.894,-13.24,4.521,-17.15,13.05,-5.1,-17.15,-13.05,5.1,-36.478,-6.594,-10.641,-32.507,-2.202,-8.216,-0.735,-0.082,0.61,-1.046,-0.183,0.595,199.123,-72.633,1.247,-32.695,44.623,4.174
